#漢字	音標	解釋
牢	lou12	牢
嘮	lou45	嘮
老	lou31	老
澇	lou31	澇
遭	tsou45	遭
糟	tsou45	糟
早	tsou31	早
棗	tsou31	棗
蚤	sou45	蚤
躁	tsʰou51	躁
竈	tsou51	竈
操	tsʰou45	操
草	tsʰou31	草
糙	tsʰu45	糙
賄	kʰui12	賄
悔	fei31	悔
晦	fei31	晦
回	fei12	回
回	fei12	回
茴	fei12	茴
匯	fei31	匯
潰	kʰui12	潰
煨	wɔi45	煨
蛻	tʰɔk03	蜕
兌	tui31	兑
最	tsui51	最
會	fei31	會
劊	kʰɔi31	劊
外	ŋɔi31	外
會	fei31	會
會	wɔi51	會
繪	kʰɔi51	繪
乖	kuai45	乖
怪	kuai51	怪
懷	fai12	懷
淮	fai12	淮
壞	fai31	壞
拐	kuai31	拐
拐	kuai31	拐
掛	kua51	掛
卦	kua51	卦
歪	wai45	歪
畫	wak05	畫
快	kʰuai51	快
筷	kʰuai51	筷
話	wa31	話
話	wa31	話
話	wa31	話
脆	tsʰui51	脆
脆	tsʰui51	脆
歲	sui51	歲
歲	sui51	歲
稅	sɔi51	稅
衛	wei31	衛
銳	nui31	鋭
馳	tsʰi12	馳
差	tsʰa45	差
篩	sei45	篩
支	tsi45	支
支	tsi45	支
枝	tsi45	枝
肢	tsi45	肢
紙	tsi31	紙
只	tsʰu31	只
舐	sai31	舐
施	si45	施
翅	tsʰi51	翅
匙	si12	匙
是	si31	是
氏	si31	氏
豉	si31	豉
兒	ȵi51	兒
寄	ki51	寄
羈	kei31	羁
企	kʰi12	企
奇	kʰi12	奇
騎	kʰiɛ12	騎
騎	kʰiɛ12	騎
岐	kʰi31	岐
徛	kʰi45	徛
技	ki51	技
技	ki31	技
妓	kei31	妓
宜	ȵi12	宜
儀	ȵi12	儀
蟻	ȵi51	蟻
誼	ȵi31	誼
義	ȵi31	義
議	ȵi31	議
犧	hi45	犠
戲	hi51	戲
倚	i45	倚
椅	i31	椅
移	i12	移
易	i31	易
悲	pei45	悲
耀	iɛu31	耀
鷂	iɛu31	鷂
刁	tiɛu45	刁
貂	tiɛu45	貂
雕	tiɛu45	雕
鳥	niɛu12	鳥
鳥	niɛu12	鳥
鳥	niɛu12	鳥
釣	tiɛu51	釣
吊	tiɛu51	吊
挑	tʰiɛu45	挑
跳	tʰiɛu51	跳
條	tʰiɛu12	條
調	tʰiɛu12	調
跳	tʰiɛu51	跳
掉	tʰiɛu31	掉
調	tʰiɛu31	調
調	tʰiɛu31	調
尿	ȵiɛu31	尿
聊	liɛu12	聊
遼	liɛu12	遼
撩	liɛu45	撩
撩	liɛu45	撩
寥	liɛu31	寥
了	liɛu12	了
瞭	liɛu12	瞭
料	liɛu31	料
蕭	siɛu45	蕭
簫	siɛu45	簫
澆	iɛu31	澆
繳	kiɛu31	繳
僥	hiɛu45	僥
叫	kiɛu51	叫
竅	hau24	竅
堯	iɛu24	堯
曉	hiɛu31	曉
么	mou45	么
剖	fɛi24	剖
某	mɛi45	某
畝	mɛi45	畝
牡	mau12	牡
喉	hɛi12	喉
猴	hɛi12	猴
後	hɛi31	後
後	hɛi45	後
后	hɛi31	后
厚	hɛi45	厚
候	hɛi31	候
歐	ɛi45	歐
區	ɛi45	区
嘔	ɛi31	嘔
毆	ɛi45	毆
漚	ɛi51	漚
慪	ɛi31	慪
否	fɛi12	否
富	fu51	富
副	fu51	副
浮	fɛi12	浮
浮	fɛi12	浮
負	fu31	負
婦	fu31	婦
婦	fu31	婦
婦	fu31	婦
復	fok022	復
謀	mɛi12	謀
矛	mau12	矛
紐	nɛi31	紐
扭	liu31	扭
流	liu24	流
流	liu12	流
劉	liu12	劉
留	liu12	留
榴	liu12	榴
硫	liu12	硫
琉	liu12	琉
柳	liu51	柳
溜	lɛi31	溜
溜	lɛi31	溜
餾	liu12	餾
廖	liɛu31	廖
揫	tsʰiu45	揫
酒	tsiu31	酒
秋	tsʰiu45	秋
就	tsʰiu31	就
修	siu45	修
售	tsʰiu12	售
柔	iu12	柔
揉	iu31	揉
鳩	kɛi45	鳩
鬮	kʰiu12	鬮
糾	kɛi31	糾
九	kiu31	九
久	kiu31	久
韭	kiu31	韭
灸	kiu51	灸
救	kiu51	救
究	kiu51	究
丘	iu45	丘
丘	iu45	丘
求	kʰiu12	求
球	kʰiu12	球
仇	tsʰiu12	仇
舅	kʰiu45	舅
舊	kʰiu31	舊
柩	kiu51	柩
牛	ŋɛi12	牛
休	iu45	休
朽	niu31	朽
嗅	tsʰiu51	嗅
憂	iu45	憂
優	iu45	優
尤	iu12	尤
郵	iu12	郵
有	iu45	有
友	iu51	友
又	iu31	又
右	iu31	右
祐	iu31	祐
由	iu12	由
油	iu12	油
遊	iu12	遊
猶	iu12	猶
悠	iu31	悠
酉	iu45	酉
誘	iu45	誘
柚	iu12	柚
彪	piɛu45	彪
謬	mɛi31	謬
丟	tiu45	丢
糾	tɛi31	糾
毯	tsan45	毯
塔	tap022	塔
塌	tʰap022	塌
談	tʰam12	談
痰	tʰam12	痰
淡	tʰam12	淡
淡	tʰam45	淡
藍	lam12	藍
籃	lam12	籃
覽	lam31	覽
攬	lam31	攬
攬	lam31	攬
欖	lam31	欖
纜	lam31	纜
臘	lap055	臘
蠟	lap055	蠟
慚	tsʰam31	慚
暫	tsʰam31	暫
三	sam45	三
甘	kam45	甘
柑	kam45	柑
敢	kam31	敢
橄	kam31	橄
磕	kʰau51	磕
喊	ham51	喊
喊	ham51	喊
站	tsʰam31	站
賺	tsʰan31	賺
站	tsʰam31	站
斬	tsam31	斬
蘸	tsiɛu45	蘸
插	tsʰap022	插
閘	tsʰap055	閘
