#漢字	音標	解釋
獸	sɐu33	兽：野～
仇	sɐu42	仇：～人，报～
壽	sɐu22	寿：长～
九	kɐu35	九：数字，～龙
救	kɐu33	救：～命
求	kʰɐu42	求：要～
舅	kʰɐu35	舅：～公
舊	kɐu22	旧：新～
牛	ŋɐu42	牛：～牯
休	jɐu51	休：～息，退～
有	jɐu13	有：～钱
右	jɐu22	右：左～
油	jɐu42	油：麻～
丟	tiu51	丢：～失
答	tap055	答：回～
貪	ham51	贪：～心
探	ham33	探：试～
南	lam42	南：东南西北
納	lap022	纳：归～
參	ʦʰam51	参：～军，～加
慘	ʦʰam35	惨：悲～
蠶	ʦʰam42	蚕：～丝
雜	tsap022	杂：复～
鴿	kœp033	鸽：白～
鴿	kɐp033	鸽：白～
砍	hœm35	砍：～伤
砍	hɐm35	砍：～伤
含	hœm42	含：包～[文]
含	hɐm42	含：包～[文]
含	hœm42	含：～糖[白]
含	hɐm42	含：～糖[白]
合	hœp022	合：～作，～适[文]
合	hɐp022	合：～作，～适[文]
合	hœp022	合：～本，～伙[白]
合	hɐp022	合：～本，～伙[白]
庵	∅ɐm55	庵：尼姑～
庵	∅ɐm55	庵：尼姑～
揞	∅ɐm35	揞：手覆，揞住
暗	∅ɐm33	暗：不亮
擔	tam51	担：～任[动]
擔	tam33	担：～竿[名]
膽	tam35	胆：大～
塔	hap033	塔：宝～
痰	ham42	痰：吐～
淡	tam22	淡：～水（地名）
淡	ham13	淡：咸～；浓～
籃	lam42	篮：菜～
欖	lam35	榄：橄～，乌～
臘	lap022	腊：～肉，～肠
暫	ʦam22	暂：～时
甘	kœm51	甘：甜；～心
甘	kɐm51	甘：甜；～心
敢	kœm35	敢：勇～
斬	ʦɛm35	斩：白～鸡
蘸	jɛm13	蘸：～豉油
蘸	jɐm13	蘸：～豉油
插	ʦʰɛp033	插：～花
插	ʦʰap033	插：～花
杉	ʦʰam33	杉：～树
夾	kɛp35	夹：夹子；～心饼干
夾	kɛp022	夹：夹子；～心饼干
恰	hɐp055	恰：～切，～当
鹹	hɛm42	咸：～淡
鹹	ham42	咸：～淡
陷	ham22	陷：～害，～井
衫	sam55	衫：衬～，～裤（衣服）
鑑	kam33	鉴：～定
甲	kap033	甲：天干，甲乙丙丁
巖	ŋam42	岩：～石，石灰～
鴨	ap033	鸭：鸭子
鴨	ŋap033	鸭：鸭子
壓	ŋap033	压：～力
鐮	lim42	镰：镰刀，禾～
獵	lit022	猎：打～，～人
尖	ʦim42	尖：～刀
接	ʦip022	接：迎～，～待
籤	ʦʰim51	签：竹～，求～
潛	ʦʰim42	潜：～力
漸	ʦim22	渐：逐～
捷	ʦit033	捷：～报，大～，敏～
沾	tsim51	沾：～光
佔	tsim33	占：～领，～地方
摺	ʦip033	折：～被，～叠
閃	sim35	闪：～开
攝	sip033	摄：～影
涉	sit033	涉：～及
染	jim13	染：污～
檢	kim35	检：～查，体～
鉗	kʰim42	钳：～工，火～
儉	kim22	俭：勤～
險	him35	险：危～，保～
掩	jim35	掩：～护
厭	jim33	厌：讨～
鹽	him42	盐
鹽	jim42	盐
葉	hip022	叶：树～；姓
葉	jip022	叶：树～；姓
劍	kim33	剑：宝～
劫	kip033	劫：抢～
欠	him33	欠：～钱，拖～
嚴	him42	严：～格；姓
業	hip022	业：事～，～余
業	jip022	业：事～，～余
醃	jip033	腌：腌制
點	tim35	点：～心，～头
店	tim33	店：开～
跌	tit033	跌：～打
添	him51	添：～加，～丁
貼	hip033	贴：补～
貼	hip033	贴：～纸，～对联[动]
甜	him42	甜
甜	tʰim42	甜
碟	tip022	碟：盛具，碟子
念	lim22	念：～经，怀～
兼	kim51	兼：～职
謙	him51	谦：～虚
嫌	him42	嫌：～弃，～人
協	hip033	协：～会，～作
法	fɐt033	法：方～
凡	fan42	凡：平～
犯	fan22	犯：～法[文]
品	pɐn35	品：～德
林	lɐm42	林：树～；姓
立	lap022	立：～足
粒	lɐp055	粒：三～，颗～
浸	ʦɐm22	浸：～水
