#漢字	音標	解釋
國	kuɛt1	～家，中～
弘	fɛn21	～扬
或	fɛt5	～者
惑	fɛt5	迷～
域	vɛt1	领～，地～
百	pak1	～姓
柏	pak1	松～，～树；～林（地名）
伯	pak1	大～
迫	pit1	压～，～害[训]
烹	pʰɛn33	～调
拍	pʰak1	～片，～球
珀	pʰak1	琥～
魄	pʰak1	魂～，气～
彭	pʰaŋ21	姓，～德怀
膨	pʰaŋ21	～胀
白	pʰak5	～色
盲	maŋ21	文～，～目
虻	mɔŋ21	牛～
猛	maŋ33	～烈，凶～；快
孟	mɛn55	姓，～姜女
?	mak5	大力打
陌	mɛt5	～生人
打	ta31	～针
冷	laŋ33	～热，～清
撑	tsʰaŋ55	支～，～开
拆	tsʰak1	～开
澤	tsʰɛt5	毛～东（人名）
擇	tsʰɛt5	选～[文]
擇	tʰɔk5	～菜[白]
宅	tsʰɛt5	住～
窄	tsa55	狭～
生	sɛn33	学～，～活[文]
生	saŋ33	与“死”相对[白]
牲	sɛn33	牺～[文]
牲	saŋ33	头～[白]
甥	sɛn33	外～
省	sɛn31	～长，节～[文]
省	sɛn31	节省，～钱[白]
更	kɛn33	～换，～衣
更	kaŋ33	五～
粳	kaŋ33	～米
庚	kaŋ33	天干，庚辛壬癸
羹	kaŋ33	调～
哽	kaŋ31	哽住，骨头～到
梗	kaŋ31	心肌～塞[文]
梗	kuaŋ31	茎，菜～[白]
更	kɛn55	～加
格	kɛt1	～式；还珠～～[文]
格	kak1	空～，三～[白]
坑	haŋ33	水～，～沟
客	hak1	请～
硬	ŋaŋ55	软～
額	ŋiak1	名～
亨	hɛn33	～通；～特（人名）
赫	hak1	～～有名，显～
吓	hak1	～一跳
行	haŋ21	～为；行走
衡	fɛn21	～量，平～
杏	hɛn55	～仁
行	haŋ21	品～
浜	paŋ33	沙家～
擘	pak1	用手分开，～开
棚	pʰaŋ21	楼～，瓜～
萌	mɛn21	～芽
氓	mɔŋ21	流～
麥	mak5	小～，～芽糖
脉	mak1	～搏，把～
摘	tsak1	～菜
爭	tsɛn33	～取，斗～[文]
爭	tsaŋ33	相～，～唔多（差不多）[白]
箏	tsɛn33	风～
睜	tsɛn33	～眼
責	tsit5	～任，负～
策	tsʰɛt1	～划，政～
冊	tsʰak1	两～，～封
耕	kaŋ33	～田
耿	kuɛn31	忠心～～；姓，～精忠
革	kɛt1	～命，改～
隔	kak1	～壁
莖	kin33	根；莲～
幸	hɛn55	荣～，～福
鶯	in33	黄～，夜～
鸚	in33	～鹉
櫻	in33	～桃
扼	ak1	～杀，～制
軛	ak1	牛～（牛耕田时套的人字形工具）
兵	pin33	当～
丙	piaŋ31	天干，甲乙丙丁
秉	pin31	～持，～公办事
柄	piaŋ55	刀～，把～
碧	pit1	～玉，～绿
平	pʰin21	和～，～时[文]
平	pʰiaŋ21	～头，～地[白]
坪	pʰiaŋ21	草～
評	pʰin21	批～，～论
病	pʰiaŋ55	～人
鳴	min21	～叫
明	min21	～白，清～[文]
明	miaŋ21	清～[白]
盟	mɛn21	同～，～友
皿	mɛn33	器～
命	min55	～令[文]
命	miaŋ55	～运，算～[白]
京	kin33	北～，～剧
荆	kin33	～州（地名）[文]
荆	kiaŋ33	布～子（中药）[白]
惊	kiaŋ33	害怕；～蛰
境	kin55	环～，～界
景	kin31	～色，风～
警	kin31	～察，报～
敬	kin55	尊～，～酒
竟	kin55	～然
鏡	kiaŋ55	镜子
卿	kʰin33	～家；人名用字
慶	kʰin55	～祝
擎	kʰiaŋ21	举起，～天柱
鯨	kin33	～鱼
競	kin55	～争，～赛
劇	kʰiak1	～烈，京～[文]；快[白]
屐	kʰiak5	木～
迎	ŋiaŋ21	～接，欢～
逆	ŋiak5	～风
英	in33	～雄；～国（国名）
影	iaŋ31	电～
映	iaŋ31	反～
餠	piaŋ31	～干
幷	pin55	合～
璧	pit1	美玉，珠联～合
聘	pʰin31	～请，特～
僻	pʰit1	偏～，～静
辟	pʰit1	开～，复～
名	miaŋ21	姓～
領	liaŋ33	～导，衫～（衣领）
岭	liaŋ31	～南[文]
岭	liaŋ33	～岗[白]
令	lin55	命～，口～[文]；漂亮[白]
精	tsin33	～神
晶	tsin33	水～
睛	tsin33	眼～
井	tsiaŋ31	～水，～～有条
积	tsit1	～极，累～
迹	tsit1	～象，痕～[文]
迹	tsiak1	脚～，油～[白]
脊	tsit1	～椎，背～
淸	tsʰin33	～楚，～水[文]
淸	tsʰiaŋ33	～明[白]
請	tsʰiaŋ31	～人，邀～
情	tsʰin21	感～，～节[文]
晴	tsʰiaŋ21	天～
靜	tsʰin55	安～
靖	tsʰin55	李～（人名）
淨	tsʰiaŋ55	干～
籍	sit5	祖～，～贯
藉	sit5	狼～
省	sɛn31	反～
性	sin55	～别，天～
姓	siaŋ55	～名
惜	siak1	疼爱[白]
惜	sit1	可～，珍～[文]
昔	sit1	～日，今～
席	sit5	酒～，主～
席	tsʰiak5	草～
夕	sit5	～阳
貞	tsən33	～节
偵	tsən33	～察，刑～
逞	tsʰən31	～能，得～
呈	tsʰən21	～现，辞～
程	tsʰən21	～度，路～[文]
程	tsʰaŋ21	姓[白]
鄭	tsʰaŋ55	～重；姓
正	tsaŋ33	～月
征	tsən33	长～，特～
整	tsən31	～体，完～[文]
整	tsaŋ31	修理，～车[白]
正	tsən55	立～，～直[文]
正	tsaŋ55	～好，～来[白]
政	tsən55	行～，～治
只	tsak1	两～
炙	tsak1	火烤，～火
赤	tsʰak1	～色，～脚
斥	tsʰət1	排～，～责
尺	tsʰak1	～寸
射	sa55	～箭，发～
聲	saŋ33	～音，笑～
圣	sən55	神～，～水
适	sət1	～应，合～
釋	sət1	解～
成	tsʰən21	～功，完～[文]
成	tsʰaŋ21	两～；事成[白]
城	saŋ21	～市，县～
誠	tsʰən21	真～，～实
盛	sən55	兴～，茂～
石	sak5	～头，～榴
頸	kiaŋ31	脖子
輕	kʰiaŋ33	不重；年～，～松
嬰	in33	～儿
纓	in33	红～枪
益	it1	得～，有～
盈	in21	～利，～亏
贏	iaŋ21	～输
亦	it5	～可以
譯	it5	翻～
易	it5	交～，贸～
液	it5	～体，输～
腋	it5	～下
壁	piak1	墙～
拼	pʰin33	～音
劈	pʰiak1	～开，用刀～，雷～
霹	pʰit1	～雳舞
甁	pʰiaŋ21	热水～
屛	pʰin21	～风，～障
萍	pʰiau21	薸[训]
萍	pʰin21	～水相逢；人名用字
幷	pin55	～且，～排
銘	mɛn21	～文，～刻
覓	mɛt1	寻～
丁	tɛn33	天干；姓
釘	taŋ33	铁～[名]
頂	taŋ31	山～[文]
頂	tin31	～唔得（顶不住）[白]
鼎	tin31	～盛
釘	taŋ33	～铁钉[动]
訂	taŋ31	预～，～房间
的	tit1	目～，～确
滴	tit1	～水，两～
嫡	tit1	～系，～亲，～子
听	tʰaŋ33	～话
廳	tʰaŋ33	客～，～长
汀	tʰaŋ33	长～，～江（地名）
听	tʰin55	听任，～佢（随他）
踢	tʰɛt1	～球
剔	tʰit1	挑～
亭	tʰin21	凉～
停	tʰin21	～止
廷	tʰin21	朝～
庭	tʰin21	家～，～院
蜓	tʰin21	蜻～
艇	tʰiaŋ31	快～，潜～
挺	tʰin31	叶～（人名）
挺	tʰin31	坚～[文]
挺	tʰin31	抬头～胸，～起来[白]
定	tʰin55	稳～；永～（地名）
笛	tʰak5	笛子
敌	tʰit5	～人
狄	tʰit5	姓，～青
籴	tʰap5	～米（买米）
宁	nɛn21	安～；～波（地名）
宁	nɛn21	～可
溺	nit5	～爱，～死
灵	lin21	～活
零	laŋ21	十～个，～头
鈴	laŋ21	～声，风～
伶	lin21	～俐[文]；～俐（干净）[白]
翎	lin21	～毛，顶上花～
另	laŋ55	～外
历	lit5	～史，经～
历	lak5	日～，～书
績	tsit1	成～
靑	tsʰiaŋ33	～色，～年
蜻	tsʰin33	～蜓
戚	tsʰit1	亲～；姓，～继光
寂	siuk1	～寞
星	sɛn33	火～，～～[文]
星	saŋ33	～夜[白]
腥	siaŋ33	～味[文]
腥	tsʰiaŋ55	臭～[白]
腥	tsʰiaŋ55	～味，臭镬～[白]
猩	sɛn33	大～～
醒	siaŋ31	清～，～过来
錫	siak1	～纸；无～（地名）
析	sit1	分～[文]；量词，一～（一片）[白]
經	kin33	念～，～济[文]
徑	kaŋ55	半～
經	kin33	～纬，～线[文]；～丝（蜘蛛织网）[白]；～开[白]
擊	kit1	～中，打～
激	kit1	～动
馨	hin33	温～
形	hin21	～状，地～
型	hin21	～号，类～
刑	hin21	判～，～法
礦	kuaŋ31	煤～，～工
橫	vaŋ21	～直
橫	vaŋ21	蛮～[文]；猛摔[白]
轟	vaŋ21	～炸
宏	fɛn21	～大
获	vɛt1	收～，～奖
划	fak5	计～，～线
兄	hiuŋ33	～弟
榮	iuŋ21	光～，～誉
永	iun31	～远
泳	iun31	游～
詠	iun31	歌～
傾	kʰɛn33	～向，左～
頃	kʰɛn31	千～，～刻
瓊	kʰiun21	～楼；人名用字
營	in21	国～，～养[文]
營	iaŋ21	～长[白]
穎	in31	新～；邓～超（人名）
疫	it5	～苗
役	it5	战～
螢	in21	～火虫
卜	puk1	占～；姓
卜	pʰɛt5	萝～
扑	pʰuk1	反～，～灭
仆	pʰuk1	倒下
篷	pʰuŋ21	帐～
蓬	pʰuŋ21	～勃；～莱（地名）
仆	pʰuk5	奴～，～人
曝	pʰau55	～光，一～十寒
瀑	pʰuk1	～布
蒙	muŋ21	～蔽，天～～，～古（地名）
懵	muŋ31	～懂
木	muk1	～工
東	tuŋ33	东南西北
董	tuŋ31	古～；姓，～存瑞
懂	tuŋ31	懵～，唔懂（不懂）
凍	tuŋ55	冰～，～伤
棟	tuŋ55	～梁；两～
通	tʰuŋ33	～过，～风，打～
桶	tʰuŋ31	水～
捅	tʰuŋ31	～破
痛	tʰuŋ55	～苦
禿	tʰut1	～头
同	tʰuŋ21	相～，～学
銅	tʰuŋ21	金银～铁
桐	tʰuŋ21	～油，梧～
筒	tʰuŋ21	电～，话～
童	tʰuŋ21	～年，儿～
瞳	tʰuŋ21	～孔
動	tʰuŋ55	～作[文]
動	tʰuŋ33	～来～去[白]
洞	tʰuŋ55	山～，～察
獨	tʰuk5	单～，～立
讀	tʰuk5	～书，阅～
籠	luŋ33	鸟～，～罩
聾	luŋ33	耳～
攏	luŋ33	靠～，～总（一共）
弄	luŋ31	玩～
鹿	luk5	～角，梅花～
棕	tsuŋ33	～树，～色
鬃	tsuŋ33	马～，猪～
總	tsuŋ31	～共，汇～
糉	tsuŋ55	粽子
聰	tsʰuŋ33	～明
葱	tsʰuŋ33	葱
囪	tsʰuŋ33	烟～
叢	tsʰiuŋ33	草～，～书
族	tsʰuk5	～长，民～
送	suŋ55	～人
速	suk1	～度
公	kuŋ33	～安，办～
蚣	kuŋ33	蜈～
工	kuŋ33	～人，打～
功	kuŋ33	～夫，成～
攻	kuŋ33	～击，进～
貢	kuŋ55	～献
谷	kuk1	五～
谷	kuk1	山～
空	kʰuŋ33	～虚，天～
空	kʰuŋ55	～缺
孔	kʰuŋ31	钻～；姓，～子
控	kʰuŋ55	～制
哭	kʰuk5	～泣
烘	huŋ21	～干
哄	huŋ21	～骗
紅	huŋ21	～色
洪	huŋ21	～水；姓，～秀全
鴻	huŋ21	大展～图
汞	kuŋ55	水银，～柱
斛	fuk5	石～（中药）
翁	vuŋ33	白头～；姓
瓮	vuŋ55	小口大肚陶器
屋	vuk1	老～
冬	tuŋ33	过～，～节（冬至）
篤	tuk1	～信，～定
督	tuk1	～促，监～
統	tʰuŋ31	～一，总～
毒	tʰuk5	中～，～药
農	nuŋ21	～村
膿	nuŋ21	化～
宗	tsuŋ33	祖～，～教
綜	tsuŋ33	～合；织布机上的综
松	suŋ33	轻～，放～
宋	suŋ55	～朝；姓，～美龄
酷	kʰuk1	残～
沃	vɔk1	肥～
風	fuŋ33	大～，～气
楓	fuŋ33	～树，～叶
瘋	fuŋ33	～狂
諷	fuŋ31	～刺
福	fuk1	～气，享～
幅	fuk1	一～画，～度
蝠	fuk1	蝙～
輻	fuk1	～射
复	fuk1	重～，～印
腹	puk1	心～，收～
丰	fuŋ33	～收
覆	fuk1	～盖[文]
覆	pʰuk1	倒扣，碗倒扣在桌面[白]
馮	pʰuŋ21	姓
鳳	fuŋ55	～凰
服	fuk5	～务
伏	fuk5	三～，起～[文]
伏	pʰuk5	趴，在桌子上趴着睡[白]
袱	fuk5	包～
复	fuk5	恢～，～原，报～
夢	muŋ55	发～
目	muk1	～的；节～
穆	muk5	姓，～桂英
牧	muk5	放～，畜～局
隆	luŋ21	兴～，～重
六	liuk1	数字
陸	liuk5	大～，～续
嵩	siuŋ33	～山；严～（人名）
肅	siuk1	严～
宿	siuk1	～舍，住～
中	tsuŋ33	～间，～秋[文]
中	tsuŋ33	～央；头顶物，～头帕[白]
忠	tsuŋ33	～心
中	tsuŋ55	射～，～状元
竹	tsuk1	～叶
筑	tsuk1	建～
畜	hiuk1	牲～，～牲
虫	tsʰuŋ21	害～
仲	tsʰuŋ55	伯～叔；杜～（中药）
逐	tsʰuk5	～渐，驱～
軸	tsʰuk5	压～，～承
崇	tsʰuŋ21	～高，推～
縮	suk1	压～，～小
終	tsuŋ33	～于，始～
众	tsuŋ55	群～
祝	tsuk1	～贺，庆～
粥	tsuk1	煮～
充	tsʰuŋ33	～分，冒～
銃	tsʰuŋ33	打鸟的土枪，放～
叔	suk1	二～，～～
熟	suk5	煮～，～悉
淑	suk1	～女，贤～
戎	iuŋ21	～马生涯
絨	iuŋ21	灯芯～，～毛
肉	ŋiuk1	猪～
弓	kiuŋ33	～箭
躬	kiuŋ33	鞠～
宮	kiuŋ33	～殿，大闹天～
菊	kʰiuk1	～花
曲	kʰiuk1	酒～
窮	kʰiuŋ21	～人，无～
畜	hiuk1	～牧局
蓄	hiuk1	储～，～水
郁	iuk1	抑～；～金香；姓
熊	iuŋ21	～猫
雄	hiuŋ21	英～
融	iuŋ21	～化；孔～（人名）
育	iuk1	教～
封	fuŋ33	密～
峯	fuŋ33	山～
蜂	fuŋ33	蜜～
鋒	fuŋ33	～利；雷～（人名）
捧	pʰuŋ31	吹～
逢	fuŋ21	相～，～年过节[文]
逢	pʰuŋ21	～到（遇到）[白]
縫	pʰuŋ21	裁～
奉	fuŋ55	～献，～承
俸	fuŋ55	～禄，薪～
縫	pʰuŋ55	一条～，裂线～
濃	nuŋ21	～厚[文]
濃	ŋiuŋ21	～淡；稠密[白]
龍	liuŋ21	～头
壟	luŋ31	～断
綠	liuk5	～色
录	liuk5	记～，～取
蹤	tsiuŋ33	失～，～影
縱	tsiuŋ33	～横，放～
足	tsiuk1	～球，满～
从	tsʰiuŋ21	～容
促	tsʰuk1	督～，～进
从	tsʰiuŋ21	跟～，～来
慫	suŋ31	～恿
粟	siuk1	包～，～米，～子粄
松	tsʰiuŋ21	～树
誦	siuŋ55	背～
頌	siuŋ55	歌～
訟	siuŋ55	诉～
俗	siuk5	风～
續	siuk5	继～，～集
寵	tsʰuŋ31	～爱，得～
重	tsʰuŋ21	～复
重	tsʰuŋ55	～量[文]
重	tsʰuŋ33	轻～[白]
钟	tsuŋ33	两点～，闹～
盅	tsuŋ33	酒～，两～酒
种	tsuŋ31	～类，树～[名，量]
种	tsuŋ55	～田[动]
腫	tsuŋ31	～起来，水～
烛	tsuk1	蜡～
囑	tsuk1	遗～，～托
冲	tsʰuŋ33	～锋枪
觸	tsʰuk1	接～，～犯
贖	suk5	～罪
舂	tsuŋ33	～米
束	suk1	结～
蜀	tsuk1	四川简称，乐不思～
屬	suk5	～于，家～
茸	iuŋ21	鹿～
冗	iuŋ21	～长
辱	iuk5	污～
褥	ŋiuk5	垫被，褥子
恭	kiuŋ33	～敬
供	kiuŋ33	提～，～应
拱	kuŋ31	～手，～桥
巩	kiuŋ31	～固
供	kiuŋ55	～养，～细人
恐	kʰiuŋ31	～怖
曲	kʰiuk1	歌～，～折
共	kʰiuŋ55	一～，～同
局	kʰiuk5	～部，公安～
玉	ŋiuk5	白～
獄	ŋiuk5	监～
胸	hiuŋ33	心～
凶	hiuŋ33	吉～
凶	hiuŋ33	～恶
雍	iuŋ33	～正皇帝
擁	iuŋ31	～护
容	iuŋ21	～易，宽～
蓉	iuŋ21	芙～
鎔	iuŋ21	朱～基（人名）
庸	iuŋ33	平～，～俗
勇	iuŋ31	～敢
涌	iuŋ31	～现，洶～
用	iuŋ55	～处
用	ŋiuŋ55	有～
欲	iuk5	～速则不达
欲	iuk5	～望，贪～
浴	iuk5	沐～露[文]
浴	iɔk5	～堂（浴室）[白]
屙	ou33	排泄，～屎
播	pou55	广～，～种
伙	fou31	～食，～房
搽	tsʰa21	～药
畲	tsʰia21	～族
墅	su31	别～
莉	li55	茉～
沸	pi55	沸腾
蝟	vi55	刺～
竂	liau21	茅～，鸡～
撬	kʰiau55	～开
煞	sat1	凶神恶～
健	kʰian55	～康
毽	ian55	踢～子
癲	tiɛn33	～鬼
櫼	tsiam33	塞，挤
洇	im55	液体向四周散开或渗透
奔	pun55	投～
炖	tun33	～鸡
詢	sun21	咨～，～问
圳	tsun55	深～；田中小沟
吩	fun33	～咐
畚	pun55	～箕，～斗
踭	tsaŋ33	脚后跟，脚～
坼	sak1	裂开，爆～
戟	kit1	巴～（中药，鸡肠风）
崠	tuŋ55	山～（山脊），屋～（屋脊）
嫲	ma21	雌性
揸	tsa33	拿
脢	mɔi21	背～（背部），～肉（背脊肉）
髀	pi31	大～（大腿）
褸	lau33	大～
竇	tɛu55	鸟～
竇	tɛu55	鼻～炎；姓
腩	nam21	肚～
腍	nɛm21	绵软
桁	haŋ21	檩子，承重的横木
乜	mak1	什么
斫	tsɔk1	砍，～树
簕	nɛt1	刺
罌	aŋ33	小口大肚的瓶子
腈	tsiaŋ33	好，腈肉（瘦肉）
擗	fit1	扔弃
壢	lak5	地～（旱地）
瀝	lak1	坑
焗	kuk5	盐～鸡
摝	luk1	搅拌，～水
熝	luk5	烫，～人
唔	mm̍	不
啱	ŋam33	合适，恰巧
嫽	liau55	玩耍
噍	tsʰiau55	嚼
梘	kian31	肥皂，香～
擸	lap1	叠起（散乱的碗）[动]；一～碗[量]
浼	man55	体垢
頦	kɔi33	脖子前面部分，大～
猋	piau33	跳，快走
縈	iaŋ33	～线（绕线）
涿	tuk1	淋雨
罅	la55	缝，手指～
珓	kʰau33	圣～
糝	sam31	饭～（饭粒）
惶	fɔŋ21	害怕
跔	kʰu21	蹲
癐	kʰɔi55	累，疲乏
