#漢字	音標	解釋
腿	tʰɔi35	腿 腿部
退	tʰɔi33	退 退后
隊	tɔi31	队 队伍
內	lɔi31	内 内外
雷	l∅y11	雷 雷公；姓
儡	l∅y13	儡 傀儡
累	l∅y31	累 极困；劳累
催	tʃʰ∅y53	催 催眠
崔	tʃʰ∅y53	崔 姓
罪	tʃ∅y31	罪 犯罪
碎	ʃ∅y33	碎 破碎
盔	fui53	盔 头盔
魁	fui53	魁 魁悟
恢	fui53	恢 恢复
傀	kwɐi35	傀 傀儡
塊	fai33	块 块状
桅	ŋɐi11	桅 桅杆
灰	fui53	灰 灰色
賄	kʰui35	贿 贿赂
悔	fui33	悔 后悔
晦	fui13	晦 晦气
回	wui11	回 回去
茴	wui11	茴 茴香
匯	wui31	汇 汇报
潰	kʰui35	溃 溃疡
煨	wui53	煨 煨番薯
蛻	tʰɔi33	蜕 蝉蜕；蜕变
最	tʃ∅y33	最 最好
會	wui33	会 会不会
劊	kʰui35	刽 刽子手
檜	kʰui35	桧 秦桧
外	ŋɔi31	外 外面
會	wui31	会 会计
會	wui35	会 开会
繪	kʰui35	绘 绘画
乖	kwai53	乖 小孩听话
怪	kwai33	怪 奇怪
懷	wai11	怀 胸怀
槐	kwʰɐi11	槐 槐树
淮	wai11	淮 淮河
壞	wai31	坏 好坏
拐	kwai35	拐 拐卖
掛	kwa33	挂 挂钩
卦	kwa55	卦 卜卦；八卦
歪	wai53	歪 歪斜
畫	wa35	画 油画
蛙	wa55	蛙 青蛙
快	fai33	快 快点；快车
筷	fai33	筷 筷子
話	wa31	话 说话
脆	tʃʰ∅y33	脆 干脆
歲	ʃ∅y33	岁 万岁
贅	tʃ∅y31	赘 入赘
稅	ʃ∅y33	税 税收
芮	j∅y31	芮 姓
鱖	kwɐi33	鳜 鳜鱼
衛	wɐi31	卫 卫生
銳	j∅y31	锐 尖锐
廢	fɐi33	废 废品
肺	fɐi33	肺 猪肺
吠	fɐi31	吠 狗叫、狗吠
穢	wɐi33	秽 污秽
圭	kwɐi55	圭 人名用字
閨	kwɐi55	闺 闺房
桂	kwɐi33	桂 桂花
奎	fui53	奎 人名用字
攜	kwʰɐi11	携 携带
惠	wɐi31	惠 优惠
慧	wɐi33	慧 智慧
碑	pei53	碑 石碑
卑	pʰei35	卑 卑鄙
彼	pʰei35	彼 彼此
俾	pʰei13	俾 俾使
臂	pei33	臂 手臂
披	pʰei53	披 披上
譬	pei35	譬 譬如；譬喻
皮	pʰei11	皮 果皮
疲	pʰei11	疲 疲劳
脾	pʰei11	脾 脾气
被	pei31	被 被动
婢	pʰei13	婢 婢女
被	pʰei13	被 棉被
避	pei31	避 避开
糜	mui11	糜 糜烂
椅	ji35	椅 椅子
移	ji11	移 移动
易	ji31	易 容易
悲	pei53	悲 悲伤
鄙	pʰei35	鄙 卑鄙
比	pei35	比 对比
秘	pei33	秘 秘密
泌	pei33	泌 分泌
庇	pei33	庇 包庇
痹	pɐi33	痹 麻痹
丕	pʰei55	丕 曹丕
屁	pʰei33	屁 放屁
琵	pʰei11	琵 琵琶
枇	pʰei11	枇 枇杷
備	pei31	备 准备
鼻	pei31	鼻 鼻涕
篦	pei13	篦 篦子（可抓虱子的很密的梳子）
眉	mei11	眉 眉毛
楣	mei11	楣 门楣
黴	mui11	霉 发霉
美	mei13	美 美化
媚	mei11	媚 妩媚
寐	mei31	寐 梦寐以求
地	tei31	地 土地
尼	lɐi31	尼 尼姑
膩	lei31	腻 油腻
梨	lei11	梨 雪梨
履	l∅y13	履 履行
利	lei31	利 有利
痢	lei31	痢 痢疾
資	tʃi53	资 资本
姿	tʃi53	姿 姿势
咨	tʃi53	咨 咨询
姊	tʃi35	姊 姊妹
次	tʃʰi33	次 名次
瓷	tʃʰi11	瓷 陶瓷
糍	tʃʰi11	糍 糍粑；糯米糍
自	tʃi31	自 自己
私	ʃi53	私 自私
死	ʃei35	死 死亡
四	ʃei33	四 四个
肆	ʃi33	肆 放肆
致	tʃi33	致 导致
遲	tʃʰi11	迟 迟到
稚	tʃi31	稚 幼稚
師	ʃi53	师 老师
獅	ʃi55	狮 狮子
脂	tʃi55	脂 脂肪
旨	tʃi35	旨 奉旨
指	tʃi35	指 手指
至	tʃi33	至 至少
示	ʃi31	示 启示
尸	ʃi53	尸 死尸
屎	ʃi35	屎 狗屎
視	ʃi31	视 近视
嗜	ʃi33	嗜 嗜好
二	ji31	二 第二
貳	ji31	二 二心
飢	ki53	饥 饥饿
肌	ki53	肌 肌肉
几	ki55	几 茶几
冀	kei33	冀 河北简称；希冀
器	hi33	器 武器
棄	hi33	弃 放弃
祁	kʰi11	祁 祁连山
伊	ji53	伊 伊犁
夷	ji11	夷 化险为夷
姨	ji55	姨 阿姨
姨	ji11	姨 姨丈
你	lei13	你 你们
厘	lei11	厘 厘米
狸	lei11	狸 狐狸
李	lei13	李 姓
里	lei13	里 公里
裏	l∅y13	里 里面
理	lei13	理 道理
鯉	lei13	鲤 鲤鱼
吏	lei31	吏 官吏
兹	tʃi53	兹 公文用语
滋	tʃi53	滋 滋润
子	tʃi35	子 孔子；子孙
梓	tʃi35	梓 桑梓
慈	tʃʰi11	慈 慈悲
磁	tʃʰi11	磁 磁铁
字	tʃi31	字 文字
司	ʃi53	司 公司
絲	ʃi55	丝 丝绸
思	ʃi53	思 思念
伺	ʃi53	伺 伺机应变
思	ʃi53	思 意思
辭	tʃʰi11	辞 告辞
詞	tʃʰi11	词 歌词
祠	tʃʰi11	祠 祠堂
似	tʃʰi13	似 相似
巳	tʃi31	巳 地支第六
寺	tʃi31	寺 寺庙
飼	tʃi31	饲 饲养
置	tʃi33	置 布置
癡	tʃʰi53	痴 痴呆
恥	tʃʰi35	耻 耻辱
持	tʃʰi11	持 坚持
痔	tʃi31	痔 痔疮
治	tʃi31	治 治安
滓	tʃɔi35	滓 渣滓
廁	tʃʰi33	厕 厕所
士	ʃi31	士 士兵
仕	ʃi31	仕 仕途
柿	tʃʰi11	柿 柿子
事	ʃi31	事 事情
使	ʃi33	使 大使馆
使	ʃɐi35	使 使用
史	ʃi35	史 历史
