#漢字	音標	解釋
鵡	vu44	鹉：鹦～
務	mu51	务：任～，～农
霧	mu51	雾：大～
縷	leu31	缕：千丝万～
屢	lui44	屡：～次，～教不改
趨	ʦ'ɿ44	趋：～势
取	ʦ'ɿ31	取：～钱
娶	ʦ'ɿ31	娶：嫁～
趣	ʦ'ɿ51	趣：兴～
聚	ʦ'ɿ44	聚：～会
聚	ʦ'iu44	聚：捡～（收拢）[白]
須	sɿ44	须：必～
鬚	sɿ44	须：胡～
需	sɿ44	需：～要
續	suk5	续：连～，继～
誅	ʦu44	诛：天～地灭
蛛	ʦu44	蛛：蜘～
株	ʦu44	株：守～待兔
駐	ʦu51	驻：～扎
註	ʦu51	注：～释
廚	ʦ'u24	厨：～房
櫥	ʦ'u24	橱：碗～
柱	ʦ'u44	柱：柱子
住	ʦ'u51	住：～宿
雛	ʦ'u24	雏：～形
數	su31	数：～落，～星星[动]
數	su51	数：～字，～学
朱	ʦu44	朱：姓
珠	ʦu44	珠：珍～
主	ʦu31	主：～人，地～
注	ʦu51	注：～意
蛀	ʦu51	蛀：～虫
鑄	ʦu51	铸：～铁，～钢
樞	su44	枢：中～，～纽
輸	su44	输：～赢
戍	sut3	戍：～边
輸	su44	输：运～
殊	su24	殊：特～
豎	su51	竖：横～
樹	su51	树：～立，种～
儒	jʮ24	儒：～家思想
乳	iui	乳：哺～，母～[文]
乳	iui44	乳：食～（吃奶），麦～精[训]
拘	ki44	拘：～留
倶	k'i44	俱：～备，～乐部
矩	ki31	矩：规～，～形
句	ki51	句：～号
區	k'i44	区：地～，～别
驅	k'i44	驱：先～，～动
具	k'i51	具：～体
懼	k'i51	惧：恐～
愚	ni24	愚：～蠢，～公移山
虞	ni24	虞：姓，～姬
娛	ŋu51	娱：～乐
遇	ni51	遇：遭～，相～，～到
寓	ni51	寓：～言；公～
迂	jɿ44	迂：～回，～腐
于	jɿ24	于：姓；等～
吁	sɿ44	吁：气喘～～，长～短叹
雨	jɿ31	雨：落～，谷～，～水
宇	jɿ51	宇：～宙
禹	jɿ24	禹：大～治水
羽	jɿ31	羽：～毛球
芋	jʯ51	芋：芋头
逾	jɿ51	逾：超过，～期
愉	jɿ51	愉：～快
愈	jɿ51	愈：病～
喩	jɿ51	喻：比～
裕	jɿ51	裕：富～
獃	tai44	呆：书～子，发～[文]
獃	ŋɔi24	呆：发～[白]
戴	tai51	戴：姓；～帽
胎	t'ɔi44	胎：双胞～，～盘
台	t'ɔi24	台：天台
態	t'ai51	态：～度，心～
貸	t'ɔi51	贷：～款
臺	t'ɔi24	台：～湾
苔	t'ɔi24	苔：青～，舌～
抬	t'ɔi24	抬：两个人抬
待	t'ɔi51	待：等～，～人接物
怠	tɔi51	怠：～慢，～工
殆	tɔi51	殆：百战不～
代	t'ɔi51	代：～替，～表
逮	tai51	逮：～捕
袋	t'ɔi51	袋：袋子
乃	nai44	乃：安～近；人名用字
耐	nai51	耐：～力，～心，忍～
來	lɔi24	来：过～，～去
災	ʦai44	灾：水～
栽	ʦai44	栽：种，～培
宰	ʦai31	宰：～相
載	ʦai31	载：一年半～
再	ʦai51	再：～来
載	ʦɔi51	载：～重
猜	ʦ'ai44	猜：～谜
彩	ʦ'ai31	彩：～色
採	ʦ'ai31	采：～集
睬	ʦ'ai31	睬：理睬
菜	ʦ'ɔi51	菜：煮～，青～
才	ʦ'ɔi24	才：人～，～气，秀～
材	ʦ'ɔi24	材，药～，～料
財	ʦ'ɔi24	财，发～
裁	ʦ'ɔi24	裁，～纸，剪～
纔	ʦ'ɔi24	才：刚～
在	ʦ'ai51	在：实～，现～[文]
在	ʦ'ai51	在：存在，还～[白]
載	ʦɔi51	载：满～而归
腮	su44	腮：～腺炎，～红
鰓	sɔi44	鳃：鱼鳃
賽	sai51	赛：比～
該	kɔi44	该：应～
改	kɔi31	改：修～，～正
概	k'ai31	概：大～，～括
溉	k'ai31	溉：灌～
開	hɔi44	开：公～，～门
凱	k'ai31	凯：～旋
慨	k'ai31	慨：慷～，感～
咳	k'et3	咳：～嗽，止～糖浆
呆	tai44	呆：～板
礙	ŋɔi51	碍：妨～
海	hɔi31	海：大～
孩	hai24	孩：～童
亥	hɔi51	亥：辛～革命
哀	ɔi44	哀：悲～
埃	ai44	埃：尘～，～及
愛	ɔi51	爱：～情；要
貝	pui51	贝：宝～
貝	pɔi51	贝：川～，～壳
沛	p'ui51	沛：充～
帶	tai51	带：鞋～
太	t'ai51	太：老～婆
泰	t'ai51	泰：～山
大	t'ai51	大：大小
奈	nai51	奈：无～，～何
賴	lai51	赖：依～，无～；姓
癩	lai51	癞：～蛤蟆[文]
癩	lai51	癞：～哥（癞疮）[白]
蔡	ʦ'ai51	蔡：姓
蓋	kɔi51	盖：～被[动]；盖子[名]
丐	kɔi51	丐：～帮
艾	ai51	艾：姓；～滋病
艾	ŋai51	艾：艾草
害	hɔi51	害：～人
藹	ai31	蔼：和～，宋～龄
拜	pai51	拜：结～，礼～，～佛
排	p'ai24	排：～队
埋	mai24	埋：～伏
齋	ʦai44	斋：食～（吃斋）
豺	sai24	豺：～狼
皆	kai44	皆：～大欢喜
階	kai44	阶：台～，～级
介	kai51	介：～绍，中～
界	kai51	界：世～
芥	kai51	芥：～菜
尬	kai51	尬：尴～
疥	kai44	疥：～疮
屆	kai51	届：第一～
戒	kai51	戒：～烟，猪八～
楷	k'ai31	楷：～书，～模
諧	hai31	谐：和～
駭	hai51	骇：惊～，～人听闻
械	hai51	械：机～
挨	ai44	挨：～打，～近
擺	pai31	摆：摇～
派	p'ai51	派：正～，～出所
牌	p'ai24	牌：～坊，～匾[文]
牌	p'ai24	牌：打～[白，训]
㵺	p'ai24	排：竹排
罷	p'a51	罢：～工
稗	p'ei51	稗：～草
買	mai44	买：～卖
賣	mai51	卖：买～
奶	nai44	奶：二～，～牛
債	ʦai51	债：欠～
釵	ʦ'ai44	钗：宝～
差	ʦ'ai44	差：出～
柴	sai24	柴：姓；火～
篩	sai44	筛：～选，～米
灑	sa31	洒：潇～，～水
佳	ka44	佳：～，～节
街	kai44	街：～路
解	kai31	解：～释，讲～[文]
解	kai31	解：～开[白]
懈	hai51	懈：松～，坚持不～
涯	ŋai24	涯：天～
崖	ŋai24	崖：悬～
捱	ŋai24	捱：难～，～苦
鞋	hai24	鞋：布～
解	kai31	解：懂了，理～，了～
蟹	hai31	蟹：老～
矮	ei31	矮：高矮
敗	p'ai51	败：失～
邁	mai51	迈：豪～，～步
寨	ʦai51	寨：山～，大～
蔽	pi51	蔽：隐～
弊	pi51	弊：作～
幣	pi51	币：人民～
斃	pi51	毙：枪～
例	lei51	例：举～，～外
厲	li51	厉：严～，～害
勵	li51	励：鼓～
祭	ʦɿ51	祭：～祀
際	ʦɿ51	际：国～
滯	ʦ'ei51	滞：停～，湿～（中医）
制	ʦei51	制：～度
製	ʦei51	制：～造
世	sei51	世：～界
世	sei51	世：出～
勢	sei51	势：～力，有权有～
誓	sɿ51	誓：发～
逝	sɿ51	逝：～世
藝	ŋei51	艺：～术，文～晚会
蓖	pi51	蓖：～麻
閉	pi51	闭：关～
箅	pi51	箅：蒸笼中的竹屉
批	p'ei44	批：～评，大～
批	p'ei44	批：螺丝～
陛	pi51	陛：～下
迷	mi24	迷：入～，～路
米	mei31	米：大米
謎	mi24	谜：～语，猜～
低	tei44	低：高～
堤	t'i24	堤：河～，～坝
底	tei31	底：水～
抵	tei31	抵：～押
抵	tei31	抵：用手抵挡
帝	ti51	帝：皇～
梯	t'ɔi44	梯：楼～
蒂	ti51	蒂：花～，并～莲
體	t'i31	体：～育，身～
替	t'ei51	替：代～，～身
涕	t'i51	涕：～泪纵横
剃	t'ei51	剃：～头
屜	t'i51	屉：抽～
題	t'i24	题：～目，难～
提	t'i24	提：～问，～醒
蹄	t'ei24	蹄：马～
啼	t'ei24	啼：哭哭～～[文]
啼	t'ei24	啼：鸡～[白]
弟	t'i51	弟：兄～[文]
弟	t'ei44	弟：弟弟，老～[白]
第	t'i51	第：～一，门～
遞	t'i51	递：传～，邮～员
泥	nei24	泥：水～，地～（地板）
犁	lei24	犁：耕田用具
黎	lei24	黎：～民，～明；姓
禮	li44	礼：～貌
麗	li51	丽：秀～
隸	lei51	隶：奴～，～属
擠	ʦɿ31	挤：拥～，～时间
濟	ʦɿ51	济：～公，经～
妻	ʦ'ɿ44	妻：夫～
砌	ʦ'iɛt3	砌：～墙
齊	ʦ'ei24	齐：～国[文]
齊	ʦ'ei24	齐：整～，放～，来～[白]
背	pɔi51	背：违～，后～
胚	p'ɔi44	胚：～胎
坯	p'ɔi44	坯：泥～，毛～房
配	p'ui51	配：分～，搭～
培	p'ui24	培：～训
陪	p'ui24	陪：～同
賠	p'ɔi24	赔：～钱
裴	p'ui24	裴：姓
倍	p'ui51	倍：～数
佩	p'ui51	佩：～服
背	p'ɔi51	背：～书
焙	p'ɔi51	焙：～火
梅	mɔi24	梅：～花
枚	mɔi24	枚：两～
媒	mɔi24	媒：～人
煤	mɔi24	煤：烧～，～矿
玫	mɔi24	玫：～瑰
每	mui44	每：～只，～日
莓	mɔi24	莓：草～
妹	mɔi51	妹：妹妹，姊～，老～
昧	mui51	昧：愚～，拾金不～
堆	tɔi44	堆：一～[量]，～放[动]
對	tui51	对：～错；成双成～
碓	tɔi51	碓：舂米工具，踏～
推	t'ui44	推：～荐，～动
腿	t'ui31	腿：～部，火～
退	t'ui51	退：后～，～步[文]
退	t'ui51	退：向后退[白]
隊	tui51	队：～伍，排～
內	nui51	内：～行，～外
雷	lui24	雷：打～，～公；姓
累	lui51	累：劳～
催	ʦ'ui44	催：～促，～眠
崔	ʦ'ui44	崔：姓，～莺莺
摧	ʦ'ui44	摧：～残
罪	ʦ'ui51	罪：得～，犯～[文]
罪	ʦ'ui51	罪：～过（可怜、难受）[白]
碎	sui51	碎：～布，破～
盔	k'ui44	盔：头～，～甲
魁	k'ui44	魁：～梧，花～
恢	fɔi44	恢：～复
塊	k'ai51	块：一～钱，～头
桅	ŋui31	桅：～杆
灰	fɔi44	灰：石～，～色
賄	fui51	贿：受～，～赂
悔	fui51	悔：后～
晦	fui51	晦：～气
回	fɔi24	回：～想[文]
回	fɔi24	回：～礼[白]
茴	fɔi24	茴：～香
匯	fui51	汇：～报，～款
潰	k'ui51	溃：～疡，胃～疡
煨	vɔi44	煨：～番薯
蛻	t'ɔi51	蜕：～变，～皮，～壳
兌	tui51	兑：～水，～换
最	ʦui51	最：～好
會	k'ai51	会：～计
劊	k'ui51	刽：～子手
檜	fui51	桧：人名，秦～
外	ŋɔi51	外：～面
會	fui51	会：开～
會	vɔi51	会：～睡，～来
繪	fui51	绘：～图，测～
乖	kai44	乖：小孩听话
怪	kai51	怪：奇～
懷	fai24	怀：～疑
槐	fai24	槐：～树
淮	fai24	淮：～河，～北
壞	fai51	坏：～人
拐	kai31	拐：～卖，铁～李
拐	kai31	拐：～脚（瘸腿）
掛	ka51	挂：～起来，牵～，～钩
卦	ka51	卦：八～
歪	vai44	歪：～风邪气
畫	fa51	画：～图，图～
快	k'ai51	快：～车
筷	k'ai51	筷：公～
話	va51	话：笑～，讲～[文，名]
話	va51	话：讲～[白，名]
話	va51	话：说[白，动]
脆	ʦ'ui51	脆：干～[文]
脆	ʦ'ui51	脆：易断[白]
歲	sɔi51	岁：万～，～月[文]
歲	sɔi51	岁：十～，～数[白]
綴	ʦui51	缀：点～
贅	ʦui51	赘：累～，入～
稅	sɔi51	税：交～，～收
衛	vui51	卫：～生
銳	iui31	锐：尖～，～角
廢	fui51	废：～品，作～
肺	p'ui51	肺：猪～
吠	p'ɔi51	吠：狗～
穢	fui51	秽：淫～，污～
圭	kui44	圭：人名用字；乌拉～
閨	kui44	闺：～房
桂	kui51	桂：～花
奎	k'ui24	奎：人名用字；～宁（药名）
攜	siɛt5	携：～带，提～
惠	fui51	惠：～州，优～
慧	fui51	慧：智～
碑	pi44	碑：石～，～文
卑	pi44	卑：自～，～鄙
臍	ʦ'i24	脐：肚～，～带
劑	ʦɿ51	剂：一～药，药～
西	sɿ44	西：东西南北
棲	sɿ44	栖：两～动物
犀	sɿ44	犀：～牛
洗	sei31	洗：～菜，～衣机
細	sei51	细：粗细，大小
婿	sei51	婿：女～
雞	kei44	鸡：～公（公鸡）
稽	k'ei51	稽：～查，滑～
計	kei51	计：～算，会～
繼	kei51	继：～续，～承
繫	pɔŋ31	系：～皮带
髻	ki51	髻：发髻；鸡～（鸡冠）
溪	k'ei44	溪：～水
啟	k'ei31	启：～发
契	k'ei51	契：房～，～约
倪	ni24	倪：姓，～萍
奚	hei44	奚：～落
兮	sɿ44	兮：神经～～
系	hei51	系：中文～，～统
繫	hei51	系：联～
係	hei51	系：关～[文]
係	hei51	系：是[白]
杯	pui44	杯：茶～
輩	pui51	辈：～分，长～
山	san44	山
產	ʦ'an31	产：生～
殺	sat3	杀：～人，自～
艱	kian44	艰：～苦
