#漢字	音標	解釋
矩	tɕi31	矩：规～，～形
句	tɕi45	句：～号
區	tɕʰi22	区：地～，～别
驅	tɕʰi22	驱：先～，～动
具	tɕʰi31	具：～体
懼	tɕʰi31	惧：恐～
愚	i41	愚：～蠢，～公移山
娛	ŋu41	娱：～乐
遇	ȵi31	遇：遭～，相～，～到
寓	ȵi31	寓：～言；公～
于	i41	于：姓；等～
雨	i31	雨：落～，谷～，～水
宇	i41	宇：～宙
羽	i31	羽：～毛球
芋	i45	芋：芋头
愉	i31	愉：～快
愈	i31	愈：病～
喩	i31	喻：比～
裕	i31	裕：富～
獃	tai22	呆：书～子，发～[文]
獃	ŋɔi41	呆：发～[白]
戴	tai45	戴：姓；～帽
胎	tʰɔi22	胎：双胞～，～盘
台	tʰɔi41	台：天台
態	tʰai45	态：～度，心～
貸	tʰɔi31	贷：～款
臺	tʰɔi41	台：～湾
苔	tʰɔi22	苔：青～，舌～
抬	tɔi41	抬：两个人抬
待	tʰɔi31	待：等～，～人接物
怠	tʰɔi31	怠：～慢，～工
代	tʰɔi31	代：～替，～表
逮	tʰi45	逮：～捕
袋	tʰɔi31	袋：袋子
乃	nai45	乃：安～近；人名用字
耐	nai31	耐：～力，～心，忍～
來	lɔi41	来：过～，～去
災	tsai22	灾：水～
栽	tsɔi45	栽：种，～培
宰	tsai31	宰：～相
載	tsai45	载：一年半～
再	tsai45	再：～来
載	tsɔi45	载：～重
猜	tsʰai22	猜：～谜
採	tsʰai31	采：～集
睬	tsʰɔi31	睬：理睬
菜	tsʰɔi45	菜：煮～，青～
才	tsʰɔi41	才：人～，～气，秀～
裁	tsʰɔi41	裁，～纸，剪～
纔	tsʰɔi41	才：刚～
在	tsʰai31	在：实～，现～[文]
在	ʦʰɔi22	在：存在，还～[白]
載	tsɔi45	载：满～而归
鰓	sɔi22	鳃：鱼鳃
賽	ʃɔi45	赛：比～
該	kɔi22	该：应～
改	kɔi31	改：修～，～正
概	kʰai31	概：大～，～括
溉	kʰai31	溉：灌～
開	kʰɔi22	开：公～，～门
凱	kʰai31	凯：～旋
慨	kʰai31	慨：慷～，感～
咳	kʰen31	咳：～嗽，止～糖浆
呆	tai22	呆：～板
礙	ŋɔi31	碍：妨～
海	hɔi31	海：大～
孩	hai41	孩：～童
亥	hɔi31	亥：辛～革命
哀	ai22	哀：悲～
埃	ai22	埃：尘～，～及
愛	ɔi45	爱：～情；要
貝	pei45	贝：宝～
帶	tai45	带：鞋～
太	tʰai45	太：老～婆
泰	tʰai45	泰：～山
大	tʰai31	大：大小
奈	nai31	奈：无～，～何
賴	lai31	赖：依～，无～；姓
癩	lai31	癞：～蛤蟆[文]
癩	lat031	癞：～哥（癞疮）[白]
蔡	ʦʰai45	蔡：姓
蓋	kɔi45	盖：～被[动]；盖子[名]
丐	kʰɔi45	丐：～帮
艾	ai45	艾：姓；～滋病
艾	ŋei45	艾：艾草
害	hɔi31	害：～人
拜	pai45	拜：结～，礼～，～佛
排	pʰai41	排：～队
埋	mai41	埋：～伏
齋	tsai22	斋：食～（吃斋）
豺	sai41	豺：～狼
皆	kai22	皆：～大欢喜
階	kai22	阶：台～，～级
介	kai45	介：～绍，中～
戒	kai45	戒：～烟，猪八～
楷	kai22	楷：～书，～模
械	hai31	械：机～
挨	ai22	挨：～打，～近
擺	pai31	摆：摇～
派	pʰai45	派：正～，～出所
牌	pʰai41	牌：～坊，～匾[文]
牌	pʰai41	牌：打～[白，训]
㵺	pʰai41	排：竹排
罷	pʰa31	罢：～工
稗	pʰa31	稗：～草
買	mai22	买：～卖
賣	mai31	卖：买～
奶	nai22	奶：二～，～牛
債	tsai45	债：欠～
差	tsʰai22	差：出～
柴	ʦʰai41	柴：姓；火～
篩	tsʰei22	筛：～选，～米
灑	ʃa31	洒：潇～，～水
佳	kai22	佳：～人，～节
街	kai22	街：～路
解	kai31	解：～释，讲～[文]
解	kei31	解：～开[白]
涯	ŋai41	涯：天～
崖	ŋai41	崖：悬～
捱	ŋai41	捱：难～，～苦
鞋	hai41	鞋：布～
解	kai31	解：懂了，理～，了～
蟹	hai31	蟹：老～
矮	ei31	矮：高矮
敗	pʰai31	败：失～
寨	tsai45	寨：山～，大～
蔽	pi45	蔽：隐～
弊	pi45	弊：作～
幣	pʰi31	币：人民～
斃	pi45	毙：枪～
例	lei31	例：举～，～外
厲	li31	厉：严～，～害
勵	li31	励：鼓～
際	ʦi45	际：国～
滯	tsʰei31	滞：停～，湿～（中医）
制	tsɿ45	制：～度
世	sɿ45	世：～界
世	sɿ45	世：出～
勢	sɿ45	势：～力，有权有～
誓	sɿ31	誓：发～
逝	sɿ45	逝：～世
藝	ŋei31	艺：～术，文～晚会
蓖	pi22	蓖：～麻
閉	pi45	闭：关～
批	pʰei22	批：～评，大～
批	pei22	批：螺丝～
迷	mi41	迷：入～，～路
米	mi31	米：大米
謎	mi41	谜：～语，猜～
低	tei22	低：高～
堤	tʰi41	堤：河～，～坝
底	tei31	底：水～
抵	tei31	抵：～押
抵	tei31	抵：用手抵挡
帝	ti45	帝：皇～
梯	tʰɔi22	梯：楼～
體	tʰi31	体：～育，身～
替	tʰei45	替：代～，～身
剃	tʰei45	剃：～头
題	tʰi41	题：～目，难～
提	tʰi41	提：～问，～醒
蹄	tʰei41	蹄：马～
啼	tʰei41	啼：鸡～[白]
弟	tʰi31	弟：兄～[文]
弟	tʰei22	弟：弟弟，老～[白]
第	tʰi31	第：～一，门～
遞	tʰi45	递：传～，邮～员
泥	nei41	泥：水～，地～（地板）
犁	lei41	犁：耕田用具
黎	lei41	黎：～民，～明；姓
禮	li22	礼：～貌
麗	li31	丽：秀～
隸	li31	隶：奴～，～属
濟	tsi45	济：～公，经～
妻	tsʰi22	妻：夫～
齊	tsʰei41	齐：整～，放～，来～[白]
臍	tsʰi41	脐：肚～，～带
劑	tsi45	剂：一～药，药～
西	si22	西：东西南北
犀	si22	犀：～牛
洗	sei31	洗：～菜，～衣机
細	sei45	细：粗细，大小
婿	sei45	婿：女～
雞	kei22	鸡：～公（公鸡）
計	kei45	计：～算，会～
繼	ʨi45	继：～续，～承
繫	kei22	系：～皮带
髻	tɕi45	髻：发髻；鸡～（鸡冠）
溪	kʰei22	溪：～水
啟	tɕʰi31	启：～发
契	kʰei45	契：房～，～约
系	hei45	系：中文～，～统；关～[文]
