#漢字	音標	解釋
鰐	ʔɔk3	鳄：～鱼
鄂	ʔɔk3	鄂：湖北简称
囥	piaŋ31	囥：藏
昂	ʔɔŋ31	昂：～首挺胸，气～～
抗	k'ɔŋ31	抗：反～，～战
糠	k'ɔŋ44	糠：谷～
慷	k'ɔŋ24	慷：～慨
擱	kɔk5	搁：耽～
康	k'ɔŋ44	康：健～
閣	kɔk5	阁：～楼；～下
杠	kɔŋ31	杠：高低～
各	kɔk5	各：～人
缸	kɔŋ44	缸：水～
鋼	kɔŋ31	钢：炼～，～笔
綱	kɔŋ44	纲：～常，大～
剛	kɔŋ44	刚：～才，～好
崗	kɔŋ44	岗：站～，～位
岡	kɔŋ44	冈：井～山（地名）
索	sɔk5	索：绳子，线～
喪	sɔŋ44	丧：～失
嗓	sɔŋ44	嗓：金～子
喪	sɔŋ44	丧：婚～，～事
桑	sɔŋ44	桑：～叶
昨	ts'ɔk3	昨：昨天
鑿	ts'ɔk3	凿：用凿子凿
臟	ts'ɔŋ44	脏：内～
藏	ts'ɔŋ51	藏：西～，～族
藏	ts'ɔŋ51	藏：隐～
錯	ts'ɔ31	错：～开，～杂
蒼	ts'ɔŋ44	苍：～白
倉	ts'ɔŋ44	仓：～库
作	tsɔk5	作：工～，种～
葬	tsɔŋ31	葬：埋～，落～
髒	tsɔŋ44	脏：肮～
贓	tsɔŋ44	赃：～款，贪～枉法
樂	lɔk3	乐：～观，快～
絡	lɔk5	络：联～
洛	lɔk5	洛：～阳（地名）
駱	lɔk5	骆：～驼
烙	lɔk5	烙：～印
落	lɔk3	落：下落
浪	lɔŋ44	浪：风～，～费
朗	lɔŋ31	朗：～诵，明～
螂	lɔŋ51	螂：螳～
狼	lɔŋ51	狼：～狈，豺～
廊	lɔŋ51	廊：走～
郞	lɔŋ51	郎：新～；姓，～平
諾	niɔk3	诺：承～，～言
度	tɔk5	度：思～
囊	nɔŋ51	囊：背～
鐸	ts'ak5	铎：木铎；人名用字，郑振～
盪	t'ɔŋ44	荡：过水，～嘴，～碗[白]
蕩	t'ɔŋ24	荡：放～，扫～
塘	t'ɔŋ51	塘：鱼～
唐	t'ɔŋ51	唐：～朝；姓
糖	t'ɔŋ51	糖：白～
棠	t'ɔŋ51	棠：海～
螳	t'ɔŋ51	螳：～螂
堂	t'ɔŋ51	堂：～兄，拜～，课～
托	t'ɔk5	托：手承物，～盘
託	t'ɔk5	托：～词，推～
趟	t'ɔŋ24	趟：两～
燙	t'ɔŋ44	烫：～手
躺	t'ɔŋ24	躺：平～
倘	sɔŋ44	倘：～使
湯	t'ɔŋ44	汤：煮～；姓
檔	tɔŋ31	档：～案
當	tɔŋ44	当：～铺，恰～；唔～（不如）
擋	tɔŋ24	挡：阻～，～风
襠	nɔŋ44	裆：裤～[白]
黨	tɔŋ24	党：入～，～员
襠	nɔŋ44	裆：裤～
當	tɔŋ44	当：～时，应～，～官
摸	mɔ24	摸：～来～去[白]
摸	mɔ24	摸：偷偷～～[文]
寞	mɔk5	寞：寂～
膜	mɔk5	膜：薄～
幕	mɔk5	幕：报～，～布
蟒	mɔŋ31	蟒：～蛇
莫	mɔk3	莫：不要，～非
莽	mɔŋ31	莽：鲁～
茫	mɔŋ51	茫：白～～，～然
芒	mɔŋ51	芒：～种[节气]
忙	mɔŋ51	忙：农～，～碌
泊	p'ak5	泊：停～，淡～
薄	p'ɔk3	薄：不厚，～弱
傍	pɔŋ24	傍：～菜（以菜送饭）
傍	p'ɔŋ51	傍：～晚
螃	p'ɔŋ51	螃：～蟹
泊	p'ak5	泊：梁山～
旁	p'ɔŋ51	旁：～边
滂	p'ɔŋ51	滂：～沱
博	pɔk5	博：～士，广～
謗	pɔŋ24	谤：诽～
幫	pɔŋ44	帮：～忙
榜	pɔŋ24	榜：～样
暈	hun51	晕：～车，头～[训]
運	vun44	运：～气，好～
韻	zɿn44	韵：押～，～律
雲	vun51	云：乌～
云	vun51	云：古人～
熨	tɔŋ44	熨：～斗[训]
