#漢字	音標	解釋
綢	tsʰiu55	绸：～缎，丝～
宙	tsʰiu35	宙：宇～
鄒	tsiu31	邹：姓，～家华
皺	tsiu31	皱：～纹
愁	tsʰiu55	愁：～眉苦脸
搜	sɛu31	搜：～查
瘦	sɛu51	瘦：肥瘦
周	tsiu31	周：姓；～围，～年
醜	tsʰiu51	丑：不好看，出～
臭	tsʰiu51	臭：～味
收	ʃiu31	收：丰～，～集
手	ʃiu51	手：～脚，～段
獸	ʃiu51	兽：野～
仇	tsʰiu55	仇：～人，报～
壽	ʃiu35	寿：长～
九	kiu51	九：数字，～龙
救	kiu51	救：～命
求	kʰiu55	求：要～
舅	kʰiu31	舅：～公
舊	kʰiu35	旧：新～
牛	ŋiu55	牛：～牯
休	hiu31	休：～息，退～
有	ʒiu31	有：～钱
右	ʒiu35	右：左～
油	ʒiu55	油：麻～
丟	tiu31	丢：～失
答	tap031	答：回～
貪	tʰam31	贪：～心
探	tʰan35	探：试～
南	nam55	南：东南西北
納	nap055	纳：归～
參	tsʰam31	参：～军，～加
慘	tsʰam51	惨：悲～
蠶	tsʰam55	蚕：～丝
雜	tsʰap055	杂：复～
鴿	kap031	鸽：白～
砍	kʰam51	砍：～伤
含	ham55	含：包～[文]
含	ham55	含：～糖[白]
合	hap055	合：～作，～适[文]
合	kap031	合：～本，～伙[白]
庵	am31	庵：尼姑～
揞	ɛt031	揞：手覆，揞住
暗	am51	暗：不亮
擔	tam31	担：～任[动]
擔	tam31	担：～竿[名]
膽	tam51	胆：大～
塔	tʰap031	塔：宝～
痰	tʰam55	痰：吐～
淡	tʰam35	淡：～水（地名）
淡	tʰam31	淡：咸～；浓～
籃	lam55	篮：菜～
欖	lam51	榄：橄～，乌～
臘	lap055	腊：～肉，～肠
暫	tsʰam35	暂：～时
甘	kɔn31	甘：甜；～心
敢	kam51	敢：勇～
斬	tsam51	斩：白～鸡
蘸	vun51	蘸：～豉油
插	tsʰap031	插：～花
杉	sam31	杉：～树
夾	kiap055	夹：夹子；～心饼干
恰	kʰap055	恰：～切，～当
鹹	ham55	咸：～淡
陷	ham35	陷：～害，～井
衫	sam31	衫：衬～，～裤（衣服）
鑑	kɔĩ51	鉴：～定
甲	kap031	甲：天干，甲乙丙丁
巖	ŋam55	岩：～石，石灰～
鴨	ap031	鸭：鸭子
壓	ʒap031	压：～力
鐮	liam55	镰：镰刀，禾～
獵	liap055	猎：打～，～人
尖	tsiam31	尖：～刀
接	tsiap031	接：迎～，～待
籤	tsʰiam31	签：竹～，求～
潛	tsʰian51	潜：～力
漸	kʰian35	渐：逐～
捷	tsiap031	捷：～报，大～，敏～
沾	tsam31	沾：～光
佔	tsʰam35	占：～领，～地方
摺	tʃap031	折：～被，～叠
閃	ʃam51	闪：～开
攝	ʃa35	摄：～影
涉	siap055	涉：～及
染	ʒam51	染：污～
檢	kiam51	检：～查，体～
鉗	kʰiam55	钳：～工，火～
儉	kiam51	俭：勤～
險	hiam51	险：危～，保～
掩	ʒan35	掩：～护
厭	ʒam51	厌：讨～
鹽	ʒam55	盐
葉	ʒap055	叶：树～；姓
劍	tsiam51	剑：宝～
劫	tsiap031	劫：抢～
欠	kʰiam51	欠：～钱，拖～
嚴	ŋiam55	严：～格；姓
業	ŋiap055	业：事～，～余
醃	ʒam31	腌：腌制
點	tam51	点：～心，～头
店	tam51	店：开～
跌	tat031	跌：～打
添	tʰam31	添：～加，～丁
貼	tʰiap031	贴：补～
貼	tap031	贴：～纸，～对联[动]
甜	tʰam55	甜
碟	tiat055	碟：盛具，碟子
念	nam35	念：～经，怀～
兼	kian31	兼：～职
謙	kʰiam31	谦：～虚
