#漢字	音標	解釋
齊	ʦʰɛ213	齊
臍	ʦʰi213	臍
劑	ʦɛ45	劑
西	se45	西
犀	si45	犀
洗	sɛ31	洗
細	sɛ33	細
婿	sɛ33	婿
雞	kɛ45	雞
稽	kʰɛ45	稽
計	kɛ33	計
繼	kɛ33	繼
繫	hai33	繫
髻	ki33	髻
溪	kʰɛ33	溪
啓	kʰɛ31	啓
契	tʰɛ33	契
倪	ji213	倪
系	hai31	系
繫	hai33	繫
係	hɛ33	係
杯	pui45	杯
輩	pui33	輩
背	pui33	背
胚	pui33	胚
坯	pʰɔi45	坯
配	pʰui33	配
培	pʰui31	培
陪	pʰui213	陪
賠	pʰui31	賠
裴	fui31	裴
倍	pʰui31	倍
佩	pʰui33	佩
背	pui33	背
焙	pʰui31	焙
梅	mui213	梅
枚	mui213	枚
媒	mui31	媒
煤	mei213	煤
玫	mui45	玫
莓	mui213	莓
每	mui45	每
妹	mui33	妹
昧	mui33	昧
堆	tɔi45	堆
對	tui33	對
推	tʰui45	推
腿	tʰui31	腿
退	tʰui33	退
隊	tui33	隊
內	nui33	内
雷	lui213	雷
累	kui31	累（训读）
催	ʦʰui45	催
崔	ʦʰui45	崔
罪	ʦʰui33	罪
碎	sui33	碎
盔	kʰui45	盔
魁	kʰui213	魁
恢	fui33	恢
塊	kʰai33	塊
桅	ŋɔi213	桅
灰	fɔi45	灰
賄	kʰui31	賄
悔	fui31	悔
晦	fui31	晦
回	fui213	回
茴	fui213	茴
匯	fui33	匯
潰	kʰui33	潰
煨	vɔi45	煨
蛻	tʰɔi31	蜕
兌	jɐt055	兑（误读）
最	ʦʰui33	最
會	fui33	會
劊	kʰui33	劊
檜	kʰui33	檜
外	ŋɔi33	外
會	fui33	會
會	fui33	會
繪	kʰui33	繪
乖	kuai45	乖
怪	kuai33	怪
懷	fai213	懷
槐	kʰui213	槐
淮	fai213	淮
壞	fai33	壞
拐	kuai31	拐
掛	kua33	掛
卦	kua33	卦
歪	vai45	歪
畫	fa33	畫
蛙	va45	蛙
快	kʰuai33	快
筷	kʰuai33	筷
話	va33	話
脆	ʦʰui33	脆
歲	sɔi33	歲
贅	ʦui33	贅
稅	sɔi33	税
衛	vui31	衛
銳	ȵui31	鋭
廢	fui33	廢
肺	fui33	肺
閨	kui45	閨
桂	kui33	桂
奎	kʰui213	奎
攜	kʰui213	携
惠	ȵui33	惠
慧	ȵui33	慧
碑	pi45	碑
卑	pi45	卑
彼	pi31	彼
俾	pʰi213	俾
臂	pi33	臂
披	pʰi45	披
皮	pʰi213	皮
疲	pʰi213	疲
脾	pi45	脾
被	pʰi45	被
婢	pʰi213	婢
被	pʰi45	被
避	pʰei31	避
彌	mi33	彌
離	li213	離
籬	li213	籬
璃	li33	璃
荔	lei45	荔
離	li33	離
紫	ʦɿ31	紫
雌	ʦʰi45	雌
此	ʦʰi31	此
刺	ʦʰi33	刺
斯	sɿ45	斯
撕	sɿ45	撕
璽	sai31	璽
徙	tʰui213	徙（误读）
賜	si33	賜
知	ʦi33	知
蜘	ʦi33	蜘
智	ʦi33	智
池	ʦʰi213	池
馳	ʦʰi213	馳
篩	sɛ213	篩
支	ʦi45	支
枝	ʦi45	枝
肢	ʦɿ45	肢
紙	ʦi31	紙
只	ʦɛk031	只
侈	ʦʰi213	侈
舐	tʰiam31	舐
施	si33	施
翅	ʦʰi33	翅
匙	si213	匙
是	si31	是
氏	si33	氏
豉	si33	豉
兒	ji213	兒
寄	ki33	寄
企	kʰi31	企
奇	kʰi213	奇
騎	kʰi213	騎
岐	kʰi213	岐
徛	kʰi213	徛
技	kʰi33	技
妓	ʦi45	妓
宜	ȵi213	宜
儀	ȵi33	儀
蟻	ŋɛ33	蟻
誼	ȵi213	誼
義	ȵi33	義
議	ȵi33	議
犧	hi45	犧
戲	hi33	戲
倚	hi45	倚
椅	ji213	椅
移	ji213	移
易	ji33	易
悲	pui45	悲
鄙	pʰi31	鄙
比	pi31	比
秕	pʰaŋ33	秕(训读)
秘	pi33	秘
泌	pi33	泌
庇	pi31	庇
痹	pi33	痹
丕	pui45	丕
屁	pʰi33	屁
琵	pʰi213	琵
枇	pʰei45	枇
備	pʰi31	備
鼻	pʰi33	鼻
篦	piŋ45	篦
眉	mei213	眉
楣	mei213	楣
黴	mɔi213	霉
美	mi45	美
媚	mei45	媚
地	tʰei33	地
尼	nei213	尼
梨	lei213	梨
利	li33	利
痢	li33	痢
資	ʦi45	資
姿	ʦi45	姿
咨	ʦi45	咨
姊	ʦi31	姊
次	ʦʰi33	次
瓷	ʦʰi213	瓷
糍	ʦʰi213	糍
自	ʦʰi33	自
私	si45	私
死	si31	死
四	si33	四
肆	si33	肆
致	ʦi33	致
遲	ʦʰi213	遲
稚	ʦʰi33	稚
師	si45	師
獅	si45	獅
脂	ʦi45	脂
旨	ʦi31	旨
指	ʦi31	指
至	ʦi33	至
示	si33	示
尸	si45	尸
屎	si31	屎
視	si33	視
嗜	ʦʰɛ33	嗜
二	ȵi33	二
貳	ȵi33	貳
飢	ki45	飢
肌	ki45	肌
几	ki31	几
器	hei33	器
棄	hei33	棄
伊	i45	伊
夷	i213	夷
姨	i213	姨
姨	i213	姨
你	nei213	你
厘	lei213	厘
狸	li213	狸
李	li31	李
里	li31	里
裏	li31	裏
理	li45	理
鯉	li45	鯉
吏	li33	吏
兹	ʦʰi213	兹
滋	ʦi45	滋
子	ʦi31	子
梓	siŋ45	梓
慈	ʦʰi213	慈
磁	ʦʰi213	磁
字	si33	字
司	si45	司
絲	si45	絲
思	si33	思
伺	si33	伺
思	si45	思
辭	ʦʰi213	辭
詞	ʦʰi213	詞
祠	ʦʰi213	祠
似	ʦʰi33	似
祀	si33	祀
巳	ki33	巳
寺	ʦʰi213	寺
嗣	ʦʰi213	嗣
飼	ʦʰi213	飼
置	ʦi33	置
癡	ʦʰi45	癡
恥	ʦʰi31	耻
持	ʦʰi213	持
痔	ʦi33	痔
治	ʦʰi31	治
廁	ʦʰi33	厠
士	si33	士
仕	si33	仕
柿	si33	柿
事	si33	事
使	si31	使
使	si31	使
史	si31	史
駛	si31	駛
之	ʦi33	之
芝	ʦi45	芝
止	ʦi31	止
趾	ʦi31	趾
址	ʦi31	址
志	ʦi33	志
誌	ʦi33	誌
痣	ʦi33	痣
齒	ʦʰi31	齒
詩	si33	詩
始	ʦʰi31	始
試	si33	試
時	si213	時
市	si33	市
恃	ʦʰi213	恃
侍	si33	侍
而	ȵi213	而
耳	ȵi31	耳
餌	ȵi31	餌
基	ki33	基
箕	ki33	箕
己	ki31	己
紀	ki33	紀
紀	ki33	紀
記	kei33	記
欺	hei33	欺
起	hi31	起
杞	kei31	杞
其	kʰi213	其
棋	kʰi213	棋
期	kʰi213	期
旗	kʰi213	旗
忌	ki33	忌
