#漢字	音標	解釋
攤	t'an33	摊：分～，～开，摆～
炭	t'an212	炭：烧～
彈	t'an31	弹：～琴
達	t'at3	达：发～，～到
難	nan31	难：困～
捺	nai54	捺：撇～
蘭	lan31	兰：～花
懶	lan31	懒：懒惰，～尸
爛	lan54	烂：灿～，腐～
辣	lat3	辣：～椒
贊	tsan212	赞：称～，～助
餐	ts'an33	餐：～车，快～
殘	ts'an31	残：～废
散	san24	散：药～
散	san212	散：分～，解～
亁	kɔn33	干：烘～，饼～
趕	kɔn24	赶：追～
幹	kɔn212	干：～部，才～
割	kɔt5	割：～禾（割稻）
看	k'ɔn54	看：看见
渴	hɔt5	渴：口渴；～望
岸	ŋɔn54	岸：口～，两～
寒	hɔn31	寒：大～，～流
汗	hɔn54	汗：出～，～马功劳
安	ɔn33	安：公～，～全
案	ɔn212	案：～件，档～
扮	pan212	扮：打～
八	pat5	八：数字
辦	p'an54	办：～事
拔	pat3	拔：～河，选～
盞	tsan24	盏：灯～（灯）
紮	tsat5	扎：～紧，驻～
鏟	ts'an24	铲：～草
察	ts'at5	察：观～
山	san33	山
產	ts'an24	产：生～
殺	sat5	杀：～人，自～
間	kan33	间：房～，中～
揀	kan24	拣：挑选
眼	ŋan31	眼：双～皮
閑	han31	闲：～事，空～
限	han54	限：期～，～制
班	pan33	班：上～
板	pan24	板：黑～，石～
蠻	man31	蛮：不听话；野～
慢	man54	慢：～车
顏	ŋan31	颜：姓；～色
雁	ŋan54	雁：大～
瞎	hat3	瞎：～目
變	pian212	变：～化，改～
鼈	p'ie54	鳖：甲鱼
篇	p'ian33	篇：一～文章
便	p'ian31	便：～宜
辨	p'an54	辨：分～，～别
便	p'ian54	便：方～
別	p'iet3	别：离～，分～
棉	mian31	棉：～花
免	mian31	免：难～，～除
面	mian54	面：～子
滅	miet3	灭：消～，～亡
聯	lian31	联：～系；对～
烈	lyɔt3	烈：～士，热～
煎	tsian33	煎：～药，～鱼
剪	tsian24	剪：～刀
箭	tsian212	箭：射～
淺	ts'ian24	浅：深～
錢	ts'ian31	钱：～财
賤	ts'ian54	贱：下～，～人
仙	sian33	仙：神～
癬	sian24	癣：发～（生癣）
線	sian212	线：～索
展	tsian24	展：开～，发～
撤	ts'iɛt5	撤：～退
纏	ts'ian31	缠：纠～，～线
戰	tsian212	战：～斗
折	tsiɛt5	折：～断，打～
舌	siɛt3	舌：舌头
設	siɛt5	设：～计，建～
善	sian55	善：～良，心～
然	jian31	然：～后，居～
熱	niɛt3	热：冷～，～情
乾	k'yɔn31	乾：～坤，～隆
件	k'ian54	件：事～
傑	k'iɛt3	杰：～出
延	jian31	延：～长，～安
演	jian31	演：～员，表～
建	kyɔn31	建：～设
揭	k'yɔt5	揭：～发，～露
言	yɔn31	言：语～
獻	hyɔn212	献：贡～
歇	k'yɔt5	歇：～夜（过夜）
邊	pian33	边：～疆，旁～
扁	pian24	扁：圆扁
片	p'ian212	片：一～，～面
撇	p'iɛt5	撇：～捺，～开
顚	tian33	颠：～倒
典	tian24	典：～型，词～
天	t'ian33	天：～才
鐵	t'iɛt5	铁：～皮
田	t'ian31	田：种～
電	t'ian54	电：触～，～灯
墊	tian212	垫：～钱，座～
年	nian31	年：过～
捏	niɛp5	捏：以指尖捏取小面积
練	lian54	练：～习，熟～
薦	tsian212	荐：推～
節	tsiɛt5	节：～约，竹～
千	ts'ian33	千：～万
切	ts'iɛt5	切：～菜
截	ts'iɛt3	截：～断
先	sian33	先：祖～，～进，～生
見	kian212	见：～人，～识
潔	kiɛt5	洁：～白，清～
牽	hian33	牵：～牛花
硏	ŋan31	研：～究
顯	hian24	显：明～
賢	hian31	贤：～惠，圣～
現	hian54	现：～在，出～
煙	ʔian33	烟：冒～
燕	jian212	燕：燕子，～窝
搬	pɔn33	搬：～运
半	pɔn212	半：一～，～日
鉢	pɔt5	钵：花～（花盆），衣～
潘	p'ɔn33	潘：姓
判	p'ɔn54	判：～断，审～
潑	p'ɔt5	泼：～水；泼辣
盤	p'ɔn31	盘：算～
叛	p'an54	叛：～徒，背～
滿	mɔn212	满：～意
末	mɔt3	末：～尾
短	tɔn24	短：长～
脫	t'ɔt5	脱：～鞋，摆～
團	t'ɔn31	团：～结，～长
斷	t'ɔn212	断：线断了[白]
段	t'ɔn54	段：姓；阶～
奪	t'ɔt3	夺：～取
暖	nɔn212	暖：冷～
卵	lɔn24	卵：鸡～（鸡蛋），～生
亂	lɔn54	乱：混～
捋	lɔt3	捋：捋袖子
鑽	tsɔn212	钻：电～[名]，～石
撮	tsiɛp5	撮：一～毛
酸	sɔn33	酸：～甜
蒜	sɔn212	蒜：大蒜，蒜头
官	kɔn33	官：～司，当～
