#漢字	音標	解釋
室	sɐt053	室：室内，教室
辰	sɐn21	辰：地支，辰光，时辰
晨	sɐn21	晨：早晨
臣	sɐn21	臣：大臣，臣服
腎	sɐn13	肾：身体
愼	sɐn22	慎：谨慎，慎重
人	jɐn21	人：人民，老人
仁	jɐn21	仁：仁义，桃仁
忍	jɐn35	忍：忍住，忍受
認	jen22	认：认得，承认
刃	jɐn22	刃：刀刃
韌	ŋɐn33	韧：不易断
日	jet022	日：日期，日头，一日
巾	kɐn53	巾：毛巾
緊	kɐn35	紧：松紧，紧张
吉	kɐt053	吉：吉利，大吉
僅	kɐn35	仅：仅仅，不仅
銀	ŋɐn21	银：银子，银行
釁	jɐn35	衅：挑衅
因	jɐn53	因：原因，因素
姻	jɐn53	姻：婚姻
印	jɐn33	印：手印，图章
乙	jøt033	乙：天干
一	jɐt053	一：一定，一个
寅	jɐn21	寅：地支
引	jɐn35	引：吸引，牵引，引诱，引逗
逸	jet022	逸：劳逸结合，孙逸仙
斤	kɐn53	斤：斤两
筋	kɐn53	筋：牛筋，筋骨
謹	kɐn35	谨：谨慎，严谨
勁	ŋeŋ22	劲：有劲
訖	ŋɐt022	讫：收讫
乞	hɐt053	乞：乞讨
勤	kʰɐn21	勤：辛勤，勤劳
芹	kʰɐn21	芹：芹菜，水芹
近	kɐn22	近：远近，近期
欣	jɐn53	欣：欣欣向荣
殷	jɐn53	殷：姓，殷勤
隱	jɐn35	隐：隐蔽，隐身
癮	jɐn13	瘾：烟瘾
奔	pɐn53	奔：奔跑
本	pun35	本：本来，书本
不	pɐt053	不：否定，不过
噴	pʰɐn33	喷：喷水
盆	pʰun21	盆：脸盆，盆地
笨	pɐn22	笨：笨蛋
脖	put022	脖：脖子
勃	put022	勃：蓬勃，勃然
門	mun21	门：关门，门票
悶	mun22	闷：气闷，闷热
沒	mut022	没：出没
敦	tɐn53	敦：敦厚，伦敦
墩	tɐn53	墩：桥墩
頓	tɐn22	顿：顿脚，停顿
褪	tʰɐn33	褪：褪戒指
屯	tʰøn21	屯：屯田
豚	tʰøn21	豚：海豚，河豚
飩	tʰɐn53	饨：馄饨
臀	tʰøn21	臀：臀部，窟臀
盾	tʰɐn13	盾：矛盾，盾牌
鈍	tɐn22	钝：迟钝，刀钝
突	tɐt022	突：突出，突然
凸	tɐt022	凸：凸起
嫩	løn22	嫩：不老，稚嫩
論	lɐn22	论：论语
侖	lɐn21	仑：昆仑
論	lɐn22	论：讨论，论文
尊	tsun53	尊：尊敬，钵头
卒	tsɐt053	卒：兵卒
村	tsʰøn53	村：村庄
寸	tsʰøn33	寸：尺寸
猝	tsʰøt033	猝：仓猝，猝死
存	tsʰøn21	存：存折，储存
孫	søn53	孙：姓，子孙
損	søn35	损：损坏，破损
遜	sɐn33	逊：谦逊
昆	kʰun53	昆：昆明，昆仑山，昆仲
滾	kʰun35	滚：滚动，水开，骂人话
棍	kuɐn33	棍：棍棒
骨	kuɐt053	骨：骨头，骨气
坤	kʰun53	坤：乾坤
綑	kʰun35	捆：捆住
困	kʰun33	困：困难
睏	fɐn33	睏：睡觉
窟	fɐt053	窟：窟窿，窟臀
昏	vɐn53	昏：昏倒，黄昏
婚	fɐn53	婚：结婚，婚姻
忽	vɐt053	忽：忽然
魂	vɐn21	魂：鬼魂，魂灵
餛	vɐn21	馄：馄饨
渾	vɐn22	浑：水浑，浑浊
混	vɐn22	混：混淆，相混
核	vɐt022	核：桃核
溫	vɐn53	温：温度，温和
瘟	vɐn53	瘟：鸡瘟，瘟鸡
穩	vɐn35	稳：稳定，求稳
倫	lɐn21	伦：天伦之乐，伦理
淪	lɐn21	沦：沦为，沉沦
輪	lɐn21	轮：车轮，轮子，轮流，轮到
律	lɐt022	律：纪律，法律
率	lɐt022	率：效率
遵	tsɐn53	遵：遵守
俊	tsɐn33	俊：英俊
詢	sɐn53	询：询问，咨询
筍	sɐn35	笋：竹笋
榫	sɐn35	榫：榫头
迅	sɐn33	迅：迅速，鲁迅
浚	tsɐn33	浚：浚河
戌	sɐt053	戌：戊戌变法
恤	sɐt053	恤：体恤，抚恤
旬	tsʰɐn21	旬：十天，上旬
循	tsʰɐn21	循：遵循，循环
巡	tsʰɐn21	巡：巡逻，出巡
殉	sɐn53	殉：以身殉职
椿	tsʰɐn53	椿：香椿
朮	sɐt022	朮：白朮
率	sɐt053	率：率领
蟀	sɐt053	蟀：蟋蟀
準	tsɐn35	准：看准，瞄准
准	tsɐn35	准：准确
圳	tsɐn33	圳：田中小沟
春	tsʰɐn53	春：春秋，立春
蠢	tsʰɐn35	蠢：愚蠢，蠢货
出	tsʰɐt053	出：出去，出发
脣	sɐn21	唇：嘴唇，唇舌
盾	tʰɐn13	盾：矛盾
順	sɐn22	顺：顺利，顺风
述	sɐt022	述：叙述，述职
術	sɐt022	术：技术，算术
舜	sɐn33	舜：尧舜
純	sɐn21	纯：单纯，纯粹
醇	sɐn21	醇：酒醇
閏	jɐn22	闰：闰月
潤	jɐn22	润：滋润
鈞	kun53	钧：千钧一发
均	kʰuɐn53	均：平均，均匀
橘	kuɐt053	橘：橘子
菌	kʰun35	菌：细菌
勻	vɐn21	匀：均匀，搅匀
允	vɐn13	允：允许
尹	vɐn13	尹：姓
分	fɐn53	分：分开，区分
吩	fɐn53	吩：吩咐
粉	fɐn35	粉：面粉，粉笔
糞	pɐn33	粪：猪粪，粪箕
奮	fɐn13	奋：勤奋，奋斗
芬	fɐn53	芬：芬芳
紛	fɐn53	纷：纷繁，纠纷
彿	fɐt053	彿：仿佛
焚	fɐn21	焚：焚烧
墳	fɐn21	坟：坟墓，上坟
憤	fɐn13	愤：愤怒
忿	fɐn13	忿：忿忿不平
份	fɐn22	份：一份，份量
佛	fɐt022	佛：佛像，阿弥陀佛
文	mɐn21	文：文章，论文
紋	mɐn21	纹：花纹，纹路
蚊	mɐn53	蚊：蚊虫，蚊香
聞	mɐn21	闻：新闻，耳闻
吻	mɐn13	吻：接吻
刎	mɐn13	刎：自刎
問	mɐn22	问：问问题
勿	mɐt022	勿：
物	mɐt022	物：物什，物理
君	kun53	君：君子
軍	kun53	军：军队，参军
屈	vɐt053	屈：委屈，屈服，路弯曲
羣	kʰun21	群：群众，一群人
裙	kʰun21	裙：裙子
郡	kun22	郡：
倔	kuɐt022	倔：倔强
掘	kuɐt022	掘：挖掘
熏	fɐn53	熏：熏陶
勳	fɐn53	勋：勋章
葷	vɐn22	荤：荤菜
薰	fɐn53	薰：薰衣草
燻	fɐn53	熏：烟熏
訓	fɐn33	训：教训，训人
云	vɐn21	云：诗云
雲	vɐn21	云：乌云，白云
耘	vɐn21	耘：耘田，耕耘
韻	vɐn13	韵：押韵，韵味
運	vɐn22	运：走运，运气，运输
暈	vɐn21	晕：晕车，头晕
幫	pɔŋ53	帮：帮忙，相帮
榜	pɔŋ35	榜：发榜，榜样
謗	pɔŋ35	谤：诽谤
博	pɔk033	博：博士，渊博
滂	pʰɔŋ21	滂：滂沱
泊	pɔk022	泊：梁山泊
旁	pʰɔŋ21	旁：旁边，两旁
螃	pɔŋ22	螃：螃蟹
傍	pʰɔŋ21	傍：傍晚，傍热
泊	pɔk022	泊：停泊，漂泊
薄	pɔk022	薄：厚薄，薄弱
忙	mɔŋ21	忙：很忙，农忙，忙碌
芒	mɔŋ21	芒：芒种
茫	mɔŋ21	茫：茫茫，茫然
莽	mɔŋ13	莽：王莽，鲁莽
蟒	mɔŋ13	蟒：蟒蛇
莫	mɔk022	莫：莫非
膜	mɔk022	膜：薄膜
幕	mɔk022	幕：幕布，谢幕
寞	mɔk022	寞：寂寞
摸	mɔ35	摸：偷偷摸摸
當	tɔŋ53	当：应当，当官
黨	tɔŋ35	党：共产党，党员
擋	tɔŋ35	挡：阻挡，挡风
當	tɔŋ33	当：当铺，典当
檔	tɔŋ33	档：档案，横档
湯	tʰɔŋ53	汤：喝汤，姓
倘	tʰɔŋ13	倘：倘使
躺	tʰɔŋ13	躺：躺下
燙	tʰɔŋ33	烫：很烫，烫发
趟	tʰɔŋ13	趟：去一趟
托	tʰɔk033	托：托盘，枪托
託	tʰɔk033	讬：托词，寄托
堂	tʰɔŋ21	堂：堂兄，拜堂
棠	tʰɔŋ21	棠：海棠
螳	tʰɔŋ21	螳：螳螂
唐	tʰɔŋ21	唐：姓，唐朝
糖	tʰɔŋ21	糖：白糖，糖果
塘	tʰɔŋ21	塘：池塘
蕩	tɔŋ22	荡：放荡，荡秋千
鐸	tɔk022	铎：屋檐下结的长棱形冰柱（凙），犁铎
囊	lɔŋ21	囊：行囊
諾	lɔk022	诺：承诺，诺言
郞	lɔŋ21	郎：郎中，新郎
廊	lɔŋ21	廊：走廊，廊柱
狼	lɔŋ21	狼：动物，狼狈
螂	lɔŋ21	螂：蟑螂，螳螂
朗	lɔŋ13	朗：明朗，朗读，稀疏
浪	lɔŋ22	浪：风浪，浪费
落	lɔk022	落：落下，下落
洛	lɔk022	洛：洛阳
駱	lɔk022	骆：骆驼，姓
樂	lɔk022	乐：快乐，乐观
絡	lɔk022	络：联络，箩络
贓	tsɔŋ53	赃：赃物，贪赃
髒	tsɔŋ33	脏：肮脏
葬	tsɔŋ33	葬：埋葬，葬身
作	tsɔk033	作：工作，作坊
倉	tsʰɔŋ53	仓：谷仓，仓库
蒼	tsʰɔŋ53	苍：苍白，苍蝇
艙	tsʰɔŋ53	舱：船舱
錯	tsʰɔ33	错：错杂
藏	tsʰɔŋ21	藏：隐藏，捉迷藏
藏	tsɔŋ22	藏：西藏，藏族
臟	tsɔŋ22	臟：五脏，内脏
鑿	tsɔk022	凿：用凿子凿
昨	tsɔk022	昨：昨天
桑	sɔŋ53	桑：桑树，桑叶
喪	sɔŋ33	丧：婚喪，丧事
嗓	sɔŋ53	嗓：嗓子
喪	sɔŋ33	丧：丧失，沮丧
索	sɔk033	索：绳索，索性
剛	kɔŋ53	刚：刚刚，刚好
崗	kɔŋ53	岗：站岗，岗位
綱	kɔŋ53	纲：上纲上线
鋼	kɔŋ33	钢：钢铁，炼钢
缸	kɔŋ53	缸：水缸
鋼	kɔŋ33	钢：刀鈍了，加钢钢刀
槓	kɔŋ33	杠：抬物用具
各	kɔk033	各：各位
閣	kɔk033	阁：阁下，阁老
擱	kɔk033	搁：搁脚，耽搁
康	hɔŋ53	康：康复，健康
糠	hɔŋ53	糠：谷糠，砻糠
慷	hɔŋ53	慷：慷慨
抗	kʰɔŋ33	抗：反抗，抗战
昂	ŋɔŋ21	昂：昂首，气昂昂
鄂	ŋɔk022	鄂：湖北简称
鰐	ŋɔk022	鰐：鳄鱼
腭	ŋɔk022	腭：上腭
郝	ŋɔk022	郝：姓
行	hɔŋ21	行：银行，行当
航	hɔŋ21	航：航行，起航
杭	hɔŋ21	杭：杭州
鶴	hɔk022	鹤：仙鹤
惡	ɔk033	恶：凶恶，恶毒
娘	lœŋ21	娘：爹娘，娘舅
釀	jœŋ22	酿：酒酿，酿酒
良	lœŋ21	良：良好，优良
凉	lœŋ21	凉：风凉，凉快
量	lœŋ21	量：量尺寸
糧	lœŋ21	粮：粮食，口粮
梁	lœŋ21	梁：姓，梁山
粱	lœŋ21	粱：高粱
兩	lœŋ13	两：两个
兩	lœŋ35	两：斤两
亮	lœŋ22	亮：天亮，亮光
諒	lœŋ22	谅：原谅，谅解
輛	lœŋ35	辆：一辆车
量	lœŋ22	量：数量，气量
略	lœk022	略：战略，略微
掠	lœk022	掠：抢掠，掠夺
將	tsœŋ53	将：将来
漿	tsœŋ53	浆：米浆，浆糊
蔣	tsœŋ35	蒋：姓，蒋介石
奬	tsœŋ35	奖：奖品，得奖
槳	tsœŋ35	桨：划桨
醬	tsœŋ33	酱：酱油，辣酱
將	tsœŋ33	将：大将
爵	tsœk033	爵：爵位
雀	tsœk033	雀：打麻雀（麻将），吃谷雀，雀雀儿，麻雀
槍	tsʰœŋ53	枪：手枪，长枪
搶	tsʰœŋ35	抢：抢东西
鵲	tsœk033	鹊：喜鹊
牆	tsʰœŋ21	墙：墙壁，砌墙
匠	tsœŋ22	匠：匠人，木匠
嚼	tsœk033	嚼：嚼碎，咀嚼
相	sœŋ53	相：互相，相帮
箱	sœŋ53	箱：箱子，皮箱
廂	sœŋ53	厢：厢房，车厢
湘	sœŋ53	湘：湖南简称
襄	sœŋ53	襄：襄阳
鑲	sœŋ53	镶：镶牙
想	sœŋ35	想：思考，想念
相	sœŋ33	相：相貌，看相
削	sœk033	削：削皮，剥削
詳	tsʰœŋ21	详：详细
祥	tsʰœŋ21	祥：慈祥
象	tsœŋ22	象：大象
像	tsœŋ22	像：像章，相像
張	tsœŋ53	张：姓，一张纸
長	tsœŋ35	长：省长，长高
漲	tsœŋ33	涨：涨价，涨潮
帳	tsœŋ33	帐：蚊帐，帐子
脹	tsœŋ33	胀：吃胀，肿胀
賬	tsœŋ33	账：算账，账簿
着	tsœk033	着：着衣裳，一着棋，着棋
暢	tsʰœŋ33	畅：通畅，畅快
長	tsʰœŋ21	长：长短，长春，天长地久
腸	tsʰœŋ21	肠：大肠，肠胃
場	tsʰœŋ21	场：晒场，场地
丈	tsœŋ22	丈：一丈，老丈人
仗	tsœŋ33	仗：打仗，炮仗
杖	tsœŋ35	杖：拐杖
着	tsœk022	着：着地，碰着，着火，着力
莊	tsɔŋ53	庄：村庄，庄稼
裝	tsɔŋ53	装：装货，假装
妝	tsɔŋ53	妆：化妆，妆扮
壯	tsɔŋ33	壮：胖也，强壮，壮大
瘡	tsʰɔŋ53	疮：生疮，痔疮
闖	tsʰɔŋ35	闯：闯祸
創	tsʰɔŋ33	创：创造，开创
牀	tsʰɔŋ21	床：睡觉用，桌子，机床
狀	tsɔŋ22	状：告状，状元
霜	sœŋ53	霜：落霜，霜降
孀	sœŋ53	孀：孤孀
爽	sɔŋ35	爽：直爽，爽快
章	tsœŋ53	章：文章，姓
樟	tsœŋ53	樟：樟树
蟑	tsœŋ53	蟑：蟑螂
掌	tsœŋ35	掌：巴掌，掌握
障	tsœŋ33	障：保障，障碍
瘴	tsœŋ53	瘴：瘴气
酌	tsœk033	酌：斟酌、酌情
斫	tsan35	斫：用刀斧等砍或削，斫樵
昌	tsʰœŋ53	昌：人名用字
菖	tsʰœŋ53	菖：菖蒲
娼	tsʰœŋ53	娼：娼妓
廠	tsʰɔŋ35	厂：办厂，厂长
唱	tsʰœŋ33	唱：唱歌，歌唱
倡	tsʰœŋ53	倡：提倡，倡议
綽	tsʰœk033	绰：绰号，绰绰有余
商	sœŋ53	商：商量，商业
傷	sœŋ53	伤：受伤，伤害
賞	sœŋ35	赏：欣赏，赏赐
晌	hœŋ35	晌：晌午
餉	hœŋ35	饷：军饷
常	sœŋ21	常：经常，常山，常识
嘗	sœŋ21	尝：尝味道
裳	sœŋ21	裳：衣裳
償	sœŋ21	偿：赔偿，偿还
上	sœŋ13	上：动词，上去
尙	sœŋ22	尚：和尚，高尚
上	sœŋ22	上：方位，上面
勺	tsœk033	勺：饭勺，勺子
芍	tsœk033	芍：芍药
壤	jœŋ22	壤：土壤
攘	jœŋ22	攘：攘外安内
讓	jœŋ22	让：让他，让座
若	jœk022	若：若无其事，倘若
弱	jœk022	弱：弱点，衰弱
箬	jœk022	箬：裹粽子用
疆	kœŋ53	疆：新疆，疆域
僵	kœŋ53	僵：冻僵，僵硬
薑	kœŋ53	姜：生姜
繮	kœŋ53	缰：缰绳
姜	kœŋ53	姜：姓，姜太公
脚	kœk033	脚：赤脚，八脚蟢
卻	kʰœk033	却：却步，退却
强	kʰœŋ21	强：坚强，强调
强	kʰœŋ13	强：勉强，倔強
仰	jœŋ13	仰：仰视，瞻仰，景仰
虐	jœk022	虐：虐待
瘧	jœk022	疟：疟疾，疟子
香	hœŋ53	香：香气，吃香
鄕	hœŋ53	乡：乡下，城乡
享	hœŋ35	享：分享，享受
響	hœŋ35	响：响亮，音响
向	hœŋ33	向：向前，方向
央	jœŋ53	央：中央（中间，党中央）
秧	jœŋ53	秧：秧苗，插秧
殃	jœŋ53	殃：遭殃，殃及
約	jœk033	约：大约，约定
羊	jœŋ21	羊：动物
洋	jœŋ21	洋：海洋，洋气
楊	jœŋ21	杨：杨树，姓
陽	jœŋ21	阳：太阳，阳光
揚	jœŋ21	扬：发扬，扬名
瘍	jœŋ21	疡：溃疡
養	jœŋ13	养：养猪，饲养
癢	jœŋ13	痒：身上痒
樣	jœŋ22	样：样子，一样
藥	jœk022	药：吃药，药片
躍	jœk033	跃：大跃进，跳跃
光	kɔŋ53	光：阳光，光滑，光棍，吃光
廣	kɔŋ35	广：广东，推广
郭	kɔk033	郭：姓
曠	kʰɔŋ33	旷：旷课，旷工
廓	kʰɔk033	廓：轮廓
擴	kʰɔŋ33	扩：扩充，扩大
荒	fɔŋ53	荒：荒地，荒唐
慌	fɔŋ53	慌：心慌，慌忙
謊	fɔŋ53	谎：说谎，谎言
霍	fɔk033	霍：姓，霍乱
藿	fɔk033	藿：藿香
黃	vɔŋ21	黄：姓，黄色
簧	vɔŋ21	簧：弹簧
皇	vɔŋ21	皇：皇帝
蝗	vɔŋ21	蝗：蝗虫
蟥	vɔŋ21	蟥：蚂蟥
凰	vɔŋ21	凰：凤凰
晃	fɔŋ35	晃：日光晃眼，晃动
鑊	vɔk022	镬：锅
汪	vɔŋ53	汪：姓，一汪水
方	fɔŋ53	方：形状，姓，方面，地方
坊	fɔŋ53	坊：作坊
肪	fɔŋ53	肪：脂肪
倣	fɔŋ35	仿：仿效
放	fɔŋ33	放：放屁，放排，放手，解放
芳	fɔŋ53	芳：芳香，闻
妨	fɔŋ21	妨：妨害，无妨
紡	fɔŋ35	纺：纺纱，纺棉花，纺织
仿	fɔŋ35	仿：相仿，仿照
彷	fɔŋ35	彷：仿佛
訪	fɔŋ35	访：采访，访问
房	fɔŋ21	房：楼房，房间
防	fɔŋ21	防：防止，国防
縛	pɔŋ35	缚：缚鞋带
亡	mɔŋ21	亡：死亡，亡人
芒	mɔŋ53	芒：麦芒
網	mɔŋ13	网：鱼网，自投罗网
望	mɔŋ22	望：希望，望见
妄	mɔŋ13	妄：狂妄，妄想
忘	mɔŋ21	忘：忘记，遗忘
筐	hɔŋ53	筐：箩筐
框	hɔŋ53	框：门框
匡	hɔŋ53	匡：赵匡胤
眶	hɔŋ53	眶：眼眶
狂	kʰɔŋ21	狂：发狂，狂人日记
况	fɔŋ33	况：况且，情况
枉	vɔŋ35	枉：冤枉，枉然
王	vɔŋ21	王：姓，称王
往	vɔŋ13	往：来往，往年
旺	vɔŋ22	旺：兴旺，旺盛，火旺
邦	pɔŋ53	邦：刘邦，邦国
綁	pɔŋ35	绑：松绑，捆绑
剝	mɔk053	剥：剥皮，剥削
駁	pɔk022	驳：反驳，驳斥
胖	pun22	胖：胖大海，肥胖
樸	pʰɔk033	朴：朴素，简朴
龐	pʰɔŋ21	庞：姓，庞大
棒	pʰaŋ13	棒：棍子
雹	pɔk022	雹：龙雹，雹子
樁	tsɔŋ53	桩：打桩
卓	tsʰœk033	卓：卓越
桌	tsʰœk033	桌：桌子，书桌
啄	tœk033	啄：啄木鸟，鸡啄米
琢	tœk033	琢：琢磨，雕琢
戳	tsʰɔk033	戳：拿棍子、刀子桶
撞	tsɔŋ22	撞：撞击，碰撞
濁	tsʰok022	浊：清浊
捉	tsʰok053	捉：捉拿，捕捉
窗	tsʰœŋ53	窗：门窗，窗户
鐲	tsok053	镯：镯子、手镯
雙	sœŋ53	双：单双，一双
朔	sɔk033	朔：朔望，朔月（每月初一）
江	kɔŋ53	江：长江，江湖
扛	kʰɔŋ53	扛：肩扛
肛	kɔŋ53	肛：肛门
講	kɔŋ35	讲：讲话，演讲
港	kɔŋ35	港：河，港口
降	kɔŋ33	降：下降，降低
杠	kɔŋ33	杠：同槓，粗棍
角	kɔk033	角：牛角，墙角，角色
餃	kau35	饺：水饺，饺子
覺	kɔk033	觉：知觉，觉得
腔	hɔŋ53	腔：口腔
確	kʰɔk033	确：的确，确定
殼	hɔk033	壳：蛋壳
樂	ŋɔk022	乐：音乐，乐清
嶽	ŋɔk022	岳：五岳
岳	ŋɔk022	岳：姓，岳飞
握	ɐk055	握：握手，掌握
夯	haŋ53	夯：打夯，夯实
降	hɔŋ21	降：投降，降伏
項	hɔŋ22	项：项颈，项链
巷	hɔŋ22	巷：巷战，小巷
學	hɔk022	学：学习，数学
握	ŋɐk053	握：握手，掌握
崩	peŋ53	崩：山崩，崩溃
北	pɐk053	北：南北，北方
朋	pʰaŋ21	朋：亲朋，朋友
墨	mak022	墨：笔墨，墨迹
默	mak022	默：沉默，默写
登	teŋ53	登：攀登，登山
燈	teŋ53	灯：电灯，灯光
等	teŋ35	等：等人，高等
凳	teŋ33	凳：凳子，板凳
得	tɐk053	得：得到，获得，吃得，应该
德	tɐk053	德：道德，德国
藤	tʰeŋ21	藤：藤椅
騰	tʰeŋ21	腾：奔腾，腾空
鄧	teŋ22	邓：姓，邓小平
澄	tsʰeŋ21	澄：水浑，澄一澄
特	tɐk022	特：特别，独特
能	leŋ21	能：能干，才能，能够
棱	leŋ21	棱：棱角
勒	lɐk022	勒：勒紧，勒令
肋	lɐk022	肋：肋排，肋骨
增	tseŋ53	增：增加
曾	tsɐŋ53	曾：姓，曾国藩
憎	tsɐŋ53	憎：憎恨，厌憎
則	tsɐk053	则：否则
蹭	tɐŋ53	蹭：磨蹭，摩擦
層	tsʰɐŋ21	层：楼层，层次
曾	tsʰeŋ21	曾：曾经，不曾
贈	tseŋ22	赠：赠送，馈赠
賊	tsʰɐk022	贼：做贼
僧	tsɐŋ53	僧：唐僧，僧尼会
塞	sɐk053	塞：瓶塞，塞住
肯	heŋ35	肯：不肯，肯定
克	hɐk053	克：克服，攻克
刻	hɐk053	刻：時刻表
刻	hɐk053	刻：用刀刻
黑	hɐk053	黑：黑白，天黑
恆	heŋ21	恒：永恒，恒心
冰	peŋ53	冰：结冰，冰箱
逼	pek053	逼：逼迫，被逼
憑	pʰeŋ21	凭：凭借，文凭
匿	lek053	匿：匿名信
凌	leŋ21	凌：冰凌，凌厉
陵	leŋ21	陵：皇陵，陵园
菱	leŋ21	菱：菱角
力	lek022	力：力量，有力
即	tsek053	即：即刻，立即
鯽	tsek053	鲫：鲫鱼
息	sek053	息：休息，息怒
熄	sek053	熄：熄灭，熄灯
媳	sek053	媳：婆媳，媳妇
徵	tseŋ53	征：征求
澄	tsʰeŋ21	澄：澄清
懲	tsʰeŋ21	惩：惩罚，严惩
橙	tsʰaŋ35	橙：橙子，脐橙
直	tsek022	直：笔直，直接
値	tsek022	值：值得，价值
側	tsɐk053	侧：侧面，侧着睡
惻	tsɐk053	恻：恻隐之心
測	tsʰɐk053	测：测量，观测，居心叵测
色	sek053	色：颜色，色彩
嗇	siɛk033	啬：吝嗇
蒸	tseŋ53	蒸：清蒸，蒸发
拯	tsʰeŋ13	拯：拯救，包拯
證	tseŋ33	证：证明，作证
症	tseŋ33	症：病症，症状
織	tsek053	织：织布，纺织
職	tsek053	职：称职，职务
稱	tsʰeŋ53	称：称呼，称重
稱	tsʰeŋ33	称：相称，称心
秤	tsʰeŋ33	秤：称东西用
乘	seŋ21	乘：乘法，乘坐
繩	seŋ21	绳：绳子，麻绳
塍	tʰeŋ21	塍：田塍
剩	seŋ22	剩：剩菜，剩余
食	sek022	食：吃，食物，粮食
蝕	sek022	蚀：月蚀，腐蚀
升	seŋ53	升：升级，上升
勝	seŋ33	胜：胜任
勝	seŋ33	胜：胜败，战胜
式	sek053	式：式样，样式
識	sek053	识：认识，识别
飾	sek053	饰：装饰，首饰
承	seŋ21	承：承担，继承
丞	seŋ21	丞：丞相
植	tsek022	植：植物，种植
殖	tsek022	殖：繁殖，骨殖
仍	jeŋ21	仍：仍然，仍旧
扔	vɐŋ53	扔：抛，扔掉
棘	kʰek053	棘：荆棘，棘手
極	kek022	极：南极，极其
凝	jeŋ21	凝：鱼、肉汤结冻，凝固
興	heŋ53	兴：兴旺，绍兴
興	heŋ33	兴：高兴，兴趣
應	jeŋ53	应：应该，理应
鷹	jeŋ53	鹰：老鹰，鹰潭
應	jeŋ33	应：答应
抑	jek053	抑：压抑，抑制
憶	jek053	忆：回忆，忆苦思甜
億	jek053	亿：亿万
蠅	jeŋ21	蝇：苍蝇
孕	jɐn22	孕：怀孕，孕妇
翼	jek022	翼：翅膀，机翼
國	kɔk033	国：国家，中国
弘	vɐŋ21	弘：弘扬
或	vɐk022	或：或者，间或
惑	vek022	惑：迷惑，惑众
域	vek022	域：地域
百	pak033	百：一百，百姓
柏	pʰak033	柏：柏树，松柏
伯	pak033	伯：伯伯，伯父
迫	pek053	迫：迫害，压迫
烹	pʰaŋ53	烹：烹调
碰	pʰoŋ33	碰：碰到，碰撞
拍	pʰak033	拍：拍灰，拍照，球拍
珀	pʰak033	珀：琥珀
魄	pʰak033	魄：魂魄，气魄
彭	pʰaŋ21	彭：姓，彭德怀
膨	pʰaŋ21	膨：膨胀
白	pak022	白：颜色，白吃
帛	pak022	帛：财帛
盲	maŋ21	盲：盲人，文盲，捉迷藏
虻	mɔŋ53	虻：牛虻
猛	maŋ13	猛：猛烈，凶猛
孟	maŋ22	孟：姓，孟子，孟尝君
陌	mak022	陌：陌生
打	ta35	打：打人，打发，打针
冷	laŋ13	冷：天冷，冷清
撑	tsʰaŋ53	撑：撑伞，支撑
拆	tsʰak033	拆：拆开，拆卸
宅	tsak022	宅：宅基，某宅
擇	tsak022	择：选择，择菜
澤	tsak022	泽：毛泽东
窄	tsak033	窄：狭窄
生	saŋ53	生：生活，生熟，生小孩
牲	saŋ53	牲：牺牲，畜牲
甥	saŋ53	甥：外甥
笙	saŋ53	笙：乐器
省	saŋ35	省：节省，省长
更	kaŋ53	更：三更，更换
庚	kaŋ53	庚：天干，庚子
羹	kaŋ53	羹：加菜、肉做的糊，调羹
粳	kaŋ53	粳：粳米
哽	kʰɐŋ35	哽：哽住，哽咽
梗	kʰuaŋ35	梗：菜梗，桔梗
埂	kaŋ53	埂：田埂
更	kaŋ33	更：更加
格	kak033	格：格子，出格
坑	haŋ53	坑：挖坑，坑害
客	hak033	客：客人，作客
硬	ŋaŋ22	硬：软硬，硬气
額	ŋak022	额：额头，名额
亨	haŋ53	亨：大亨，亨通
赫	hak033	赫：赫赫有名，显赫
嚇	hak033	吓：恐吓，吓唬
行	haŋ21	行：行为，（车、人）走，
衡	haŋ21	衡：平衡、衡量
杏	heŋ22	杏：银杏、杏仁
行	haŋ21	行：品行
繃	peŋ53	绷：衣服紧绷
浜	pɐn53	浜：沙家浜
逬	pʰeŋ33	迸：迸发，迸裂
擘	mak033	擘：用手擘开
棚	pʰaŋ21	棚：草棚，瓜棚
蚌	pʰɔŋ13	蚌：蚌埠，蚌壳
萌	meŋ21	萌：萌芽
氓	mɐn21	氓：流氓
脈	mak022	脉：把脉
麥	mak022	麦：麦子，大麦
摘	tsak022	摘：摘花，文摘
橙	tsʰaŋ35	橙：甜橙，橙子
爭	tsaŋ53	争：争吵，战争
踭	tsaŋ53	踭：脚后跟，肘节
箏	tsaŋ53	筝：风筝
睜	tsaŋ53	睁：睁眼
責	tsak033	责：责任，负责
冊	tsʰak033	册：书册，册封
策	tsʰak033	策：计策，策略
耕	kaŋ53	耕：耕田，农耕
耿	keŋ35	耿：耿耿于怀，耿饼，姓
革	kak033	革：革命，皮革
隔	kak033	隔：隔开，分隔，隔壁
莖	keŋ33	茎：
幸	heŋ22	幸：幸福，荣幸
核	hat022	核：审核，核对
核	vat022	核：果子核
鶯	eŋ53	莺：黄莺
櫻	jeŋ53	樱：樱桃，樱花
鸚	jeŋ53	鹦：鹦哥，鹦鹉
扼	ak053	扼：扼杀，扼腕
軛	ak033	轭：牛轭（牛耕田时套的人字形工具）
兵	peŋ53	兵：当兵，兵马
丙	peŋ35	丙：天干
