#漢字	音標	解釋
處	tsʰy35	处：处理
處	sy33	处：处所，处里（家里）
書	sy53	书：一本书
舒	sy53	舒：舒服，姓
鼠	sy35	鼠：老鼠
暑	sy35	暑：暑假，中暑
庶	sy33	庶：庶民
恕	sy33	恕：饶恕，恕罪
墅	soi13	墅：别墅
署	tsʰy33	署：署名
薯	tsʰy21	薯：番薯，薯片，山药
如	jy21	如：如果，假如
居	ky53	居：居民
車	ky53	车：车馬炮
舉	køy35	举：举起，举报
據	ky33	据：收据
鋸	kœ33	锯：锯子，锯木头
墟	hy53	墟：墟市，废墟
去	høy33	去：来去，去湿，过去（从前）
渠	kʰøy21	渠：水渠，渠道
佢	køy13	佢：他
拒	ky13	拒：拒绝
距	ky13	距：距离
魚	jy21	鱼：一条鱼
漁	jy21	渔：渔业，渔场
語	jy13	语：语文
御	jy33	御：御用
禦	jy33	御：驾御，防御
虛	hy53	虚：虚心，心虚，肿
噓	hy53	嘘：吹嘘，嘘声
許	høy35	许：姓，许多，许愿，许配，远指“那儿”怎么说，答应别人怎么说
於	jy53	于：在于
淤	jy35	淤：是否用于地名，淤泥，淤塞
余	jy21	余：姓
餘	jy21	余：多余
與	jy13	与：参与，与众不同
譽	jy22	誉：荣誉
預	jy22	预：预报，预备
豫	jy22	豫：河南简称，犹豫
夫	fu53	夫：夫妻，车夫
膚	fu53	肤：皮肤
府	fu13	府：XX府
腑	fu13	腑：五脏六腑
俯	fu13	俯：俯视，俯卧撑
甫	pʰou35	甫：杜甫
脯	pʰou35	脯：明脯（晒干的乌贼），杏脯
斧	fu35	斧：斧头
付	fu22	付：付钱
賦	fu22	赋：天赋，赋予
傅	fu35	傅：姓，
咐	fu33	咐：吩咐、嘱咐
敷	fu53	敷：敷衍，敷药
俘	fu53	俘：俘虏
孵	fu53	孵：孵小鸡
麩	fu53	麸：麦麸
撫	fu13	抚：抚养，安抚，抚恤金
赴	fu22	赴：赴汤蹈火，前赴后继
符	fu21	符：姓，符合，画符
扶	fu21	扶：搀扶，扶贫，扶手
芙	fu21	芙：芙蓉
父	fu22	父：父亲，师父
釜	fu35	釜：破釜沉舟
腐	fu22	腐：豆腐，腐败
輔	fu22	辅：辅导，辅助
附	fu22	附：附近，附带
無	mɐu21	无：没有，无产阶级，无中生有
巫	mɐu21	巫：巫婆，老巫
誣	mɐu21	诬：诬陷，诬告
武	mɐu13	武：武器，武力
舞	mɐu13	舞：跳舞，舞龙
侮	mɐu13	侮：侮辱
鵡	mɐu13	鹉：鹦鹉
務	mɐu22	务：任务，务农
霧	mɐu22	雾：
屢	løy13	屡：屡教不改
趨	tsʰoi53	趋：趋势
取	tsʰoi35	取：取帐（讨债），取名字，赎取，取得
娶	tsʰoi35	娶：
趣	tsʰoi35	趣：趣味，有趣
聚	tsoi22	聚：聚会
須	soi53	须：必须
鬚	sɐu53	须：胡须，锦旗下面垂的须
需	soi53	需：需要，必需品
續	tsok	续：连续
誅	tsy53	诛：天诛地灭
蛛	tsy53	蛛：蜘蛛
株	tsy53	株：一株树，守株待兔
駐	tsy33	驻：驻扎，驻军，驻马店
註	tsy33	註：注释
廚	tsʰy21	厨：厨子，厨头
柱	tsʰy13	柱：柱子，水柱
住	tsy22	住：
雛	tsʰɔ53	雏：雏形
數	sɐu35	数：动词，念珠怎么说
數	sɐu33	数：数目，分数
朱	tsy53	朱：姓
硃	tsy53	硃：朱砂
珠	tsy53	珠：珍珠，眼睛的说法
主	tsy35	主：主人，地主
注	tsy33	注：注意
蛀	tsy33	蛀：衣服被虫蛀了
鑄	tsy33	铸：铸铁，铸镬，铸造
樞	sy53	枢：北斗七星第一星。枢纽
輸	sy53	输：输赢
輸	sy53	输：运输
殊	sy21	殊：特殊
豎	sy22	竖：横竖（笔画）
樹	sy22	树：一棵树，树立
儒	jy21	儒：儒家
乳	jy13	乳：乳房，麦乳精，哺乳
拘	kʰy53	拘：拘留
倶	kʰy53	俱：俱备，俱乐部
矩	ky35	矩：规矩
句	ky33	句：一句话，句子
區	kʰy53	区：地区，区别
驅	kʰy53	驱：先驱，驱动
具	ky22	具：具体，家具
懼	ky22	惧：恐惧，惧怕
愚	jy21	愚：愚蠢，愚公移山
娛	jy21	娱：娱乐
遇	jy22	遇：遇见，遭遇
寓	jy22	寓：公寓，寓言
迂	jy53	迂：迂回
于	jy53	于：于是，姓
雨	jy13	雨：下雨
宇	jy13	宇：宇宙
禹	jy13	禹：大禹
羽	jy13	羽：羽毛
芋	vu22	芋：芋头、芋艿
愉	jy21	愉：愉快
愈	jy22	愈：愈好，病愈
喩	jy22	喻：比喻
裕	jy22	裕：富裕
獃	ŋoi21	呆：发呆
戴	tai33	戴：姓，戴帽
胎	tʰoi53	胎：投胎，双胞胎，胎盘
態	tʰai33	态：态度，心态
貸	tʰai33	贷：借贷，贷款
臺	tʰoi21	台：平台，台湾
台	tʰoi21	台：平台
苔	tʰoi21	苔：青苔，舌苔
抬	tʰoi21	抬：两个人抬
待	toi22	待：等待，待人
怠	tʰoi13	怠：怠慢，怠工
代	toi22	代：代表
袋	toi22	袋：口袋，麻袋
乃	lai13	乃：人名用字
耐	loi22	耐：耐心，忍耐
來	loi21	来：过来，来去
災	tsoi53	灾：水灾，灾难
宰	tsoi53	宰：宰相
載	tsoi33	载：年载
再	tsoi33	再：再来
載	tsoi33	载：载重
猜	tsʰai53	猜：猜谜
彩	tsʰoi35	彩：彩色，五彩
採	tsʰoi35	采：采集
踩	tsai35	踩：踩油门
睬	tsʰoi35	睬：理睬
菜	tsʰoi33	菜：吃菜
纔	tsʰoi21	才：刚才，才来
才	tsʰoi21	才：人才，才气
材	tsʰoi21	材：棺材，材料
財	tsʰoi21	财：财主，发财
裁	tsʰoi21	裁：裁缝，裁纸
在	tsoi22	在：现在，在家
載	tsoi33	载：满载
腮	soi53	腮：脸颊
鰓	soi53	鳃：鱼鳃
賽	tsʰoi33	赛：比赛，赛跑
該	koi53	该：应该，该死
改	koi35	改：修改，改正
概	kʰoi33	概：概括，大概
溉	kʰoi33	溉：灌溉
開	hoi53	开：开门，打开
凱	ʔoi35	凯：凯旋，乐凯
慨	kʰoi33	慨：慷慨，感慨
咳	kʰɐt055	咳：咳嗽
呆	ŋoi21	呆：笨，发呆，痴呆
礙	ŋoi22	碍：妨碍，碍事
海	hoi35	海：大海
孩	hai21	孩：孩子
亥	hoi22	亥：地支末位，辛亥革命
哀	ʔoi53	哀：悲哀，哀悼
埃	ai53	埃：尘埃，埃及
愛	oi33	爱：喜爱，爱情
貝	pui33	贝：宝贝，贝壳
沛	pʰui35	沛：充沛，沛公
帶	tai33	带：鞋带，带东西
太	tʰai33	太：太阳，老太婆
泰	tʰai33	泰：泰山
大	tai22	大：大夫，大黄，大蒜
奈	loi22	奈：无奈，奈何桥
