#漢字	音標	解釋
貪	tʰan55	贪：～心
探	tʰam33	探：试～
南	lam11	南：东南西北
納	lap022	纳：归～
參	tsʰam55	参：～军，～加
慘	tsʰam35	惨：悲～
蠶	tsʰan11	蚕：～丝
雜	tsap022	杂：复～
鴿	kap033	鸽：白～
砍	kʰam35	砍：～伤
含	hɐm11	含：包～[文]
含	hɐm11	含：～糖[白]
合	hap022	合：～作，～适[文]
合	hap022	合：～本，～伙[白]
揞	am33	揞：手覆，揞住
暗	ɐm33	暗：不亮
擔	tam55	担：～任[动]
擔	tam55	担：～竿[名]
膽	tam35	胆：大～
塔	tʰap033	塔：宝～
痰	tʰam11	痰：吐～
淡	tʰan11	淡：～水（地名）
淡	tʰam35	淡：咸～；浓～
籃	lam11	篮：菜～
欖	lam35	榄：橄～，乌～
臘	lap022	腊：～肉，～肠
暫	tsam22	暂：～时
甘	kam55	甘：甜；～心
敢	kam35	敢：勇～
斬	tsyt033	斩：白～鸡
插	tsʰap033	插：～花
杉	tsʰam33	杉：～树
夾	kap033	夹：夹子；～心饼干
恰	haʔ033	恰：～切，～当
鹹	ham11	咸：～淡
陷	hɐm11	陷：～害，～井
衫	sam55	衫：衬～，～裤（衣服）
鑑	kam33	鉴：～定
甲	kap033	甲：天干，甲乙丙丁
巖	gᵑam11	岩：～石，石灰～
鴨	ap033	鸭：鸭子
壓	at033	压：～力
鐮	lim11	镰：镰刀，禾～
獵	lit033	猎：打～，～人
尖	tsim55	尖：～刀
接	tsip033	接：迎～，～待
籤	tsʰim55	签：竹～，求～
潛	tsʰɐm11	潜：～力
漸	tsin22	渐：逐～
沾	tsim55	沾：～光
佔	tsin33	占：～领，～地方
摺	tsit022	折：～被，～叠
閃	sim35	闪：～开
攝	sip033	摄：～影
涉	sit033	涉：～及
染	jim35	染：污～
檢	kim35	检：～查，体～
鉗	kʰim11	钳：～工，火～
儉	him35	俭：勤～
險	him35	险：危～，保～
掩	jim35	掩：～护
厭	jim33	厌：讨～
鹽	jim11	盐
葉	jip022	叶：树～；姓
劍	kim33	剑：宝～
劫	kit033	劫：抢～
欠	him33	欠：～钱，拖～
嚴	jim11	严：～格；姓
業	jip022	业：事～，～余
醃	jip055	腌：腌制
點	tim35	点：～心，～头
店	tim33	店：开～
跌	tit033	跌：～打
添	tʰim55	添：～加，～丁
貼	tʰip033	贴：补～
貼	tʰip033	贴：～纸，～对联[动]
甜	tʰim11	甜
碟	tip022	碟：盛具，碟子
念	lim22	念：～经，怀～
兼	kim55	兼：～职
謙	him55	谦：～虚
嫌	him33	嫌：～弃，～人
協	hit033	协：～会，～作
法	fat033	法：方～
凡	fan11	凡：平～
犯	fan22	犯：～法[文]
品	pɐn35	品：～德
林	lɐm11	林：树～；姓
立	lɐp022	立：～足
粒	lɐp055	粒：三～，颗～
浸	tsʰɐm33	浸：～水
集	tsap022	集：～合，～体
心	sɐm55	心：～肝，内～
尋	tsʰɐm11	寻：～人
沉	tsʰɐm55	沉：～底
參	sɐm55	参：人～
針	tsɐm55	针：～线，～对
枕	tsɐm35	枕：～头[名]；～枕头[动]
汁	tsɐp055	汁：菜～，果～
