#漢字	音標	解釋
腐	hu22	腐：豆～
輔	hu25	辅：～导，～助
附	hu13	附：～近，～带
無	bɔ55	无：没有，～中生有[文]
無	bɔ55	无：没有，～事[白]
巫	bu55	巫：姓；～婆
誣	bu55	诬：～陷，～告
武	bu51	武：～器，～术
舞	bu51	舞：跳～
舞	bu51	舞：拨弄，摆弄[白，动]
侮	bu51	侮：～辱
鵡	bu51	鹉：鹦～
務	bu25	务：任～，～农
霧	bu22	雾：大～
縷	lu51	缕：千丝万～
屢	lu51	屡：～次，～教不改
趨	tsʰu33	趋：～势
取	tsʰu51	取：～钱
娶	tsʰua22	娶：嫁～
趣	tsʰu13	趣：兴～
聚	tsu25	聚：～会
聚	tsu25	聚：捡～（收拢）[白]
須	su33	须：必～
鬚	tsʰiu33	须：胡～
需	su33	需：～要
續	sɔk055	续：连～，继～
誅	tsu33	诛：天～地灭
蛛	tsu33	蛛：蜘～
株	tsu33	株：守～待兔
駐	tsu25	驻：～扎
註	tsu13	注：～释
廚	tou55	厨：～房
櫥	tou55	橱：碗～
柱	tʰiau25	柱：柱子
住	tsu25	住：～宿
雛	tsʰu33	雏：～形
數	siau13	数：～落，～星星[动]
數	siau13	数：～字，～学
朱	tsu33	朱：姓
珠	tsu33	珠：珍～
主	tsu51	主：～人，地～
注	tsu13	注：～意
蛀	tsu13	蛀：～虫
鑄	tsu13	铸：～铁，～钢
樞	kʰu33	枢：中～，～纽
輸	su33	输：～赢
戍	suɛ13	戍：～边
輸	su33	输：运～
殊	su55	殊：特～
豎	su25	竖：横～
樹	su25	树：～立
儒	ʒu55	儒：～家思想
乳	ʒu51	乳：哺～，母～[文]
乳	ni25	乳：食～（吃奶），麦～精[训]
拘	kʰu33	拘：～留
倶	ku25	俱：～备，～乐部
矩	kɯ25	矩：规～，～形
句	ku13	句：～号
區	kʰu33	区：地～，～别
驅	kʰu33	驱：先～，～动
具	ku25	具：～体
懼	ku25	惧：恐～
愚	ŋɔ55	愚：～蠢，～公移山
虞	kou55	虞：姓，～姬
娛	u55	娱：～乐
遇	ŋɔ25	遇：遭～，相～，～到
寓	ŋɔ25	寓：～言；公～
迂	u33	迂：～回，～腐
于	u33	于：姓
吁	i33	吁：气喘～～，长～短叹
雨	hou25	雨：落～，谷～，～水
宇	u51	宇：～宙
禹	u51	禹：大～治水
羽	u51	羽：～毛球
芋	ou22	芋：芋头
逾	ʒu25	逾：超过，～期
愉	ʒu51	愉：～快
愈	ʒu51	愈：病～
喩	ʒu25	喻：比～
裕	ʒu25	裕：富～
獃	tai33	呆：书～子，发～[文]
獃	tai33	呆：发～[白]
戴	tai13	戴：姓；～帽
胎	tʰɔ33	胎：双胞～，～盘
台	tʰai55	台：天台
態	tʰai13	态：～度，心～
貸	tai13	贷：～款
臺	tʰai55	台：～湾
苔	tʰai55	苔：青～，舌～
抬	tʰai55	抬：两个人抬
待	tʰai25	待：等～，～人接物
怠	tʰai25	怠：～慢，～工
殆	tʰai25	殆：百战不～
代	tʰɔi13	代：～替，～表
逮	tai25	逮：～捕
袋	tɔ22	袋：袋子
乃	nai51	乃：安～近；人名用字
耐	nai25	耐：～力，～心，忍～
來	lai55	来：过～，～去
災	tsai33	灾：水～
栽	tsai33	栽：种，～培
宰	tsai51	宰：～相
載	tsai51	载：一年半～
再	tsai13	再：～来
載	tsai13	载：～重
猜	tsʰai33	猜：～谜
彩	tsʰai51	彩：～色
採	tsʰai51	采：～集
睬	tsʰai51	睬：理睬
菜	tsʰai13	菜：煮～，青～
才	tsʰai55	才：人～，～气，秀～
材	tsʰai55	材，药～，～料
財	tsʰai55	财，发～
裁	tsʰai55	裁，～纸，剪～
纔	tsʰai55	才：刚～
在	tsai25	在：实～，现～[文]
在	tɔ25	在：存在，还～[白]
載	tsai13	载：满～而归
腮	sai33	腮：～腺炎，～红
鰓	sai33	鳃：鱼鳃
賽	sai13	赛：比～
該	kai33	该：应～
改	koi51	改：修～，～正
概	kʰai13	概：大～，～括
溉	kʰai13	溉：灌～
開	kʰai33	开：公～，～门
凱	kʰai51	凯：～旋
慨	kʰai13	慨：慷～，感～
咳	kʰam55	咳：～嗽，止～糖浆
呆	ŋai55	呆：～板
礙	ɡai22	碍：妨～
海	hai51	海：大～
孩	hai55	孩：～童
亥	hai25	亥：辛～革命
哀	aĩ33	哀：悲～
埃	aĩ33	埃：尘～，～及
愛	aĩ13	爱：～情；要
貝	puɛ13	贝：宝～
貝	puɛ25	贝：川～，～壳
沛	pʰai13	沛：充～
帶	tua13	带：鞋～
太	tʰai13	太：老～婆
泰	tʰai13	泰：～山
大	tai25	大：大小
奈	nai25	奈：无～，～何
賴	lai25	赖：依～，无～；姓
癩	lai25	癞：～蛤蟆[文]
癩	tʰai33	癞：～哥（癞疮）[白]
蔡	tsʰua13	蔡：姓
蓋	kai13	盖：～被[动]；盖子[名]
丐	kai13	丐：～帮
艾	ŋai55	艾：姓；～滋病
艾	ŋai55	艾：艾草
害	hai22	害：～人
藹	aĩ51	蔼：和～，宋～龄
拜	pai13	拜：结～，礼～，～佛
排	pai55	排：～队
埋	mai55	埋：～伏
齋	tsɛ33	斋：食～（吃斋）
豺	tsʰai55	豺：～狼
皆	kai33	皆：～大欢喜
階	kai33	阶：台～，～级
介	kai13	介：～绍，中～
界	kai13	界：世～
芥	kai13	芥：～菜
尬	kai13	尬：尴～
疥	kai13	疥：～疮
屆	kai13	届：第一～
戒	kai13	戒：～烟，猪八～
楷	kʰai51	楷：～书，～模
諧	hai55	谐：和～
駭	hai55	骇：惊～，～人听闻
械	hai25	械：机～
挨	aĩ33	挨：～打，～近
擺	pai51	摆：摇～
派	pʰai13	派：正～，～出所
牌	pai55	牌：～坊，～匾[文]
牌	pai55	牌：打～[白，训]
㵺	pai55	排：竹排
罷	pa25	罢：～工
稗	pʰoĩ33	稗：～草
買	boi51	买：～卖
賣	boi22	卖：买～
奶	nai51	奶：二～，～牛
債	tsɛ13	债：欠～
釵	tʰoi33	钗：宝～
差	tsʰɛ33	差：出～
柴	tsʰa55	柴：姓；火～
篩	tʰai33	筛：～选，～米
灑	sa13	洒：潇～，～水
佳	kia33	佳：～人，～节
街	koi33	街：～路
解	koi51	解：～释，讲～[文]
解	koi51	解：～开[白]
懈	hai25	懈：松～，坚持不～
涯	ŋai55	涯：天～
崖	ŋai55	崖：悬～
捱	ŋai55	捱：难～，～苦
鞋	oi55	鞋：布～
解	koi51	解：懂了，理～，了～
蟹	hoi25	蟹：老～
矮	oi51	矮：高矮
敗	pai22	败：失～
邁	maĩ25	迈：豪～，～步
寨	tsɛ22	寨：山～，大～
蔽	pi13	蔽：隐～
弊	pi13	弊：作～
幣	pi25	币：人民～
斃	pi13	毙：枪～
例	li22	例：举～，～外
厲	li25	厉：严～，～害
勵	li25	励：鼓～
祭	tsi13	祭：～祀
際	tsi13	际：国～
滯	tʰi13	滞：停～，湿～（中医）
制	tsi13	制：～度
製	tsi13	制：～造
世	si13	世：～界
世	si13	世：出～
勢	si13	势：～力，有权有～
誓	si22	誓：发～
逝	si22	逝：～世
藝	ɡoi22	艺：～术，文～晚会
蓖	pi22	蓖：～麻
閉	pi13	闭：关～
批	pʰoi33	批：～评，大～
批	poi33	批：螺丝～
陛	pi55	陛：～下
迷	mi55	迷：入～，～路
米	bi51	米：大米
謎	mi25	谜：～语，猜～
低	ti33	低：高～
堤	toi33	堤：河～，～坝
底	toi51	底：水～
抵	ti51	抵：～押
帝	ti13	帝：皇～
梯	tʰui33	梯：楼～
蒂	tʰi13	蒂：花～，并～莲
體	tʰi51	体：～育，身～
替	tʰi13	替：代～，～身
涕	tʰi55	涕：～泪纵横
剃	tʰi13	剃：～头
屜	tʰi13	屉：抽～
題	toi55	题：～目，难～
提	tʰi55	提：～问，～醒
蹄	toi55	蹄：马～
啼	tʰi55	啼：哭哭～～[文]
啼	tʰi55	啼：鸡～[白]
弟	ti25	弟：兄～[文]
弟	ti25	弟：弟弟，老～[白]
第	toi55	第：～一，门～
遞	tʰi13	递：传～，邮～员
泥	ni55	泥：水～，地～（地板）
犁	loi55	犁：耕田用具
黎	li55	黎：～民，～明；姓
禮	loi51	礼：～貌
麗	li25	丽：秀～
隸	ti25	隶：奴～，～属
