#漢字	音標	解釋
蟀	sut021	蟀：蟋～
準	tsun51	准：瞄～，～则
准	tsun51	准：批～，～确
春	tsʰun33	春：立～
蠢	tsʰun51	蠢：～才
出	tsʰut021	出：～入，～发
脣	tun55	唇：嘴～[文]
脣	tun55	唇：嘴～[训，舷]
順	sun25	顺：～利，～风
術	sut055	术：技～
述	sut055	述：叙～
舜	sun13	舜：尧～
純	sun55	纯：单～，～粹
醇	sun55	醇：酒味～
潤	zun25	润：利～，～色
閏	zun22	闰：～月
均	kɯn33	均：平～，～匀
鈞	kɯn33	钧：千～一发
橘	kit021	橘：橘子
菌	kʰun51	菌：细～
勻	un55	匀：均～
允	zun51	允：～许
尹	i33	尹：姓，～相杰
分	hun33	分：～数，区～[文]
分	pun33	分：给[白]
粉	hun51	粉：～笔，面～[文]
粉	hun51	粉：～松[白]
糞	pun13	粪：粪便
奮	hun13	奋：～斗
芬	hun33	芬：～芳
紛	hun33	纷：纠～
彿	hut021	佛：仿～
焚	un55	焚：～烧
墳	hun55	坟：～墓，上～
憤	hun51	愤：气～，～怒
忿	hun13	忿：～～不平
份	hun22	份：～量
佛	hut055	佛：拜～
文	bun55	文：～章，论～
紋	bun55	纹：花～
蚊	bun33	蚊：～香
聞	bun25	闻：新～
吻	but021	吻：接～
刎	kua51	刎：自～
問	mɯn22	问：～题
物	mueʔ055	物：～理[文]
物	mueʔ055	物：～件[白]
勿	mai13	勿：非礼～视
君	kun33	君：～子
軍	kun3	军：～队，参～
屈	kʰut021	屈：委～，～服[文]
屈	kʰut021	屈：委屈，～气[白]
羣	kʰun55	群：～众
裙	kun55	裙：裙子
郡	kun25	郡：～主
掘	kut055	掘：挖～
倔	kʰut021	倔：～强
熏	hun33	熏：～陶，烟～人[文]
熏	hun33	熏：烟～人,～蚊[白]
勳	hɯn33	勋：～章
薰	hun33	薰：～衣草
葷	hun25	荤：～素
訓	hun13	训：教～，～人
熨	ut021	熨：～斗[训]
云	un22	云：古人～
雲	hun55	云：乌～
韻	un22	韵：押～，～律
運	un22	运：～气，好～
暈	hin55	晕：～车，头～[训]
幫	paŋ33	帮：～忙
榜	paŋ51	榜：～样
謗	paŋ51	谤：诽～
博	pʰak021	博：～士，广～
滂	pʰaŋ55	滂：～沱
泊	pok055	泊：梁山～
旁	pʰaŋ55	旁：～边
螃	pʰaŋ55	螃：～蟹
傍	pʰaŋ55	傍：～晚
傍	pʰaŋ55	傍：～菜（以菜送饭）
薄	pok055	薄：不厚，～弱
泊	pok055	泊：停～，淡～
忙	maŋ55	忙：农～，～碌
芒	moŋ55	芒：～种[节气]
茫	maŋ55	茫：白～～，～然
莽	maŋ51	莽：鲁～
蟒	maŋ51	蟒：～蛇
莫	mok055	莫：不要，～非
膜	mok055	膜：薄～
幕	mo25	幕：报～，～布
寞	mok055	寞：寂～
摸	mo55	摸：偷偷～～[文]
摸	moŋ55	摸：～来～去[白]
當	tɯn33	当：～时，应～，～官
襠	taŋ13	裆：裤～
襠	taŋ13	裆：裤～[白]
黨	taŋ51	党：入～，～员
擋	taŋ13	挡：阻～，～风
當	tɯn13	当：～铺，恰～；唔～（不如）
檔	taŋ13	档：～案
湯	tʰɯŋ33	汤：煮～；姓
躺	tʰaŋ51	躺：平～
燙	tʰɯŋ13	烫：～手
趟	tʰaŋ51	趟：两～
託	tʰɔk021	托：～词，推～
托	tʰɔk021	托：手承物，～盘
堂	təŋ55	堂：～兄，拜～，课～
棠	tʰaŋ55	棠：海～
螳	tʰaŋ55	螳：～螂
唐	tʰaŋ55	唐：～朝；姓
糖	tʰəŋ55	糖：白～
塘	təŋ55	塘：鱼～
蕩	taŋ25	荡：放～，扫～
盪	taŋ25	荡：过水，～嘴，～碗[白]
鐸	tset055	铎：木铎；人名用字，郑振～
度	tou22	度：思～
囊	laŋ51	囊：背～
諾	nap055	诺：承～，～言
郞	nəŋ55	郎：新～；姓，～平
廊	laŋ55	廊：走～
狼	laŋ25	狼：～狈，豺～
螂	laŋ55	螂：螳～
朗	laŋ55	朗：～诵，明～
浪	laŋ25	浪：风～，～费
落	lɔk055	落：下落
烙	lok055	烙：～印
駱	lɔk055	骆：～驼
洛	lok055	洛：～阳（地名）
絡	lok055	络：联～
樂	lak055	乐：～观，快～
贓	tsəŋ33	赃：～款，贪～枉法
髒	tsaŋ33	脏：肮～
葬	tsəŋ13	葬：埋～，落～
作	tsat021	作：工～，种～
倉	tsʰəŋ33	仓：～库
蒼	tsʰaŋ33	苍：～白
錯	tsʰɔ13	错：～开，～杂
藏	tsʰaŋ55	藏：隐～
藏	tsaŋ25	藏：西～，～族
臟	tsaŋ25	脏：内～
鑿	tsʰak055	凿：用凿子凿
昨	tsa51	昨：昨天
桑	səŋ33	桑：～叶
喪	səŋ33	丧：婚～，～事
嗓	suaŋ51	嗓：金～子
喪	saŋ13	丧：～失
索	sɔk021	索：绳子，线～
岡	kaŋ33	冈：井～山（地名）
崗	kaŋ33	岗：站～，～位
剛	kaŋ33	刚：～才，～好
綱	kaŋ33	纲：～常，大～
鋼	kəŋ13	钢：炼～，～笔
缸	kəŋ33	缸：水～
杠	kəŋ33	杠：高低～
各	kak021	各：～人
閣	kɔk021	阁：～楼；～下
擱	kɔk021	搁：耽～
康	kʰaŋ33	康：健～
糠	kʰəŋ33	糠：谷～
慷	kʰaŋ33	慷：～慨
抗	kʰaŋ13	抗：反～，～战
囥	kʰɔŋ25	囥：藏
昂	ŋaŋ33	昂：～首挺胸，气～～
鄂	ŋak055	鄂：湖北简称
鰐	ŋak055	鳄：～鱼
行	haŋ55	行：银～
航	haŋ55	航：～行，～线
杭	haŋ55	杭：～州
鶴	hɔk055	鹤：仙～
骯	aŋ33	肮： ～脏
惡	ak021	恶：善～，～霸
娘	nie55	娘：姑～
釀	ʒiaŋ51	酿：～豆腐[训]
良	liaŋ55	良：～好，优～
凉	liaŋ55	凉：天～
量	nie55	量：衡～，～尺寸
糧	nie55	粮：～食
樑	nie55	梁：姓；～山（地名）
粱	nie55	粱：高～，黄～美梦
兩	nɔ25	两：～个
兩	nie51	两：半斤八～
亮	liaŋ25	亮：明～
諒	liaŋ25	谅：原～，～解
輛	liaŋ51	辆：车～，两～
量	liaŋ25	量：数～
略	liak055	略：省～
掠	liaʔ055	掠：～夺
將	tsiaŋ33	将：～来；～军
漿	tsiẽ33	浆：豆～，～糊
蔣	tsiẽ51	蒋：姓，～介石
獎	tsiaŋ13	奖：～金，得～
槳	tsiẽ51	桨：船～
醬	tsiẽ13	酱：沙茶～，辣椒～
將	tsiaŋ13	将：大～，～士
爵	tsiak021	爵：官～，～位
雀	tsiak021	雀：麻～，～斑
槍	tsʰiẽ33	枪：手～
搶	tsʰiẽ51	抢：～劫
鵲	tsiak021	鹊：喜～，鸦～
牆	tsʰiẽ55	墙：～壁
匠	tsiaŋ25	匠：木～
嚼	tsiak021	嚼：咀～，～碎
相	siaŋ33	相：互～，～打（打架）
箱	siẽ33	箱：皮～
廂	siẽ33	厢：～房，车～
湘	siaŋ33	湘：湖南简称，～江
襄	siaŋ33	襄：～阳（地名）
鑲	siẽ33	镶：～牙
想	siẽ25	想：～法，思～
相	siaŋ13	相：宰～，看～，～貌
削	siak021	削：～皮，剥～
詳	siaŋ55	详：～细
祥	siaŋ55	祥：慈～，吉～
象	siaŋ13	象：气～
象	tsʰiẽ25	象：大～
象	siaŋ13	象：印～，想～
像	siẽ13	像：好～，相～
像	siẽ13	像：头～，～章
橡	tsʰiẽ55	橡：～胶，～树
張	tsiaŋ33	张：紧～
長	tsiaŋ51	长：生～，省～
漲	tsiaŋ13	涨：～价，～潮
帳	tiẽ13	帐：蚊～
賬	tiẽ13	账：算～，～簿
脹	tiẽ13	胀：～肚，膨～
着	tieʔ055	着：～衫（穿衣服）
暢	tʰiaŋ13	畅：～快，通～
長	tsʰiaŋ55	长：～期，～短
腸	təŋ55	肠：猪～，～胃
場	tiẽ55	场：排～，～地
丈	təŋ25	丈：三丈
丈	tiẽ25	丈：姑～
仗	tsiaŋ25	仗：打～；炮～（鞭炮）
杖	tsiaŋ25	杖：拐～
着	tieʔ055	着：～火
莊	tsəŋ33	庄：～园；姓
裝	tsuaŋ33	装：假～
妝	tsuaŋ33	妆：化～
壯	tsaŋ13	壮：强～
瘡	tsʰəŋ33	疮：痔～
闖	tsʰuaŋ13	闯：～祸，李～王
創	tsʰaŋ13	创：开～，～造
牀	tsʰəŋ55	床：眠～
狀	tsuaŋ25	状：告～，～元，～态
霜	səŋ33	霜：落～，～降
孀	səŋ33	孀：遗～
爽	suaŋ51	爽：～快，直～
章	tsiaŋ33	章：姓；文～
樟	tsiẽ33	樟：～脑丸；～木头（地名）
掌	tsiẽ51	掌：巴～，～握
障	tsiaŋ13	障：保～
瘴	tsiaŋ13	瘴：～气
嶂	tsiaŋ13	嶂：耸立如屏障的山峰
酌	tsiak021	酌：斟～，～情
昌	tsʰiaŋ33	昌：～盛
菖	tsʰiaŋ33	菖：～蒲
廠	tsʰiaŋ51	厂：～长
唱	tsʰiaŋ13	唱：～歌
倡	tsʰiaŋ13	倡：提～
綽	tɔk021	绰：～～有余，～号
商	siaŋ33	商：～量，经～
傷	siẽ33	伤：受～
賞	siẽ51	赏：欣～，～金
餉	siaŋ13	饷：军～
常	siẽ55	常：经～，～识；姓
嘗	siẽ55	尝：～试，品～
償	siẽ55	偿：赔～
上	tsiẽ25	上：～山[动]
上	tsiẽ25	上：安上，～灯，～灯泡
尙	siaŋ25	尚：和～，高～
上	siaŋ25	上：～背[方位]；～海（地名）
上	tsiẽ25	上：桌～，床～
勺	siaʔ055	勺：饭～
芍	tsiak021	芍：～药；白～（中药）
壤	ziaŋ51	壤：土～
讓	ziaŋ25	让：～位
若	zaik055	若：～干，～无其事
弱	ziak055	弱：～点
疆	kiaŋ33	疆：新～（地名）
僵	kiaŋ33	僵：冻～，～硬
薑	kiẽ33	姜：～糖
繮	kiaŋ33	缰：～绳
姜	kiaŋ33	姜：姓，孟～女，～太公
腳	kʰa33	脚：赤～
強	kʰiaŋ55	强：～大，坚～
強	kiaŋ51	强：勉～
卻	kʰiak021	却：退～，～步
仰	ŋiaŋ51	仰：～视
虐	ŋiak055	虐：～待
瘧	ŋiak055	疟：～疾
香	hiaŋ33	香：～味，烧～；～港（地名）
鄕	hiẽ33	乡：家～
享	hiaŋ51	享：～受，分～
響	hiaŋ51	响：音～
向	hiaŋ13	向：～东
央	iaŋ33	央：中～台，党中～[文]
央	iaŋ33	央：中～（中间）[白]
秧	ŋ̍33	秧：插～，～苗
殃	iaŋ33	殃：遭～，～及
約	ieʔ021	约：大～，～会
羊	iẽ55	羊
洋	iẽ55	洋：太平～
楊	iẽ55	杨：姓；～树
陽	iaŋ55	阳：太～
揚	iaŋ55	扬：表～，发～
瘍	iaŋ55	疡：溃～
養	iaŋ51	养：培～，～猪
癢	iaŋ25	痒：皮肤痒
樣	iẽ22	样：一～
樣	iẽ22	样：～般
藥	ieʔ055	药：中～，～片
躍	iak021	跃：跳～，大～进
光	kuaŋ33	光：阳～，～明
廣	kuaŋ51	广：推～；
郭	kueʔ021	郭：姓，～靖
曠	kʰuaŋ13	旷：空～，～课
廓	kuak021	廓：轮～
擴	kʰuak021	扩：～充，～大
荒	huaŋ33	荒：开～，～唐
慌	huaŋ33	慌：～张，心～
謊	huaŋ33	谎：说～
霍	kʰak021	霍：姓；～乱
藿	kʰak021	藿：～香（中药）
黃	ŋ̍55	黄：姓；～色
簧	huaŋ55	簧：弹～
皇	huaŋ55	皇：～帝
蝗	huaŋ55	蝗：～虫
凰	huaŋ55	凰：凤～
晃	huaŋ51	晃：摇～，～动
晃	huaŋ51	晃：～光
汪	uaŋ33	汪：姓，～洋
方	huaŋ33	方：地～，大～
肪	huaŋ51	肪：脂～
倣	huaŋ51	仿：～效
放	huaŋ13	放：解～，～心[文]
放	paŋ13	放：～手[白]
芳	huaŋ33	芳：～香
妨	huaŋ55	妨：～碍
紡	pʰaŋ51	纺：～织
仿	huaŋ51	仿：～照，相～
彷	huaŋ51	彷：～佛
訪	huaŋ51	访：采～，～问
房	paŋ55	房：～间
房	paŋ55	房：姓，～玄龄
防	huaŋ55	防：～止，国～
亡	buaŋ55	亡：死～
芒	maŋ55	芒：～果
芒	maŋ55	芒：～花草（可制扫帚）
網	maŋ25	网：鱼～，～络
忘	buaŋ55	忘：～记，遗～[文]
忘	buaŋ55	忘：～记，遗～[白]
忘	buaŋ55	忘：添～（忘记）[白]
妄	buaŋ51	妄：狂～，痴心～想
望	mɔ̃22	望：失～
縛	pak055	缚：束～
钁	tɯ22	钁：锄头，～锄，～头
匡	kʰuaŋ33	匡：～扶正义；赵～胤（人名）
筐	kʰen33	筐：箩～，两～[文]
筐	kʰen33	筐：两～[白]
眶	kʰuaŋ33	眶：眼眶
狂	kʰuaŋ55	狂：发～
況	kʰuaŋ13	况：情～，～且
枉	uaŋ51	枉：冤～
王	hen55	王：姓；大～
往	uaŋ51	往：来～，～日
旺	uaŋ25	旺：兴～
邦	paŋ33	邦：～国；刘～（人名）
綁	paŋ33	绑：捆～
剝	pak021	剥：～削，～皮
駁	pok021	驳：反～
胖	pʰuen13	胖：～子，肥～
樸	pʰok021	朴：～素
龐	pʰaŋ55	庞：～大；姓，～太师
棒	paŋ25	棒：棍～，～打鸳鸯
蚌	pʰoĩ51	蚌：～壳
雹	pʰak055	雹：冰～
樁	tsuaŋ33	桩：打～
桌	tɔk021	桌：书～
卓	tɔk021	卓：～越；姓，～别林
琢	tok021	琢：～磨，雕～
啄	tok021	啄：～木鸟，鸡～米
撞	tsuaŋ25	撞：～人
濁	tsuak055	浊：浑～
捉	tsʰok021	捉：捕～，～棋（下棋）
窗	tʰen33	窗：门～，～帘
鐲	tsuak055	镯：手～
雙	saŋ33	双：一～鞋
朔	suak021	朔：每月初一，～望
江	kaŋ33	江：长～，～湖
扛	kəŋ33	扛：肩扛，双手抬
講	kaŋ51	讲：～话
港	kaŋ51	港：～口；香～（地名）
降	kaŋ13	降：下～，～低
虹	hɔŋ55	虹：彩～
覺	kak021	觉：～得，知～
角	kak021	角：牛～，～色
餃	kio51	饺：饺子，水～
腔	kʰiẽ33	腔：口～
確	kʰak021	确：～定，的～
殼	kʰak021	壳：贝～
嶽	ŋãk055	岳：五～
岳	ŋãk055	岳：姓，～飞
樂	ŋauʔ055	乐：音～
降	haŋ55	降：投～
項	haŋ25	项：～链；姓，～羽
巷	haŋ22	巷：巷子，两条～
學	hak055	学：数～，～习
握	ɔk021	握：～手，把～
崩	paŋ33	崩：倒塌，山～，～溃
北	pak021	北：东南西北
朋	pʰen55	朋：～友
墨	bak055	墨：～水
默	bit055	默：沉～，～写
登	ten33	登：～山，攀～
燈	ten33	灯：～光
等	ten51	等：～人，高～
凳	ten13	凳：凳子
得	tit021	得：获～，～意
德	tet021	德：品～；～国（国名）
騰	tʰen55	腾：奔～
藤	tin55	藤：～椅
疼	toŋ13	疼：疼痛
鄧	ten25	邓：姓，～小平
特	tet055	特：～别
能	len55	能：才～，～够
肋	let055	肋：～骨
勒	let055	勒：～索
曾	tsan33	曾：姓
增	tsen33	增：～加
憎	tsen33	憎：～恨
則	tset021	则：否～，规～
曾	tsen55	曾：～经
層	tsan55	层：～次
贈	tsan13	赠：～送
賊	tsʰat055	贼：做～
僧	tsen33	僧：唐～，沙～
僧	tsen33	僧：～人
塞	sat021	塞：堵～，～车
肯	kʰen51	肯：～定，中～[文]
肯	kʰen51	肯：愿意，～去[白]
刻	kʰet021	刻：时～ ，～画[文]
刻	kʰat021	刻：～字[白]
克	kʰiɔk021	克：～服，攻～
黑	het021	黑：～白
恆	hen55	恒：～心，永～
冰	piã33	冰：结～，～箱
憑	pen55	凭：文～，～借[文]
憑	pen55	凭：倚靠，～墙[白]
匿	net055	匿：～名信
陵	len55	陵：中山～
淩	len55	凌：冰淇～，壮志～云
菱	len55	菱：～角
力	lat055	力：大～，～量
卽	tsiet021	即：～时，立～
鯽	tsit055	鲫：～鱼
息	set021	息：休～[文]
息	set021	息：子息，孙～[白]
熄	set021	熄：～火
媳	set021	媳：～妇，婆～
徵	tsen33	征：～求
澄	tʰen55	澄：～清[文]
澄	tʰen55	澄：水浑，澄一澄[白]
澄	tʰen55	澄：～海（地名）[白]
懲	ten33	惩：～罚，严～
橙	tsʰen55	橙：橙子
瞪	ten33	瞪：瞪眼，目～口呆[文]
瞪	tʰen33	瞪：瞪眼[白]
直	tit055	直：～接
値	tat055	值：价～，～日
側	tsʰet021	侧：～面
測	tsʰet021	测：～量，观～
色	set021	色：颜～，～彩
嗇	set021	啬：吝啬
蒸	tsen33	蒸：清～，～发
拯	tsin51	拯：～救；包～（人名）
證	tsen13	证：～明
症	tsen13	症：～状
織	tsit021	织：纺～，～布
職	tsɛʔ021	职：～位，称～
稱	tsʰen13	称：～心如意，对～
稱	tsʰen33	称：～呼
秤	tsʰin13	秤：用以称物，～砣
乘	sen55	乘：～机，～车
乘	sen55	乘：加减乘除
繩	sin55	绳：～之以法
塍	huã22	塍：田～
剩	sin55	剩：～下，～余
食	tsiaʔ055	食：粮～；吃
蝕	sit055	蚀：腐～
升	sen33	升：～级
勝	sen13	胜：～任
勝	sen13	胜：～利，战～
識	set021	识：相～，～字
式	set021	式：～样，公～
飾	set021	饰：装～
承	sen55	承：～担，继～
丞	sen55	丞：～相
殖	set021	殖：繁～
植	set021	植：～物
仍	zɔŋ55	仍：～然
極	ket055	极：南～
凝	ŋien55	凝：～聚，～结
凝	ŋien55	凝：凝固，～油[训]
凝	ŋien55	凝：冰霜，霜～[训]
興	hen33	兴：～旺；绍～（地名）
興	hen13	兴：高～，～趣[文]
興	hen13	兴：高兴[白]
應	en13	应：～当，～该
應	en13	应：～用，响～
鷹	en33	鹰：老～
憶	et021	忆：回～
億	et055	亿：十～
抑	ak021	抑：～制，压～
蠅	sin55	蝇：乌～（苍蝇）
孕	hen25	孕：怀～，～妇
翼	sit055	翼：鸡～，机～
國	kɔk021	国：～家，中～
弘	hɔŋ55	弘：～扬
或	hɔk055	或：～者
惑	hɔk055	惑：迷～
域	hɔk055	域：领～，地～
百	pɛʔ021	百：～姓
柏	pɛʔ021	柏：松～，～树；～林（地名）
伯	pɛʔ021	伯：大～
迫	pet021	迫：压～，～害[训]
烹	pʰen33	烹：～调
拍	pʰaʔ021	拍：～片，～球
珀	pʰet021	珀：琥～
魄	pʰet021	魄：魂～，气～
彭	pʰɛ̃55	彭：姓，～德怀
膨	pʰɛ̃55	膨：～胀
白	pɛʔ055	白：～色
盲	maŋ55	盲：文～，～目
虻	maŋ55	虻：牛～
猛	mɛ̃51	猛：～烈，凶～
孟	mien51	孟：姓，～姜女
陌	met055	陌：～生人
打	ta51	打：～针
冷	nɛ̃51	冷：～热，～清
撐	tsʰɛ̃33	撑：支～，～开
拆	tʰiaʔ021	拆：～开
澤	tset055	泽：毛～东（人名）
擇	toʔ055	择：选～[文]
擇	toʔ055	择：～菜[白]
宅	tʰɛʔ055	宅：住～
窄	tsia13	窄：狭～
生	sen33	生：学～，～活[文]
生	sɛ̃33	生：与“死”相对[白]
牲	sen33	牲：牺～[文]
牲	sɛ̃33	牲：头～[白]
甥	sen33	甥：外～
省	sɛ̃51	省：～长，节～[文]
省	sɛ̃51	省：节省，～钱[白]
更	ken13	更：～换，～衣
更	kɛ̃33	更：五～
庚	kɛ̃33	庚：天干，庚辛壬癸
哽	kɛ̃51	哽：哽住，骨头～到
梗	kɛ̃51	梗：心肌～塞[文]
梗	kɛ̃33	梗：茎，菜～[白]
更	ken13	更：～加
格	kɛʔ021	格：～式；还珠～～[文]
格	kɛʔ021	格：空～，三～[白]
坑	kʰɛ̃33	坑：水～，～沟
客	kʰɛʔ021	客：请～
硬	ŋɛ̃25	硬：软～
額	hiaʔ055	额：名～
亨	hen33	亨：～通；～特（人名）
赫	hɛʔ021	赫：～～有名，显～
嚇	hɛʔ021	吓：～一跳
行	kiã55	行：～为；行走
衡	huaŋ55	衡：～量，平～
杏	hen25	杏：～仁
行	hen25	行：品～
浜	pin33	浜：沙家～
擘	pɛʔ021	擘：用手分开，～开
棚	pɛ̃55	棚：楼～，瓜～
萌	men55	萌：～芽
氓	maŋ55	氓：流～
麥	bɛʔ055	麦：小～，～芽糖
脈	mɛʔ055	脉：～搏，把～
摘	tiaʔ021	摘：～菜
爭	tsɛ̃33	争：～取，斗～[文]
爭	tsɛ̃33	争：相～，～唔多（差不多）[白]
箏	tsen33	筝：风～
睜	tsen33	睁：～眼
責	tsɛʔ021	责：～任，负～
策	tsʰɛʔ021	策：～划，政～
冊	tsʰɛʔ021	册：两～，～封
耕	kɛ̃33	耕：～田
耿	kuaŋ51	耿：忠心～～；姓，～精忠
革	ket021	革：～命，改～
隔	kɛʔ021	隔：～壁
莖	kɛ̃13	茎：根；莲～
幸	hen25	幸：荣～，～福
鶯	en33	莺：黄～，夜～
鸚	en33	鹦：～鹉
櫻	en33	樱：～桃
扼	ɛʔ021	扼：～杀，～制
兵	piã33	兵：当～
丙	piã51	丙：天干，甲乙丙丁
秉	pen51	秉：～持，～公办事
柄	pɛ̃13	柄：刀～，把～
碧	pʰet021	碧：～玉，～绿
平	pʰen55	平：和～，～时[文]
平	pɛ̃55	平：～头，～地[白]
坪	pɛ̃55	坪：草～
評	pʰen55	评：批～，～论
病	pɛ̃22	病：～人
鳴	men55	鸣：～叫
明	men55	明：～白，清～[文]
明	men55	明：清～[白]
盟	men55	盟：同～，～友
皿	men51	皿：器～
命	men25	命：～令[文]
命	miã22	命：～运，算～[白]
京	kiã33	京：北～，～剧
荊	ken33	荆：～州（地名）[文]
荊	ken33	荆：布～子（中药）[白]
驚	kiã33	惊：害怕；～蛰
境	ken51	境：环～，～界
景	ken51	景：～色，风～
警	ken25	警：～察，报～
敬	ken13	敬：尊～，～酒
竟	ken51	竟：～然
鏡	kiã13	镜：镜子
卿	kʰen33	卿：～家；人名用字
慶	kʰen13	庆：～祝
擎	ken25	擎：举起，～旗
鯨	kʰen25	鲸：～鱼
競	ken25	竞：～争，～赛
劇	kiaʔ055	剧：～烈，京～[文]
劇	kiaʔ055	剧：快[白]
屐	kiaʔ055	屐：木～
迎	ŋien55	迎：～接，欢～
逆	ŋiet055	逆：～风
英	en33	英：～雄；～国（国名）
影	iã51	影：电～
映	iaŋ13	映：反～
餠	piã51	饼：～干
倂	pen25	并：合～
璧	piaʔ021	璧：美玉，珠联～合
聘	pʰiã13	聘：～请，特～
聘	pʰen13	聘：～请，特～
僻	pʰiaʔ055	僻：偏～，～静
闢	pʰɛt021	辟：开～，复～
名	miã55	名：姓～
領	niã51	领：～导，衫～（衣领）
嶺	niã51	岭：～南[文]
嶺	niã51	岭：～岗[白]
令	len25	令：命～，口～
精	tsen33	精：～神
晶	tsiã33	晶：水～
睛	tsen33	睛：眼～
井	tsɛ̃51	井：～水，～～有条
積	tset021	积：～极，累～
跡	tsiaʔ021	迹：～象，痕～[文]
跡	tsiaʔ021	迹：脚～，油～[白]
脊	tsit021	脊：～椎，背～
淸	tsʰen33	清：～楚，～水[文]
淸	tsʰen33	清：～明[白]
請	tsʰiã51	请：～人，邀～
情	tsʰen55	情：感～，～节[文]
情	tsiã55	情：亲～（亲戚）[白]
晴	tsɛ̃55	晴：天～
靜	tsɛ̃25	静：安～
靖	tsen25	靖：李～（人名）
淨	tsen25	净：干～
籍	tsia25	籍：祖～，～贯
藉	tsia25	藉：狼～
省	sɛ̃51	省：反～
性	sɛ̃13	性：～别，天～
姓	sɛ̃13	姓：～名
惜	sieʔ021	惜：疼爱[白]
惜	sieʔ021	惜：可～，珍～[文]
昔	tsa51	昔：～日，今～
席	siaʔ055	席：酒～，主～
蓆	tsʰieʔ055	席：草～
夕	set021	夕：～阳
貞	tsen33	贞：～节
偵	tsen33	侦：～察，刑～
逞	tʰen51	逞：～能，得～
呈	tʰiã55	呈：～现，辞～
程	tʰiã55	程：～度，路～[文]
程	tʰiã55	程：姓[白]
鄭	tɛ̃22	郑：～重；姓
正	tsiã33	正：～月
征	tsen33	征：长～，特～
整	tsiã51	整：～体，完～[文]
整	tsiã51	整：修理，～车[白]
正	tsiã13	正：立～，～直[文]
正	tsiã13	正：～好，～来[白]
政	tsen13	政：行～，～治
隻	tsiaʔ021	只：两～
炙	tsieʔ021	炙：烤火，～火
赤	tsʰiaʔ021	赤：～色，～脚
斥	tsʰet021	斥：排～，～责
尺	tsʰieʔ021	尺：～寸
射	sia22	射：～箭，发～
聲	siã33	声：～音，笑～
聖	siã13	圣：神～，～水
適	set021	适：～应，合～
釋	set021	释：解～
成	sen55	成：～功，完～[文]
成	siã55	成：两～[白]
成	sen55	成：事成，做～[白]
城	siã55	城：～市，县～
誠	sen55	诚：真～，～实
盛	sen25	盛：兴～，茂～
石	tsieʔ055	石：～头，～榴
頸	kɛ̃13	颈：脖子
輕	kʰin33	轻：年～，～松[文]
輕	kʰin33	轻：不重；年～，～松[白]
嬰	en33	婴：～儿
纓	en33	缨：红～枪
益	iaʔ021	益：得～，有～
盈	iɔŋ55	盈：～利，～亏
贏	iã55	赢：～输
亦	iaʔ021	亦：～可以
譯	et055	译：翻～
易	et055	易：交～，贸～
液	et055	液：～体，输～
腋	et055	腋：～下
壁	piaʔ021	壁：墙～
拼	pʰen33	拼：～音
劈	pʰet021	劈：～开，用刀～，雷～
霹	pʰet021	霹：～雳舞
甁	pʰin55	瓶：热水～
屛	pʰin55	屏：～风，～障
萍	pʰin55	萍：薸[训]
萍	pʰie55	萍：～水相逢；人名用字
並	pen25	并：～且，～排
銘	men55	铭：～文，～刻
覓	tsʰue22	觅：寻～
丁	ten33	丁：天干；姓
釘	ten33	钉：铁～[名]
頂	ten51	顶：山～[白]
頂	ten51	顶：～唔得（顶不住）[文]
鼎	tiã51	鼎：～盛
釘	ten13	钉：～铁钉[动]
訂	ten13	订：预～，～房间
的	tet055	的：目～，～确
滴	tiʔ021	滴：～水，两～
嫡	tit055	嫡：～系，～亲，～子
聽	tʰiã33	听：～话
廳	tʰiã33	厅：客～，～长
汀	ten33	汀：长～，～江（地名）
聽	tʰiã33	听：听任，～佢（随他）
踢	tʰat021	踢：～球
剔	tʰet021	剔：挑～
亭	ten55	亭：凉～
停	tʰen55	停：～止
廷	tʰen55	廷：朝～
庭	tʰen55	庭：家～，～院
蜓	tʰen55	蜓：蜻～
艇	tʰen51	艇：快～，潜～
挺	tʰen51	挺：坚～，叶～[文]
挺	tʰen51	挺：～起来[白]
定	tiã22	定：稳～；永～（地名）
笛	tet055	笛：笛子
敵	tet055	敌：～人
狄	tet055	狄：姓，～青
糴	tiaʔ055	籴：～米（买米）
寧	len55	宁：安～；～波（地名）
寧	len55	宁：～可
溺	net055	溺：～爱，～死
靈	len55	灵：～活
零	len55	零：十～个，～头
鈴	len33	铃：～声，风～
伶	len55	伶：聪明～俐[文]
伶	len55	伶：～俐（干净）[白]
翎	len55	翎：～毛，顶上花～
另	len55	另：～外
歷	lɛʔ055	历：～史，经～
曆	lɛʔ055	历：日～，～书
績	tsɛʔ021	绩：成～
靑	tsʰɛ̃33	青：～色，～年
蜻	tsʰen33	蜻：～蜓
戚	tsʰet021	戚：亲～；姓，～继光
寂	sɔk021	寂：～寞
星	tsʰɛ̃33	星：火～，～～[文]
星	tsʰɛ̃33	星：～夜[白]
腥	tsʰɛ̃13	腥：～味[文]
腥	tsʰɛ̃13	腥：菜腥味，臭～[白]
腥	tsʰɛ̃13	腥：～味，臭镬～[白]
猩	sen33	猩：大～～
醒	tsʰɛ̃51	醒：清～，～过来
錫	siaʔ021	锡：～纸；无～（地名）
析	set021	析：分～[文]
經	ken33	经：念～，～济[文]
徑	kɛ̃13	径：半～
經	ken33	经：～纬，～线[文]
經	ken33	经：～丝（蜘蛛织网）[白]
