#漢字	音標	解釋
蔓	maŋ31	蔓 瓜蔓
挽	vaŋ35	挽 挽留，挽手
萬	maŋ31	万 一万
罰	faʔ021	罚 罚款
晚	maŋ13	晚 晚上
筏	faʔ021	筏 竹筏
伐	faʔ021	伐 讨伐
繁	faŋ11	繁 繁华
飯	faŋ31	饭 吃饭
礬	faŋ11	矾 明矾
煩	faŋ11	烦 麻烦
番	faŋ33	番 几番
翻	faŋ33	翻 翻转
發	faʔ033	发 发财
髮	faʔ033	发 头发
販	faŋ44	贩 贩卖
反	faŋ35	反 反对
閱	it021	阅 阅读
藩	faŋ11	藩 曾国藩
悅	it021	悦 愉悦
捐	kin33	捐 捐款
鉛	in11	铅 铅笔
沿	in11	沿 沿路
院	in35	院 院子
緣	in11	缘 缘分
圓	in11	圆 圆圈
員	in11	员 人员
倦	kin31	倦 疲倦
圈	hin33	圈 猪圈
權	kʰin11	权 权力
拳	kʰin11	拳 拳头
圈	hin33	圈 圆圈
絹	kin33	绢 手绢
卷	kin35	卷 试卷（名）
眷	kin44	眷 眷属
軟	ȵin13	软 软硬
捲	kin35	卷 卷起（动）
說	ʃit033	说 小说
船	ʃin11	船 轮船
串	tʃʰin44	串 串通
穿	tʃʰin33	穿 穿着
喘	tʃʰin35	喘 哮喘
川	tʃʰin33	川 四川
磚	tʃin33	砖 砖头
拙	tʃʰɔk033	拙 笨拙
專	tʃin33	专 专门
傳	tʃin31	传 自传
篆	ɬin31	篆 篆书
傳	tʃʰin11	传 传达
轉	tʃin35	转 转送，转学
轉	tʃin35	转 转圆圈
旋	ɬin11	旋 旋转
雪	ɬit033	雪 下雪
選	ɬin35	选 选举
宣	ɬin33	宣 宣传
泉	tʃʰin11	泉 泉水
絕	tʃit021	绝 绝对
全	tʃʰin11	全 全部
戀	lin13	恋 恋爱
劣	lit021	劣 恶劣
灣	vaŋ33	湾 海湾
彎	vaŋ33	弯 弯曲
患	vaŋ31	患 忧患；患病
環	vaŋ11	环 环境
還	vaŋ11	还 还原，还钱
刮	kut033	刮 搜刮
還	vaŋ11	还 还有
慣	kwaŋ44	惯 习惯
關	kwaŋ33	关 关门
刷	tʃʰaʔ033	刷 牙刷
涮	tʃʰaʔ033	涮 涮羊肉
拴	tʃʰin11	拴 拴住（捆绑）
閂	ʃaŋ33	闩 门闩
篡	ʃaŋ44	篡 篡位
挖	vaʔ033	挖 挖地
猾	vaʔ021	猾 狡猾
滑	vaʔ021	滑 滑稽
幻	vaŋ11	幻 幻想
鰥	kwaŋ33	鳏 鳏夫
頑	vaŋ11	顽 顽皮
腕	un35	腕 手腕
豌	un35	豌 豌豆
碗	un35	碗 饭碗
活	vut021	活 生活
皖	un35	皖 皖南事变
換	un31	换 交换
緩	un31	缓 迟缓
完	in11	完 完全
丸	in11	丸 药丸
桓	foŋ11	桓 齐桓公
煥	un31	焕 焕然一新
豁	kʰɔk033	豁 豁然，豁嘴
喚	un31	唤 呼唤
歡	fun33	欢 喜欢
玩	ŋun31	玩 玩具，游玩
闊	fut033	阔 开阔
款	hun35	款 汇款
寬	fun33	宽 宽敞
括	kut033	括 包括
觀	kun33	观 道观
冠	kun44	冠 衣冠
罐	kun44	罐 罐头
灌	kun44	灌 灌溉
貫	kun44	贯 贯彻
管	kun35	管 管理
