#漢字	音標	解釋
棧	tsʰɛin52	栈：客栈，栈房，栈道
鍘	tsɛʔ031	铡：铡刀（包公的刑具，切中药、人参的工具）
刪	tsʰain44	删：删除
疝	sain44	疝：疝气（大卵脬，小肠气）
奸	kain45	奸：奸臣，忠奸
諫	kɛin52	谏：谏议
澗	kain44	涧：两山之间的小溪
鐧	kain31	锏：车锏，杀手锏
顏	ŋain22	颜：颜色，姓
雁	ʐɛin52	雁：大雁，雁鹅
瞎	haiʔ031	瞎：瞎子，眼瞎
轄	hɔiʔ055	辖：直辖市，管辖
晏	ʐɛin52	晏：晚也，晏子
鞭	pɛin44	鞭：皮鞭，鞭策
編	pʰiɛn45	编：编筐，编辑
變	pɛin52	变：改变，变化
別	pʰiɛʔ055	别：别针，别支笔在口袋
鼈	pɛʔ031	鳖：甲鱼，鳖壶（军用水壶）
篇	pʰiɛn45	篇：一篇文章
偏	pʰiɛn45	偏：偏偏，偏僻
騙	pʰiɛn45	骗：骗人，欺骗
便	pʰiɛn22	便：便宜
辯	pʰiɛn52	辩：辩论
辨	pʰiɛn52	辨：分辨，辨别
便	pʰiɛn52	便：方便，便当
別	pʰiɛʔ055	别：分别，别人
綿	miɛn22	绵：海绵，绵延
棉	miɛn22	棉：棉花
免	miɛn35	免：免除，罢免
勉	miɛn35	勉：勉强，勉励
緬	mɛin31	缅：缅甸，缅怀
澠	mɛin31	渑：渑池
娩	mɛin31	娩：分娩
面	mɛin52	面：被面，面子
滅	miɛʔ055	灭：消灭，灭亡
碾	tʂʰɛin52	碾：农具，碾米
連	liɛn22	连：连长，大连
聯	liɛn22	联：对联，联系
輦	niɛn31	辇：
列	liɛʔ055	列：排列，列宁
烈	liɛʔ055	烈：烈士，热烈
裂	liɛʔ055	裂：分裂，裂开
煎	tsiɛn44	煎：煎药，煎鱼
剪	tsiɛn31	剪：铰剪，剪东西
箭	tsiɛn52	箭：射箭
濺	tsʰiɛn31	溅：溅水
遷	tsʰiɛn45	迁：迁移
淺	tsʰiɛn31	浅：深浅，浅薄
錢	tsʰiɛn13	钱：一块钱，姓
踐	tsʰiɛn52	践：实践
賤	tsʰiɛn52	贱：犯贱，贱价
仙	siɛn45	仙：神仙，仙丹
鮮	siɛn45	鲜：新鲜，鲜艳
鮮	siɛn45	鲜：朝鲜
癬	siɛn31	癣：脚癣
綫	siɛn52	线：棉线，线索
薛	siɛ45	薛：姓，薛宝钗
泄	sɛʔ031	泄：排泄，泄漏，泄洪
涎	ʐiɛ13	涎：流下的口水
羡	ʂɛin52	羡：羡慕
展	tʂɛin31	展：发展，展开
哲	tʂɛʔ031	哲：哲学，哲理
蜇	tiau45	蜇：蝎子蜇人，海蜇
撤	tʂʰɛʔ055	撤：撤退
徹	tʂʰɛʔ055	彻：彻底
纏	tʂʰɛin22	缠：盘缠，纠缠
轍	tʂʰɛʔ055	辙：南辕北辙
澈	tʂʰɛʔ055	澈：清澈
氈	tʂaŋ45	毡：油毛毡
戰	tʂɛin52	战：战斗
顫	tʂɛin44	颤：颤抖，打颤
折	tʂɛʔ031	折：打折，折扣
浙	tʂɛʔ031	浙：浙江
舌	ʂɛʔ055	舌：舌头，口舌
搧	ʂɛin52	搧：搧扇子
扇	ʂɛin52	扇：芭蕉扇
設	ʂɛʔ031	设：建设，设计
蟬	tʂʰaŋ22	蝉：蝉儿，蝉蜕
禪	tʂʰaŋ22	禅：禅师，禅宗
善	ʂɛin52	善：善良，面善
膳	ʂɛin52	膳：用膳，膳食
單	ʂɛin52	单：姓，单雄信
禪	tʂʰaŋ22	禅：禅让
折	ʂɛʔ055	折：折本，摔折
然	ʐɛin22	然：然后，居然
燃	ʐɛin22	燃：点燃，燃烧
熱	nɛʔ055	热：冷热，热烈
囝	lai52	囝：儿子
遣	kʰɛin31	遣：遣责，派遣
乾	kʰɛin22	乾：乾隆，乾坤
虔	kʰɛin22	虔：虔诚
犍	kʰɛin52	犍：犍为县
掮	kʰɛin44	掮：掮客（中介），扛
件	kʰɛin52	件：一件，事件
傑	kʰɛʔ055	杰：杰出，豪杰
諺	ŋɛin52	谚：谚语
孽	niaʔ055	孽：作孽
蔫	ʐɛin44	蔫：食物不新鲜
焉	ʐɛin45	焉：心不在焉
延	ʐɛin22	延：延安，拖延
筵	ʐɛin22	筵：酒席
蜒	ʐɛin22	蜒：蜿蜒，蚰蜒（蛞蝓）
演	ʐɛin45	演：表演，演出
衍	ʐɛin44	衍：敷衍
拽	tiuʔ031	拽：拽衣裳，拽被子
犍	kʰɛin52	犍：阉割过的牛
建	kɛin52	建：建设，新建
毽	kɛin52	毽：毽子
揭	kɛʔ031	揭：揭发，揭盖
鍵	kʰɛin52	键：关键，键盘
健	kʰɛin52	健：健康，老人体健
腱	kɛin52	腱：肌腱
竭	tsʰɛʔ055	竭：竭尽全力
言	nɛin22	言：语言，言论
掀	ʐɛin44	掀：掀桌子、锅盖、被子
軒	sɛin45	轩：人名用字
憲	ʂɛin31	宪：宪法
獻	ʂɛin52	献：贡献，献宝
歇	hɔiʔ031	歇：休息，一歇
蔫	ʐiɛn45	蔫：花蔫了，颜色不鲜艳
堰	ʐiɛn52	堰：都江堰，坝
邊	pɛin44	边：旁边，边缘
蝙	pɛin31	蝙：蝙蝠
扁	pɛin31	扁：扁担，形状
匾	pɛin31	匾：牌匾，匾额
遍	pɛin52	遍：一遍
遍	pʰɛin52	遍：遍地，普遍
憋	pi52	憋：憋气，憋尿
片	pʰɛin31	片：一片，片面
撇	pʰɛʔ031	撇：撇捺，撇开
辮	pʰɛin52	辫：编辫子，辫子
癟	pɛin31	瘪：干瘪，瘪谷
蹩	pai45	蹩：跛，蹩脚
眠	mɛin22	眠：安眠，眠床
麵	mɛin52	面：吃面，面粉
篾	mɛʔ055	篾：竹篾
衊	maiʔ031	蔑：污蔑，蔑视
顚	tiɛn45	颠：颠倒，颠箥
癲	tiɛn45	癫：疯，癫狗
典	tiɛn31	典：词典，典当
天	tʰiɛn44	天：天上，晴天
腆	tiɛn31	腆：腆肚子，腼腆
鐵	tʰiɛʔ031	铁：钢铁
田	tʰiɛn22	田：种田，田地
塡	tʰiɛn22	填：填空，填房（续弦）
電	tʰiɛn52	电：电灯，触电
殿	tʰiɛn52	殿：佛殿，殿堂
奠	tʰiɛn52	奠：奠基，奠定
佃	tʰiɛn52	佃：佃户
墊	tiaŋ52	垫：垫钱，座垫
澱	tʰiɛn52	淀：沉淀，淀粉
迭	tʰiaʔ055	迭：更迭
年	niɛn22	年：过年，年纪
撚	niɛn31	撚：用指撚碎，撚线
捏	niɛn31	捏：捏紧
憐	lin22	怜：可怜
蓮	liɛn22	莲：莲花，莲蓬
練	liɛn52	练：练习，熟练
煉	liɛn52	炼：炼丹
鏈	liɛn52	链：项链，链条
楝	liɛn52	楝：苦楝树
鍊	liɛn52	炼：锻炼
箋	tsiɛn45	笺：便笺，信笺
薦	tsɛin52	荐：推荐，棕荐，稿荐
節	tsiɛʔ031	节：竹节，节约
千	tsʰiɛn45	千：数字，千万
切	tsʰiɛʔ055	切：切开，迫切
竊	tsʰiɛʔ031	窃：偷窃，窃听
前	tsʰiɛn13	前：前后，从前
截	tsʰiɛʔ055	截：斩钉截铁，截断
先	siɛn44	先：祖先，先进
筅	siɛn45	筅：筅帚
屑	siɛʔ031	屑：木屑，不屑一顾
肩	kin45	肩：肩膀
堅	kɛin45	坚：坚强
繭	kain31	茧：蚕茧
趼	tsiɛ45	趼：老茧
見	kɛin52	见：没脸见人，看见，见识
結	kɛʔ031	结：打结，结果
金絜	kiuŋ44	金：镰刀，割稻
潔	kɛʔ031	洁：清洁，洁白
牽	kʰɛin44	牵：牵牛花
縴	kʰɛin52	纤：拉纤，纤绳
硏	ŋain45	研：研究，研磨
硯	ʐɛin52	砚：砚台
顯	ʂɛin31	显：明显，显灵
賢	ʂɛin22	贤：圣贤，贤惠
弦	ʂɛin22	弦：上弦月，琴弦
現	ʂɛin52	现：出现，现在
煙	ʐɛin44	烟：冒烟，香烟
燕	ʐɛin52	燕：姓，燕京
胭	ʐɛin44	胭：胭脂
宴	ʐɛin52	宴：宴会
燕	ʐɛin52	燕：燕子
嚥	ʐɛin45	咽：下咽，咽喉
噎	kaŋ31	噎：噎住
搬	pain44	搬：搬家，搬运
般	pain44	般：般配，一般
半	pain52	半：半天，一半
絆	pʰain52	绊：绊脚石，绊倒
鉢	paiʔ031	钵：钵头，衣钵
撥	pʰaiʔ055	拨：拨款，点拨
潘	pʰain44	潘：姓
拚	pʰin44	拼：拼命
判	pʰain31	判：判断，审判
潑	pʰaiʔ031	泼：泼水，泼辣
盤	pʰain22	盘：盘子，算盘
伴	pʰain52	伴：伙伴，伴随
拌	pʰain52	拌：搅拌，凉拌
畔	pʰain52	畔：河畔，江畔
叛	pʰain31	叛：叛徒，背叛
鈸	pʰaiʔ055	钹：铜质圆乐器
瞞	main31	瞒：隐瞒
饅	main22	馒：馒头
鰻	main52	鳗：河鳗，鳗鱼
滿	main45	满：装满，满意
漫	main52	漫：漫长，漫画
幔	main52	幔：帷幔、幔帐
末	maiʔ055	末：末尾，锯末
沫	maiʔ055	沫：泡沫
抹	maiʔ031	抹：抹布，抹杀
端	tɔin44	端：端午，端正
短	tɔin31	短：长短，短命
斷	tʰɔin45	断：判断，断案，断价钱
鍛	tʰɔin52	锻：锻炼
掇	tɔin44	掇：端东西
脫	tʰɔiʔ031	脱：脱衣裳，脱线，摆脱
團	tʰɔin22	团：团结，一团线，团长
糰	tʰɔin22	团：糯米团子
斷	tɔin52	断：断绝，断掉
段	tʰɔin52	段：一段木头，路段，阶段
緞	tʰɔin52	缎：绸缎，缎面
椴	tɔin52	椴：椴树,椴木
奪	tʰɔiʔ055	夺：抢夺，夺权
暖	nɔin45	暖：温暖，暖和
鸞	lɔin45	鸾：鸾凤
卵	lɔin31	卵：鸡卵，男阴
亂	lɔin52	乱：混乱，乱动
捋	lɔiʔ055	捋：以手沿物摘取，顺着抹过去，捋胡子，捋牌,捋衣袖
鑽	tsɔin44	钻：动词，钻洞
纂	tsʰɔin52	纂：编纂
攢	tsʰain52	攒：攒钱
鑽	tsɔin52	钻：名词，扯钻，钻子
躥	tsʰɔin52	蹿：向前或向上跳
竄	tʂʰɔin52	窜：东窜西窜
撮	tsɔin31	撮：一撮毛，撮一撮米
酸	sɔin44	酸：硫酸，味道
算	sɔin52	算：算账，计算
蒜	sɔin52	蒜：大蒜，蒜苗
官	kɔin44	官：当官，官司
棺	kɔin44	棺：棺材
觀	kɔin44	观：参观，观音
冠	kɔin52	冠：衣冠
管	kɔin31	管：不管，管理
館	kɔin31	馆：馆子，图书馆
貫	kɔin52	贯：一贯，贯彻
灌	kɔin52	灌：灌溉，浇灌
罐	kɔin52	罐：瓦罐，罐头
觀	kɔin45	观：道观，寺观
冠	kɔin52	冠：冠军
括	kaiʔ031	括：包括，
聒	kaiʔ055	聒：聒耳朵，面聒（打耳光）
寬	kʰɔin44	宽：宽敞，不紧
款	kʰɛin31	款：款项，汇款
闊	faiʔ031	阔：不窄，开阔
玩	ŋain52	玩：古玩，玩具
歡	fɔin45	欢：喜欢，欢喜
喚	fɔin52	唤：呼唤
煥	fɔin52	焕：焕然一新
豁	faiʔ031	豁：豁然，豁嘴，豁口，豁拳
桓	fain22	桓：齐桓公
完	vain22	完：吃完，完全
丸	ʐain22	丸：药丸，丸子
紈	ŋain22	纨：纨绔子弟
緩	fɔin52	缓：缓慢，迟缓
皖	vɔin31	皖：皖南事变
換	fɔin52	换：交换，换衣
活	faiʔ055	活：生活，活鱼
豌	vɔin31	豌：豌豆
剜	vaiʔ031	剜：挖
碗	vɔin31	碗：饭碗，碗筷
腕	vɔin31	腕：手腕
頑	ŋain22	顽：顽皮，顽固
幻	faŋ52	幻：幻想，科幻
滑	vaiʔ055	滑：地滑，滑稽
猾	vaiʔ055	猾：狡猾
挖	vaiʔ031	挖：挖地，开挖
篡	tsʰɔin52	篡：篡位，篡改
撰	tʂɔin52	撰：撰写
閂	tsʰɔin45	闩：门闩
拴	tʂʰɛin22	拴：捆绑
涮	sɔiʔ031	涮：涮洗
刷	sɔiʔ031	刷：牙刷，刷子
關	kain44	关：关门，关心
慣	kain52	惯：习惯，惯用
摜	kain52	掼：扔，摔掉，跌
刮	kaiʔ031	刮：刮胡子，搜刮
還	vain22	还：还原，还钱
還	fain22	还：还有
環	fain22	环：环境，菜篮环
患	faŋ52	患：忧患，患病
宦	fɔin52	宦：宦官
彎	vain44	弯：弯曲，转弯
灣	vain44	湾：海湾，港湾
戀	liɛn52	恋：恋爱，留恋
劣	lɔiʔ031	劣：恶劣，伪劣
全	tsʰɔin22	全：全部，安全
泉	tsʰain22	泉：泉水，喷泉
絕	tsʰiɛʔ055	绝：断子绝孙，绝对
宣	sɛin44	宣：宣传，宣布
選	sɔin31	选：选举，挑选
雪	siɛʔ031	雪：下雪，雪白
旋	sɔin22	旋：旋转
旋	sɔin22	旋：旋吃旋做
轉	tʂɔin31	转：转送，转学，翻转
轉	tʂɔin31	转：转圆圈，转毛线
傳	tʂʰɔin22	传：传达，流传
椽	tʂɔin52	椽：椽子
篆	tʂɔin52	篆：小篆，篆书
傳	tʂɔin52	传：传记，水浒传
專	tʂɔin33	专：大专，专门
磚	tʂɔin33	砖：砖头
拙	tʂɔʔ055	拙：笨拙，拙劣
川	tʂʰɔin44	川：四川，川流不息
穿	tʂʰɔin44	穿：穿针，贯穿，穿衣服
喘	tʂʰɔin31	喘：气喘，哮喘
串	tʂʰɔin52	串：一串，串通
船	ʂɔin22	船：轮船
說	ʂɔiʔ031	说：说话，小说
軟	nɔin44	软：软硬，软弱
捲	kɛin31	卷：卷起来
絹	kɛin44	绢：手绢
卷	kɛin31	卷：一卷，考卷
眷	kɛin52	眷：亲眷，眷属
圈	kʰɛin33	圈：圆圈，圈套
權	kʰɛin22	权：有权，权力
拳	kʰɛin22	拳：拳头，打拳
倦	kʰɛin52	倦：疲倦
圓	ʐɛin22	圆：圆圈，团圆
員	ʐɛin22	员：人员，员外
院	ʐɛin52	院：医院，院子
緣	ʐɛin22	缘：姻缘，缘分
沿	ʐɛin22	沿：沿路，边沿
鉛	ʐɛin22	铅：铅笔，铅球
捐	kiɛn44	捐：捐款，募捐
悅	ʐɛʔ055	悦：愉悦
閱	ʐɛʔ055	阅：阅读，批阅
藩	fain44	藩：曾国藩
反	fain31	反：反面，反手，反对
販	fain52	贩：贩卖，行贩
畈	pain31	畈：田畈，一畈田
髮	faiʔ031	发：头发
發	faiʔ031	发：发展，发财
翻	fain44	翻：翻书，翻筋头，翻转
番	fain44	番：几次三番
煩	fain22	烦：麻烦，烦人
礬	faŋ22	矾：明矾
繁	fain22	繁：繁华
藩	fain44	藩：
飯	fain52	饭：吃饭，饭店
伐	faiʔ055	伐：讨伐，伐木
筏	faiʔ055	筏：竹筏
罰	faiʔ055	罚：惩罚，罚款
晚	vain31	晚：晚上，晚娘，晚稻
挽	vain31	挽：挽留，手挽手
萬	vain52	万：数字，麻将中的万子
蔓	main52	蔓：瓜蔓，蔓延
襪	maiʔ031	袜：袜子，鞋袜
厥	kɛʔ055	厥：突厥
蕨	kɛʔ031	蕨：植物
憠	tsʰɛin52	憠：脾气憠
勸	kʰɛin52	劝：劝架，规劝
券	kʰɛin52	券：国库券
掘	kʰiʔ055	掘：挖掘，掘地
橛	kʰɛʔ031	橛：橛子（短木桩）
元	nɛin22	元：元旦，元老
原	nɛin22	原：原来，平原
源	nɛin22	源：源头，来源
願	nɛin52	愿：许愿，愿望
月	nɛʔ055	月：月亮，月份
喧	sɛin44	喧：喧哗，喧闹
楦	sɛin44	楦：鞋楦
冤	ʐɛin44	冤：冤枉，冤家，喊冤
宛	vɔin31	宛：地名，宛然
怨	ʐɛin52	怨：埋怨，怨恨
袁	ʐɛin22	袁：姓，袁世凯
轅	ʐɛin22	辕：辕门
園	ʐɛin22	园：菜园，花园
援	ʐɛin45	援：援助，救援
猿	ʐɛin22	猿：猿猴
遠	ʐɛin31	远：远近，永远
曰	ʐɛʔ055	曰：子曰
越	ʐɛʔ055	越：吴越，越来越好
粵	ʐɛʔ055	粤：广东简称
决	kɛʔ031	决：决定，判决
訣	kɛʔ031	诀：口诀，诀窍
犬	kʰɛin31	犬：狗
缺	kʰɛʔ031	缺：缺钱，缺口，残缺
血	ʂɛʔ031	血：流血，血液
玄	ʂɛin22	玄：玄妙，黑色
懸	ʂɛin22	悬：悬空，悬崖
縣	ʐʅn52	县：行政单位
眩	ʂɛin22	眩：晕眩，眩目
穴	ʂɛʔ055	穴：穴位
淵	ʐɛin44	渊：深渊，渊源
吞	tʰuin44	吞：不嚼咽下
跟	kɛin44	跟：跟随，脚跟
根	kɛin44	根：树根，根本
懇	kʰɛin31	恳：恳求，诚恳
墾	kʰɛin31	垦：开垦，垦荒
啃	kʰɛin31	啃：啃皮
痕	hɛin22	痕：痕迹，伤痕
很	hɛin22	很：很多，好得很
恨	hain52	恨：恨他，仇恨
恩	ɛin44	恩：恩德，周恩来
彬	pin44	彬：文质彬彬
賓	pin44	宾：贵宾，宾客
檳	pin44	槟：槟榔
濱	pin44	滨：哈尔滨
殯	pin44	殡：出殡
鬢	pin44	鬓：鬂角
筆	piʔ031	笔：毛笔，笔记
潷	piʔ031	滗：按住渣滓滤出汤汁
畢	piʔ031	毕：毕业，完毕
必	piʔ031	必：必须，务必
拼	pʰin44	拼：拼命
匹	pʰiʔ031	匹：一匹布，匹配
貧	pʰin22	贫：贫农，清贫
頻	pʰin22	频：频繁，调频
蘋	pʰin22	苹：苹果
弼	piʔ031	弼：弼马温，任弼时
閩	min31	闽：福建简称
民	min22	民：人民，民族
憫	min31	悯：怜悯，悲天悯人
敏	min35	敏：灵敏，敏捷
抿	min31	抿：小口喝酒
泯	min31	泯：泯灭
密	miʔ055	密：秘密，密封
蜜	miʔ055	蜜：蜂蜜，蜜蜂
鱗	lin22	鳞：鱼鳞
磷	lin22	磷：磷肥
鄰	lin22	邻：近邻，邻居
吝	li52	吝：吝啬，不吝
栗	li52	栗：板栗，栗子
津	tsin44	津：天津
儘	tsʰin52	尽：尽前头（最前面）
進	tsin52	进：前进，进步
晉	tsin31	晋：晋朝，山西简称
親	tsʰin33	亲：亲生，父亲
親	tsʰin33	亲：亲家
七	tsʰiʔ031	七：数字
漆	tsʰiʔ031	漆：油漆
秦	tsʰi22	秦：姓，秦国
盡	tsʰin52	尽：尽量，尽力
疾	tsʰiʔ055	疾：疾病，残疾
辛	sin44	辛：辛苦，艰辛
薪	sin44	薪：薪水
新	sin44	新：新旧，革新
信	sin52	信：书信，相信
訊	suin31	讯：通讯
悉	siʔ031	悉：熟悉
膝	tsʰiʔ031	膝：膝盖
蟋	siʔ031	蟋：蟋蟀
珍	tʂʅn44	珍：珍珠，珍贵
鎭	tʂʅn31	镇：小镇，镇压
趁	ʂʅn52	趁：趁机，趁车，趁钱
陳	tʂʰʅn22	陈：姓，陈年，陈列
塵	tʂʰʅn22	尘：灰尘，尘土
陣	tʂʰʅn52	阵：布阵，阵雨
侄	tʂʰʅʔ055	侄：侄子，内侄
秩	tʂʰʅʔ031	秩：秩序
榛	tʂʅn44	榛：榛子
臻	tʂʅn44	臻：聂荣臻
襯	tʂʰaŋ52	衬：里衬，衬衫
瑟	sɛʔ031	瑟：萧瑟，琴瑟
眞	tʂʅn44	真：真假，认真
診	tʂʅn31	诊：急诊，诊脉
疹	tʂʅn44	疹：麻疹
振	tʂʅn31	振：振动，振奋
震	tʂʅn31	震：地震，震动
質	tʂʅʔ031	质：质量，品质
神	ʂʅn22	神：精神，神仙
實	ʂʅʔ055	实：老实，实在
身	ʂʅn44	身：身体，上身
申	ʂʅn44	申：地支，申请
伸	ʂʅn44	伸：伸手，延伸
娠	ʂʅn44	娠：妊娠
失	ʂʅʔ031	失：失去，丧失
室	ʂʅʔ031	室：室内，教室
辰	ʂʅn22	辰：地支，辰光，时辰
晨	ʂʅn22	晨：早晨
臣	ʂʅn22	臣：大臣，臣服
腎	ʂʅn52	肾：身体
愼	ʂʅn31	慎：谨慎，慎重
人	nin22	人：人民，老人
仁	ʐʅn22	仁：仁义，桃仁
忍	nuin44	忍：忍住，忍受
認	nin52	认：认得，承认
刃	nuin31	刃：刀刃
韌	nuin31	韧：不易断
日	niʔ031	日：日期，日头，一日
巾	kin44	巾：毛巾
緊	kin31	紧：松紧，紧张
吉	kiʔ031	吉：吉利，大吉
僅	kin31	仅：仅仅，不仅
銀	nuin22	银：银子，银行
釁	sin52	衅：挑衅
因	ʐʅn44	因：原因，因素
姻	ʐɛin44	姻：婚姻
印	ʐʅn52	印：手印，图章
乙	ʐɛʔ031	乙：天干
一	ʐʅʔ031	一：一定，一个
壹	ʐʅʔ031	壹：
寅	ʐʅn31	寅：地支
引	ʐʅn31	引：吸引，牵引，引诱，引逗
逸	ʐʅ52	逸：劳逸结合，孙逸仙
斤	kin44	斤：斤两
筋	kin44	筋：牛筋，筋骨
謹	kin31	谨：谨慎，严谨
勁	kin52	劲：有劲
訖	kʰi31	讫：收讫
乞	kʰi31	乞：乞讨
勤	kʰin22	勤：辛勤，勤劳
芹	kʰin22	芹：芹菜，水芹
近	kʰin52	近：远近，近期
欣	ʂuin44	欣：欣欣向荣
殷	ʐʅn44	殷：姓，殷勤
隱	vin31	隐：隐蔽，隐身
癮	ʐʅn31	瘾：烟瘾
奔	pin44	奔：奔跑
本	pin31	本：本来，书本
畚	pin52	畚：畚箕
不	piʔ031	不：否定，不过
噴	fin52	喷：喷水
噴	pʰin52	喷：喷香
盆	pʰin22	盆：脸盆，盆地
笨	pin52	笨：笨蛋
脖	pʰiʔ055	脖：脖子
門	min22	门：关门，门票
悶	min31	闷：气闷，闷热
沒	miʔ055	没：出没
敦	tuin44	敦：敦厚，伦敦
墩	tuin44	墩：桥墩
頓	tuin31	顿：顿脚，停顿
扽	tuin52	扽：用力猛地一拉
褪	tʰɔiʔ031	褪：褪戒指
屯	tʰuin22	屯：屯田
豚	tʰuin22	豚：海豚，河豚
飩	tʰuin52	饨：馄饨
臀	tʰuin22	臀：臀部，窟臀
盾	tʰuin31	盾：矛盾，盾牌
沌	tʰuin52	沌：混沌
鈍	tʰuin52	钝：迟钝，刀钝
遁	tʰuin52	遁：遁走，逃遁
突	tʰuiʔ031	突：突出，突然
凸	tʰuiʔ031	凸：凸起
嫩	nuin52	嫩：不老，稚嫩
論	luin22	论：论语
侖	luin22	仑：昆仑
論	luin52	论：讨论，论文
尊	tsuin44	尊：尊敬，钵头
撙	tsuin44	撙：节省，抑制
卒	tsuiʔ031	卒：兵卒
村	tsʰuin44	村：村庄
忖	tsʰuin52	忖：思量，揣度
寸	tsʰuin52	寸：尺寸
猝	tsʰɿ52	猝：仓猝，猝死
存	suin22	存：存折，储存
蹲	pu45	蹲：蹲下
孫	suin45	孙：姓，子孙
損	suin31	损：损坏，破损
遜	suin52	逊：谦逊
昆	kʰuin44	昆：昆明，昆仑山，昆仲
滾	kʰuin31	滚：滚动，水开，骂人话
棍	kuin52	棍：棍棒
骨	kuiʔ031	骨：骨头，骨气
坤	kʰuin44	坤：乾坤
綑	kʰuin31	捆：捆住
困	kʰuin52	困：困难
睏	kʰuin52	睏：睡觉
窟	kʰu45	窟：窟窿，窟臀
昏	fin33	昏：昏倒，黄昏
婚	fin33	婚：结婚，婚姻
忽	fiʔ031	忽：忽然
魂	fuin22	魂：鬼魂，魂灵
餛	fuin22	馄：馄饨
渾	vin22	浑：水浑，浑浊
混	kʰuin52	混：混淆，相混
核	hɛʔ055	核：桃核
溫	vin44	温：温度，温和
瘟	vin44	瘟：鸡瘟，瘟鸡
穩	vin31	稳：稳定，求稳
倫	luin22	伦：天伦之乐，伦理
淪	luin22	沦：沦为，沉沦
輪	luin22	轮：车轮，轮子，轮流，轮到
律	luiʔ055	律：纪律，法律
率	luiʔ055	率：效率
遵	tsuin44	遵：遵守
俊	tsuin52	俊：英俊
荀	suin22	荀：姓，荀子
詢	suin22	询：询问，咨询
筍	suin31	笋：竹笋
榫	suin31	榫：榫头
迅	suin31	迅：迅速，鲁迅
戌	suiʔ031	戌：戊戌变法
恤	suiʔ031	恤：体恤，抚恤
旬	suin22	旬：十天，上旬
循	suin22	循：遵循，循环
巡	suin22	巡：巡逻，出巡
馴	ʂuin52	驯：驯服
殉	suin52	殉：以身殉职
朮	ʂuiʔ055	朮：白朮
率	sai52	率：率领
蟀	sai52	蟀：蟋蟀
摔	sai44	摔：摔跤
肫	tʂuin44	肫：鸡肫
準	tʂuin31	准：看准，瞄准
准	tʂuin31	准：
圳	tʂuin52	圳：田中小沟
春	tʂʰuin44	春：春秋，立春
蠢	tʂʰuin31	蠢：愚蠢，蠢货
出	tʂʰuiʔ031	出：出去，出发
脣	ʂuin22	唇：嘴唇，唇舌
吮	tsɔiʔ055	吮：用口含吸
盾	tʰuin31	盾：矛盾
順	ʂuin52	顺：顺利，顺风
述	ʂuiʔ055	述：叙述，述职
術	ʂuiʔ055	术：技术，算术
舜	ʂuin52	舜：尧舜
純	ʂuin22	纯：单纯，纯粹
醇	ʂuin22	醇：酒醇
蓴	ʂuin22	莼：水葵，莼菜
閏	ʐuin52	闰：闰月
潤	ʐuin52	润：滋润
鈞	kin44	钧：千钧一发
均	kin44	均：平均，均匀
橘	kiʔ031	橘：橘子
菌	kʰin44	菌：细菌
勻	ʐuin22	匀：均匀，搅匀
允	ʐuin45	允：允许
尹	ʐʅn31	尹：姓
分	fin44	分：分开，区分
吩	fin44	吩：吩咐
粉	fin31	粉：面粉，粉笔
糞	pin52	粪：猪粪，粪箕
奮	fin52	奋：勤奋，奋斗
弗	fiʔ031	弗：
芬	fin33	芬：芬芳
紛	fin33	纷：纷繁，纠纷
彿	fiʔ031	彿：仿佛
焚	fin22	焚：焚烧
墳	fin22	坟：坟墓，上坟
憤	fin52	愤：愤怒
忿	fin52	忿：忿忿不平
份	fin52	份：一份，份量
佛	fiʔ055	佛：佛像，阿弥陀佛
文	vin22	文：文章，论文
紋	vin22	纹：花纹，纹路
蚊	min33	蚊：蚊虫，蚊香
聞	vin22	闻：新闻，耳闻
吻	vin31	吻：接吻
刎	vin31	刎：自刎
問	min52	问：问问题
勿	fiʔ031	勿：
物	viʔ055	物：物什，物理
君	kin33	君：君子
軍	kin33	军：军队，参军
屈	kʰiʔ031	屈：委屈，屈服，路弯曲
羣	kʰin22	群：群众，一群人
裙	kʰin22	裙：裙子
郡	kin52	郡：
倔	kʰiʔ031	倔：倔强
掘	kʰiʔ031	掘：挖掘
熏	ʂuin44	熏：熏陶
勳	ʂuin44	勋：勋章
葷	fin44	荤：荤菜
薰	ʂuin44	薰：薰衣草
燻	ʂuin44	熏：烟熏
訓	ʂuin52	训：教训，训人
熨	ʐuin52	熨：熨斗
云	ʐuin22	云：诗云
雲	ʐuin22	云：乌云，白云
耘	ʐuin22	耘：耘田，耕耘
韻	ʐuin52	韵：押韵，韵味
運	ʐuin52	运：走运，运气，运输
暈	fin22	晕：晕车，头晕
幫	pɔŋ44	帮：帮忙，相帮
榜	pɔŋ31	榜：发榜，榜样
謗	pɔŋ52	谤：诽谤
博	pɔʔ031	博：博士，渊博
滂	pʰɔŋ22	滂：滂沱
泊	paʔ031	泊：梁山泊
旁	pʰɔŋ22	旁：旁边，两旁
螃	pʰɔŋ22	螃：螃蟹
傍	pʰɔŋ52	傍：傍晚，傍热
泊	pʰaʔ031	泊：停泊，漂泊
薄	pʰɔʔ055	薄：厚薄，薄弱
忙	mɔŋ22	忙：很忙，农忙，忙碌
芒	mɔŋ22	芒：芒种
茫	mɔŋ22	茫：茫茫，茫然
莽	maŋ31	莽：王莽，鲁莽
蟒	maŋ31	蟒：蟒蛇
莫	mɔʔ055	莫：莫非
膜	mɔʔ031	膜：薄膜
