#漢字	音標	解釋
苣	kʰi44	苣：莴苣
魚	ŋ̍22	鱼：一条鱼
漁	ʐʅ13	渔：渔业，渔场
語	ni45	语：语文
御	ʐʅ52	御：御用
禦	li52	御：驾御，防御
虛	ʂʅ33	虚：虚心，心虚，肿
噓	ʂʅ33	嘘：吹嘘，嘘声
許	ʂʅ31	许：姓，许多，许愿，许配，远指“那儿”怎么说，答应别人怎么说
於	ʐʅ33	于：在于
淤	li22	淤：是否用于地名，淤泥，淤塞
余	ʐʅ22	余：姓
餘	ʐʅ22	余：多余
舁	kɔŋ44	舁：抬
與	ʐʅ44	与：参与，与众不同
予	ʐʅ44	予：给予
譽	ʐʅ52	誉：荣誉
預	ʐʅ52	预：预报，预备
豫	ʐʅ52	豫：河南简称，犹豫
夫	fu44	夫：夫妻，车夫
膚	fu33	肤：皮肤
跗	fu31	跗：脚背
府	fu31	府：XX府
腑	fu31	腑：五脏六腑
俯	fu31	俯：俯视，俯卧撑
甫	pʰu31	甫：杜甫
脯	pʰu31	脯：明脯（晒干的乌贼），杏脯
斧	pu31	斧：斧头
付	fu52	付：付钱
賦	fu52	赋：天赋，赋予
傅	fu52	傅：姓，
咐	fu52	咐：吩咐、嘱咐
敷	fu44	敷：敷衍，敷药
俘	fu44	俘：俘虏
孵	pʰu52	孵：孵小鸡
麩	fu44	麸：麦麸
撫	vu31	抚：抚养，安抚，抚恤金
赴	pʰuʔ031	赴：赴汤蹈火，前赴后继
訃	pu52	讣：讣告
符	fu22	符：姓，符合，画符
扶	fu22	扶：搀扶，扶贫，扶手
芙	fu22	芙：芙蓉
父	fu52	父：父亲，师父
釜	pu31	釜：破釜沉舟
腐	fu52	腐：豆腐，腐败
輔	pʰu31	辅：辅导，辅助
附	fu52	附：附近，附带
無	mau35	无：没有，无产阶级，无中生有
巫	ŋɔ35	巫：巫婆，老巫
誣	vu44	诬：诬陷，诬告
武	vu33	武：武器，武力
舞	vu31	舞：跳舞，舞龙
侮	vu33	侮：侮辱
鵡	vu33	鹉：鹦鹉
務	vu52	务：任务，务农
霧	vu52	雾：
縷	liu31	缕：千丝万缕
屢	li45	屡：屡教不改
趨	kʰi44	趋：趋势
取	tsʰi31	取：取帐（讨债），取名字，赎取，取得
娶	tsʰi31	娶：
趣	tsʰi52	趣：趣味，有趣
聚	tsʰi52	聚：聚会
須	sui44	须：必须
鬚	si44	须：胡须，锦旗下面垂的须
需	sui44	需：需要，必需品
續	siuʔ055	续：连续
誅	ʂu45	诛：天诛地灭
蛛	tʂu44	蛛：蜘蛛
株	tʂu44	株：一株树，守株待兔
拄	kʰu52	拄：拄拐杖，挑担时放在另一肩膀上的棍子，休息时可用来支撑
駐	tʂu52	驻：驻扎，驻军，驻马店
註	tʂu52	註：注释
廚	tʂʰu22	厨：厨子，厨头
櫥	tʂʰu22	橱：碗橱
柱	tʂʰu33	柱：柱子，水柱
住	tʂʰu52	住：
雛	tʂʰu45	雏：雏形
數	sʮ52	数：动词，念珠怎么说
數	sʮ52	数：数目，分数
朱	tʂu44	朱：姓
硃	tʂu33	硃：朱砂
珠	tʂu33	珠：珍珠，眼睛的说法
主	tʂu31	主：主人，地主
注	tʂu52	注：注意
蛀	tʂu52	蛀：衣服被虫蛀了
鑄	tʂu52	铸：铸铁，铸镬，铸造
樞	ʂu45	枢：北斗七星第一星。枢纽
輸	ʂu44	输：输赢
戍	ʂu52	戍：戍边
