#漢字	音標	解釋
脆	ʦʰɔi45	脆：易断[白]
歲	sui451	岁：万～，～月[文]
歲	sui451	岁：十～，～数[白]
綴	ʦui451	缀：点～
贅	ʦui451	赘：累～，入～
稅	sɔi451	税：交～，～收
衛	vi451	卫：～生
銳	lui451	锐：尖～，～角
廢	fi45	废：～品，作～
肺	fi45	肺：猪～
吠	pʰɔi45	吠：狗～
穢	sui45	秽：淫～，污～
圭	wa213	圭：人名用字；乌拉～
閨	kvi213	闺：～房
桂	kvi45	桂：～花
奎	kʰvi21	奎：人名用字；～宁（药名）
攜	si213	携：～带，提～
惠	fi45	惠：～州，优～
慧	fi45	慧：智～
碑	pi213	碑：石～，～文
卑	pi213	卑：自～，～鄙
彼	pʰi51	彼：～此
臂	pi51	臂：手～，～力
披	pʰi21	披：～肩，～露
譬	pʰit031	譬：～喻，～如
皮	pʰi21	皮：调～，～肤
疲	pʰi21	疲：～劳
脾	pʰi21	脾：～胃，～气
被	pʰi213	被：被子，毛巾～
婢	pi213	婢：奴～，～女
被	pʰi213	被：～动，～迫
避	pʰit031	避：逃～
糜	mɔi21	糜：～烂；粥
彌	ȵi451	弥：～补，阿～陀佛
離	li21	离：～別，～开
