#漢字	音標	解釋
嬌	kiu34	娇：～气，做～（撒娇）
橋	kʰiu22	桥：大～
轎	kiu31	轿：坐～，扛～
要	jiu34	要：～求
要	jiu34	要：重～
搖	jiu22	摇：动～，～篮
舀	ⁿdɒm45	舀：～水
耀	jiu31	耀：～眼，荣～
鳥	ⁿdiu21	鸟：花～市场[文]
鳥	tsiɔk21	鸟：～笼[白]
鳥	tiu45	鸟：骂人话，交合[白]
吊	tiu34	吊：上～，～车
挑	hiu34	挑：～剔，～担
跳	hiu34	跳：～高，起～
條	hiu22	条：～件，字～
調	tiu31	调：音～
尿	ⁿdiu31	尿：屙～
了	liu45	了：～结；明～，～解
料	liu31	料：肥～，材～
繳	kiu45	缴：～枪，～费
僥	hiu34	侥：～幸
叫	kiu34	叫：大～；小孩哭
竅	hiu45	窍：～门
曉	hiu45	晓：春～，～得
剖	pʰau45	剖：解～
畝	ᵐbau21	亩：一～田
母	ᵐbou21	母：父～
貿	ᵐbau31	贸：外～，～易
兜	tau34	兜：～风
斗	tau45	斗：十升为一斗
鬥	tau34	斗：～争，批～
偸	hau34	偷：小～
透	hau34	透：～明
頭	hau22	头：开～
豆	tau31	豆：黄～
樓	lau22	楼：～下
漏	lau31	漏：～水，～斗
走	tsau45	走：行走
奏	tsau34	奏：节～
湊	ʈʰau34	凑：～数，～热闹
鉤	ᵑɡau21	钩：鱼～
狗	kau45	狗
夠	kau34	够：足～
摳	ᵑɡau34	抠：挖
口	hau45	口：～头，开～
口	tɒm31	口：一～饭
扣	kʰau34	扣：～钱，～压
藕	ᵑɡau34	藕：～断丝连，莲～
喉	hau22	喉：～咙
後	hau31	后：～生，～来[文]
後	hau21	后：～日[白]
歐	au34	欧：～洲；姓
嘔	au45	呕：～吐
漚	au34	沤：久浸水中，～坏，～肥
否	fau45	否：是～，～定
富	fu34	富：丰～，～贵
謀	ᵐbau22	谋：计～，～财害命
紐	ⁿdau45	纽：纽扣；～约（地名）
劉	lau22	刘：姓
柳	lau21	柳：～树
酒	tsau45	酒：～精
秋	ʈʰau34	秋：～天；～千
就	tsau31	就：成～，～去
修	sau34	修：装～，～正
秀	sau34	秀：清～，～才
袖	tsau31	袖：领～，衫～（衣袖）
晝	tsau21	昼：上～，～夜
抽	ʈʰau34	抽：～出
綢	ʈʰau22	绸：～缎，丝～
宙	tsau31	宙：宇～
鄒	tsau34	邹：姓，～家华
皺	tsau34	皱：～纹
愁	sau22	愁：～眉苦脸
搜	sau45	搜：～查
瘦	sau34	瘦：肥瘦
周	tsau34	周：姓；～围，～年
醜	ʈʰau45	丑：不好看，出～
臭	ʈʰau34	臭：～味
收	sau34	收：丰～，～集
手	sau45	手：～脚，～段
獸	sau34	兽：野～
仇	sau22	仇：～人，报～
壽	sau31	寿：长～
九	kau45	九：数字，～龙
救	kau34	救：～命
求	kʰau22	求：要～
舅	kʰau21	舅：～公
舊	kau31	旧：新～
牛	ᵑɡau22	牛：～牯
休	hau45	休：～息，退～
有	jau21	有：～钱
右	jau31	右：左～
油	jau22	油：麻～
丟	tiu31	丢：～失
答	tɒp34	答：回～
貪	hɒm34	贪：～心
探	hɒm34	探：试～
南	ⁿdɒm22	南：东南西北
納	ⁿdɒp31	纳：归～
參	ʈʰɒm22	参：～军，～加
慘	ʈʰɒm45	惨：悲～
蠶	ʈʰɒm21	蚕：～丝
雜	tsɒp31	杂：复～
鴿	kɒp21	鸽：白～
砍	tsɒm45	砍：～伤
含	hɒm22	含：包～[文]
含	hɐm22	含：～糖[白]
合	hɒp31	合：～作，～适[文]
合	kɒp34	合：～伙[白]
庵	ɒm34	庵：尼姑～
揞	ɐm45	揞：手覆，揞住
暗	ɒm45	暗：不亮
擔	tɒm22	担：～任[动]
擔	tɒm21	担：担子[名]
膽	tɒm45	胆：大～
塔	hɒp5	塔：宝～
痰	hɒm22	痰：吐～
淡	hɒm21	淡：～水（地名）
淡	hɒm21	淡：咸～；浓～
籃	lɒm21	篮：菜～
欖	lɒm45	榄：橄～，乌～
臘	lɒp31	腊：～肉，～肠
暫	tsɒm31	暂：～时
甘	kɒm22	甘：甜；～心
敢	kɒm45	敢：勇～
斬	tsɒm45	斩：白～鸡
蘸	tsɐt34	蘸：～豉油
插	ʈʰɒp34	插：～花
杉	ʈʰɒm34	杉：～树
夾	kɒp21	夹：夹子；～心饼干
恰	hɒp34	恰：～切，～当
鹹	hɒm22	咸：～淡
