#漢字	音標	解釋
臺	tʰɔi21	台：～湾
苔	tʰɔi35	苔：青～，舌～
抬	tʰɔi21	抬：两个人抬
待	tɔi21	待：等～，～人接物
怠	tʰɔi13	怠：～慢，～工
殆	tʰɔi13	殆：百战不～
代	tɔi21	代：～替，～表
逮	tai21	逮：～捕
袋	tɔi21	袋：袋子
耐	nɔi21	耐：～力，～心，忍～
來	lɔi21	来：过～，～去
災	tsɔi55	灾：水～
栽	tsɔi55	栽：种，～培
宰	tsɔi35	宰：～相
載	tsɔi322	载：一年半～
再	tsɔi322	再：～来
載	tsɔi322	载：～重
猜	tsʰai55	猜：～谜
彩	tsʰɔi35	彩：～色
採	tsʰɔi35	采：～集
睬	tsʰɔi35	睬：理睬
菜	tsʰɔi322	菜：煮～，青～
才	tsʰɔi21	才：人～，～气，秀～
材	tsʰɔi21	材，药～，～料
財	tsʰɔi21	财，发～
裁	tsʰɔi21	裁，～纸，剪～
纔	tsʰɔi21	才：刚～
在	tsɔi21	在：实～，现～[文]
在	tsɔi21	在：存在，还～[白]
載	tsɔi322	载：满～而归
鰓	sɔi55	鳃：鱼鳃
賽	tsʰɔi322	赛：比～
該	kɔi55	该：应～
改	kɔi35	改：修～，～正
概	kʰɔi322	概：大～，～括
溉	kʰɔi322	溉：灌～
開	hɔi55	开：公～，～门
凱	ɔi35	凯：～旋
慨	kʰɔi322	慨：慷～，感～
咳	kʰɐt055	咳：～嗽，止～糖浆
呆	ŋɔi21	呆：～板
礙	ŋɔi21	碍：妨～
海	hɔi35	海：大～
孩	hai21	孩：～童
亥	hɐt021	亥：辛～革命
哀	ɔi55	哀：悲～
埃	ai55	埃：尘～，～及
愛	ɔi322	爱：～情；要
貝	pui322	贝：宝～
貝	pui322	贝：川～，～壳
沛	pʰui322	沛：充～
帶	tai322	带：鞋～
太	tʰai322	太：老～婆
泰	tʰai322	泰：～山
大	tai21	大：大小
奈	nɔi21	奈：无～，～何
賴	lai21	赖：依～，无～；姓
癩	lai21	癞：～蛤蟆[文]
癩	lai21	癞：～哥（癞疮）[白]
蔡	tsʰɔi322	蔡：姓
蓋	kɔi322	盖：～被[动]；盖子[名]
丐	kʰɔi322	丐：～帮
艾	ŋai21	艾：姓；～滋病
艾	ŋai21	艾：艾草
害	hɔi21	害：～人
拜	pai322	拜：结～，礼～，～佛
排	pʰai21	排：～队
埋	mai21	埋：～伏
齋	tsai55	斋：食～（吃斋）
豺	tsʰai21	豺：～狼
皆	kai55	皆：～大欢喜
階	kai55	阶：台～，～级
介	kai322	介：～绍，中～
界	kai322	界：世～
芥	kai322	芥：～菜
尬	kai322	尬：尴～
疥	kai322	疥：～疮
屆	kai322	届：第一～
戒	kai322	戒：～烟，猪八～
楷	kai55	楷：～书，～模
諧	hai21	谐：和～
駭	hak032	骇：惊～，～人听闻
械	hai21	械：机～
挨	ŋai21	挨：～打，～近
擺	pai35	摆：摇～
派	pʰai322	派：正～，～出所
牌	pʰai21	牌：～坊，～匾[文]
牌	pʰai21	牌：打～[白，训]
㵺	pʰai21	排：竹排
罷	pa21	罢：～工
稗	pɐi21	稗：～草
買	mai13	买：～卖
賣	mai21	卖：买～
奶	nai13	奶：二～，～牛
債	tsai322	债：欠～
釵	tsʰai55	钗：宝～
差	tsʰa55	差：出～
柴	tsʰai21	柴：姓；火～
篩	sai55	筛：～选，～米
灑	sa35	洒：潇～，～水
佳	kai55	佳：～人，～节
街	kai55	街：～路
解	kai35	解：～释，讲～[文]
解	kai35	解：～开[白]
懈	hai13	懈：松～，坚持不～
涯	ŋai21	涯：天～
崖	ŋai21	崖：悬～
捱	ŋai21	捱：难～，～苦
鞋	hai21	鞋：布～
解	kai35	解：懂了，理～，了～
蟹	hai13	蟹：老～
矮	ai35	矮：高矮
敗	pai21	败：失～
邁	man21	迈：豪～，～步
寨	tsai21	寨：山～，大～
蔽	pei322	蔽：隐～
弊	pɐi21	弊：作～
幣	pɐi21	币：人民～
斃	pɐi21	毙：枪～
例	lai21	例：举～，～外
厲	lai21	厉：严～，～害
勵	lai21	励：鼓～
祭	tsai322	祭：～祀
際	tsai322	际：国～
滯	tsai21	滞：停～，湿～（中医）
制	tsai322	制：～度
製	tsai322	制：～造
世	sai322	世：～界
世	sai322	世：出～
勢	sai322	势：～力，有权有～
誓	sai21	誓：发～
逝	sai21	逝：～世
藝	ŋai21	艺：～术，文～晚会
閉	pei322	闭：关～
箅	lɔŋ322	箅：蒸笼中的竹屉
批	pʰɐi55	批：～评，大～
批	pʰɐi55	批：螺丝～
陛	pɐi21	陛：～下
迷	mei21	迷：入～，～路
米	mɐi13	米：大米
謎	mei21	谜：～语，猜～
低	tɐi55	低：高～
堤	tʰɐi21	堤：河～，～坝
底	tɐi35	底：水～
抵	tɐi35	抵：～押
抵	tɐi35	抵：用手抵挡
帝	tɐi322	帝：皇～
梯	tʰɐi55	梯：楼～
蒂	tɐi322	蒂：花～，并～莲
體	tʰɐi35	体：～育，身～
替	tʰɐi322	替：代～，～身
涕	tʰɐi322	涕：～泪纵横
剃	tʰɐi322	剃：～头
題	tʰɐi21	题：～目，难～
提	tʰɐi21	提：～问，～醒
蹄	tʰɐi21	蹄：马～
啼	tʰɐi21	啼：哭哭～～[文]
啼	tʰɐi21	啼：鸡～[白]
弟	tɐi21	弟：兄～[文]
弟	tɐi21	弟：弟弟，老～[白]
第	tɐi21	第：～一，门～
遞	tɐi21	递：传～，邮～员
泥	nɐi21	泥：水～，地～（地板）
犁	lai21	犁：耕田用具
黎	lai21	黎：～民，～明；姓
禮	lai13	礼：～貌
麗	lai21	丽：秀～
隸	tɐi21	隶：奴～，～属
擠	tsai55	挤：拥～，～时间
濟	tsɐi322	济：～公，经～
妻	tsʰɐi55	妻：夫～
砌	tsʰɐi322	砌：～墙
齊	tsʰai21	齐：～国[文]
齊	tsʰai21	齐：整～，放～，来～[白]
臍	tsei322	脐：肚～，～带
劑	tsai55	剂：一～药，药～
西	sɐi55	西：东西南北
犀	sɐi55	犀：～牛
洗	sɐi35	洗：～菜，～衣机
細	sɐi322	细：粗细，大小
婿	sɐi322	婿：女～
雞	kɐi55	鸡：～公（公鸡）
稽	kʰɐi55	稽：～查，滑～
計	kɐi322	计：～算，会～
繼	kɐi322	继：～续，～承
繫	hɐi21	系：～皮带
髻	kɐi322	髻：发髻；鸡～（鸡冠）
溪	kʰɐi55	溪：～水
啟	kʰɐi35	启：～发
契	kʰɐi322	契：房～，～约
倪	ŋɐi21	倪：姓，～萍
系	hai21	系：中文～，～统
繫	hai21	系：联～
係	hai21	系：关～[文]
係	hai21	系：是[白]
杯	pui55	杯：茶～
輩	pui322	辈：～分，长～
背	pui322	背：违～，后～
胚	pʰei55	胚：～胎
坯	pʰei55	坯：泥～，毛～房
配	pʰui322	配：分～，搭～
培	pʰui21	培：～训
陪	pʰui21	陪：～同
賠	pʰui21	赔：～钱
倍	pʰui13	倍：～数
佩	pʰui322	佩：～服
背	pui322	背：～书
焙	pui21	焙：～火
梅	mui21	梅：～花
媒	mui21	媒：～人
煤	mui21	煤：烧～，～矿
玫	mui21	玫：～瑰
每	mui13	每：～只，～日
莓	mui21	莓：草～
妹	mui35	妹：妹妹，姊～，老～
昧	mei21	昧：愚～，拾金不～
堆	tui55	堆：一～[量]，～放[动]
對	tui322	对：～错；成双成～
碓	tui55	碓：舂米工具，踏～
推	tʰui55	推：～荐，～动
腿	tʰui35	腿：～部，火～
退	tʰui322	退：后～，～步[文]
退	tʰui322	退：向后退[白]
隊	tui35	队：～伍，排～
內	nɔi21	内：～行，～外
雷	lui21	雷：打～，～公；姓
累	lui35	累：劳～
催	tsʰui55	催：～促，～眠
崔	tsʰui55	崔：姓，～莺莺
摧	tʰui55	摧：～残
罪	tsui21	罪：得～，犯～[文]
罪	tsui21	罪：～过（可怜、难受）[白]
碎	sui322	碎：～布，破～
盔	kʰuɐi55	盔：头～，～甲
魁	fui55	魁：～梧，花～
恢	fui55	恢：～复
塊	kʰuai322	块：一～钱，～头
灰	fui55	灰：石～，～色
賄	fui35	贿：受～，～赂
悔	fui322	悔：后～
晦	fui322	晦：～气
回	ui21	回：～想[文]
回	ui21	回：～礼[白]
茴	ui21	茴：～香
匯	ui21	汇：～报，～款
潰	kʰui35	溃：～疡，胃～疡
煨	ui55	煨：～番薯
蛻	tʰœy322	蜕：～变，～皮，～壳
兌	tœy322	兑：～水，～换
最	tsœy322	最：～好
會	ui21	会：～计
外	ŋɔi21	外：～面
會	ui21	会：开～
會	ui21	会：～睡，～来
繪	fui35	绘：～图，测～
乖	kuai55	乖：小孩听话
怪	kuai322	怪：奇～
懷	uai21	怀：～疑
槐	uai21	槐：～树
淮	uai21	淮：～河，～北
壞	uai21	坏：～人
拐	kuai35	拐：～卖，铁～李
拐	kuai35	拐：～脚（瘸腿）
掛	kua322	挂：～起来，牵～，～钩
卦	kua322	卦：八～
歪	uai55	歪：～风邪气
畫	uak021	画：～图，图～
快	fai322	快：～车
筷	fai322	筷：公～
話	ua21	话：笑～，讲～[文，名]
話	ua21	话：讲～[白，名]
話	ua21	话：说[白，动]
脆	tsʰui322	脆：干～[文]
脆	tsʰui322	脆：易断[白]
歲	sui322	岁：万～，～月[文]
歲	sui322	岁：十～，～数[白]
綴	tsyt032	缀：点～
贅	tsui21	赘：累～，入～
稅	sui322	税：交～，～收
衛	uɐi21	卫：～生
銳	jui21	锐：尖～，～角
廢	fei322	废：～品，作～
肺	fei322	肺：猪～
