#漢字	音標	解釋
捋	lu55	捋：捋袖子
鑽	tsɔn31	钻：电～[名]，～石
撮	tsuk031	撮：一～毛
酸	sɔn52	酸：～甜
蒜	sɔn31	蒜：大蒜，蒜头
官	kuɔn52	官：～司，当～
管	kuɔn24	管：～理，气～
灌	kuɔn31	灌：～溉
括	kuat044	括：包～
寬	kʰuɔn52	宽：～松
款	kʰan24	款：汇～，拨～
闊	kʰuat044	阔：开～
玩	ŋuan22	玩：～具，游～
歡	fɔn52	欢：喜～，～喜
丸	ʒan55	丸：肉～，药～
換	vɔn22	换：交～[文]
活	fat031	活：生～
碗	vɔn24	碗：饭～
頑	ŋuan55	顽：～固，～皮
滑	vat031	滑：地～，～稽
挖	ʒet044	挖：～掘[文]
關	kuan52	关：～门，海～
刮	kuat044	刮：～毛，搜～
還	van55	还：～钱[白]
環	fan55	环：～境
彎	van52	弯：转～
戀	lien22	恋：～爱
劣	lɔt044	劣：～质，恶～
全	tsʰien55	全：～部，安～
絕	tsʰiet031	绝：～对
宣	sien55	宣：～布，～传
選	sien24	选：～择，挑～
雪	siet044	雪：落～（下雪），～白
旋	sien55	旋：～转
轉	tʃɔn24	转：～学，～移，翻～
傳	tʃʰɔn55	传：～达，流～
專	tʃɔn52	专：～门，大～
穿	tʃʰɔn52	穿：～堂风，揭～
串	tʃʰɔn31	串：一～，～通
船	ʃɔn55	船：轮～
說	ʃɔt044	说：小～
軟	ȵiɔn52	软：～弱
捲	kien24	卷：～起来[动]
圈	kʰien52	圈：圆～，～套
拳	kʰien55	拳：～头
圓	ʒan55	圆：团～
院	ʒan31	院：医～，～长
閱	ʒet031	阅：～读
反	fan24	反：～对，造～
發	fat044	发：～展，～财[文]
發	pɔt044	发：～虫（长虫）[白]
翻	fan52	翻：～书[文]
翻	fan52	翻：翻转；呕吐[白]
煩	fan55	烦：麻～
飯	fɔn22	饭：食～，～店
罰	fat031	罚：～款，惩～
晚	van52	晚：～会
萬	van22	万：～一
襪	mat044	袜：鞋～
勸	kʰien31	劝：规～
原	ȵien55	原：～来，平～
願	ȵien22	愿：～望
怨	ʒan31	怨：～人，埋～
遠	ʒan24	远：永～
粵	ʒat031	粤：～东
決	kiet044	决：～定
犬	kʰen24	犬：狂～病
血	hiet044	血：流～
縣	ʒan22	县：～长
穴	hiet031	穴：～位
吞	tʰun52	吞：～口水
跟	ken52	跟：～从
恩	en52	恩：～人
賓	pin52	宾：贵～
筆	pit044	笔：毛～，～记
匹	pʰit044	匹：～配
貧	pʰin55	贫：扶～
民	min55	民：人～，～族
敏	mien52	敏：灵～
密	met031	密：秘～，～封
鄰	lin55	邻：～居
鱗	lin55	鳞：鱼～
栗	liap044	栗：～子
進	tsin31	进：～步，前～
親	tsʰin52	亲：～生，父～
七	tsʰit044	七：数字
秦	tsʰin55	秦：姓；～国
盡	tsʰin24	尽：～量，～力，～头
疾	tsʰit031	疾：残～
新	sin52	新：～旧
信	sin31	信：相～
