#漢字	音標	解釋
戲	hei33	戏 大戏
椅	i35	椅 椅子
移	i21	移 移动
易	i21	易 容易
悲	pei55	悲 悲伤
比	pei35	比 对比
秘	pei33	秘 秘密
痹	pei33	痹 麻痹
丕	pʰei55	丕 曹丕
屁	pʰei33	屁 放屁
琵	pʰi21	琵 琵琶
枇	pʰei21	枇 枇杷
備	pei21	备 准备
鼻	pei21	鼻 鼻涕
眉	mei21	眉 眉毛
黴	mui21	霉 发霉；倒霉
美	mei13	美 美化
地	tei21	地 土地
尼	nɐi21	尼 尼姑
膩	nɐi21	腻 油腻
梨	lei21	梨 雪梨
履	lui13	履 履行
利	lei21	利 有利
痢	lei21	痢 痢疾，癞痢
資	tsi55	资 资本
姿	tsi55	姿 姿势，姿态
姊	tsei35	姊 姊妹
次	tsʰi33	次 名次
瓷	tsʰi21	瓷 陶瓷
自	tsi21	自 自己
私	si55	私 自私
死	ɬei35	死 死亡
四	ɬei33	四 四个
致	tsi33	致 导致
遲	tsʰi21	迟 迟到
稚	tsʰi33	稚 幼稚
師	si55	师 老师
獅	ɬu55	狮 狮子
脂	tsi55	脂 脂肪
指	tsi35	指 手指
至	tsi33	至 至少
示	si21	示 启示
尸	si55	尸 死尸
屎	si35	屎 狗屎
視	si21	视 近视
二	ȵi21	二 第二
飢	kei55	饥 饥饿
肌	kei55	肌 肌肉
几	kei55	几 茶几
器	hei33	器 武器
棄	hei33	弃 放弃
伊	i55	伊 伊犁
姨	i55	姨 阿姨，姨妈，姨丈
你	nei13	你 你们
狸	lei21	狸 狐狸
李	lei13	李 姓
里	lei13	里 公里
裏	lei13	里 里面
吏	lei21	吏 官吏
滋	tsu55	滋 滋润
子	tsu35	子 孔子（老）
慈	tsʰi21	慈 慈悲
字	tsi21	字 文字（新）
司	si55	司 公司
絲	si55	丝 丝绸
思	si55	思 思念；意思
辭	tsʰi21	辞 告辞
祠	tsʰu21	祠 祠堂
似	tsʰu13	似 相似
巳	tsi21	巳 地支第六
寺	tsʰu21	寺 寺庙
置	tsi33	置 布置
癡	tsʰi55	痴 痴呆
恥	tsʰi35	耻 耻辱
持	tsʰi21	持 坚持
痔	tsʰi21	痔 痔疮
治	tsi21	治 治安
廁	tsʰi33	厕 厕所
士	si21	士 士兵
柿	si33	柿 柿子
事	si21	事 事情（新）
使	sɐi35	使 大使馆
使	sɐi35	使 使用
史	si35	史 历史
駛	sɐi35	驶 驾驶
之	tsi55	之 之前
芝	tsi55	芝 灵芝
止	tsi35	止 停止
址	tsi35	址 地址
志	tsi33	志 志气；标志
痣	tsi33	痣 与胎记不同
齒	tsʰi35	齿 牙齿
詩	si55	诗 诗人
始	tsʰi35	始 开始
試	si33	试 考试
時	si21	时 时间
市	si13	市 市场
侍	si21	侍 服侍
而	ȵi21	而 而且
耳	ȵi13	耳 耳朵
基	kei55	基 基本
箕	kei55	箕 粪箕
己	kei35	己 自己
紀	kei35	纪 纪律；年纪
紀	kei33	纪 纪念
記	kei33	记 记号
欺	hei55	欺 欺负
起	hei35	起 起床
杞	kei35	杞 枸杞
棋	kʰei21	棋 下棋
旗	kʰei21	旗 红旗
忌	kei21	忌 禁忌，避忌
疑	ȵi21	疑 怀疑
嬉	hei55	嬉 嬉戏，嬉笑
煕	hei55	熙 康熙
喜	hei35	喜 喜欢
醫	i55	医 医生
意	i33	意 大意
飴	i21	饴 饴糖
已	i13	已 已经
以	i13	以 可以
異	i21	异 异同
幾	kei55	几 几乎
機	kei55	机 机器
饑	kei55	饥 饥荒
幾	kei35	几 几个
既	kei33	既 既然
豈	hei35	岂 岂有此理
氣	hei33	气 空气
祈	kʰei21	祈 祈祷，祈福
毅	ŋɐi21	毅 毅力
希	hei55	希 希望
稀	hei55	稀 稀有
衣	i55	衣 衣服
依	i55	依 依靠
累	lui13	累 累积；连累
嘴	tsui35	嘴 嘴巴
髓	ɬɔi35	髓 骨髓
隨	tsʰui21	隨 随便
吹	tsʰui55	吹 吹牛
垂	sui21	垂 下垂
睡	sui21	睡 午睡
瑞	ɬui21	瑞 瑞雪
蕊	lui13	蕊 花蕊
規	kwʰɐi55	规 规矩
虧	kwʰɐi55	亏 吃亏
跪	kwɐi21	跪 下跪
危	ŋɐi21	危 危险
僞	ŋɐi35	伪 虚伪
毀	fei35	毁 毁灭
委	ʋɐi35	委 委托；委员
爲	ʋɐi21	为 行为；为什么
壘	lui13	垒 堡垒
類	lui21	类 分类
淚	lui21	泪 眼泪
醉	tsui33	醉 喝醉
翠	tsʰui33	翠 翡翠
雖	ɬui55	虽 虽然
隧	ɬui13	隧 隧道
穗	ɬui13	穗 谷穗，稻穗
追	tsui55	追 追赶
錘	tsʰui21	锤 铁锤
衰	sui55	衰 衰老
摔	ɬɐʔ055	摔 摔跤
帥	sui33	帅 元帅
錐	tsui55	锥 圆锥，锥子（名）；锥人（动）
水	sui35	水 水果
誰	sui21	谁 谁人
龜	kwɐi55	龟 乌龟
軌	kwɐi35	轨 铁轨
癸	kwʰɐi21	癸 天干第十
愧	kwʰɐi33	愧 惭愧
季	kwɐi33	季 四季
葵	kwʰɐi21	葵 向日葵
櫃	kwɐi21	柜 柜台
位	ʋɐi21	位 地位
維	ʋɐi21	维 维持
遺	ʋɐi21	遗 遗失
唯	ʋɐi21	唯 唯有；唯一
非	fei55	非 非常
飛	fei55	飞 飞机
匪	fei35	匪 土匪
沸	fɐʔ055	沸 沸腾，水沸
妃	fei55	妃 贵妃
費	fei33	费 浪费
肥	fei21	肥 肥料
翡	fei35	翡 翡翠
微	mei21	微 细微
尾	mei13	尾 尾巴
味	mei21	味 味道
歸	kwɐi55	归 回归
鬼	kwɐi35	鬼 鬼神
貴	kwɐi33	贵 贵客
魏	ŋɐi21	魏 魏国；姓
揮	fei55	挥 指挥
徽	fei55	徽 国徽，徽章
諱	ʋɐi35	讳 忌讳
威	ʋɐi55	威 威风
慰	ʋɐi33	慰 安慰
違	ʋɐi35	违 违背
圍	ʋɐi21	围 包围
偉	ʋɐi35	伟 伟大
胃	ʋɐi21	胃 肠胃
匯	wui21	汇 汇报
褒	pou55	褒 褒奖
保	pou35	保 保护
寶	pou35	宝 宝贝
報	pou33	报 报告；日报
袍	pʰou21	袍 长袍
抱	pʰou13	抱 拥抱
暴	pou21	暴 暴露
菢	pu21	菢 菢小鸡
毛	mou21	毛 毛笔
冒	mɐu21	冒 冒充，冒险
刀	tou55	刀 菜刀
島	tou35	岛 海岛
搗	tou35	捣 捣乱
倒	tou35	倒 打倒；倒水
到	tou33	到 来到
滔	tʰou55	滔 滔滔不绝
討	tʰou35	讨 讨好
套	tʰou33	套 配套
桃	tʰou21	桃 桃花
陶	tʰou21	陶 陶瓷
道	tou21	道 道理
稻	tou21	稻 水稻
盜	tou21	盗 强盗
導	tou21	导 领导
腦	nou13	脑 大脑
勞	lou21	劳 劳动
撈	lau55	捞 打捞；捞面
牢	lou21	牢 坐牢
老	lou13	老 老实
澇	lou21	涝 洪涝
遭	tsou55	遭 遭殃
糟	tsou55	糟 酒糟；糟糕
早	tsou35	早 早上
棗	tsou35	枣 红枣
澡	tsʰou33	澡 洗澡
躁	tsʰou33	躁 暴躁
竈	tsou33	灶 灶神
操	tsʰou55	操 操作
草	tsʰou35	草 青草
糙	tsʰou33	糙 粗糙，糙米
曹	tsʰou21	曹 阴曹；姓
槽	tsʰou21	槽 水槽
皂	tsou21	皂 肥皂；皂角
造	tsou21	造 制造
騷	ɬou55	骚 风骚
臊	ɬou55	臊 羊臊气
掃	ɬou33	扫 扫地（动）；扫把（名）
