#漢字	音標	解釋
弄	loŋ35	弄 弄错
鹿	lok021	鹿 鹿茸
祿	lok021	禄 福禄寿
棕	tsoŋ55	棕 棕色
鬃	tsoŋ55	鬃 马鬃，猪鬃
總	tsoŋ35	总 总计
糉	tsoŋ33	粽 粽子
聰	tsʰoŋ55	聪 聪明
匆	tsʰoŋ55	匆 匆忙
葱	tsʰoŋ55	葱 香葱
叢	tsʰoŋ21	丛 树丛
族	tsok021	族 民族
送	ɬoŋ33	送 送客
速	tsʰoʔ055	速 速度
公	koŋ55	公 公文
工	koŋ55	工 工人
功	koŋ55	功 功课
貢	koŋ33	贡 贡献
穀	kok055	谷 稻谷
谷	kok055	谷 山谷
空	hoŋ55	空 空虚；空缺
孔	kʰoŋ35	孔 孔子
控	hoŋ33	控 控制
哭	hok055	哭 痛哭
烘	hɔŋ33	烘 烘干
哄	hoŋ35	哄 哄骗
紅	hoŋ21	红 红色
洪	hoŋ21	洪 洪水
虹	hoŋ21	虹 天上的虹
汞	koŋ33	汞 红汞
鬨	hoŋ21	哄 内哄，起哄
斛	fok021	斛 石斛（中药）
翁	ioŋ55	翁 老翁；姓
瓮	aŋ55	瓮 米瓮
屋	ok055	屋 房屋
冬	toŋ55	冬 冬至
督	tok055	督 监督
統	tʰoŋ35	统 统一
毒	tok021	毒 毒药
農	noŋ21	农 农村
膿	noŋ21	脓 化脓
宗	tsoŋ55	宗 祖宗
鬆	ɬoŋ55	松 松紧，放松
宋	ɬoŋ33	宋 宋朝
酷	hou21	酷 残酷
沃	iok055	沃 肥沃
風	foŋ55	风 风气
瘋	foŋ55	疯 发疯
諷	foŋ35	讽 讽刺
福	fok055	福 福气
幅	fok055	幅 幅度
複	fok055	复 重复，复印
豐	foŋ55	丰 丰衣足食
覆	fok055	覆 覆盖
馮	foŋ21	冯 姓
鳳	foŋ21	凤 凤凰
服	fok021	服 服务
伏	fok021	伏 三伏
夢	moŋ21	梦 做梦
目	mok021	目 目的
牧	mok021	牧 畜牧
隆	loŋ21	隆 兴隆
六	lok021	六 第六
陸	lok021	陆 大陆
嵩	ɬoŋ55	嵩 嵩山
肅	ɬok055	肃 严肃
中	tsoŋ55	中 当中，中秋
忠	tsoŋ55	忠 忠心
衷	tsʰoŋ55	衷 衷心，初衷
中	tsoŋ33	中 射中，中状元
竹	tsok055	竹 竹子
築	tsʰok055	筑 建筑
畜	tsʰok055	畜 牲畜；畜牧
蟲	tsʰoŋ21	虫 虫子
仲	tsoŋ21	仲 杜仲
逐	tsok021	逐 驱逐
崇	soŋ21	崇 崇高
縮	ɬok055	缩 缩小
終	tsoŋ55	终 终于
衆	tsoŋ33	众 群众
祝	tsok055	祝 庆祝
粥	tsok055	粥 煮粥
充	tsʰoŋ55	充 充分
叔	sok055	叔 叔叔
熟	sok021	熟 煮熟
淑	sok021	淑 淑女；人名
絨	ioŋ21	绒 绒毛，绒线
肉	ȵiok021	肉 肉体
弓	koŋ55	弓 弓箭
宮	koŋ55	宫 天宫，宫殿
菊	kʰok055	菊 菊花
窮	kʰoŋ21	穷 穷人
蓄	tsʰok055	蓄 储蓄
郁	iok055	郁 忧郁（文）
熊	ioŋ21	熊 熊猫
雄	hoŋ21	雄 英雄
融	ioŋ21	融 融化
育	iøʔ021	育 教育
封	foŋ55	封 开封
峯	foŋ55	峰 山峰
鋒	foŋ55	锋 锋利
捧	poŋ35	捧 捧走
逢	foŋ21	逢 相逢
縫	foŋ21	缝 缝衣服
奉	foŋ21	奉 奉献，奉承
俸	foŋ35	俸 俸禄
濃	noŋ21	浓 浓厚
龍	loŋ21	龙 龙头
壟	loŋ35	垄 垄断
綠	lok021	绿 碧绿
錄	lok021	录 记录
蹤	tsoŋ55	踪 踪迹
縱	tsoŋ55	纵 纵横；放纵
足	tsok055	足 满足
從	tsʰoŋ21	从 从容；跟从
促	tsʰok055	促 促进
粟	ɬok055	粟 高粱粟；玉米
松	tsʰoŋ21	松 松树
誦	tsoŋ21	诵 朗诵
頌	tsoŋ21	颂 歌颂
訟	tsoŋ21	讼 诉讼
俗	ɬok021	俗 风俗
續	tsok021	续 连续
寵	tsʰoŋ35	宠 宠爱
重	tsʰoŋ21	重 重复
重	tsʰoŋ13	重 轻重
重	tsʰoŋ13	重 重要
鐘	tsoŋ55	钟 闹钟
盅	tsoŋ55	盅 酒盅
種	tsoŋ35	种 种类（名、量）
腫	tsoŋ35	肿 臃肿
種	tsoŋ33	种 种树（动）
燭	tsok055	烛 蜡烛
囑	tsok055	嘱 遗嘱
衝	tsʰoŋ55	冲 冲锋
觸	tsʰok055	触 接触
贖	sok021	赎 赎罪
舂	tsoŋ55	舂 舂米
束	tsʰok055	束 结束
蜀	tsok055	蜀 蜀国
屬	sok021	属 家属
茸	ioŋ21	茸 参茸
辱	iok021	辱 侮辱
恭	koŋ55	恭 恭敬
供	koŋ55	供 供楼，供不起（动）
拱	koŋ35	拱 拱手
鞏	koŋ35	巩 巩固
供	koŋ33	供 上供，供品（名）
恐	hoŋ35	恐 恐怕
曲	kʰok055	曲 曲折，歌曲
共	koŋ21	共 共同
局	kok021	局 局部
玉	ȵiok021	玉 玉器
獄	ȵiok021	狱 监狱
胸	hoŋ55	胸 心胸
凶	hoŋ55	凶 吉凶；凶恶
雍	ioŋ55	雍 雍正
擁	ȵioŋ35	拥 拥护
壅	oŋ55	壅 壅肥（施肥），壅人（埋人）
容	ioŋ21	容 容易
庸	ioŋ21	庸 平庸
溶	ioŋ21	溶 溶化
勇	ȵioŋ13	勇 勇敢
用	ioŋ21	用 用处
慾	iok021	欲 欲望
浴	iok021	浴 沐浴
攞	lo35	攞 拿
嗰	ko35	嗰 那
屙	o55	屙 屙屎
孖	mɛ55	孖 双生、一双
乸	na13	乸 雌性
嘢	ȵiɛ13	嘢 东西
舦	tʰai13	舦 舵
捭	mɐi55	捭 削
脢	mui21	脢 背脊肉
碓	tui33	碓 木石做成的舂米器具
癐	nui33	癐 累（老）
煲	pou55	煲 煲汤
冇	mou13	冇 没有
佬	lou35	佬 肥佬
嫽	liau35	嫽 调戏、逗弄
撬	kiau21	撬 撬门
踎	mɐu55	踎 蹲
褸	lɐu55	褛 大衣；蒙盖住
睺	hɐu55	睺 盯紧
嬲	nɐu55	嬲 恼怒
抌	tɐm35	抌 用手锤：抌心抌肺
腩	nam13	腩 腹肉：肚腩
啱	ŋaŋ55	啱 合适
啖	tam21	啖 口（量词）：头啖汤
冚	kʰɐp055	冚 盖
諗	nɐm35	谂 思考
腍	nɐm21	腍 黏而软：柿子腍
笪	taʔ021	笪 一种用粗竹篾编成的像席的东西，晾晒粮食用
邋	laʔ021	邋 邋遢
梘	kaŋ35	枧 肥皂：香梘
慳	haŋ55	悭 节省：慳钱
跣	ʋaʔ021	跣 滑
奀	ŋɐŋ55	奀 个子瘦小：奀仔
扤	ɬɐu35	扤 摇动：扤脚
乜	mɐʔ055	乜 什么：乜嘢
圂	ʋɐŋ33	圂 关禁：圂住
搵	ʋɐŋ35	揾 找
簕	laʔ021	簕 刺：簕瓜、簕杜鹃
罌	aŋ55	罂 大腹小口的瓦器，可装酒等
呃	ŋɐʔ055	呃 骗
靚	liaŋ33	靓 漂亮
嚦	liaʔ055	呖 利害、能干：嚦仔
擗	pʰiaʔ033	擗 扔弃
掟	tɐp021	掟 扔：掟石头
壢	liaʔ021	坜 畦
睩	lok055	睩 转眼珠
轆	lok055	辘 轮子
喐	ȵiok055	喐 动：喐手
竂	liu21	竂 棚子：茅竂，鸡竂
炖	tɐŋ21	炖 隔水炖：炖鸡
圳	tsɐŋ33	圳 深圳
戟	kek055	戟 药名：巴戟
珓	kau33	旧时迷信者卜卦用的器具，用两块蚌壳或形似蚌壳的竹木片做成：杯珓
知	tei55	知 知道（白）
子	tsi35	子 孔子（新）
字	tsu21	字 文字（老）
事	ɬu21	事 事情（老）
爪	ȵiau35	爪 脚爪（旧）
劫	kip033	劫 抢劫（新）
珊	saŋ55	珊 珊瑚（新）
憐	leŋ21	怜 可怜（老）
刷	tsʰaʔ033	刷 刷子
泊	pɔʔ021	泊 淡泊
平	pʰiaŋ21	平 路很平（白）
命	miaŋ21	命 一条命（白）
名	miaŋ21	名 名字（白）
領	leŋ13	领 领导（文）
井	tseŋ35	井 井井有条（文）
成	siaŋ21	成 做成（白）
零	liaŋ21	零 十零个（白）
轟	ʋɐŋ55	轰 轰炸（老）
郁	ʋaʔ055	郁 郁闷（白）
癐	kui21	癐 累（新）
多	to55	多
