#漢字	音標	解釋
泥	nɐi231	泥：水～，地～（地板）
犁	lɐi231	犁：耕田用具
黎	lɐi231	黎：～民，～明；姓
禮	lɐi13	礼：～貌
麗	lɐi21	丽：秀～
隸	tɐi21	隶：奴～，～属
擠	tɐi51	挤：拥～，～时间
濟	tɐi35	济：～公，经～
妻	tʰɐi51	妻：夫～
砌	tʰɐi33	砌：～墙
齊	tʰɐi231	齐：～国[文]
齊	tʰɐi231	齐：整～，放～，来～[白]
臍	tɐi35	脐：肚～，～带
劑	tɐi51	剂：一～药，药～
西	ɬɐi51	西：东西南北
棲	tʰɐi51	栖：两～动物
犀	ɬɐi51	犀：～牛
洗	ɬɐi35	洗：～菜，～衣机
細	ɬɐi33	细：粗细，大小
婿	ɬɐi33	婿：女～
雞	kɐi51	鸡：～公（公鸡）
稽	kʰɐi51	稽：～查，滑～
計	kɐi33	计：～算，会～
繼	kɐi33	继：～续，～承
繫	kɐi33	系：～皮带
髻	kɐi33	髻：发髻；鸡～（鸡冠）
溪	kʰɐi51	溪：～水
啟	kʰɐi35	启：～发
契	kʰɐi33	契：房～，～约
倪	ŋɐi21	倪：姓，～萍
奚	kʰɐi51	奚：～落
系	hɐi21	系：中文～，～统
繫	hɐi21	系：联～
係	hɐi21	系：关～[文]
係	hɐi21	系：是[白]
杯	ɓui51	杯：茶～
輩	ɓui33	辈：～分，长～
背	pui33	背：违～，后～
胚	pʰui51	胚：～胎
坯	pʰui51	坯：泥～，毛～房
配	pʰui33	配：分～，搭～
培	pui13	培：～训
陪	pui231	陪：～同
賠	pui21	赔：～钱
倍	pui13	倍：～数
佩	ɓui33	佩：～服
背	ɓui33	背：～书
焙	pui13	焙：～火
梅	mui231	梅：～花
枚	mui51	枚：两～
媒	mui231	媒：～人
煤	mui231	煤：烧～，～矿
玫	mui231	玫：～瑰
每	mui13	每：～只，～日
莓	mui231	莓：草～
妹	mui51	妹：妹妹，姊～，老～
昧	mɐi21	昧：愚～，拾金不～
堆	ɗui51	堆：一～[量]，～放[动]
對	ɗui33	对：～错；成双成～
碓	ɗui33	碓：舂米工具，踏～
推	tʰui51	推：～荐，～动
腿	tʰui35	腿：～部，火～
退	tʰui33	退：后～，～步[文]
退	tʰɐn33	退：向后退[白]
隊	tui21	队：～伍，排～
內	nɔi21	内：～行，～外
雷	lui231	雷：打～，～公；姓
累	lui13	累：劳～
催	tʰui51	催：～促，～眠
崔	tʰui51	崔：姓，～莺莺
摧	tʰui51	摧：～残
罪	tʰui21	罪：得～，犯～[文]
罪	tʰui21	罪：～过（可怜、难受）[白]
碎	ɬui33	碎：～布，破～
盔	fui51	盔：头～，～甲
魁	fui51	魁：～梧，花～
恢	fui51	恢：～复
塊	fai33	块：一～钱，～头
桅	ŋai21	桅：～杆
灰	fui51	灰：石～，～色
賄	fui35	贿：受～，～赂
悔	fui35	悔：后～
晦	fui51	晦：～气
回	vui231	回：～想[文]
回	vui231	回：～礼[白]
茴	vui21	茴：～香
匯	vui21	汇：～报，～款
潰	kʰui33	溃：～疡，胃～疡
煨	vui51	煨：～番薯
蛻	tʰit033	蜕：～变，～皮，～壳
兌	tui21	兑：～水，～换
最	tui33	最：～好
會	vui21	会：～计
劊	kui33	刽：～子手
檜	kʰui33	桧：人名，秦～
外	ŋɐi21	外：～面
會	vui21	会：开～
會	vui21	会：～睡，～来
繪	kʰui33	绘：～图，测～
乖	kʷai51	乖：小孩听话
怪	kʷai33	怪：奇～
懷	vai231	怀：～疑
槐	kʰɐi21	槐：～树
淮	vɐi21	淮：～河，～北
壞	vai21	坏：～人
拐	kʷʰai35	拐：～卖，铁～李
拐	kʷʰɐi35	拐：～脚（瘸腿）
掛	kʷa33	挂：～起来，牵～，～钩
卦	kʷa33	卦：八～
歪	vai51	歪：～风邪气
畫	va21	画：～图，图～
快	fai33	快：～车
筷	fai33	筷：公～
話	va21	话：笑～，讲～[文，名]
話	va21	话：讲～[白，名]
話	kaŋ35	话：说[白，动]
脆	tʰui33	脆：干～[文]
脆	tʰui33	脆：易断[白]
歲	ɬui33	岁：万～，～月[文]
歲	ɬui33	岁：十～，～数[白]
贅	ʃui21	赘：累～，入～
稅	ʃui33	税：交～，～收
衛	vɐi21	卫：～生
銳	tui21	锐：尖～，～角
廢	fɐi33	废：～品，作～
肺	fɐi33	肺：猪～
吠	fɐi21	吠：狗～
穢	vɐi33	秽：淫～，污～
