#漢字	音標	解釋
僅	kɐn35	仅：～～，不～
銀	ŋɐn231	银：金～，～行
釁	jɐn13	衅：挑～
因	ʔɐn51	因：原～
姻	ʔɐn51	姻：婚～
印	ʔɐn33	印：手～
乙	jit033	乙：天干，甲乙丙丁
一	jɐt053	一：数字
寅	jɐn231	寅：地支，子丑寅卯
引	jɐn13	引：吸～
逸	jɐt021	逸：劳～结合
斤	kɐn51	斤：～两
筋	kɐn51	筋：牛～丸
謹	kɐn35	谨：～慎，严～
勁	kʰien21	劲：有～，～敌
訖	ŋɐt053	讫：收～
乞	ŋɐt053	乞：～食，～求
勤	kʰɐn231	勤：～劳
芹	kʰɐn231	芹：～菜
近	kʰɐn13	近：最～，～来[文]
近	kʰɐn13	近：远近[白]
欣	hɐm51	欣：～赏
殷	jɐn51	殷：姓；～勤
隱	jɐn35	隐：～形，～身
癮	jɐn13	瘾：喜欢；烟～
奔	ɓɐn51	奔：～跑，东～西走
本	pun35	本：～来，书～
不	pɐt053	不：～过
噴	pʰɐn33	喷：～水；～嚏
盆	pʰun231	盆：面～（脸盆），～地
笨	pɐn21	笨：～蛋[文]
笨	pɐn21	笨：厚[白]
勃	pok033	勃，蓬～，生机～～
門	mun231	门：关～
悶	mun21	闷：烦～，～热
沒	mok021	没：沉～，～有，出～
敦	ɗɐn51	敦：～厚；伦～（地名）
墩	tɐn35	墩：桥～
頓	ɗɐn35	顿：停～，～脚
褪	tʰui33	褪：～色
屯	tɐn35	屯：～田
豚	tin231	豚：海～
囤	tɐn35	囤：～积
沌	ʃɐn21	沌：混～
盾	tɐn21	盾：矛～
鈍	tɐn21	钝：迟～，～角
遁	tɐn21	遁：逃～
凸	tɐt021	凸：～起
突	tɐt021	突：～然
突	tɐt021	突：～出
嫩	nin21	嫩：不老
論	lɐn231	论：～语
崙	lɐn231	仑：昆～
論	lɐn21	论：议～，～文
尊	ʧin51	尊：～重
卒	ɬɐt053	卒：兵～，小～
村	tʰin51	村：～长
寸	tʰin21	寸：尺～
猝	tʰui33	猝：仓～，～死
存	tʰin231	存：～在，～折，储～
蹲	tin51	蹲：～马（扎马步）[文]
蹲	tin51	蹲：蹲下[白]
孫	ɬin51	孙：姓；子～
損	ɬin35	损：～坏
遜	ɬin21	逊：～色，谦～
昆	kʷʰɐn51	昆：～明，～虫
滾	kʷɐn35	滚：～动；水开
棍	kʷɐn33	棍：长～
骨	kʷɐt053	骨：～头
坤	kʷʰɐn51	坤：乾～
綑	kʷʰɐn35	捆：～绑
困	kʷʰɐn33	困：～难
窟	kʷʰɐn51	窟：～窿[文]
窟	hɐm35	窟：小坑[白]
昏	vɐn51	昏：黄～
婚	fɐn51	婚：结～
忽	fɐt053	忽：～然
魂	vɐn13	魂：灵～
渾	vɐn21	浑：～浊[文]
渾	vɐn21	浑：水浑[白]
混	kʷɐn35	混：～淆，相～
核	hɐt021	核：～心，～对[文]
核	vɐt021	核：龙眼～[白]
核	vɐt021	核：～卵（睾丸）[白]
溫	vɐn51	温：～度，～和
瘟	vɐn51	瘟：鸡～
穩	vɐn35	稳：～定，求～
倫	lun231	伦：～理，天～之乐
淪	lun231	沦：沉～
輪	lun231	轮：车～，～流
律	lɐt021	律：法～，～师
率	lɐt021	率：效～
遵	tin51	遵：～守
俊	tɐn33	俊：英～
筍	ɬɐn35	笋：竹～
榫	ɬɐn35	榫：～头（接合处）
迅	ɬɐn33	迅：～速
戌	ɬɐt053	戌：戊～变法
恤	ɬiet053	恤：体～，抚～
旬	tʰɐn231	旬：上～
循	tɐn21	循：遵～，～环
巡	tʰɐn231	巡：～逻，出～
殉	tʰɐn21	殉：～职，～情
椿	ʧʰɐn51	椿：～树，香～
朮	ʃɐt021	朮：白～（中药）
率	ɬɐt053	率：～领
蟀	ɬɐt053	蟀：蟋～
準	ʧɐn35	准：瞄～，～则
准	ʧɐn35	准：批～，～确
春	ʧʰɐn51	春：立～
蠢	ʧʰɐn35	蠢：～才
出	ʧʰɐt053	出：～入，～发
脣	ʃɐn231	唇：嘴～[文]
脣	ʃɐn231	唇：嘴～[训，舷]
順	ʃɐn21	顺：～利，～风
術	ʃɐt021	术：技～
述	ʃɐt021	述：叙～
舜	ɬɐn33	舜：尧～
純	ʃɐn21	纯：单～，～粹
醇	ʃɐn21	醇：酒味～
潤	ȵɐn21	润：利～，～色
閏	ȵɐn21	闰：～月
均	kʷɐn51	均：平～，～匀
鈞	kʷɐn51	钧：千～一发
橘	kɐt021	橘：橘子
菌	kʷʰɐn35	菌：细～
勻	jɐn231	匀：均～
允	vɐn13	允：～许
尹	vɐn13	尹：姓，～相杰
分	fɐn51	分：～数，区～[文]
分	fɐn51	分：给[白]
粉	fɐn35	粉：～笔，面～[文]
粉	fɐn35	粉：～松[白]
糞	fɐn33	粪：粪便
奮	fɐn13	奋：～斗
芬	fɐn51	芬：～芳
紛	fɐn51	纷：纠～
彿	fɐt053	佛：仿～
焚	fɐn13	焚：～烧
墳	fɐn231	坟：～墓，上～
憤	fɐn231	愤：气～，～怒
忿	fɐn13	忿：～～不平
份	fɐn21	份：～量
佛	fɐt021	佛：拜～
文	mɐn231	文：～章，论～
紋	mɐn231	纹：花～
蚊	mɐn51	蚊：～香
聞	mɐn231	闻：新～
吻	mɐn13	吻：接～
刎	mɐn13	刎：自～
問	mɐn21	问：～题
物	mɐt021	物：～理[文]
物	mɐt021	物：～件[白]
勿	mɐt021	勿：非礼～视
君	kʷɐn51	君：～子
軍	kʷɐn51	军：～队，参～
屈	kʷʰɐt053	屈：委～，～服[文]
屈	kʷʰɐt053	屈：委屈，～气[白]
羣	kʷʰɐn231	群：～众
裙	kʷʰɐn231	裙：裙子
郡	kʷʰɐn231	郡：～主
掘	kʷʰɐt021	掘：挖～
倔	kʷʰɐt053	倔：～强
熏	fɐn51	熏：～陶，烟～人[文]
熏	fɐn51	熏：烟～人,～蚊[白]
勳	fɐn51	勋：～章
薰	fɐn51	薰：～衣草
葷	vɐn21	荤：～素
訓	fɐn33	训：教～，～人
熨	tʰɔn33	熨：～斗[训]
云	vɐn231	云：古人～
雲	vɐn231	云：乌～
韻	vɐn21	韵：押～，～律
運	vɐn21	运：～气，好～
暈	vɐn21	晕：～车，头～[训]
幫	ɓɔŋ51	帮：～忙
榜	ɓɔŋ35	榜：～样
謗	ɓɔŋ35	谤：诽～
博	ɓɔk033	博：～士，广～
滂	pʰɔn231	滂：～沱
泊	pʰɔk021	泊：梁山～
旁	pʰɔŋ231	旁：～边
螃	pʰɔŋ231	螃：～蟹
傍	pʰɔŋ231	傍：～晚
傍	pʰɔŋ231	傍：～菜（以菜送饭）
薄	pɔk021	薄：不厚，～弱
泊	pɔk021	泊：停～，淡～
忙	mɔŋ231	忙：农～，～碌
芒	mɔŋ51	芒：～种[节气]
茫	mɔŋ51	茫：白～～，～然
莽	mɔŋ35	莽：鲁～
蟒	mɔŋ35	蟒：～蛇
莫	mɔk021	莫：不要，～非
膜	mɔk021	膜：薄～
幕	məu21	幕：报～，～布
寞	mɔk021	寞：寂～
摸	məu51	摸：偷偷～～[文]
摸	məu51	摸：～来～去[白]
當	ɗɔŋ51	当：～时，应～，～官
襠	nɔŋ21	裆：裤～
襠	nɔŋ21	裆：裤～[白]
黨	ɗɔŋ35	党：入～，～员
擋	ɗɔŋ35	挡：阻～，～风
當	ɗɔŋ33	当：～铺，恰～；唔～（不如）
檔	ɗɔŋ35	档：～案
湯	tʰɔŋ51	汤：煮～；姓
倘	tʰɔŋ35	倘：～使
躺	tʰɔŋ231	躺：平～
燙	tʰɔŋ51	烫：～手
趟	tʰɔŋ33	趟：两～
託	tʰɔk033	托：～词，推～
托	tʰɔk033	托：手承物，～盘
堂	tɔŋ231	堂：～兄，拜～，课～
棠	tɔŋ231	棠：海～
螳	tɔŋ231	螳：～螂
唐	tɔŋ231	唐：～朝；姓
糖	tɔŋ231	糖：白～
塘	tɔŋ231	塘：鱼～
蕩	tɔŋ21	荡：放～，扫～
盪	tɔŋ21	荡：过水，～嘴，～碗[白]
度	təu21	度：思～
囊	nɔŋ231	囊：背～
諾	nɔk021	诺：承～，～言
郞	lɔŋ231	郎：新～；姓，～平
廊	lɔŋ231	廊：走～
狼	lɔŋ231	狼：～狈，豺～
螂	lɔŋ231	螂：螳～
朗	lɔŋ13	朗：～诵，明～
浪	lɔŋ21	浪：风～，～费
落	lɔk021	落：下落
烙	lɔk033	烙：～印
駱	lɔk033	骆：～驼
洛	lɔk033	洛：～阳（地名）
絡	lɔk033	络：联～
樂	lɔk021	乐：～观，快～
贓	tɔŋ51	赃：～款，贪～枉法
髒	tɔŋ51	脏：肮～
葬	tɔŋ33	葬：埋～，落～
作	tɔk033	作：工～，种～
倉	tʰɔŋ51	仓：～库
蒼	tʰɔŋ51	苍：～白
錯	tʰɔ33	错：～开，～杂
藏	tʰɔŋ231	藏：隐～
藏	tʰɔŋ231	藏：西～，～族
臟	ʧʰɔŋ21	脏：内～
鑿	tʰɔk021	凿：用凿子凿
昨	tʰok021	昨：昨天
桑	ɬɔŋ51	桑：～叶
喪	ɬɔŋ33	丧：婚～，～事
嗓	ɬɔŋ51	嗓：金～子
喪	ɬɔŋ33	丧：～失
索	ɬɔk033	索：绳子，线～
岡	kɔŋ51	冈：井～山（地名）
崗	kɔŋ51	岗：站～，～位
剛	kɔŋ51	刚：～才，～好
綱	kɔŋ51	纲：～常，大～
鋼	kɔŋ33	钢：炼～，～笔
缸	kɔŋ51	缸：水～
杠	koŋ33	杠：高低～
各	kɔk033	各：～人
閣	kɔk033	阁：～楼；～下
擱	kɔk033	搁：耽～
康	hɔŋ51	康：健～
糠	hɔŋ51	糠：谷～
慷	hɔŋ51	慷：～慨
抗	kʰɔŋ33	抗：反～，～战
囥	ʃɐu51	囥：藏
昂	ŋɔŋ13	昂：～首挺胸，气～～
鄂	ŋɔk021	鄂：湖北简称
鰐	ŋɔk021	鳄：～鱼
行	hɔŋ231	行：银～
航	hɔŋ231	航：～行，～线
杭	hɔŋ21	杭：～州
鶴	hæp021	鹤：仙～
骯	han51	肮： ～脏
惡	vu33	恶：厌～
娘	nian231	娘：姑～
釀	nian13	酿：～豆腐[训]
良	lian21	良：～好，优～
凉	liaŋ231	凉：天～
量	lian21	量：衡～，～尺寸
糧	lian231	粮：～食
樑	lian21	梁：姓；～山（地名）
粱	lian231	粱：高～，黄～美梦
兩	lian35	两：～个
兩	lian35	两：半斤八～
亮	lian21	亮：明～
諒	lian21	谅：原～，～解
輛	lian35	辆：车～，两～
量	lian21	量：数～
略	liɛt021	略：省～
掠	liɛt021	掠：～夺
將	tian51	将：～来；～军
漿	tian33	浆：豆～，～糊
蔣	tian35	蒋：姓，～介石
獎	tian35	奖：～金，得～
槳	tian33	桨：船～
醬	tian33	酱：沙茶～，辣椒～
將	tian33	将：大～，～士
爵	tʰiɛt033	爵：官～，～位
雀	tʰiɛt033	雀：麻～，～斑
槍	tʰian51	枪：手～
搶	tʰian35	抢：～劫
鵲	ʧiɛt033	鹊：喜～，鸦～
牆	tʰiaŋ231	墙：～壁
匠	tʰiaŋ21	匠：木～
嚼	ʧʰiɛt033	嚼：咀～，～碎
相	ɬiaŋ51	相：互～，～打（打架）
箱	ɬiaŋ51	箱：皮～
廂	ɬiaŋ51	厢：～房，车～
湘	ɬiaŋ51	湘：湖南简称，～江
襄	ɬiaŋ51	襄：～阳（地名）
鑲	ɬiaŋ51	镶：～牙
想	ɬiaŋ35	想：～法，思～
相	ɬiaŋ33	相：宰～，看～，～貌
削	ɬiɛt033	削：～皮，剥～
詳	tʰiaŋ231	详：～细
祥	tʰiaŋ231	祥：慈～，吉～
象	tʰiaŋ21	象：气～
象	tʰiaŋ21	象：大～
象	tʰiaŋ21	象：印～，想～
像	tʰiaŋ21	像：好～，相～
像	tʰiaŋ21	像：头～，～章
橡	tʰiaŋ21	橡：～胶，～树
張	ʧian51	张：紧～；姓；装东西
長	ʧʰiaŋ231	长：生～，省～
漲	ʧian33	涨：～价，～潮
帳	ʧian33	帐：蚊～
賬	ʧian33	账：算～，～簿
脹	ʧian33	胀：～肚，膨～
着	ʧʰiɛt021	着：～衫（穿衣服）
暢	ʧʰian35	畅：～快，通～
長	ʧʰian231	长：～期，～短
腸	ʧʰian231	肠：猪～，～胃
場	ʧʰian231	场：排～，～地
丈	ʧʰian21	丈：三丈
丈	ʧʰian13	丈：姑～
仗	ʧian33	仗：打～；炮～（鞭炮）
杖	ʧʰian21	杖：拐～
着	ʧʰiɛt021	着：～火
莊	ʧɔn51	庄：～园；姓
裝	ʧɔn51	装：假～
妝	ʧɔn51	妆：化～
壯	ʧɔn33	壮：强～
瘡	tʰɔŋ51	疮：痔～
闖	ʧʰɔŋ35	闯：～祸，李～王
創	ʧʰɔŋ35	创：开～，～造
牀	ʃɔŋ231	床：眠～
狀	ʃɔŋ21	状：告～，～元，～态
霜	ʃɔŋ51	霜：落～，～降
孀	ʃɔŋ51	孀：遗～
爽	ʃɔŋ35	爽：～快，直～
章	ʧian51	章：姓；文～
樟	ʧian51	樟：～脑丸；～木头（地名）
掌	ʧian35	掌：巴～，～握
障	ʧian33	障：保～
瘴	ʧian33	瘴：～气
嶂	ʧian51	嶂：耸立如屏障的山峰
酌	ʧiɛt033	酌：斟～，～情
昌	ʧʰian51	昌：～盛
廠	ʧʰɔŋ35	厂：～长
唱	ʧʰian33	唱：～歌
倡	ʧʰian51	倡：提～
綽	ʧʰɔk033	绰：～～有余，～号
商	ʃian51	商：～量，经～
傷	ʃian51	伤：受～
賞	ʃian35	赏：欣～，～金
餉	hian35	饷：军～
常	ʃian231	常：经～，～识；姓
嘗	ʃian35	尝：～试，品～
償	ʃiaŋ231	偿：赔～
上	ʃiaŋ13	上：～山[动]
上	ʃiaŋ13	上：安上，～灯，～灯泡
尙	ʃian21	尚：和～，高～
上	ʃian21	上：～背[方位]；～海（地名）
上	ʃian21	上：桌～，床～
勺	ʃiɛt021	勺：饭～
芍	ʧiɛt021	芍：～药；白～（中药）
瓤	nɔŋ231	瓤：瓜～
壤	ȵiaŋ231	壤：土～
讓	ȵiaŋ21	让：～位
若	ȵiɛt021	若：～干，～无其事
弱	ȵiɛt021	弱：～点
疆	kiaŋ51	疆：新～（地名）
僵	kiaŋ51	僵：冻～，～硬
薑	kiaŋ51	姜：～糖
繮	kiaŋ51	缰：～绳
姜	kiaŋ51	姜：姓，孟～女，～太公
腳	kiɛt033	脚：赤～
強	kʰiaŋ21	强：～大，坚～
強	kʰiaŋ13	强：勉～
卻	kʰiɛt033	却：退～，～步
仰	ȵiaŋ13	仰：～视
虐	ȵiɛt021	虐：～待
香	hiaŋ51	香：～味，烧～；～港（地名）
鄕	hian51	乡：家～
享	hian35	享：～受，分～
響	hiaŋ35	响：音～
向	hian33	向：～东
央	jian51	央：中～台，党中～[文]
央	jiaŋ51	央：中～（中间）[白]
秧	jiaŋ51	秧：插～，～苗
殃	jian51	殃：遭～，～及
約	jit033	约：大～，～会
羊	jiaŋ231	羊
洋	jiaŋ231	洋：太平～
楊	jiaŋ231	杨：姓；～树
陽	jiaŋ231	阳：太～；揭～（地名）
揚	jiaŋ231	扬：表～，发～
瘍	jiaŋ231	疡：溃～
養	jiaŋ13	养：培～，～猪
癢	jiaŋ13	痒：皮肤痒
樣	jiaŋ21	样：一～
樣	jiaŋ21	样：～般
藥	jiɛt021	药：中～，～片
躍	ȵiɛt021	跃：跳～，大～进
光	kɔŋ51	光：阳～，～明
廣	kɔŋ35	广：推～；～东（地名）
郭	kɔk033	郭：姓，～靖
曠	kʰɔŋ33	旷：空～，～课
廓	kɔk033	廓：轮～
擴	kʰɔŋ33	扩：～充，～大
荒	fɔŋ51	荒：开～，～唐
慌	fɔŋ51	慌：～张，心～
謊	fɔŋ51	谎：说～
霍	fɔk033	霍：姓；～乱
藿	hɔk033	藿：～香（中药）
黃	vɔŋ231	黄：姓；～色
簧	vɔŋ231	簧：弹～
皇	vɔŋ21	皇：～帝
蝗	vɔŋ21	蝗：～虫
凰	vɔŋ21	凰：凤～
晃	fɔŋ35	晃：摇～，～动
晃	fɔŋ35	晃：～光
鑊	vɔk021	镬：锅
汪	vɔŋ51	汪：姓，～洋
方	fɔŋ51	方：地～，大～
肪	fɔŋ51	肪：脂～
倣	fɔŋ35	仿：～效
放	fɔŋ33	放：解～，～心[文]
放	fɔŋ33	放：～手[白]
芳	fɔŋ51	芳：～香
妨	fɔŋ231	妨：～碍
紡	fɔŋ35	纺：～织
仿	fɔŋ35	仿：～照，相～
彷	fɔŋ35	彷：～佛
訪	fɔŋ35	访：采～，～问
房	fɔŋ231	房：～间
房	fɔŋ231	房：姓，～玄龄
防	fɔŋ21	防：～止，国～
亡	mɔŋ231	亡：死～
芒	mɔŋ51	芒：～果
芒	mɔŋ51	芒：～花草（可制扫帚）
網	mɔŋ13	网：鱼～，～络
忘	mɔŋ21	忘：～记，遗～[文]
忘	mɔŋ21	忘：～记，遗～[白]
忘	mɔŋ21	忘：添～（忘记）[白]
妄	mɔŋ13	妄：狂～，痴心～想
望	mɔŋ21	望：失～
縛	fɔk021	缚：束～
钁	ʧʰɔ21	钁：锄头，～锄，～头
匡	vɔŋ51	匡：～扶正义；赵～胤（人名）
筐	vɔŋ51	筐：箩～，两～[文]
筐	vɔŋ51	筐：两～[白]
眶	vɔŋ51	眶：眼眶
狂	kʰɔŋ21	狂：发～
況	kʰɔŋ33	况：情～，～且
枉	vɔŋ35	枉：冤～
王	vɔŋ13	王：姓；大～
往	vɔŋ13	往：来～，～日
旺	vɔŋ21	旺：兴～
邦	ɓɔŋ51	邦：～国；刘～（人名）
綁	ɓɔŋ35	绑：捆～
剝	mæk033	剥：～削，～皮
駁	ɓɔk033	驳：反～
胖	pun21	胖：～子，肥～
樸	pʰɔk033	朴：～素
龐	pɔŋ21	庞：～大；姓，～太师
棒	paŋ13	棒：棍～，～打鸳鸯
蚌	foŋ51	蚌：～埠（地名）
蚌	foŋ51	蚌：～壳
雹	pau51	雹：冰～
樁	ʧʰɔŋ51	桩：打～
桌	ʧʰɔk033	桌：书～
卓	ʧʰɔk033	卓：～越；姓，～别林
琢	ʧʰɔk021	琢：～磨，雕～
啄	ʧʰɔk033	啄：～木鸟，鸡～米
撞	ʧʰɔŋ21	撞：～人
濁	ʧʰok021	浊：浑～
捉	ʧɔk033	捉：捕～，～棋（下棋）
窗	tʰɔŋ51	窗：门～，～帘
鐲	ʧok053	镯：手～
雙	ʃɔŋ51	双：一～鞋
朔	ʃɔk033	朔：每月初一，～望
江	kaŋ51	江：长～，～湖
扛	kʰɔŋ51	扛：肩扛，双手抬
講	kaŋ35	讲：～话
港	kɔŋ35	港：～口；香～（地名）
降	kaŋ33	降：下～，～低
虹	kaŋ33	虹：彩～
覺	kæk033	觉：～得，知～
角	kæk033	角：牛～，～色
餃	kau35	饺：饺子，水～
腔	hɔŋ51	腔：口～
確	kʰɔk033	确：～定，的～
殼	hæk033	壳：贝～
嶽	ŋæk021	岳：五～
岳	ŋæk021	岳：姓，～飞
樂	ŋɔk021	乐：音～
降	kaŋ33	降：投～
項	hɔŋ13	项：～链；姓，～羽
巷	haŋ21	巷：巷子，两条～
學	hæk021	学：数～，～习
握	æk033	握：～手，把～
崩	ɓɐŋ51	崩：倒塌，山～，～溃
北	ɓɐt053	北：东南西北
朋	paŋ231	朋：～友
墨	mɐt021	墨：～水
默	mɐt021	默：沉～，～写
登	ɗɐŋ51	登：～山，攀～
燈	ɗɐŋ51	灯：～光
等	ɗɐŋ35	等：～人，高～
凳	ɗɐŋ33	凳：凳子
得	ɗɐt053	得：获～，～意
德	ɗɐt053	德：品～；～国（国名）
騰	tɐŋ231	腾：奔～
藤	tɐŋ231	藤：～椅
疼	toŋ33	疼：疼痛
鄧	tɐŋ21	邓：姓，～小平
特	tɐt021	特：～别
能	nɐŋ231	能：才～，～够
肋	lɐt021	肋：～骨
勒	lɐt021	勒：～索
曾	tɐŋ51	曾：姓
增	tɐŋ51	增：～加
憎	tɐŋ51	憎：～恨
則	tɐt053	则：否～，规～
蹭	tɐŋ51	蹭：磨～
曾	tʰɐŋ21	曾：～经
層	tʰɐŋ231	层：～次
贈	tʰɐŋ21	赠：～送
賊	tʰɐt021	贼：做～
僧	ʧɐŋ51	僧：唐～，沙～
僧	ɬɐŋ51	僧：～人
塞	ɬɐt053	塞：堵～，～车
肯	hɐŋ35	肯：～定，中～[文]
肯	hɐŋ35	肯：愿意，～去[白]
刻	hɐt053	刻：时～ ，～画[文]
刻	hɐt053	刻：～字[白]
克	hɐt053	克：～服，攻～
黑	hɐt053	黑：～白
恆	hɐŋ21	恒：～心，永～
冰	ɓieŋ51	冰：结～，～箱
憑	pɐŋ231	凭：文～，～借[文]
憑	pɐŋ231	凭：倚靠，～墙[白]
匿	nɔk021	匿：～名信
陵	lieŋ231	陵：中山～
淩	lieŋ231	凌：冰淇～，壮志～云
力	liet021	力：大～，～量
卽	tɐt053	即：～时，立～
鯽	tɐt053	鲫：～鱼
息	ɬiet053	息：休～[文]
息	ɬiet053	息：子息，孙～[白]
熄	ɬiet053	熄：～火
媳	ɬiet053	媳：～妇，婆～
徵	ʧieŋ51	征：～求
澄	kʰieŋ21	澄：～清[文]
澄	kʰieŋ21	澄：水浑，澄一澄[白]
澄	kʰieŋ21	澄：～海（地名）[白]
懲	ʧʰieŋ21	惩：～罚，严～
橙	ʧʰaŋ21	橙：橙子
瞪	tɐŋ51	瞪：瞪眼，目～口呆[文]
瞪	tɐŋ51	瞪：瞪眼[白]
直	ʧiet021	直：～接
値	ʧiet021	值：价～，～日
側	tɐt053	侧：～面
測	ʧʰɐt053	测：～量，观～
色	ʃiet053	色：颜～，～彩
蒸	ʧieŋ51	蒸：清～，～发
拯	ʧʰam33	拯：～救；包～（人名）
證	ʧien33	证：～明
症	ʧien33	症：～状
織	ʧiet053	织：纺～，～布
職	ʧiet053	职：～位，称～
稱	ʧʰieŋ51	称：～心如意
稱	ʧʰieŋ51	称：～呼
秤	ʧʰieŋ33	秤：用以称物，～砣
乘	ʃieŋ21	乘：～机，～车
乘	ʃieŋ21	乘：加减乘除
繩	ʃieŋ231	绳：～之以法
塍	ʃieŋ231	塍：田～
剩	ʃieŋ21	剩：～下，～余
食	ʃiet021	食：粮～；吃
蝕	ʧʰok021	蚀：腐～
升	ʃieŋ51	升：～级
勝	ʃieŋ33	胜：～任
勝	ʃieŋ33	胜：～利，战～
識	ʃiet053	识：相～，～字
式	ʃiet053	式：～样，公～
飾	ʃiet053	饰：装～
承	ʃieŋ21	承：～担，继～
丞	ʃieŋ21	丞：～相
殖	ʧʰiet021	殖：繁～
植	ʧʰiet021	植：～物
仍	ŋieŋ231	仍：～然
極	kʰiet021	极：南～
凝	ŋɐŋ21	凝：～聚，～结
凝	ŋɐŋ21	凝：凝固，～油[训]
凝	ŋɐŋ21	凝：冰霜，霜～[训]
興	hieŋ51	兴：～旺；绍～（地名）
興	hieŋ33	兴：高～，～趣[文]
興	hieŋ33	兴：高兴[白]
應	ʔieŋ51	应：～当，～该
應	ʔieŋ51	应：～用，响～
鷹	ʔieŋ51	鹰：老～
憶	ʔit053	忆：回～
億	ʔiet053	亿：十～
抑	ʔiet053	抑：～制，压～
蠅	jieŋ231	蝇：乌～（苍蝇）
孕	jieŋ21	孕：怀～，～妇
翼	jiet021	翼：鸡～，机～
國	kɔk033	国：～家，中～
弘	vɐŋ21	弘：～扬
或	væk021	或：～者
惑	væk021	惑：迷～
域	væk021	域：领～，地～
百	ɓæk033	百：～姓
柏	ɓæk033	柏：松～，～树；～林（地名）
伯	ɓæk033	伯：大～
迫	pʰæk033	迫：压～，～害[训]
烹	pʰaŋ51	烹：～调
拍	pʰæk033	拍：～片，～球
珀	pæk033	珀：琥～
魄	pʰæk033	魄：魂～，气～
彭	paŋ231	彭：姓，～德怀
膨	paŋ21	膨：～胀
白	pæk021	白：～色
盲	maŋ231	盲：文～，～目
虻	mɔŋ51	虻：牛～
猛	maŋ13	猛：～烈，凶～
孟	maŋ21	孟：姓，～姜女
?	pʰæk033	?：大力打
陌	pæk021	陌：～生人
打	ɗa35	打：～针
冷	lan13	冷：～热，～清
撐	ʧʰan33	撑：支～，～开
拆	ʧʰæk033	拆：～开
澤	ʧʰæk021	泽：毛～东（人名）
擇	ʧʰæk021	择：选～[文]
擇	ʧʰæk021	择：～菜[白]
宅	ʧʰæk021	宅：住～
窄	ʧæk033	窄：狭～
生	ʃan51	生：学～，～活[文]
生	ʃan51	生：与“死”相对[白]
牲	ʃan51	牲：牺～[文]
牲	ʃan51	牲：头～[白]
甥	ʃan51	甥：外～
省	ʃan35	省：～长，节～[文]
省	ʃan35	省：节省，～钱[白]
更	kan51	更：～换，～衣
更	kan51	更：五～
庚	kan51	庚：天干，庚辛壬癸
羹	kan51	羹：调～；米糊
哽	kʰɔŋ35	哽：哽住，骨头～到
梗	kan35	梗：心肌～塞[文]
梗	kan35	梗：茎，菜～[白]
更	kan33	更：～加
格	kæk033	格：～式；还珠～～[文]
格	kæk033	格：空～，三～[白]
坑	han51	坑：水～，～沟
客	hæk033	客：请～
硬	ŋaŋ21	硬：软～
額	ŋæk021	额：名～
亨	han51	亨：～通；～特（人名）
赫	hæk033	赫：～～有名，显～
嚇	hæk033	吓：～一跳
行	haŋ231	行：～为；行走
衡	haŋ21	衡：～量，平～
杏	hɐŋ21	杏：～仁
行	haŋ231	行：品～
浜	ɓieŋ51	浜：沙家～
擘	mɐt053	擘：用手分开，～开
棚	paŋ231	棚：楼～，瓜～
萌	mieŋ231	萌：～芽
氓	mɐŋ231	氓：流～
麥	mɐt021	麦：小～，～芽糖
脈	mɐt021	脉：～搏，把～
摘	ʧæk033	摘：～菜
爭	ʧan51	争：～取，斗～[文]
爭	ʧan51	争：相～，～唔多（差不多）[白]
箏	ʧan51	筝：风～
睜	ʧʰan33	睁：～眼
責	ʧæk033	责：～任，负～
策	ʧʰæk033	策：～划，政～
冊	ʧʰæk033	册：两～，～封
耕	kan51	耕：～田
耿	kɐŋ35	耿：忠心～～；姓，～精忠
革	kæk033	革：～命，改～
隔	kæk033	隔：～壁
莖	kien33	茎：根；莲～
幸	hɐŋ21	幸：荣～，～福
鶯	ʔɐŋ51	莺：黄～，夜～
鸚	ʔieŋ51	鹦：～鹉
櫻	ʔieŋ51	樱：～桃
扼	ʔæk033	扼：～杀，～制
軛	ʔæk033	轭：牛～（牛耕田时套的人字形工具）
兵	ɓien51	兵：当～
丙	ɓieŋ35	丙：天干，甲乙丙丁
秉	pieŋ35	秉：～持，～公办事
柄	ɓieŋ33	柄：刀～，把～
碧	ɓiet053	碧：～玉，～绿
平	pieŋ231	平：和～，～时[文]
平	pieŋ231	平：～头，～地[白]
坪	pieŋ231	坪：草～
評	pieŋ231	评：批～，～论
病	pieŋ21	病：～人
鳴	mieŋ231	鸣：～叫
明	mieŋ231	明：～白，清～[文]
明	mieŋ231	明：清～[白]
盟	mɐŋ231	盟：同～，～友
皿	mɐŋ13	皿：器～
命	mieŋ21	命：～令[文]
命	mieŋ21	命：～运，算～[白]
京	kieŋ51	京：北～，～剧
荊	kieŋ51	荆：～州（地名）[文]
荊	kieŋ51	荆：布～子（中药）[白]
驚	kieŋ51	惊：害怕；～蛰
境	kieŋ35	境：环～，～界
景	kieŋ35	景：～色，风～
警	kieŋ35	警：～察，报～
敬	kieŋ33	敬：尊～，～酒
竟	kieŋ35	竟：～然
鏡	kieŋ33	镜：镜子
卿	hieŋ51	卿：～家；人名用字
慶	hieŋ33	庆：～祝
擎	kieŋ33	擎：举起，～旗
鯨	kieŋ51	鲸：～鱼
競	kʰieŋ21	竞：～争，～赛
劇	kʰiet021	剧：～烈，京～[文]
劇	kʰiet021	剧：快[白]
屐	kʰiet021	屐：木～
