#漢字	音標	解釋
玫	mui21	玫：～瑰
每	mui13	每：～只，～日
莓	mui21	莓：草～
妹	mui35	妹：妹妹，姊～，老～
昧	mei31	昧：愚～，拾金不～
堆	tœy55	堆：一～[量]，～放[动]
對	tœy33	对：～错；成双成～
碓	tɔi33	碓：舂米工具，踏～
推	tʰœy55	推：～荐，～动
腿	tʰœy35	腿：～部，火～
退	tʰɔi33	退：后～，～步[文]
退	tʰɔi33	退：向后退[白]
隊	tɔi31	队：～伍，排～
內	nɔi31	内：～行，～外
雷	lœy21	雷：打～，～公；姓
累	lœy31	累：劳～
催	tʃʰœy55	催：～促，～眠
崔	tʃʰœy55	崔：姓，～莺莺
摧	tʃʰœy55	摧：～残
罪	tʃœy31	罪：得～，犯～[文]
罪	tʃœy31	罪：～过（可怜、难受）[白]
碎	ʃœy33	碎：～布，破～
盔	kʰuɐi55	盔：头～，～甲
魁	fui53	魁：～梧，花～
恢	fui55	恢：～复
塊	fai33	块：一～钱，～头
桅	ŋɐi21	桅：～杆
灰	fui55	灰：石～，～色
賄	kʰui35	贿：受～，～赂
悔	fui33	悔：后～
晦	fui33	晦：～气
回	wui21	回：～想[文]
回	wui21	回：～礼[白]
茴	wui21	茴：～香
匯	wui31	汇：～报，～款
潰	kʰui35	溃：～疡，胃～疡
煨	wui55	煨：～番薯
蛻	tʰyt3	蜕：～变，～皮，～壳
兌	kʰɐu53	兑：～水，～换
最	tʃœy33	最：～好
會	wui31	会：～计
劊	kʰui35	刽：～子手
檜	kʰui35	桧：人名，秦～
外	ŋɔi31	外：～面
會	wui35	会：开～
會	wui35	会：～睡，～来
繪	kʰui35	绘：～图，测～
乖	kuai55	乖：小孩听话
怪	kuai33	怪：奇～
懷	wai21	怀：～疑
槐	wai21	槐：～树
淮	wai21	淮：～河，～北
壞	wai31	坏：～人
拐	kuai35	拐：～卖，铁～李
拐	kuai35	拐：～脚（瘸腿）
掛	kua33	挂：～起来，牵～，～钩
卦	kuai33	卦：八～
歪	wai55	歪：～风邪气
畫	wa35	画：～图，图～
快	fai13	快：～车
筷	fai33	筷：公～
話	wa31	话：笑～，讲～[文，名]
話	wa31	话：讲～[白，名]
話	wa31	话：说[白，动]
脆	tʃʰœy33	脆：干～[文]
脆	tʃʰœy33	脆：易断[白]
歲	ʃœy33	岁：万～，～月[文]
歲	ʃœy33	岁：十～，～数[白]
綴	tʃœy31	缀：点～
贅	tʃœy31	赘：累～，入～
稅	ʃœy33	税：交～，～收
衛	wɐi31	卫：～生
銳	jœy31	锐：尖～，～角
廢	fɐi33	废：～品，作～
肺	fɐi33	肺：猪～
吠	fɐi31	吠：狗～
穢	wɐi33	秽：淫～，污～
圭	kuɐi55	圭：人名用字；乌拉～
閨	kuɐi55	闺：～房
桂	kuɐi33	桂：～花
奎	fui55	奎：人名用字；～宁（药名）
攜	kʰuɐi21	携：～带，提～
惠	wɐi31	惠：～州，优～
