#漢字	音標	解釋
閂	ʃin31	闩：门闩
拴	ʃin31	拴：捆绑
涮	ʃin31	涮：涮洗
刷	ʃit031	刷：牙刷，刷子
關	ʃin33	关：关门，关心
慣	ʃit051	惯：习惯，惯用
摜	ʃit051	掼：扔，摔掉，跌
刮	ʃit051	刮：刮胡子，搜刮
還	ʒin33	还：还有
環	ʒin33	环：环境，菜篮环
患	ʒun33	患：忧患，患病
宦	ȵit051	宦：宦官
彎	kin35	弯：弯曲，转弯
灣	kin35	湾：海湾，港湾
戀	kin33	恋：恋爱，留恋
劣	kin33	劣：恶劣，伪劣
全	kin31	全：全部，安全
泉	kin33	泉：泉水，喷泉
絕	kit031	绝：断子绝孙，绝对
宣	kʰit031	宣：宣传，宣布
選	kit031	选：选举，挑选
雪	kʰin35	雪：下雪，雪白
轉	kʰin51	转：转送，转学，翻转
轉	kʰin51	转：转圆圈，转毛线
傳	kʰin51	传：传达，流传
篆	kʰit051	篆：小篆，篆书
傳	ʒin51	传：传记，水浒传
專	kʰit031	专：大专，专门
磚	ʒin35	砖：砖头
拙	ʒin35	拙：笨拙，拙劣
川	ʒin31	川：四川，川流不息
穿	ʒin35	穿：穿针，贯穿，穿衣服
串	ʒin31	串：一串，串通
船	sit051	船：轮船
軟	ʒin51	软：软硬，软弱
捲	tan35	卷：卷起来
絹	tan35	绢：手绢
卷	tʰan51	卷：一卷，考卷
眷	taŋ31	眷：亲眷，眷属
圈	tan31	圈：圆圈，圈套
權	tʰan35	权：有权，权力
拳	tʰan35	拳：拳头，打拳
倦	tʰan35	倦：疲倦
圓	tʰan31	圆：圆圈，团圆
員	tʰan33	员：人员，员外
院	tʰan33	院：医院，院子
沿	tʰaŋ51	沿：沿路，边沿
鉛	tʰaŋ51	铅：铅笔，铅球
捐	tʰan51	捐：捐款，募捐
悅	tan33	悦：愉悦
閱	tan33	阅：阅读，批阅
藩	tʰan51	藩：曾国藩
反	tʰan33	反：反面，反手，反对
販	tʰat051	贩：贩卖，行贩
畈	nan51	畈：田畈，一畈田
髮	nan33	发：头发
發	nai33	发：发展，发财
翻	lan51	翻：翻书，翻筋头，翻转
番	lan51	番：几次三番
煩	lan51	烦：麻烦，烦人
礬	nan35	矾：明矾
繁	lan33	繁：繁华
藩	lat051	藩：
伐	tsan33	伐：讨伐，伐木
罰	tsan33	罚：惩罚，罚款
晚	tsʰɔn35	晚：晚上，晚娘，晚稻
挽	tsʰan33	挽：挽留，手挽手
萬	tsʰat031	万：数字，麻将中的万子
蔓	tsʰan51	蔓：瓜蔓，蔓延
襪	san35	袜：袜子，鞋袜
厥	san33	厥：突厥
蕨	san31	蕨：植物
憠	san33	憠：脾气憠
勸	sa31	劝：劝架，规劝
券	sat031	券：国库券
掘	kɔn35	掘：挖掘，掘地
橛	kɔn35	橛：橛子（短木桩）
元	kɔn35	元：元旦，元老
原	kɔn35	原：原来，平原
源	kɔn35	源：源头，来源
阮	kɔn31	阮：姓，阮玲玉
月	kɔn31	月：月亮，月份
喧	kɔn33	喧：喧哗，喧闹
楦	kɔt031	楦：鞋楦
冤	kɔt031	冤：冤枉，冤家，喊冤
宛	kʰɔn33	宛：地名，宛然
怨	kʰaŋ35	怨：埋怨，怨恨
噦	kʰɔn33	哕：干呕
袁	hɔt031	袁：姓，袁世凯
轅	ŋan33	辕：辕门
援	han31	援：援助，救援
猿	hɔn33	猿：猿猴
曰	hɔt031	曰：子曰
越	hɔn51	越：吴越，越来越好
粵	hɔn51	粤：广东简称
决	hɔn35	决：决定，判决
訣	hɔn33	诀：口诀，诀窍
犬	hɔn33	犬：狗
缺	hɔn33	缺：缺钱，缺口，残缺
血	hɔn33	血：流血，血液
玄	ɔn35	玄：玄妙，黑色
懸	ɔn33	悬：悬空，悬崖
縣	ɔn33	县：行政单位
眩	ɔn33	眩：晕眩，眩目
穴	pan33	穴：穴位
淵	pet031	渊：深渊，渊源
吞	pʰan33	吞：不嚼咽下
跟	pan33	跟：跟随，脚跟
根	pʰan33	根：树根，根本
懇	pʰat051	恳：恳求，诚恳
墾	mat031	垦：开垦，垦荒
痕	tsan31	痕：痕迹，伤痕
很	tsat031	很：很多，好得很
恨	tsat031	恨：恨他，仇恨
恩	tsʰan31	恩：恩德，周恩来
彬	tsʰat031	彬：文质彬彬
賓	san35	宾：贵宾，宾客
濱	tsʰan31	滨：哈尔滨
殯	sat031	殡：出殡
鬢	kien35	鬓：鬂角
筆	kien35	笔：毛笔，笔记
畢	kien31	毕：毕业，完毕
拼	kiaŋ31	拼：拼命
匹	kien35	匹：一匹布，匹配
頻	ȵien31	频：频繁，调频
蘋	hæn51	苹：苹果
弼	hæn33	弼：弼马温，任弼时
民	tʃen31	民：人民，民族
憫	pan35	悯：怜悯，悲天悯人
敏	pan35	敏：灵敏，敏捷
抿	pan35	抿：小口喝酒
泯	pan35	泯：泯灭
密	pan31	密：秘密，密封
蜜	pan31	蜜：蜂蜜，蜜蜂
鱗	pʰan35	鳞：鱼鳞
磷	pan35	磷：磷肥
栗	man51	栗：板栗，栗子
津	mæn33	津：天津
儘	tsʰan31	尽：尽前头（最前面）
晉	san35	晋：晋朝，山西简称
親	kien35	亲：亲家
瀙	kien31	瀙：水冷，天冷
七	kien31	七：数字
漆	kien31	漆：油漆
秦	ȵien51	秦：姓，秦国
盡	ȵien33	尽：尽量，尽力
疾	hæt031	疾：疾病，残疾
辛	hɔt031	辛：辛苦，艰辛
新	pien35	新：新旧，革新
信	pʰien35	信：书信，相信
訊	pien33	讯：通讯
悉	pʰiet051	悉：熟悉
膝	piet031	膝：膝盖
蟋	pʰien35	蟋：蟋蟀
珍	pʰien35	珍：珍珠，珍贵
鎭	pʰien33	镇：小镇，镇压
趁	pʰien51	趁：趁机，趁车，趁钱
陳	pʰien33	陈：姓，陈年，陈列
塵	pʰien33	尘：灰尘，尘土
陣	pʰien33	阵：布阵，阵雨
侄	pʰiet051	侄：侄子，内侄
秩	mien51	秩：秩序
榛	mien51	榛：榛子
臻	mien35	臻：聂荣臻
襯	mien35	衬：里衬，衬衫
瑟	mien31	瑟：萧瑟，琴瑟
眞	mien31	真：真假，认真
診	mien33	诊：急诊，诊脉
疹	met051	疹：麻疹
振	tʃen31	振：振动，振奋
震	lien51	震：地震，震动
質	lien51	质：质量，品质
實	liet051	实：老实，实在
身	liet051	身：身体，上身
申	liet051	申：地支，申请
伸	tsien35	伸：伸手，延伸
娠	tsien31	娠：妊娠
失	tsien33	失：失去，丧失
室	tsien33	室：室内，教室
辰	tsʰien35	辰：地支，辰光，时辰
晨	tsʰien31	晨：早晨
臣	tsʰien51	臣：大臣，臣服
腎	tsien33	肾：身体
愼	tsʰien33	慎：谨慎，慎重
人	sien35	人：人民，老人
仁	sien35	仁：仁义，桃仁
忍	sien31	忍：忍住，忍受
認	tsʰien31	认：认得，承认
刃	sien33	刃：刀刃
日	sia33	日：日期，日头，一日
緊	siɔn31	紧：松紧，紧张
吉	tʃen31	吉：吉利，大吉
僅	tʃæt031	仅：仅仅，不仅
銀	tʃæt031	银：银子，银行
釁	tʃʰæt051	衅：挑衅
因	tʃʰæt051	因：原因，因素
姻	tʃʰen51	姻：婚姻
洇	tʃʰæt051	洇：液体向四周散开或渗透
乙	tʃen35	乙：天干
一	tʃen33	一：一定，一个
壹	tʃen35	壹：
寅	tʃæt031	寅：地支
引	tʃæt031	引：吸引，牵引，引诱，引逗
逸	ʃæt051	逸：劳逸结合，孙逸仙
斤	ʃæn35	斤：斤两
筋	ʃæn33	筋：牛筋，筋骨
謹	ʃæt031	谨：谨慎，严谨
勁	ʃiaŋ51	劲：有劲
訖	ʃiaŋ51	讫：收讫
乞	ʃæn33	乞：乞讨
勤	ʃæn33	勤：辛勤，勤劳
芹	tan35	芹：芹菜，水芹
近	tʃʰaŋ51	近：远近，近期
欣	tʃat031	欣：欣欣向荣
殷	ʒan51	殷：姓，殷勤
隱	ʒan51	隐：隐蔽，隐身
癮	ȵiet051	瘾：烟瘾
本	kʰien31	本：本来，书本
畚	kʰien51	畚：畚箕
盆	kʰien33	盆：脸盆，盆地
笨	kʰiet051	笨：笨蛋
脖	ȵien51	脖：脖子
勃	ȵiak051	勃：蓬勃，勃然
悶	ʒan51	闷：气闷，闷热
沒	ʒan51	没：出没
敦	ʒan33	敦：敦厚，伦敦
頓	ʒan31	顿：顿脚，停顿
扽	ʒan31	扽：用力猛地一拉
豚	kien31	豚：海豚，河豚
飩	kien33	饨：馄饨
臀	kiet031	臀：臀部，窟臀
盾	kʰien33	盾：矛盾，盾牌
沌	kʰien33	沌：混沌
鈍	kʰien33	钝：迟钝，刀钝
遁	ʃiet031	遁：遁走，逃遁
突	ȵien51	突：突出，突然
凸	ʃien35	凸：凸起
嫩	ʃien35	嫩：不老，稚嫩
論	ʃien31	论：论语
侖	ʃien33	仑：昆仑
論	ʃiet031	论：讨论，论文
尊	ʃie35	尊：尊敬，钵头
村	pien35	村：村庄
忖	pien31	忖：思量，揣度
寸	pien31	寸：尺寸
猝	pæn31	猝：仓猝，猝死
存	pien31	存：存折，储存
蹲	pien31	蹲：蹲下
孫	piet031	孙：姓，子孙
損	pʰæn31	损：损坏，破损
遜	pʰiet031	逊：谦逊
昆	pʰien33	昆：昆明，昆仑山，昆仲
棍	pei51	棍：棍棒
骨	min51	骨：骨头，骨气
坤	mien33	坤：乾坤
困	mat031	困：困难
睏	tæn35	睏：睡觉
窟	tæn35	窟：窟窿，窟臀
杌	tæn31	杌：杌子（骨牌凳）
昏	tʰæn35	昏：昏倒，黄昏
婚	tæn31	婚：结婚，婚姻
忽	tʰæt031	忽：忽然
魂	tʰæn51	魂：鬼魂，魂灵
餛	tʰæn51	馄：馄饨
渾	tʰien33	浑：水浑，浑浊
混	tien33	混：混淆，相混
核	tien33	核：桃核
瘟	tiaŋ33	瘟：鸡瘟，瘟鸡
穩	tʰien33	稳：稳定，求稳
淪	næn51	沦：沦为，沉沦
律	næt031	律：纪律，法律
率	lin51	率：效率
遵	lien51	遵：遵守
俊	lien33	俊：英俊
荀	lien33	荀：姓，荀子
詢	lien33	询：询问，咨询
筍	læn33	笋：竹笋
榫	lien33	榫：榫头
迅	tsʰiaŋ35	迅：迅速，鲁迅
浚	tsien33	浚：浚河
戌	tsiet031	戌：戊戌变法
旬	tsʰien35	旬：十天，上旬
循	tsʰiet031	循：遵循，循环
巡	tsʰiak031	巡：巡逻，出巡
馴	tsʰien51	驯：驯服
殉	tsʰiet031	殉：以身殉职
椿	sien35	椿：香椿
率	siau35	率：率领
摔	kien35	摔：摔跤
肫	kien35	肫：鸡肫
準	kien31	准：看准，瞄准
春	kien33	春：春秋，立春
蠢	kiet031	蠢：愚蠢，蠢货
出	kin35	出：出去，出发
脣	ʃun51	唇：嘴唇，唇舌
吮	kʰien35	吮：用口含吸
盾	siaŋ51	盾：矛盾
順	ȵien35	顺：顺利，顺风
述	ȵien33	述：叙述，述职
術	ʃien31	术：技术，算术
舜	ʃien51	舜：尧舜
純	ʃien51	纯：单纯，纯粹
醇	ʃien33	醇：酒醇
蓴	ʒan35	莼：水葵，莼菜
閏	ʒan33	闰：闰月
潤	ʒan35	润：滋润
鈞	ʒan33	钧：千钧一发
均	ʒan33	均：平均，均匀
橘	ʒan35	橘：橘子
菌	ʒan35	菌：细菌
勻	pan35	匀：均匀，搅匀
允	pan35	允：允许
尹	pan33	尹：姓
分	pʰan33	分：分开，区分
饙	pat031	饙：米泔水
粉	pʰan35	粉：面粉，粉笔
糞	pʰin35	粪：猪粪，粪箕
奮	pʰan33	奋：勤奋，奋斗
弗	pʰat031	弗：
芬	pʰan51	芬：芬芳
紛	pʰan33	纷：纷繁，纠纷
彿	pʰan33	彿：仿佛
焚	pʰan33	焚：焚烧
墳	pan31	坟：坟墓，上坟
忿	man51	忿：忿忿不平
份	man51	份：一份，份量
佛	man51	佛：佛像，阿弥陀佛
文	man35	文：文章，论文
紋	man33	纹：花纹，纹路
聞	mat051	闻：新闻，耳闻
吻	mat051	吻：接吻
刎	mat031	刎：自刎
問	tɔn35	问：问问题
勿	tɔn31	勿：
物	tɔn33	物：物什，物理
君	tʰɔn33	君：君子
羣	tʰɔt031	群：群众，一群人
裙	tʰɔn51	裙：裙子
郡	tʰɔn51	郡：
倔	tʰɔn35	倔：倔强
掘	tʰɔn33	掘：挖掘
熏	tʰɔn33	熏：熏陶
勳	tʰɔn33	勋：勋章
葷	tʰɔt051	荤：荤菜
薰	nɔn35	薰：薰衣草
燻	lɔn51	熏：烟熏
訓	lɔn31	训：教训，训人
熨	lɔn33	熨：熨斗
雲	tsɔn33	云：乌云，白云
韻	tsʰɔn33	韵：押韵，韵味
運	tsɔn33	运：走运，运气，运输
幫	tsɔn35	帮：帮忙，相帮
榜	tʃʰɔn33	榜：发榜，榜样
博	sɔn35	博：博士，渊博
滂	sɔn33	滂：滂沱
泊	sɔn33	泊：梁山泊
旁	kuan35	旁：旁边，两旁
螃	kuan35	螃：螃蟹
傍	kuan35	傍：傍晚，傍热
泊	kuan35	泊：停泊，漂泊
薄	kuan31	薄：厚薄，薄弱
忙	kuan31	忙：很忙，农忙，忙碌
芒	kuan33	芒：芒种
茫	kuan33	茫：茫茫，茫然
莽	kuan33	莽：王莽，鲁莽
蟒	kuan35	蟒：蟒蛇
莫	kuan33	莫：莫非
膜	kuat031	膜：薄膜
幕	kuat031	幕：幕布，谢幕
寞	kʰuan35	寞：寂寞
摸	kʰuan31	摸：偷偷摸摸
當	kʰuat031	当：应当，当官
襠	ŋuan31	裆：裤裆
黨	fan35	党：共产党，党员
擋	fan33	挡：阻挡，挡风
當	fan33	当：当铺，典当
倘	van51	倘：倘使
躺	vien51	躺：躺下
燙	ŋuan51	烫：很烫，烫发
趟	fan31	趟：去一趟
托	van31	托：托盘，枪托
託	van33	讬：托词，寄托
拓	fat051	拓：开拓
堂	van31	堂：堂兄，拜堂
螳	van31	螳：螳螂
唐	van31	唐：姓，唐朝
塘	ŋuan51	塘：池塘
盪	faŋ33	盪：用水盪盪碗
蕩	vat051	荡：放荡，荡秋千
宕	vat051	宕：跌宕起伏，雁宕
度	va35	度：忖度
踱	tʃʰɔn31	踱：踱方步
囊	tsʰɔn35	囊：行囊
諾	tsʰɔn35	诺：承诺，诺言
郞	sɔt031	郎：郎中，新郎
廊	sɔt031	廊：走廊，廊柱
狼	kuan35	狼：动物，狼狈
螂	kuan33	螂：蟑螂，螳螂
朗	kuan33	朗：明朗，朗读，稀疏
浪	kuat031	浪：风浪，浪费
落	fan51	落：落下，下落
烙	han51	烙：烙饼，烙印
酪	fan51	酪：奶酪
樂	van35	乐：快乐，乐观
絡	van35	络：联络，箩络
贓	lien33	赃：赃物，贪赃
髒	lɔt031	脏：肮脏
葬	tʃʰiɔn51	葬：埋葬，葬身
作	tsʰan51	作：工作，作坊
倉	tsʰiet051	仓：谷仓，仓库
蒼	sien35	苍：苍白，苍蝇
艙	siɔn31	舱：船舱
錯	siet031	错：错杂
藏	siɔn51	藏：隐藏，捉迷藏
藏	siɔn51	藏：西藏，藏族
臟	tʃɔn31	臟：五脏，内脏
鑿	tʃɔn31	凿：用凿子凿
昨	tʃʰɔn51	昨：昨天
磉	tʃʰɔn33	磉：柱下石，磉盘
嗓	tʃɔn35	嗓：嗓子
搡	tʃɔn35	搡：推搡
索	tʃʰɔn35	索：绳索，索性
剛	tʃʰɔn35	刚：刚刚，刚好
崗	tʃʰɔn31	岗：站岗，岗位
綱	tʃʰɔn33	纲：上纲上线
鋼	ʃɔn51	钢：钢铁，炼钢
岡	ʃɔt031	冈：井冈山
缸	ȵiɔn35	缸：水缸
鋼	kʰien31	钢：刀鈍了，加钢钢刀
槓	kien35	杠：抬物用具
胳	kʰien31	胳：胳臂
各	kien31	各：各位
閣	kʰien35	阁：阁下，阁老
擱	kʰien51	搁：搁脚，耽搁
康	kʰien51	康：康复，健康
糠	kʰien31	糠：谷糠，砻糠
慷	vien51	慷：慷慨
抗	vien51	抗：反抗，抗战
炕	vien33	炕：北方睡觉用
囥	vien51	囥：藏，安放
昂	vien51	昂：昂首，气昂昂
鄂	kʰien35	鄂：湖北简称
鰐	kien35	鰐：鳄鱼
腭	ʒui33	腭：上腭
愕	ʒæt031	愕：惊愕
郝	pʰan35	郝：姓
行	fan31	行：银行，行当
航	pan31	航：航行，起航
杭	pan31	杭：杭州
笐	fat031	笐：晾衣服竹竿
鶴	fat031	鹤：仙鹤
骯	fan35	肮：肮脏
惡	fan35	恶：凶恶，恶毒
娘	fan51	娘：爹娘，娘舅
良	fan51	良：良好，优良
凉	pʰan35	凉：风凉，凉快
量	pʰɔn33	量：量尺寸
糧	fat051	粮：粮食，口粮
梁	fat051	梁：姓，梁山
粱	fat051	粱：高粱
兩	van31	两：两个
兩	van31	两：斤两
亮	van33	亮：天亮，亮光
諒	man33	谅：原谅，谅解
輛	mat031	辆：一辆车
略	kiet031	略：战略，略微
將	kʰien33	将：将来
漿	kʰien31	浆：米浆，浆糊
蔣	kiet031	蒋：姓，蒋介石
槳	ȵien51	桨：划桨
醬	ȵien51	酱：酱油，辣酱
將	ȵien51	将：大将
爵	van31	爵：爵位
雀	ȵien33	雀：打麻雀（麻将），吃谷雀，雀雀儿，麻雀
槍	ȵiet051	枪：手枪，长枪
搶	sien35	抢：抢东西
鵲	vien35	鹊：喜鹊
牆	van31	墙：墙壁，砌墙
匠	vien33	匠：匠人，木匠
相	vien51	相：互相，相帮
箱	vien51	箱：箱子，皮箱
廂	vien51	厢：厢房，车厢
湘	ʒan35	湘：湖南简称
襄	vien51	襄：襄阳
鑲	vien31	镶：镶牙
鮝	tsʰin33	鮝：鱼干
相	tsin33	相：相貌，看相
削	tsin31	削：削皮，剥削
詳	tsʰin35	详：详细
祥	tsʰin35	祥：慈祥
象	tsʰin35	象：大象
像	tsʰit031	像：像章，相像
翔	tsʰit031	翔：飞翔
張	tsʰin51	张：姓，一张纸
長	tsʰin33	长：省长，长高
漲	tsʰit051	涨：涨价，涨潮
帳	sin35	帐：蚊帐，帐子
脹	sin35	胀：吃胀，肿胀
賬	sin35	账：算账，账簿
着	sin33	着：着衣裳，一着棋，着棋
暢	sin33	畅：通畅，畅快
悵	sit031	怅：惆怅
長	tsʰit031	长：长短，长春，天长地久
場	tʃin35	场：晒场，场地
丈	tʃin31	丈：一丈，老丈人
仗	tʃʰin33	仗：打仗，炮仗
杖	tʃʰin51	杖：拐杖
着	tʃʰin51	着：着地，碰着，着火，着力
莊	tʃʰin33	庄：村庄，庄稼
裝	tʃʰit051	装：装货，假装
妝	tʃit031	妆：化妆，妆扮
闖	tsʰen33	闯：闯祸
牀	set031	床：睡觉用，桌子，机床
狀	tʃin35	状：告状，状元
霜	tʃin35	霜：落霜，霜降
孀	tʃin35	孀：孤孀
爽	tʃin31	爽：直爽，爽快
章	tʃin31	章：文章，姓
樟	tʃit031	樟：樟树
蟑	ʃin51	蟑：蟑螂
掌	ʃit051	掌：巴掌，掌握
障	ʃin35	障：保障，障碍
瘴	ʃin35	瘴：瘴气
酌	ʃin35	酌：斟酌、酌情
斫	tʃʰin51	斫：用刀斧等砍或削，斫樵
昌	ʃit031	昌：人名用字
菖	ʃit031	菖：菖蒲
娼	tʃʰin51	娼：娼妓
廠	tʃʰin51	厂：办厂，厂长
唱	tʃʰin51	唱：唱歌，歌唱
倡	ʃin33	倡：提倡，倡议
綽	ʃin31	绰：绰号，绰绰有余
商	ȵin51	商：商量，商业
賞	sun51	赏：欣赏，赏赐
晌	sun31	晌：晌午
常	sin31	常：经常，常山，常识
嘗	tsun33	尝：尝味道
裳	sut031	裳：衣裳
償	sut031	偿：赔偿，偿还
上	sun51	上：动词，上去
尙	sun51	尚：和尚，高尚
上	sun51	上：方位，上面
勺	ʃiun33	勺：饭勺，勺子
芍	ʃiun33	芍：芍药
瓤	tʃʰun35	瓤：瓜瓤，水果的一瓣
壤	sut051	壤：土壤
攘	sai33	攘：攘外安内
讓	sai35	让：让他，让座
若	tʰun51	若：若无其事，倘若
弱	tʃun31	弱：弱点，衰弱
箬	tʃun31	箬：裹粽子用
疆	tʃun33	疆：新疆，疆域
僵	tʃʰun35	僵：冻僵，僵硬
薑	tʃʰun31	姜：生姜
繮	tʃʰut031	缰：缰绳
姜	ʃun51	姜：姓，姜太公
羌	tun31	羌：羌族
卻	ʃun33	却：却步，退却
强	sut051	强：坚强，强调
强	sut051	强：勉强，倔強
虐	ʃun51	虐：虐待
瘧	ʃun51	疟：疟疾，疟子
鄕	ʒun33	乡：乡下，城乡
享	ʒun33	享：分享，享受
響	kiun35	响：响亮，音响
向	kiun35	向：向前，方向
央	kaŋ35	央：中央（中间，党中央）
秧	kiun35	秧：秧苗，插秧
殃	ʒun51	殃：遭殃，殃及
約	ʒun35	约：大约，约定
羊	ʒʅ35	羊：动物
洋	fun35	洋：海洋，洋气
烊	fun35	烊：熔化
陽	fun31	阳：太阳，阳光
揚	pun33	扬：发扬，扬名
瘍	fun31	疡：溃疡
癢	fun35	痒：身上痒
樣	fun35	样：样子，一样
藥	fut051	药：吃药，药片
鑰	fun51	钥：钥匙，锁钥
躍	mɔk031	跃：大跃进，跳跃
光	mɔk031	光：阳光，光滑，光棍，吃光
廣	mɔu35	广：广东，推广
郭	tɔŋ35	郭：姓
曠	tɔŋ33	旷：旷课，旷工
廓	tɔŋ31	廓：轮廓
擴	tɔŋ31	扩：扩充，扩大
荒	tɔŋ33	荒：荒地，荒唐
慌	tɔŋ31	慌：心慌，慌忙
謊	tʰɔŋ35	谎：说谎，谎言
藿	tʰɔŋ31	藿：藿香
黃	tʰɔŋ33	黄：姓，黄色
簧	tʰɔŋ31	簧：弹簧
皇	tʰɔk031	皇：皇帝
蝗	tʰɔk031	蝗：蝗虫
蟥	tʰɔk031	蟥：蚂蟥
凰	tʰɔŋ51	凰：凤凰
晃	tʰɔŋ51	晃：日光晃眼，晃动
鑊	tʰɔŋ51	镬：锅
汪	tʰɔŋ51	汪：姓，一汪水
方	tʰɔŋ51	方：形状，姓，方面，地方
坊	tʰɔŋ51	坊：作坊
肪	tʰɔŋ35	肪：脂肪
倣	tʰɔŋ33	仿：仿效
芳	tʰu33	芳：芳香，闻
妨	tʰu33	妨：妨害，无妨
仿	nɔŋ51	仿：相仿，仿照
彷	nɔk051	彷：仿佛
訪	lɔŋ51	访：采访，访问
房	lɔŋ51	房：楼房，房间
防	lɔŋ51	防：防止，国防
縛	lɔŋ51	缚：缚鞋带
亡	lɔŋ33	亡：死亡，亡人
芒	lɔŋ33	芒：麦芒
網	lɔk051	网：鱼网，自投罗网
望	lɔk051	望：希望，望见
忘	lɔk051	忘：忘记，遗忘
筐	lɔk051	筐：箩筐
框	lɔk051	框：门框
匡	lɔk051	匡：赵匡胤
眶	tsɔŋ35	眶：眼眶
狂	tsɔŋ35	狂：发狂，狂人日记
况	tsɔŋ33	况：况且，情况
枉	tsɔk031	枉：冤枉，枉然
王	tsʰɔŋ35	王：姓，称王
往	tsʰɔŋ35	往：来往，往年
旺	tsʰɔŋ35	旺：兴旺，旺盛，火旺
邦	pɔŋ35	邦：刘邦，邦国
綁	pɔŋ31	绑：松绑，捆绑
剝	pɔk031	剥：剥皮，剥削
駁	pɔk031	驳：反驳，驳斥
胖	pʰaŋ33	胖：胖大海，肥胖
樸	pʰɔk031	朴：朴素，简朴
龐	pʰaŋ51	庞：姓，庞大
棒	pɔŋ33	棒：棍子
蚌	pɔŋ33	蚌：蚌壳，蚌埠
雹	pʰau33	雹：龙雹，雹子
樁	tsɔŋ35	桩：打桩
卓	tsɔk031	卓：卓越
桌	tsɔk031	桌：桌子，书桌
啄	tuk031	啄：啄木鸟，鸡啄米
琢	tsɔk031	琢：琢磨，雕琢
撞	tsʰɔŋ33	撞：撞击，碰撞
捉	tsɔk031	捉：捉拿，捕捉
窗	tsʰuŋ35	窗：门窗，窗户
鐲	tsɔk031	镯：镯子、手镯
雙	suŋ35	双：单双，一双
江	kɔŋ35	江：长江，江湖
扛	kɔŋ35	扛：肩扛
肛	kɔŋ35	肛：肛门
講	kɔŋ31	讲：讲话，演讲
港	kɔŋ31	港：河，港口
降	kɔŋ33	降：下降，降低
角	kɔk031	角：牛角，墙角，角色
餃	kiau51	饺：水饺，饺子
覺	kɔk031	觉：知觉，觉得
腔	kʰiɔŋ35	腔：口腔
確	kʰɔk031	确：的确，确定
殼	kʰɔk031	壳：蛋壳
樂	lɔk051	乐：音乐，乐清
嶽	ŋɔk051	岳：五岳
岳	ŋɔk051	岳：姓，岳飞
握	vɔk031	握：握手，掌握
降	hɔŋ51	降：投降，降伏
項	hɔŋ33	项：项颈，项链
巷	hɔŋ33	巷：巷战，小巷
學	hɔk051	学：学习，数学
崩	pen35	崩：山崩，崩溃
北	pek031	北：南北，北方
朋	pʰen51	朋：亲朋，朋友
墨	mek051	墨：笔墨，墨迹
默	mek051	默：沉默，默写
登	ten35	登：攀登，登山
燈	ten35	灯：电灯，灯光
等	ten31	等：等人，高等
凳	ten33	凳：凳子，板凳
得	ʒin51	得：得到，获得，吃得，应该
德	ʒaŋ51	德：道德，德国
忒	ʒik051	忒：忒好，忒大
藤	ʒik051	藤：藤椅
騰	ʒik051	腾：奔腾，腾空
謄	ʒik051	誊：誊写
鄧	ʒik051	邓：姓，邓小平
澄	piak031	澄：水浑，澄一澄
特	pʰin35	特：特别，独特
能	pʰiak031	能：能干，才能，能够
棱	pʰiak031	棱：棱角
勒	pʰiaŋ51	勒：勒紧，勒令
肋	pʰin51	肋：肋排，肋骨
增	pʰin51	增：增加
曾	pin33	曾：姓，曾国藩
憎	men51	憎：憎恨，厌憎
則	mi51	则：否则
層	ten35	层：楼层，层次
曾	ten35	曾：曾经，不曾
贈	ten35	赠：赠送，馈赠
賊	ten35	贼：做贼
僧	ten31	僧：唐僧，僧尼会
塞	ten31	塞：瓶塞，塞住
肯	ten35	肯：不肯，肯定
克	ten33	克：克服，攻克
刻	tik031	刻：時刻表
黑	tik031	黑：黑白，天黑
恆	tʰen35	恒：永恒，恒心
冰	tʰen35	冰：结冰，冰箱
逼	tʰen35	逼：逼迫，被逼
憑	tʰen35	凭：凭借，文凭
匿	tʰei33	匿：匿名信
凌	tʰek031	凌：冰凌，凌厉
陵	tʰen51	陵：皇陵，陵园
菱	tʰen51	菱：菱角
力	tʰen51	力：力量，有力
甑	tʰen51	甑：饭甑
即	tʰen51	即：即刻，立即
稷	tʰen31	稷：地名用字
鯽	tʰen31	鲫：鲫鱼
息	tʰin33	息：休息，息怒
熄	tʰin33	熄：熄灭，熄灯
徵	tʰek051	征：征求
飭	tʰik051	饬：命令自上而下:饬下来
橙	nen51	橙：橙子，脐橙
直	nen51	直：笔直，直接
仄	ȵiɔk051	仄：平仄
側	lin51	侧：侧面，侧着睡
惻	len51	恻：恻隐之心
測	lin51	测：测量，观测，居心叵测
嗇	lin51	啬：吝嗇
拯	lin51	拯：拯救，包拯
證	len33	证：证明，作证
症	tek031	症：病症，症状
織	tek031	织：织布，纺织
稱	tʰen51	称：称呼，称重
稱	tʰen51	称：相称，称心
乘	tʰen33	乘：乘法，乘坐
繩	tʃʰin51	绳：绳子，麻绳
塍	tʰik051	塍：田塍
剩	næn51	剩：剩菜，剩余
食	lin51	食：吃，食物，粮食
蝕	lek051	蚀：月蚀，腐蚀
升	lek051	升：升级，上升
勝	tsen33	胜：胜任
勝	tsen35	胜：胜败，战胜
式	tsen33	式：式样，样式
識	tsek031	识：认识，识别
飾	tsʰen35	饰：装饰，首饰
承	tsʰen51	承：承担，继承
丞	tsʰen51	丞：丞相
植	tsen33	植：植物，种植
殖	tsʰek051	殖：繁殖，骨殖
仍	tsen35	仍：仍然，仍旧
扔	sek031	扔：抛，扔掉
棘	kʰen31	棘：荆棘，棘手
極	kʰek031	极：南极，极其
