#漢字	音標	解釋
嗽	tʰeu51	嗽：咳嗽
叟	tʰeu33	叟：童叟无欺
奏	tʰeu35	奏：节奏
走	teu33	走：走路，行走
陋	teu31	陋：简陋
漏	teu31	漏：漏雨
摟	leu51	搂：搂抱
簍	teu35	篓：竹篓，鱼篓
摟	leu51	搂：搂取（挖）
樓	leu51	楼：上楼，楼房
痘	mɔu35	痘：出痘，水痘
豆	mɔu35	豆：黄豆，豆芽
投	tʰeu51	投：投降
頭	tʰeu51	头：脑袋，开头，头发，纸头
透	meu35	透：透明，看透
㪗	tʰeu31	㪗：展开，㪗气，把纸团㪗开
偸	tʰeu33	偷：偷东西
鬥	ʒau35	斗：斗争，批斗
陡	ʒau35	陡：山很陡
抖	ʃiau31	抖：发抖
斗	ȵiau51	斗：十升为斗
兜	teu35	兜：兜风
貿	kʰiau33	贸：贸易，外贸
茂	kiau33	茂：茂盛
戊	ʃiau31	戊：戊戌变法
拇	kiau31	拇：拇指
母	kau35	母：亲家母
牡	siau35	牡：牡丹
畝	siau35	亩：一亩田
某	liau51	某：某人
剖	liau33	剖：解剖
杳	liau51	杳：杳无音信
吆	ʒau33	吆：吆喝
幺	ʒau35	幺：幺二三
曉	liau51	晓：天光晓（启明星），黄昏晓（长庚星），晓得
堯	ʒau35	尧：尧舜禹
竅	liau51	窍：诀窍，窍门
撬	kʰiau33	撬：撬门
叫	liau51	叫：小孩哭，大喊大叫
僥	næu33	侥：侥幸
澆	kiau35	浇：浇花
簫	siau35	箫：乐器，吹箫
蕭	tsʰiau35	萧：姓
鐐	tʰiau33	镣：脚镣
料	tʰiau51	料：肥料，材料
僚	liau51	僚：官僚
了	tʰiau33	了：了结
撩	leu35	撩：撩起来
廖	leu33	廖：姓
寥	liau51	寥：寥寥无几
聊	liau51	聊：聊天，无聊
遼	liau51	辽：辽宁
尿	tiau35	尿：小便，尿素
藋	tiau35	藋：灰藋菜
調	tiau35	调：音调
調	tʰeu33	调：调动，调查
跳	ʒau51	跳：走。小孩不高兴跺脚的说法。
調	tʰeu51	调：调和，调整
糶	ȵiau51	粜：卖米
跳	ʒau51	跳：跳高，跳起
挑	tʰiau35	挑：挑刺，挑选，挑担
釣	ʒau33	钓：上钓，钓鱼
吊	ʒau35	吊：上吊
鳥	ʒau35	鸟：有无避讳
凋	tiau33	凋：凋谢，凋零
貂	tiau35	貂：水貂，一种动物，皮毛名贵，貂皮
雕	tiau35	雕：根雕，雕刻
刁	tiau35	刁：刁钻，嘴刁
鷂	kʰiau33	鹞：鹞鹰，纸鹞
耀	kʰiau33	耀：耀眼，照耀
遙	ʒau51	遥：逍遥
舀	kʰiau51	舀：舀水
窑	ʒau51	窑：官窑，烧窑
姚	ʒau51	姚：姓，姚文元
謠	ʒau51	谣：民谣，童谣
搖	ʒau51	摇：摇来摇去，摇摆，摇篮
要	ʒau33	要：重要
夭	ȵiau31	夭：夭折
要	ʒau35	要：要求
腰	ʒau33	腰：身体部位
邀	ʒau33	邀：邀请
妖	ȵiau51	妖：妖怪
囂	ʃiau35	嚣：嚣张
轎	ʃau33	轿：轿子，抬轿
翹	kʰiau31	翘：翘尾巴
喬	kʰiau51	乔：姓
僑	kʰiau51	侨：华侨
矯	tʃau33	矫：矫枉过正
嬌	kiau51	娇：撒娇，娇滴滴
驕	kiau35	骄：骄傲
繞	tʃau35	绕：绕线
繞	tʃʰau33	绕：围绕
擾	tʃʰau33	扰：打扰，扰乱
饒	ȵiau51	饶：求饶，饶他
邵	tʃʰau51	邵：姓
紹	tʃʰau35	绍：绍兴，介绍
韶	ʃau51	韶：韶山，韶关
少	siau35	少：少爷，少年
少	siau33	少：多少
燒	ʃau35	烧：发烧，烧水
詔	siau31	诏：诏书
照	siau35	照：用手电照
沼	siau35	沼：沼气，沼泽
招	ʦau35	招：招手
昭	tʃau35	昭：王昭君
召	siau35	召：号召，召集
兆	tsʰiau51	兆：人名用字
朝	tʃau51	朝：动词，朝代
潮	tʃau51	潮：潮水，涨潮
超	tʃʰau35	超：超过
朝	ʧau35	朝：早上，明朝，三朝
肖	tsʰiu35	肖：姓，生肖
逍	siau33	逍：逍遥
小	tsiau35	小：大小（物体大小，年龄大小，排行大小）
銷	siau33	销：供销社
硝	siau33	硝：硝烟，硝酸
霄	siau35	霄：云霄
宵	siau35	宵：良宵
消	siau35	消：消化，抵消
瞧	ʦʰiau35	瞧：看
偢	miau31	偢：傻
俏	miau31	俏：商品紧俏
悄	miau31	悄：静悄悄
醮	miau35	醮：打醮，再醮
剿	pʰiau33	剿：围剿
椒	ʦiau35	椒：辣椒，花椒，胡椒
蕉	ʦiau35	蕉：香蕉
焦	ʦiau35	焦：焦作，姓，烧焦了
療	pʰiau35	疗：治疗，疗养
燎	liau51	燎：火燎眉毛
燎	liau51	燎：燎原
妙	pʰiau35	妙：妙计，巧妙
廟	piau31	庙：庙会
藐	piau35	藐：藐视
渺	piau31	渺：渺茫，渺小
秒	piau35	秒：一分一秒
描	miau51	描：描写，描红
苗	miau51	苗：秧苗，火苗，苗族
貓	ȵiau31	猫：花猫
鰾	au35	鳔：鱼鳔（鱼泡）
薸	pʰiau33	薸：浮萍，可作猪食
嫖	pʰiau51	嫖：嫖妓女
瓢	pʰiau51	瓢：勺子，瓢泼大雨
漂	kau31	漂：漂亮
飄	pʰiau35	飘：
婊	hau33	婊：婊子
錶	ŋau35	表：手表
表	kʰau31	表：表面，表扬
標	pʰiau35	标：标志
拗	kau33	拗：折断
靿	kau33	靿：靴或袜子的筒儿
坳	au35	坳：山坳
凹	au35	凹：凹凸镜，凹下去
效	kau31	效：效果，成效
校	kau33	校：上校
校	kau31	校：学校，校长
肴	ʒau51	肴：佳肴，菜肴
淆	hau51	淆：混淆
孝	kau31	孝：带孝，孝顺
哮	ʃiau33	哮：哮喘
巧	kau35	巧：碰巧
骹	kau35	骹：脚
敲	kʰiau35	敲：敲门，敲锣
窖	kau35	窖：地窖，番薯窖
覺	sau33	觉：睏（一）觉
酵	sau33	酵：发酵，酵母
較	sau33	较：较劲，比较
敎	kau35	教：教育，教师
攪	tsʰiau35	搅：打搅，搅拌
搞	tsʰiau33	搞：玩，搞革命
鉸	tsʰau51	铰：铰剪
狡	tsʰau51	狡：狡猾
絞	tsʰau31	绞：绞毛巾
茭	kau35	茭：茭白
敎	kau35	教：教书
郊	kau35	郊：郊区
膠	kau35	胶：胶水，橡胶
哨	tsɔk031	哨：口哨，放哨
潲	tsau33	潲：猪食
稍	nau33	稍：稍息，稍等
梢	sau35	梢：树梢
巢	ʦʰau51	巢：雀巢，黄巢
吵	mau51	吵：吵架
炒	mau51	炒：小炒，炒股
鈔	ʦʰau35	钞：钞票
抄	ʦʰau35	抄：抄书，抄袭
笊	pʰau33	笊：笊篱（捞馄饨）
找	pʰau51	找：找东西，找钱（退回多余的钱）
爪	pʰau35	爪：脚爪
抓	ʦɔk055	抓：抓革命，抓牌
櫂	pʰau33	櫂：桨
閙	pʰau35	闹：热闹，闹事
撓	ȵiau51	挠：不屈不挠
鐃	ȵiau35	铙：
貌	pau33	貌：相貌，礼貌
卯	pau31	卯：子丑寅卯
錨	mau35	锚：抛锚
茅	mau51	茅：茅草
貓	ȵiau31	猫：一种动物，大猫（老虎）
鉋	ɔu33	刨：刨子，瓜刨
鮑	ɔu33	鲍：姓，鲍鱼
跑	pau31	跑：跑步
拋	pʰau35	抛：抛弃
泡	pʰau31	泡：水泡，泡泡
爆	hɔu51	爆：爆炸，爆芽
豹	hɔu51	豹：一种动物
飽	hɔu35	饱：吃饱
胞	pau35	胞：同胞，胞衣
包	pau35	包：钱包，包裹
懊	ŋau33	懊：懊恼
襖	ŋau51	袄：棉袄
爊	ŋau51	爊：用文火久煮，~菜，~羹
號	hou33	号：口号，号码
浩	kʰau33	浩：浩浩荡荡，人名用字
號	hou33	号：号叫，号啕大哭
壕	hou51	壕：壕沟，战壕
豪	hou51	豪：豪华，土豪
毫	hou51	毫：毫厘
耗	kɔu33	耗：消耗
好	kɔu31	好：爱好
好	kau35	好：好坏
鏊	kau35	鏊：烙饼用具，鏊盘
傲	kɔu35	傲：骄傲，傲气
熬	ŋau51	熬：难熬，熬药，忍住
銬	tsʰau33	铐：手铐
犒	sɔu33	犒：犒劳
靠	sɔu31	靠：可靠
拷	sɔu35	拷：拷打
烤	sɔu35	烤：
考	tsʰɔu33	考：考试，大考
膏	kau33	膏：膏油，膏车
吿	tsʰɔu51	告：告状，报告
稿	tsʰɔu51	稿：草稿，稿子，稻草
羔	kau33	羔：羊羔
糕	kau33	糕：米糕，蛋糕
篙	tsʰɔu31	篙：竹篙
膏	kau35	膏：牙膏，膏药
髙	kou35	高：高低，跳高
