#漢字	音標	解釋
扶	pʰu41	扶：搀扶，～起来[白]
芙	fu41	芙：～蓉
父	fu31	父：～亲
礙	ŋɔi31	碍：妨～
海	hɔi31	海：大～
孩	hai41	孩：～童
亥	hɔi31	亥：辛～革命
哀	ɔi22	哀：悲～
埃	ai22	埃：尘～，～及
愛	ɔi45	爱：～情；要
貝	pui45	贝：宝～
貝	pui45	贝：川～，～壳
沛	pʰui45	沛：充～
帶	tai45	带：鞋～
太	tʰai45	太：老～婆
泰	tʰai45	泰：～山
大	tʰai31	大：大小
奈	nai31	奈：无～，～何
賴	lai31	赖：依～，无～；姓
癩	lai31	癞：～蛤蟆[文]
癩	lat2	癞：～哥（癞疮）[白]
蔡	tsʰai45	蔡：姓
蓋	kɔi45	盖：～被[动]；盖子[名]
丐	kʰɔi45	丐：～帮
艾	ai45	艾：姓；～滋病
艾	ŋei45	艾：艾草
害	hɔi31	害：～人
藹	ai45	蔼：和～，宋～龄
拜	pai45	拜：结～，礼～，～佛
排	pʰai41	排：～队
埋	mai41	埋：～伏
齋	tsai22	斋：食～（吃斋）
豺	sai41	豺：～狼
皆	kai22	皆：～大欢喜
階	kai22	阶：台～，～级
介	kai45	介：～绍，中～
界	kai45	界：世～
芥	kai45	芥：～菜
尬	kai45	尬：尴～
疥	kai45	疥：～疮
屆	kai45	届：第一～
戒	kai45	戒：～烟，猪八～
楷	kai22	楷：～书，～模
諧	hai22	谐：和～
駭	hat4	骇：惊～，～人听闻
械	hai31	械：机～
挨	ai22	挨：～打，～近
擺	pai31	摆：摇～
派	pʰai45	派：正～，～出所
牌	pʰai41	牌：～坊，～匾[文]
牌	pʰai41	牌：打～[白，训]
㵺	pʰai41	排：竹排
罷	pʰa31	罢：～工
稗	pʰa31	稗：～草
買	mai22	买：～卖
賣	mai31	卖：买～
奶	nai22	奶：二～，～牛
債	tsai45	债：欠～
釵	tsʰa22	钗：宝～
差	tsʰai22	差：出～
柴	tsʰai41	柴：姓；火～
篩	tsʰei22	筛：～选，～米
灑	sa31	洒：潇～，～水
佳	ka22	佳：～人，～节
街	kai22	街：～路
解	kai31	解：～释，讲～[文]
解	kei31	解：～开[白]
懈	hai31	懈：松～，坚持不～
涯	ŋai41	涯：天～
崖	ŋai41	崖：悬～
捱	ŋai41	捱：难～，～苦
鞋	hai41	鞋：布～
解	kai31	解：懂了，理～，了～
蟹	kʰai45	蟹：老～
矮	ei31	矮：高矮
敗	pʰai31	败：失～
邁	mai31	迈：豪～，～步
寨	tsʰai31	寨：山～，大～
蔽	pi45	蔽：隐～
弊	pi45	弊：作～
幣	pʰi31	币：人民～
斃	pi45	毙：枪～
例	lei31	例：举～，～外
厲	li31	厉：严～，～害
勵	li31	励：鼓～
祭	tsɿ45	祭：～祀
際	tsɿ45	际：国～
滯	tsʰei22	滞：停～，湿～（中医）
制	tsɿ45	制：～度
製	tsɿ45	制：～造
世	sɿ45	世：～界
世	sɿ45	世：出～
勢	sɿ45	势：～力，有权有～
誓	sɿ31	誓：发～
逝	sɿ45	逝：～世
藝	ŋei31	艺：～术，文～晚会
蓖	pi22	蓖：～麻
閉	pi45	闭：关～
批	pʰei22	批：～评，大～
批	pei22	批：螺丝～
陛	pi31	陛：～下
迷	mi41	迷：入～，～路
米	mi31	米：大米
謎	mi41	谜：～语，猜～
低	tei22	低：高～
堤	tʰi41	堤：河～，～坝
底	tei31	底：水～
抵	tei31	抵：～押
抵	tei31	抵：用手抵挡
帝	ti45	帝：皇～
梯	tʰɔi22	梯：楼～
蒂	ti45	蒂：花～，并～莲
體	tʰi31	体：～育，身～
替	tʰei45	替：代～，～身
剃	tʰei45	剃：～头
題	tʰi41	题：～目，难～
提	tʰi41	提：～问，～醒
蹄	tʰei41	蹄：马～
啼	ti45	啼：哭哭～～[文]
啼	tʰei41	啼：鸡～[白]
弟	tʰi31	弟：兄～[文]
弟	tʰei22	弟：弟弟，老～[白]
第	tʰi31	第：～一，门～
遞	tʰei45	递：传～，邮～员
泥	nei41	泥：水～，地～（地板）
犁	lei41	犁：耕田用具
黎	lei41	黎：～民，～明；姓
禮	li22	礼：～貌
