#漢字	音標	解釋
碎	ɬui33	碎 破碎
盔	kʰui55	盔 头盔
恢	fɔi55	恢 恢复
塊	kʰuai33	块 块状
桅	ŋui24	桅 桅杆
灰	fɔi55	灰 灰色
賄	fui221	贿 贿赂
悔	fui221	悔 后悔
回	fui24	回 回去
茴	fui24	茴 茴香
匯	fui33	汇 汇报
潰	kʰui33	溃 溃疡
煨	ʋɔi55	煨 煨番薯
蛻	tʰui33	蜕 蜕皮，蝉蜕
兌	tui33	兑 兑换
最	tsui33	最 最好
會	fui33	会 会计；开会；会不会
外	ŋɔi33	外 外面
乖	kuai55	乖 小孩听话
怪	kuai33	怪 奇怪
懷	fai24	怀 胸怀
淮	ʋui24	淮 淮河
壞	fai33	坏 好坏
拐	kuai221	拐 拐卖
掛	kʰua33	挂 挂钩
卦	kʰua33	卦 卜卦；八卦
歪	ʋai55	歪 歪斜
畫	ʋaʔ055	画 油画（名词）；画圈（动词）
蛙	ʋa55	蛙 青蛙
快	kʰuai33	快 快点；快车
筷	kʰuai33	筷 筷子
話	ʋa33	话 说话
脆	tʃʰɔi33	脆 干脆
歲	ɬɔi33	岁 万岁
稅	sɔi33	税 税收
衛	ʋui221	卫 卫生
銳	iui221	锐 尖锐
廢	fui33	废 废品
肺	fui33	肺 猪肺
吠	pʰɔi33	吠 狗叫、狗吠
閨	kuai55	闺 闺房
桂	kui33	桂 桂花
奎	kʰui24	奎 人名用字
攜	kʰui24	携 携带
惠	iui221	惠 优惠
慧	iui221	慧 智慧
碑	pi55	碑 石碑
彼	pi221	彼 彼此
臂	pi33	臂 手臂
披	pʰi55	披 披上
皮	pʰi24	皮 果皮
脾	pʰi24	脾 脾气
被	pʰi55	被 棉被
被	pʰi55	被 被动
避	pʰit022	避 避开
糜	mɔi24	糜 糜烂；粥
離	li24	离 离别，离开
璃	li55	璃 玻璃
荔	lɛ24	荔 荔枝
紫	tsi221	紫 紫色
雌	tsʰi55	雌 雌雄
此	tsʰi221	此 此地
刺	tsʰi33	刺 鱼刺
撕	ɬi55	撕 撕破
賜	ɬu33	赐 赏赐
知	ti55	知 知道
蜘	tsʰi55	蜘 蜘蛛
智	tsi33	智 智慧
池	tsʰi24	池 池塘
支	tsi55	支 支持
枝	tsi55	枝 荔枝
紙	tsi221	纸 白纸
只	tsit022	只 只有
舐	liam221	舐 舔
施	si55	施 施肥
翅	tsʰi33	翅 鱼翅
匙	si24	匙 钥匙；匙羹
是	si33	是 是不是
豉	si33	豉 豆豉
兒	ȵi24	儿 儿童
寄	ki33	寄 寄信
企	kʰi55	企 企业
奇	kʰi24	奇 奇怪
騎	kʰi24	骑 骑马
徛	kʰi55	徛 站立
技	kʰi33	技 技术
妓	kʰi33	妓 妓女
宜	ȵi24	宜 便宜
儀	ȵi33	仪 礼仪，仪表
蟻	ŋɛ33	蚁 蚂蚁
誼	ȵi24	谊 友谊
義	ȵi33	义 情义
犧	hi55	牺 牺牲
戲	hi33	戏 大戏
椅	i221	椅 椅子
移	i24	移 移动
易	i33	易 容易
悲	pui55	悲 悲伤
比	pi221	比 对比
秘	pi33	秘 秘密
痹	pi55	痹 麻痹
丕	pʰui55	丕 曹丕
屁	pʰi33	屁 放屁
琵	pʰi24	琵 琵琶
枇	pʰi221	枇 枇杷
備	pʰi33	备 准备
鼻	pʰi33	鼻 鼻涕
眉	mi24	眉 眉毛
黴	mɔi24	霉 发霉；倒霉
美	mui55	美 美化
地	tʰi33	地 土地
尼	nɛ24	尼 尼姑
膩	nɛ33	腻 油腻
梨	li24	梨 雪梨
履	li33	履 履行
利	li33	利 有利
痢	li33	痢 痢疾，癞痢
資	tsi55	资 资本
姿	tsi55	姿 姿势，姿态
姊	tsi221	姊 姊妹
次	tsʰi33	次 名次
瓷	tsʰi24	瓷 陶瓷
自	tsʰi33	自 自己
私	ɬi55	私 自私
死	ɬi221	死 死亡
四	ɬi33	四 四个
致	tsi33	致 导致
遲	tsʰi24	迟 迟到
稚	tsʰi55	稚 幼稚
師	ɬi55	师 老师
獅	ɬi55	狮 狮子
脂	tsi55	脂 脂肪
指	tsi221	指 手指
至	tsi33	至 至少
示	si33	示 启示
尸	si55	尸 死尸
屎	si221	屎 狗屎
視	si33	视 近视
二	ȵi33	二 第二
飢	ki55	饥 饥饿
肌	ki55	肌 肌肉
几	ki55	几 茶几
器	kʰi33	器 武器
棄	hi33	弃 放弃
伊	i55	伊 伊犁
姨	i24	姨 阿姨，姨妈，姨丈
你	ni24	你 你们
狸	li24	狸 狐狸
李	li221	李 姓
里	li221	里 公里
裏	li221	里 里面
吏	li33	吏 官吏
滋	tsi55	滋 滋润
子	tsi221	子 孔子；子孙
慈	tsʰi24	慈 慈悲
字	ɬi33	字 文字
司	ɬi55	司 公司
絲	ɬi55	丝 丝绸
思	ɬi55	思 思念；意思
辭	tsʰi24	辞 告辞
祠	tsʰi24	祠 祠堂
似	tsʰi33	似 相似
巳	ɬi33	巳 地支第六
寺	si33	寺 寺庙
置	tsi33	置 布置
癡	tsʰi55	痴 痴呆
恥	tsʰi221	耻 耻辱
持	tsʰi24	持 坚持
痔	tsi33	痔 痔疮
治	tsʰi33	治 治安
廁	tsʰi33	厕 厕所
士	ɬi33	士 士兵
柿	si33	柿 柿子
事	ɬi33	事 事情
使	ɬu221	使 大使馆
使	ɬu221	使 使用
史	ɬi221	史 历史
駛	ɬu221	驶 驾驶
之	tsi55	之 之前
芝	tsi55	芝 灵芝
止	tsi221	止 停止
址	tsi221	址 地址
志	tsi33	志 志气；标志
痣	tsi33	痣 与胎记不同
齒	tsʰi221	齿 牙齿
詩	si55	诗 诗人
始	tsʰi221	始 开始
試	si33	试 考试
時	si24	时 时间
市	si33	市 市场
侍	ɬi33	侍 服侍
而	lu24	而 而且
耳	ȵi221	耳 耳朵
餌	ȵi24	饵 钓饵
基	ki55	基 基本
箕	ki55	箕 粪箕
己	ki221	己 自己
紀	ki221	纪 纪律；年纪
紀	ki33	纪 纪念
記	ki33	记 记号
欺	hi55	欺 欺负
起	hi221	起 起床
杞	ki221	杞 枸杞
棋	kʰi24	棋 下棋
旗	kʰi24	旗 红旗
忌	kʰi33	忌 禁忌，避忌
疑	ȵi24	疑 怀疑
嬉	hi221	嬉 嬉戏，嬉笑
煕	hi55	熙 康熙
喜	hi221	喜 喜欢
醫	i55	医 医生
意	i33	意 大意
已	ki221	已 已经
以	i221	以 可以
異	i33	异 异同
幾	ki55	几 几乎
機	ki55	机 机器
饑	ki55	饥 饥荒
幾	ki221	几 几个
既	ki33	既 既然
豈	kʰi221	岂 岂有此理
氣	hi33	气 空气
祈	ɬi33	祈 祈祷，祈福
毅	ŋɛ33	毅 毅力
希	hi55	希 希望
稀	hi55	稀 稀有
衣	i55	衣 衣服
依	i55	依 依靠
累	lui221	累 累积；连累
嘴	tsui221	嘴 嘴巴
髓	ɬɔi221	髓 骨髓
隨	tsʰui24	隨 随便
吹	tsʰɔi55	吹 吹牛
垂	sui24	垂 下垂
睡	sɔi33	睡 午睡
瑞	ɬui33	瑞 瑞雪
蕊	ɬim55	蕊 花蕊
規	kʰui55	规 规矩
虧	kʰui55	亏 吃亏
跪	kʰui221	跪 下跪
危	ŋui24	危 危险
僞	ŋui221	伪 虚伪
毀	fui221	毁 毁灭
委	ʋui221	委 委托；委员
爲	ʋui24	为 行为；为什么
壘	lui221	垒 堡垒
類	lui33	类 分类
淚	lui33	泪 眼泪
醉	tsui33	醉 喝醉
翠	tsʰui33	翠 翡翠
雖	ɬui55	虽 虽然
隧	ɬui33	隧 隧道
穗	iui221	穗 谷穗，稻穗
追	tsui55	追 追赶
錘	tsʰui24	锤 铁锤
衰	sui55	衰 衰老
摔	ɬut055	摔 摔跤
帥	ɬui33	帅 元帅
錐	tsui55	锥 圆锥，锥子（名）；锥人（动）
水	sui221	水 水果
誰	sui24	谁 谁人
龜	kui55	龟 乌龟
軌	kui221	轨 铁轨
癸	kui221	癸 天干第十
愧	kʰui33	愧 惭愧
季	kui33	季 四季
葵	kʰui24	葵 向日葵
櫃	kʰui33	柜 柜台
位	ʋui33	位 地位
維	ʋui24	维 维持
遺	ʋui221	遗 遗失
唯	ʋui24	唯 唯有；唯一
非	fui55	非 非常
飛	fui55	飞 飞机
匪	fui221	匪 土匪
沸	fut022	沸 沸腾，水沸
妃	fui55	妃 贵妃
費	fui33	费 浪费
肥	pʰui24	肥 肥料
翡	fui221	翡 翡翠
微	mi24	微 细微
尾	mui55	尾 尾巴
味	mui33	味 味道
歸	kui55	归 回归
鬼	kui221	鬼 鬼神
貴	kui33	贵 贵客
魏	ŋɛ33	魏 魏国；姓
揮	fui55	挥 指挥
徽	fui55	徽 国徽，徽章
諱	ʋui221	讳 忌讳
威	ʋui55	威 威风
慰	ʋui221	慰 安慰
違	ʋui221	违 违背
圍	ʋui24	围 包围
偉	ʋui221	伟 伟大
胃	ʋui221	胃 肠胃
匯	fui33	汇 汇报
褒	po55	褒 褒奖
保	po221	保 保护
寶	po221	宝 宝贝
報	po33	报 报告；日报
袍	pʰau24	袍 长袍
抱	pʰau33	抱 拥抱
暴	pʰau33	暴 暴露
菢	pʰu33	菢 菢小鸡
毛	mo55	毛 毛笔
冒	mau221	冒 冒充，冒险
刀	to55	刀 菜刀
島	to221	岛 海岛
搗	to221	捣 捣乱
倒	to221	倒 打倒；倒水
到	to33	到 来到
滔	tʰau55	滔 滔滔不绝
討	tʰo221	讨 讨好
套	tʰo33	套 配套
桃	tʰo24	桃 桃花
陶	tʰo24	陶 陶瓷
道	tʰo33	道 道理
稻	tʰo33	稻 水稻
盜	tʰo33	盗 强盗
導	tʰo221	导 领导
腦	no221	脑 大脑
勞	lo24	劳 劳动
撈	lɛu24	捞 打捞；捞钱；捞面
牢	lo24	牢 坐牢
老	lo221	老 老实
澇	lo24	涝 洪涝
遭	tso55	遭 遭殃
糟	tso55	糟 酒糟；糟糕
早	tso221	早 早上
棗	tso221	枣 红枣
澡	tsʰau33	澡 洗澡
躁	tsʰau33	躁 暴躁
竈	tso33	灶 灶神
操	tsʰau55	操 操作
草	tsʰo221	草 青草
糙	tsʰo33	糙 粗糙，糙米
曹	tsʰo24	曹 阴曹；姓
槽	tsʰo24	槽 猪槽
皂	tso221	皂 肥皂；皂角
造	tsʰo33	造 制造
騷	ɬo55	骚 风骚
臊	ɬo55	臊 羊臊气
掃	ɬo33	扫 扫地（动）；扫把（名）
嫂	ɬo221	嫂 大嫂
髙	ko55	高 跳高
糕	ko55	糕 蛋糕
稿	ko221	稿 草稿
吿	ko33	告 报告
考	kʰau221	考 考试
烤	kʰau221	烤 烧烤
靠	kʰau33	靠 可靠
熬	ŋau24	熬 难熬
傲	ŋau33	傲 骄傲
好	ho221	好 好坏
好	hau33	好 爱好
耗	ho33	耗 消耗
毫	ho24	毫 毫厘
豪	ho24	豪 豪华
號	ho33	号 号叫，呼号（动）；号码（名）
浩	hau221	浩 浩荡
襖	o221	襖 棉襖
澳	o33	澳 澳门
包	pau55	包 钱包
胞	pau55	胞 同胞
飽	pau221	饱 吃饱
豹	pau33	豹 一种动物
爆	pʰau33	爆 爆炸
泡	pʰau55	泡 水泡，气泡
拋	pʰau55	抛 抛弃
炮	pʰau33	炮 枪炮
泡	pʰau33	泡 泡茶
跑	pʰau221	跑 跑步
刨	pʰau24	刨 刨地，刨木（动）
鉋	pʰau24	刨 刨子，瓜刨（名）
茅	mau24	茅 茅草
貓	miau55	猫 花猫
錨	miau24	锚 抛锚
卯	mau55	卯 子丑寅卯
貌	mau221	貌 礼貌
鬧	nau33	闹 热闹
罩	tsau33	罩 灯罩
抓	tsa55	抓 抓牌，抓人
爪	tsau221	爪 脚爪
找	tsau221	找 找东西
