#漢字	音標	解釋
福	fuk022	福 福气
幅	fuk022	幅 幅度
複	fuk022	复 重复，复印
豐	fuŋ55	丰 丰衣足食
覆	fuk022	覆 覆盖
馮	fuŋ24	冯 姓
鳳	fuŋ33	凤 凤凰
服	fuk055	服 服务
伏	fuk022	伏 三伏
夢	muŋ33	梦 做梦
目	muk022	目 目的
牧	muk055	牧 畜牧
隆	luŋ24	隆 兴隆
六	luk022	六 第六
陸	luk022	陆 大陆
肅	ɬuk022	肃 严肃
中	tsuŋ55	中 当中，中秋
忠	tsuŋ55	忠 忠心
衷	tsʰuŋ55	衷 衷心，初衷
中	tsuŋ33	中 射中，中状元
竹	tsuk022	竹 竹子
築	tsʰuk022	筑 建筑
畜	tsʰuk022	畜 牲畜；畜牧
蟲	tsʰuŋ24	虫 虫子
仲	tsʰuŋ221	仲 杜仲
逐	tsʰuk055	逐 驱逐
崇	tsʰuŋ221	崇 崇高
縮	ɬuk022	缩 缩小
終	tsuŋ55	终 终于
衆	tsuŋ33	众 群众
祝	tsuk022	祝 庆祝
粥	tsuk022	粥 煮粥
充	tsʰuŋ55	充 充分
叔	suk022	叔 叔叔
熟	suk055	熟 煮熟
淑	suk022	淑 淑女；人名
絨	iuŋ24	绒 绒毛，绒线
肉	ȵiuk022	肉 肉体
弓	kiuŋ55	弓 弓箭
宮	kuŋ55	宫 天宫，宫殿
菊	kʰuk022	菊 菊花
麴	kʰuk022	麴 酒麴
窮	kʰiuŋ24	穷 穷人
蓄	tsʰuk022	蓄 储蓄
郁	ʋut022	郁 忧郁；郁南
熊	iuŋ24	熊 熊猫
雄	hiuŋ24	雄 英雄
融	iuŋ24	融 融化
育	iuk022	育 教育
封	fuŋ55	封 开封
峯	fuŋ55	峰 山峰
鋒	fuŋ55	锋 锋利
捧	puŋ221	捧 捧走
逢	fuŋ24	逢 相逢
縫	fuŋ24	缝 缝衣服
奉	fuŋ221	奉 奉献，奉承
俸	fuŋ221	俸 俸禄
濃	nuŋ24	浓 浓厚
龍	luŋ24	龙 龙头
壟	luŋ221	垄 垄断
綠	luk055	绿 碧绿
錄	luk055	录 记录
蹤	tsuŋ55	踪 踪迹
縱	tsʰuŋ24	纵 纵横；放纵
足	tsuk022	足 满足
從	tsʰuŋ24	从 从容；跟从
促	tsʰuk022	促 促进
粟	ɬuk022	粟 高粱粟；玉米
松	tsʰuŋ24	松 松树
誦	tsuŋ221	诵 朗诵
頌	ɬuŋ221	颂 歌颂
訟	tsʰuŋ221	讼 诉讼
俗	ɬuk022	俗 风俗
續	tsʰuk055	续 连续
重	tsʰuŋ24	重 重复
重	tsʰuŋ55	重 轻重
重	tsʰuŋ33	重 重要
鐘	tsuŋ55	钟 闹钟
盅	tsuŋ55	盅 酒盅
種	tsuŋ221	种 种类（名、量）
腫	tsuŋ221	肿 臃肿
種	tsuŋ33	种 种树（动）
燭	tsuk022	烛 蜡烛
囑	tsuk022	嘱 遗嘱
衝	tsʰuŋ55	冲 冲锋
觸	tsʰuk022	触 接触
贖	suk055	赎 赎罪
舂	tsuŋ55	舂 舂米
束	tsʰuk022	束 结束
蜀	tsuk022	蜀 蜀国
屬	suk055	属 家属
茸	iuŋ24	茸 参茸
辱	iuk022	辱 侮辱
恭	kuŋ55	恭 恭敬
供	kuŋ55	供 供楼，供不起（动）
拱	kuŋ221	拱 拱手
鞏	kuŋ221	巩 巩固
供	kuŋ55	供 上供，供品（名）
恐	kʰuŋ221	恐 恐怕
曲	kʰiuk022	曲 曲折，歌曲
共	kʰuŋ33	共 共同
局	kʰiuk055	局 局部
玉	ȵiuk055	玉 玉器
獄	ȵiuk055	狱 监狱
胸	hiuŋ55	胸 心胸
凶	hiuŋ55	凶 吉凶；凶恶
雍	iuŋ55	雍 雍正
癰	iuŋ55	痈 恶性脓疮，背痈
擁	iuŋ221	拥 拥护
壅	uŋ55	壅 壅肥（施肥），壅人（埋人）
容	iuŋ24	容 容易
溶	iuŋ24	溶 溶化
甬	iuŋ221	甬 甬道
勇	iuŋ221	勇 勇敢
用	iuŋ33	用 用处
慾	iuk055	欲 欲望
浴	iuk055	浴 沐浴
屙	o55	屙 屙屎
嘢	ȵia55	嘢 东西
捭	pʰɛ55	捭 削
脢	mɔi24	脢 背脊肉
碓	tɔi33	碓 木石做成的舂米器具
癐	kʰɔi33	癐 累
煲	po55	煲 煲汤
冇	mo24	冇 没有
佬	lo221	佬 肥佬
撬	kʰiau33	撬 撬门
踎	pu55	踎 蹲
褸	lau33	褛 大衣；蒙盖住
抌	tɛp055	□ 用手锤：抌心抌肺
腩	nam221	腩 腹肉：肚腩
扻	pʰan55	□ 掴：掴一巴掌
啱	ŋam33	啱 合适
冚	kʰɛm24	冚 盖
諗	nɛm221	谂 思考
腍	nɛm24	腍 黏而软：柿子腍
檁	haŋ24	桁 架在房梁上托住椽子的横木，也称“桁条”、“檩条”
笪	tat022	笪 一种用粗竹篾编成的像席子的东西，晾晒粮食用
邋	lat022	邋 邋遢
梘	kan221	枧 肥皂：香梘
慳	kʰian33	悭 节省：慳钱
奀	ŋan55	奀 个子瘦小：奀仔
扤	fɛʔ022	扤 摇动：扤脚
乜	mai24	乜 什么：乜嘢
圂	kʰiuk055	圂 关禁：圂住（局）
搵	ʋun221	揾 找
簕	lɛʔ022	簕 刺：簕瓜、簕杜鹃
罌	aŋ55	罂 大腹小口的瓦器，可装酒等
呃	ŋaʔ055	呃 骗
靚	liaŋ33	靓 漂亮
嚦	liaʔ055	呖 利害、能干
掟	fɛʔ022	拂 扔：掟石头
壢	laʔ055	坜 畦
睩	luk022	睩 转眼珠
轆	luk055	辘 轮子
竂	liau24	竂 棚子：茅竂，鸡竂
炖	tun33	炖 隔水炖：炖鸡
圳	tsun33	圳 沟：田中小沟
坼	tsʰaʔ022	坼 裂开：爆坼
戟	ki221	戟 药名：巴戟
嫲	ma24	嫲 雌性：鸡嫲
腈	ɬɛu33	瘦 腈肉（瘦肉）
坷	laʔ022	沥 山谷
壢	laʔ055	坜 地坜（旱地）
瀝	laʔ022	沥 洼下去的地方,坑
噍	ȵiai33	□ 嚼
啉	ȵim221	饮 喝：啉酒
擸	lap022	擸 叠起散乱的碗；一擸碗（量）
浼	man33	浼 体垢
猋	piau55	猋 跳，快走
縈	iaŋ55	萦 绕线：萦线
涿	lim24	淋 淋雨（用于人）
罅	la33	罅 缝：手指罅
珓	kau33	旧时迷信者卜卦用的器具，用两块蚌壳或形似蚌壳的竹木片做成：杯珓
跔	pu33	跔 蹲（踎）
扇	pʰat022	扇 □扇子（动）
平	piaŋ24	平 很平（白）
命	miaŋ33	命 一条命（白）
井	tsin221	井 井井有条（文）
聽	tʰiaŋ33	听 听见；听任（白）
廳	tʰɛn55	厅 客厅（文）
搵	tsʰim24	揾 找（寻）
呃	pʰiɛn33	骗
