#漢字	音標	解釋
顯	hiɛn51	显：明～
賢	hiɛn24	贤：～惠，圣～
現	hiɛn33	现：～在，出～
煙	hun55	烟：冒～
燕	ʔᵉɛn33	燕：燕子，～窝
搬	puã55	搬：～运
半	puã33	半：一～，～日
鉢	pua51	钵：花～（花盆），衣～
潘	pʰuã55	潘：姓
判	pʰan33	判：～断
潑	pʰua51	泼：～水；泼辣
盤	puã24	盘：算～
叛	pʰan33	叛：～徒
滿	muã51	满：～意
末	mat055	末：～尾
短	tie51	短：长～
脫	tʰut021	脱：～鞋，摆～
團	tʰɔn24	团：～结，～长
斷	tuĩ33	断：线断了[白]
段	tuĩ33	段：姓；阶～
奪	tʰɔt033	夺：～取
暖	nun51	暖：冷～
卵	lun51	卵：鸡～（鸡蛋），～生
亂	luan33	乱：混～
捋	lut055	捋：捋袖子
鑽	tsuĩ33	钻：电～[名]，～石
撮	tsɔt021	撮：一～毛
酸	suĩ55	酸：～甜
蒜	suan21	蒜：大蒜，蒜头
官	kuã55	官：～司，当～
管	kuã51	管：～理，气～
灌	kuan21	灌：～溉
括	kat021	括：包～
寬	kʰuã55	宽：～松
款	kʰan51	款：汇～，拨～
闊	kʰua51	阔：开～
玩	ŋan51	玩：～具，游～
歡	huã55	欢：喜～，～喜
丸	ĩ24	丸：肉～，药～
換	uã33	换：交～[文]
活	huat055	活：生～
碗	uã51	碗：饭～
頑	ŋan24	顽：～固，～皮
滑	kut033	滑：地～，～稽
挖	ue51	挖：～掘[文]
關	kan55	关：海～
刮	kat021	刮：～毛，搜～
還	han24	还：～钱[白]
環	huan24	环：～境
彎	uan55	弯：转～
戀	liɛn33	恋：～爱
劣	luat021	劣：～质，恶～
全	tsuan24	全：～部，安～
絕	tsie33	绝：～对
宣	siɛn55	宣：～布，～传
選	siɛn51	选：～择，挑～
雪	sie51	雪：落～（下雪），～白
旋	siɛn24	旋：～转
轉	tuĩ51	转：～学，～移，翻～
傳	tsʰuĩ24	传：～达，流～
專	tsuan55	专：～门，大～
穿	tsʰuĩ55	穿：～堂风，揭～
串	tsʰuĩ21	串：一～，～通
船	tsun24	船：轮～
說	suat051	说：小～
軟	nuĩ51	软：～弱
捲	kiɛn51	卷：～起来[动]
圈	kʰiɛn24	圈：圆～，～套
拳	kun24	拳：～头
圓	ĩ24	圆：团～
院	uan51	院：医～，～长
閱	iɛt021	阅：～读
反	huan51	反：～对，造～
發	huat021	发：～展，～财[文]
翻	huan55	翻：～书[文]
煩	huan24	烦：麻～
飯	puĩ33	饭：食～，～店
罰	huat055	罚：～款，惩～
晚	muã51	晚：～会
萬	van33	万：～一
襪	vue55	袜：鞋～
勸	kʰiɛn21	劝：规～
原	ɡuan24	原：～来，平～
願	ɡuan33	愿：～望
怨	ʔᵉɛn21	怨：～人，埋～
遠	huĩ33	远：远近
粵	uat055	粤：～东
決	kiɛt021	决：～定
犬	kʰiɛn51	犬：狂～病
血	huɛ51	血：流～
縣	kuan33	县：～长
穴	hiɛt055	穴：～位
吞	tʰun55	吞：～口水
跟	tuɛ33	跟：～从
恩	iɛn55	恩：～人
賓	pin55	宾：贵～
筆	pit021	笔：毛～，～记
匹	pʰit021	匹：～配
貧	pʰiɛn24	贫：扶～
民	viɛn24	民：人～，～族
敏	miɛn51	敏：灵～
密	vat055	密：秘～，～封
鄰	lin24	邻：～居
鱗	lan55	鳞：鱼～
栗	lit055	栗：～子
進	tsin33	进：～步，前～
親	tsʰin55	亲：～生，父～
七	ʦʰit051	七：数字
秦	tan24	秦：姓；～国
盡	ʦin33	尽：～量，～力，～头
疾	tsʰit055	疾：残～
新	sin55	新：～旧
信	sin21	信：相～
膝	tsʰit051	膝：～头（膝盖）
珍	tsin55	珍：～珠
鎭	tsin51	镇：～长，～压
陳	tan24	陈：姓；～列
陣	tsiɛn33	阵：～雨
姪	tit055	侄：～子
蝨	sat051	虱：虱子，～嫲
眞	tsin55	真：认～，～假
振	tsiɛn51	振：～动
質	tsit021	质：～量，品～
神	sin24	神：～仙，精～
實	sit055	实：老～，～在
身	sin55	身：～体，上～
失	sit051	失：～去，丧～
晨	sin24	晨：朝～
腎	siɛn33	肾：～病
人	laŋ24	人：老～，～民
仁	zin24	仁：～义
忍	ŋiun55	忍：～耐，～受
認	zin33	认：承～，～真
靭	lun33	韧：不易断，坚～[文]
日	zit055	日：十～，～期
緊	kin51	紧：～张
吉	kit021	吉：～利
銀	zin24	银：金～，～行
因	in55	因：原～
印	in21	印：手～
乙	iet021	乙：天干，甲乙丙丁
一	it021	一：数字
引	in51	引：吸～
斤	kin55	斤：～两
謹	kun51	谨：～慎，严～
勤	kʰun24	勤：～劳
近	kin33	近：最～，～来[文]
近	kun33	近：远近[白]
欣	kʰium34	欣：～赏
隱	un51	隐：～形，～身
本	pun51	本：～来，书～
不	put021	不：～过
盆	pʰun24	盆：面～（脸盆），～地
笨	pun33	笨：～蛋[文]
門	muĩ24	门：关～
墩	tun55	墩：桥～
頓	tun51	顿：停～，～脚
盾	tʰun51	盾：矛～
突	tʰut021	突：～然
嫩	lun33	嫩：不老
論	lun33	论：议～，～文
尊	tsun55	尊：～重
村	tsʰun55	村：～长
寸	tsʰun33	寸：尺～
存	sun24	存：～在，～折，储～
孫	sun55	孙：姓；子～
損	sun51	损：～坏
滾	kun51	滚：～动；水开
棍	kun21	棍：长～
骨	kut021	骨：～头
坤	kʰun55	坤：乾～
困	kʰun33	困：～难
婚	hun55	婚：结～
忽	tʰut051	忽：～然
溫	un55	温：～度，～和
穩	un51	稳：～定，求～
輪	lun24	轮：车～，～流
律	lut055	律：法～，～师
俊	tsun33	俊：英～
迅	sin51	迅：～速
循	sun24	循：遵～，～环
準	tsun51	准：瞄～，～则
春	tsʰun55	春：立～
蠢	tsʰun51	蠢：～才
出	tsʰut021	出：～入，～发
術	sut055	术：技～
純	sun24	纯：单～，～粹
潤	un33	润：利～，～色
均	kun55	均：平～，～匀
菌	kʰun55	菌：细～
允	zun55	允：～许
分	kʰun55	分：～数，区～[文]
分	pun55	分：给[白]
粉	hun51	粉：～笔，面～[文]
糞	pun33	粪：粪便
墳	hun24	坟：～墓，上～
份	hun33	份：～量
佛	hut051	佛：拜～
文	bun24	文：～章，论～
蚊	vaŋ51	蚊：～香
問	muĩ33	问：～题
物	vut055	物：～理[文]
軍	kun55	军：～队，参～
屈	kʰut021	屈：委～，～服[文]
屈	kʰut021	屈：委屈，～气[白]
裙	kun24	裙：裙子
熏	hun55	熏：～陶，烟～人[文]
訓	hun33	训：教～，～人
雲	hun24	云：乌～
運	un33	运：～气，好～
幫	pɔŋ55	帮：～忙
掩2	ap055	掩：～埋
葉2	hio33	叶：树～
跋	pua33	跌倒
汁2	tsip021	汁：菜～，果～
溼	sip021	湿：潮～
亁2	ta55	干：烘～
寒2	kuã24	寒：～冷
案2	an33	案：～件，档～
拔	pʰat033	拔：～河
揀2	kɛn51	拣：挑选
免2	miɛn51	免：不～
截2	tsiɛt021	一～，两截
煙2	ʔᵉɛn55	烟：烟囱
判	pan33	判：判刑
叛2	pan33	叛：背～
卵2	nuĩ33	卵：鸡～（鸡蛋），～生
關2	kue55	关门
刮2	kua51	刮：～毛，搜～
捲2	kuĩ51	卷：～起来[动]
院2	ĩ33	院：医～，～长
怨2	uan33	怨：～人，埋～
遠2	uan51	远：永～
抽	ʦʰiu55	抽：～出
綢	tiu24	绸：～缎，丝～
宙	tsʰiu33	宙：宇～
鄒	tsau55	邹：姓，～家华
皺	tsiu33	皱：～纹
愁	siu24	愁：～眉苦脸
搜	siu55	搜：～查
瘦	san51	瘦：肥瘦
