#漢字	音標	解釋
洋	jœŋ42	洋：太平～
羊	jœŋ44	羊
約	jœk033	约：大～，～会
殃	jœŋ51	殃：遭～，～及
秧	jœŋ51	秧：插～，～苗
央	jœŋ51	央：中～（中间）[白]
央	jœŋ51	央：中～台，党中～[文]
向	hœŋ33	向：～东
響	hœŋ24	响：音～
享	hœŋ24	享：～受，分～
鄕	hœŋ51	乡：家～
香	hœŋ51	香：～味，烧～；～港（地名）
瘧	jœk022	疟：～疾
虐	jœk022	虐：～待
仰	jœŋ13	仰：～视
卻	kʰœk033	却：退～，～步
強	kʰœŋ13	强：勉～
強	kʰœŋ42	强：～大，坚～
腳	kœk033	脚：赤～
姜	kœŋ51	姜：姓，孟～女，～太公
繮	kœŋ51	缰：～绳
薑	kœŋ51	姜：～糖
僵	kœŋ51	僵：冻～，～硬
疆	kœŋ51	疆：新～（地名）
弱	jœk022	弱：～点
若	jœk022	若：～干，～无其事
讓	jœŋ22	让：～位
壤	jœŋ22	壤：土～
瓤	lɔŋ42	瓤：瓜～
芍	ʦʰœk033	芍：～药；白～（中药）
勺	hɔk033	勺：饭～
上	sœŋ22	上：桌～，床～
上	sœŋ22	上：～背[方位]；～海（地名）
尙	sœŋ22	尚：和～，高～
尙	sœŋ13	尚：和～，高～
上	sœŋ13	上：安上，～灯，～灯泡
上	sœŋ13	上：～山[动]
償	sœŋ42	偿：赔～
嘗	sœŋ42	尝：～试，品～
常	sœŋ42	常：经～，～识；姓
餉	hœŋ24	饷：军～
賞	sœŋ24	赏：欣～，～金
傷	sœŋ51	伤：受～
商	sœŋ51	商：～量，经～
綽	ʦʰœk033	绰：～～有余，～号
倡	ʦʰœŋ51	倡：提～
唱	ʦʰœŋ33	唱：～歌
廠	ʦʰɔŋ24	厂：～长
菖	ʦʰœŋ51	菖：～蒲
昌	ʦʰœŋ51	昌：～盛
酌	ʦœk033	酌：斟～，～情
嶂	ʦœŋ33	嶂：耸立如屏障的山峰
瘴	ʦœŋ33	瘴：～气
障	ʦœŋ33	障：保～
掌	ʦœŋ24	掌：巴～，～握
樟	ʦœŋ51	樟：～脑丸；～木头（地名）
