#漢字	音標	解釋
味	mi33	味：～道，～精
鬼	kɐi35	鬼：鬼神
貴	kɐi33	贵：～重
魏	ŋɐi33	魏：～国；姓
威	uɐi55	威：～风，～胁
畏	uɐi33	畏：不喜欢；怕，～热
偉	uɐi35	伟：～大
胃	uɐi33	胃：肠～
寶	pou35	宝：～贝
報	pou33	报：～告，日～
袍	pʰou21	袍：长～，袄～
暴	pou33	暴：～雨，残～
毛	mou21	毛：～病，鸡～
帽	mou33	帽：草～
刀	tou55	刀：菜～
到	tou33	到：～站
討	tʰou35	讨：～老婆，～厌
套	tʰou33	套：配～，～房
桃	tʰou21	桃：杨～，～花
稻	tɐu33	稻：水～
導	tɐu33	导：领～，～师
惱	nɐu35	恼：烦～[文]
惱	nɐu35	恼：讨厌，不喜欢[白]
勞	lɐu21	劳：～动
老	lɐu53	老：～爷，～实
糟	tsɐu55	糟：酒～，～糕
早	tsɐu35	早：还～
竈	tsɐu33	灶：～头，～神
草	tsʰɐu35	草：青～，～稿
造	tsɐu33	造：创～
臊	sɐu33	臊：臭～
掃	sɐu33	扫：～地[动]
嫂	sɐu35	嫂：大～
髙	kou55	高：姓；～低
稿	kɐu35	稿：草～，～纸
吿	kɐu33	告：报～，～状
考	hau35	考：～试，大～
靠	kʰau33	靠：依～，可～
熬	ŋau21	熬：～汤，～夜
好	hou35	好：～人
號	hou33	号：～码，口～[名]
襖	ou33	袄：棉～，～袍
包	pau55	包：钱～，～围
飽	pau35	饱：食～（吃饱）
爆	pau33	爆：～炸
炮	pʰau33	炮：枪～
跑	pʰau35	跑：～步
茅	mau21	茅：～庐
貓	mau55	猫：大～
貌	mau33	貌：礼～
鬧	nau33	闹：～热，～事
罩	tsau33	罩：灯～，床～
爪	tsau35	爪：鸡～
抄	tsʰau55	抄：～书
炒	tsʰau35	炒：～股，～菜
交	kau33	交：～通，～钱[文]
咬	ŋau35	咬：～人
孝	hau33	孝：～顺
效	hau33	效：～果
標	piu55	标：～准，～志，招～
表	piu35	表：图～，～扬
票	pʰiu33	票：车～
苗	mui21	苗：鱼～，～族
秒	miu35	秒：～针
廟	miu33	庙：和尚～
療	liu21	疗：治～，～养
椒	tsiu55	椒：胡～
消	siu55	消：～化
小	siu35	小：～姐，～人
笑	siu33	笑：～话，玩～
朝	tsiu55	朝：～晨，三～
超	tsʰiu55	超：～过
朝	tsʰiu21	朝：～代
趙	tsiu33	赵：姓
招	tsiu55	招：～生
照	tsʰiu33	照：～明，～顾
燒	siu55	烧：～水，发～
少	siu35	少：～数，多～
少	siu33	少：～年，～爷
饒	iu21	饶：～命，求～
繞	iu35	绕：围～，～线
嬌	kiu55	娇：～气，做～（撒娇）
橋	kʰiu21	桥：大～
轎	kiu33	轿：坐～，扛～
要	iu55	要：～求
要	iu33	要：重～
搖	iu21	摇：动～，～篮
舀	iu35	舀：～水
耀	iu33	耀：～眼，荣～
鳥	niu35	鸟：花～市场[文]
鳥	niu35	鸟：～笼[白]
鳥	niu35	鸟：骂人话，交合[白]
吊	tiu33	吊：上～，～车
挑	tʰiu55	挑：～剔，～担
跳	tʰiu33	跳：～高，起～
條	tʰiu21	条：～件，字～
調	tiu33	调：音～
尿	niu33	尿：屙～
了	liu35	了：～结；明～，～解
料	liu33	料：肥～，材～
繳	kiu35	缴：～枪，～费
僥	hiu55	侥：～幸
叫	kiu33	叫：大～；小孩哭
竅	kʰiu33	窍：～门
曉	hiu35	晓：春～，～得
剖	fɐu35	剖：解～
畝	mɐu35	亩：一～田
母	mu35	母：父～
貿	mɐu33	贸：外～，～易
兜	tɐu55	兜：～风
斗	tɐu35	斗：十升为一斗
鬥	tɐu33	斗：～争，批～
偸	tʰɐu55	偷：小～
透	tʰɐu33	透：～明
頭	tʰɐu21	头：开～
豆	tɐu33	豆：黄～
樓	lɐu21	楼：～下
漏	lɐu22	漏：～水，～斗
走	tsɐu35	走：行走
奏	tsɐu33	奏：节～
湊	tsʰɐu33	凑：～数，～热闹
鉤	ŋɐu33	钩：鱼～
狗	kɐu35	狗
夠	kɐu33	够：足～
摳	kʰɐu33	抠：挖
口	hau35	口：～头，开～
口	hau35	口：一～饭
扣	kʰɐu33	扣：～钱，～压
藕	ŋɐu35	藕：～断丝连，莲～
喉	hɐu21	喉：～咙
後	hɐu33	后：～生，～来[文]
後	hɐu33	后：～日[白]
歐	ɐu55	欧：～洲；姓
嘔	ɐu35	呕：～吐
漚	ɐu33	沤：久浸水中，～坏，～肥
否	fɐu35	否：是～，～定
富	hu33	富：丰～，～贵
謀	mɐu21	谋：计～，～财害命
紐	nɐu35	纽：纽扣；～约（地名）
劉	lɐu21	刘：姓
柳	lɐu35	柳：～树
酒	tsɐu35	酒：～精
秋	tsʰɐu55	秋：～天；～千
就	tsɐu33	就：成～，～去
修	sɐu55	修：装～，～正
秀	sɐu33	秀：清～，～才
袖	tsɐu33	袖：领～，衫～（衣袖）
晝	tsɐu33	昼：上～，～夜
抽	tsʰɐu55	抽：～出
綢	tsʰɐu21	绸：～缎，丝～
宙	tsɐu33	宙：宇～
鄒	tsɐu55	邹：姓，～家华
皺	tsɐu33	皱：～纹
愁	sɐu21	愁：～眉苦脸
搜	sɐu35	搜：～查
瘦	sɐu33	瘦：肥瘦
周	tsɐu55	周：姓；～围，～年
醜	tsʰɐu35	丑：不好看，出～
臭	tsʰɐu33	臭：～味
收	sɐu33	收：丰～，～集
手	sɐu35	手：～脚，～段
獸	sɐu33	兽：野～
仇	tsʰɐu21	仇：～人，报～
壽	sɐu33	寿：长～
九	kɐu35	九：数字，～龙
救	kɐu33	救：～命
求	kʰɐu21	求：要～
舅	kʰɐu35	舅：～公
舊	kɐu33	旧：新～
牛	ŋɐu21	牛：～牯
休	iɐu55	休：～息，退～
有	iɐu35	有：～钱
右	iɐu33	右：左～
油	iɐu21	油：麻～
丟	tiu55	丢：～失
答	tap31	答：回～
貪	tʰam55	贪：～心
探	tʰam33	探：试～
南	nam21	南：东南西北
納	nap31	纳：归～
參	tsʰam55	参：～军，～加
慘	tsʰam35	惨：悲～
蠶	tsʰam21	蚕：～丝
雜	tsap21	杂：复～
鴿	kap21	鸽：白～
砍	tsam35	砍：～伤
含	hɐm21	含：包～[文]
含	hɐm21	含：～糖[白]
合	hɐp3	合：～作，～适[文]
合	hɐp3	合：～本，～伙[白]
庵	in55	庵：尼姑～
揞	ɐm35	揞：手覆，揞住
暗	ɐm33	暗：不亮
擔	tam55	担：～任[动]
擔	tam55	担：～竿[名]
膽	tam35	胆：大～
塔	tap3	塔：宝～
痰	tʰam21	痰：吐～
淡	tʰam35	淡：～水（地名）
淡	tʰam35	淡：咸～；浓～
籃	lam21	篮：菜～
欖	lam35	榄：橄～，乌～
臘	lap3	腊：～肉，～肠
暫	tsam33	暂：～时
甘	kɐm33	甘：甜；～心
敢	kɐm35	敢：勇～
斬	tsam35	斩：白～鸡
蘸	tsam33	蘸：～豉油
插	tsʰap3	插：～花
杉	tsʰam33	杉：～树
夾	kap21	夹：夹子；～心饼干
恰	hɐp5	恰：～切，～当
鹹	ham21	咸：～淡
陷	ham33	陷：～害，～井
衫	sam33	衫：衬～，～裤（衣服）
鑑	kam33	鉴：～定
甲	kap21	甲：天干，甲乙丙丁
巖	ŋɐm21	岩：～石，石灰～
鴨	ap3	鸭：鸭子
壓	at21	压：～力
鐮	lim21	镰：镰刀，禾～
獵	lip3	猎：打～，～人
尖	tsim55	尖：～刀
接	tip3	接：迎～，～待
籤	tʰim55	签：竹～，求～
潛	tsʰim21	潜：～力
漸	tsim33	渐：逐～
捷	tsip3	捷：～报，大～，敏～
沾	tsim55	沾：～光
佔	tsim33	占：～领，～地方
摺	tsip3	折：～被，～叠
閃	sim35	闪：～开
攝	sip3	摄：～影
涉	sip3	涉：～及
染	ŋim35	染：污～
檢	kim35	检：～查，体～
鉗	kʰim21	钳：～工，火～
儉	kim33	俭：勤～
險	him35	险：危～，保～
掩	im35	掩：～护
厭	im33	厌：讨～
鹽	im21	盐
葉	ip3	叶：树～；姓
劍	kim33	剑：宝～
劫	kip3	劫：抢～
欠	him33	欠：～钱，拖～
嚴	ŋim21	严：～格；姓
業	ŋip3	业：事～，～余
醃	im33	腌：腌制
點	tim35	点：～心，～头
店	tim33	店：开～
跌	tit3	跌：～打
添	tʰim55	添：～加，～丁
貼	tʰit3	贴：补～
貼	tʰit3	贴：～纸，～对联[动]
甜	tʰim21	甜
碟	tip3	碟：盛具，碟子
念	nim33	念：～经，怀～
兼	kim55	兼：～职
謙	him55	谦：～虚
嫌	him21	嫌：～弃，～人
協	hip3	协：～会，～作
法	fat3	法：方～
凡	fan21	凡：平～
犯	fan33	犯：～法[文]
品	pɐn35	品：～德
林	lɐm21	林：树～；姓
立	lɐp3	立：～足
粒	nɐp5	粒：三～，颗～
浸	tsɐm33	浸：～水
集	tsap21	集：～合，～体
心	sɐm55	心：～肝，内～
尋	tsʰɐm21	寻：～人
沉	tsʰɐm21	沉：～底
參	sɐm55	参：人～
針	tsɐm55	针：～线，～对
枕	tsɐm35	枕：～头[名]；～枕头[动]
汁	tsɐp5	汁：菜～，果～
深	sɐm33	深：～浅，～入
沈	sɐm35	沈：姓；地名，～阳
濕	sɐp5	湿：潮～
十	sɐp21	十：数字
任	iɐm33	任：姓；责～，～何
入	iɐp3	入：～门，进～
金	kɐm33	金：～银
錦	kɐm35	锦：～绣，～旗
禁	kɐm33	禁：～止
急	kɐp5	急：心～
級	kʰɐp5	级：～别，年～
欽	iɐm55	钦：～差，～佩
琴	kʰɐm21	琴：弹～
及	kɐp21	及：～时
吸	kʰɐp5	吸：呼～，～引
陰	iɐm55	阴：～天
飮	iɐm35	饮：～料
單	tan33	单：～独
旦	tan33	旦：元～，花～
攤	tʰan33	摊：分～，～开，摆～
炭	tʰan33	炭：烧～
彈	tʰan21	弹：～琴
達	tat21	达：发～，～到
難	nan21	难：困～
捺	nat3	捺：撇～
蘭	lan21	兰：～花
懶	lan35	懒：懒惰，～尸
爛	lan33	烂：灿～，腐～
辣	lat3	辣：～椒
贊	tsan33	赞：称～，～助
餐	tsʰan33	餐：～车，快～
殘	tsʰan21	残：～废
散	san35	散：药～
散	san33	散：分～，解～
亁	kɔn55	干：烘～，饼～
趕	kɔn35	赶：追～
幹	kɔn33	干：～部，才～
割	kɔt3	割：～禾（割稻）
看	hɔn33	看：看见
渴	hɔt3	渴：口渴；～望
岸	ŋɔn33	岸：口～，两～
寒	hɔn21	寒：大～，～流
汗	hɔn33	汗：出～，～马功劳
安	ɔn55	安：公～，～全
案	ŋɔn33	案：～件，档～
扮	pan33	扮：打～
八	pat3	八：数字
辦	pan33	办：～事
拔	pɐt21	拔：～河，选～
盞	tsan35	盏：灯～（灯）
紮	tsat21	扎：～紧，驻～
鏟	tsʰan35	铲：～草
察	tsʰat21	察：观～
山	san33	山
產	tsʰan35	产：生～
殺	sat3	杀：～人，自～
間	kan55	间：房～，中～
揀	kan35	拣：挑选
眼	ŋɐn35	眼：双～皮
閑	han21	闲：～事，空～
限	han33	限：期～，～制
班	pan55	班：上～
板	pan35	板：黑～，石～
蠻	man21	蛮：不听话；野～
慢	man33	慢：～车
顏	ŋan21	颜：姓；～色
雁	ŋan33	雁：大～
瞎	hɐt21	瞎：～目
變	pin33	变：～化，改～
鼈	pit3	鳖：甲鱼
篇	pʰin55	篇：一～文章
便	pin33	便：～宜
辨	pin33	辨：分～，～别
便	pin33	便：方～
別	pit21	别：离～，分～
棉	min21	棉：～花
免	min35	免：难～，～除
面	min33	面：～子
滅	mit21	灭：消～，～亡
聯	lin21	联：～系；对～
烈	lit3	烈：～士，热～
煎	tsin55	煎：～药，～鱼
剪	tsin35	剪：～刀
箭	tsin33	箭：射～
淺	tsʰin35	浅：深～
錢	tsʰin21	钱：～财
賤	tsin33	贱：下～，～人
仙	sin55	仙：神～
癬	sin35	癣：发～（生癣）
線	sin33	线：～索
展	tsin35	展：开～，发～
撤	tsʰit3	撤：～退
纏	tsʰin21	缠：纠～，～线
戰	tsin33	战：～斗
折	tsit3	折：～断，打～
舌	sit21	舌：舌头
設	tsʰit3	设：～计，建～
善	sin33	善：～良，心～
然	in21	然：～后，居～
熱	ŋit3	热：冷～，～情
乾	kʰin21	乾：～坤，～隆
件	kin33	件：事～
傑	kit3	杰：～出
延	in21	延：～长，～安
演	in35	演：～员，表～
建	kin33	建：～设
揭	kʰit3	揭：～发，～露
言	in21	言：语～
獻	hin33	献：贡～
歇	hit3	歇：～夜（过夜）
邊	pin55	边：～疆，旁～
扁	pin35	扁：圆扁
片	pʰin33	片：一～，～面
撇	pʰit3	撇：～捺，～开
顚	tin55	颠：～倒
典	tin35	典：～型，词～
天	tʰin55	天：～才
鐵	tʰit3	铁：～皮
田	tʰin21	田：种～
電	tin33	电：触～，～灯
墊	tin33	垫：～钱，座～
年	nin21	年：过～
