#漢字	音標	解釋
凱	kʰɔi31	～旋
慨	kʰɔi31	慷～，感～
咳	kʰet031	～嗽，止～糖浆
呆	ŋɔi21	～板
礙	ŋɔi51	妨～
海	hɔi31	大～
孩	hai21	～童
亥	hɔi51	辛～革命
哀	ɔi35	悲～
埃	ai35	尘～，～及
愛	ɔi51	～情；要
貝	pi51	宝～
貝	pi51	川～，～壳
沛	pʰi51	充～
帶	tai51	鞋～
太	tʰai51	老～婆
泰	tʰai51	～山
大	tʰai51	大小
奈	nai51	无～，～何
賴	lai51	依～，无～；姓
癩	lai21	～蛤蟆[文]
癩	lai21	～哥（癞疮）[白]
蔡	tsʰai51	姓
蓋	kɔi51	～被[动]；盖子[名]
丐	kɔi51	～帮
艾	ȵe51	姓；～滋病
艾	ȵe551	艾草
害	hɔi551	～人
藹	ai551	和～，宋～龄
拜	pai551	结～，礼～，～佛
排	pʰai21	～队
埋	mai21	～伏
齋	tsai35	食～（吃斋）
豺	sai21	～狼
皆	kiai35	～大欢喜
階	kiai35	台～，～级
介	kiai51	～绍，中～
界	kiai51	世～
芥	kiai51	～菜
尬	kiai51	尴～
疥	kiai51	～疮
屆	kiai51	第一～
戒	kiai51	～烟，猪八～
楷	kʰɔi31	～书，～模
諧	hai21	和～
駭	hai21	惊～，～人听闻
械	hai51	机～
挨	ai35	～打，～近
擺	pai31	摇～
派	pʰai51	正～，～出所
牌	pʰai21	～坊，～匾[文]
牌	pʰai21	打～[白，训]
㵺	pʰai21	竹排
罷	pʰa51	～工
稗	kʰuai51	～草
買	mai33	～卖
賣	mai51	买～
奶	nai33	二～，～牛
債	tsai51	欠～
釵	tsʰa35	宝～
差	tsʰai35	出～
柴	tsʰai21	姓；火～
篩	sai35	～选，～米
灑	sa31	潇～，～水
佳	ka33	～人，～节
街	kiai33	～路
解	kiai31	～释，讲～[文]
解	kiai31	～开[白]
懈	hai51	松～，坚持不～
涯	ŋai21	天～
崖	ŋai21	悬～
捱	ai33	难～，～苦
鞋	hai21	布～
解	kiai31	懂了，理～，了～
蟹	hai31	老～
矮	ai31	高矮
敗	pʰai51	失～
邁	mai31	豪～，～步
寨	tsʰai51	山～，大～
蔽	pi51	隐～
弊	pi51	作～
幣	pi51	人民～
斃	pi51	枪～
例	li51	举～，～外
厲	li51	严～，～害
勵	li51	鼓～
祭	tsi51	～祀
際	tsi51	国～
滯	tsʰe51	停～，湿～（中医）
制	tsɿ51	～度
製	tsɿ51	～造
世	sɿ51	～界
世	se51	出～
勢	sɿ51	～力，有权有～
誓	sɿ51	发～
逝	sɿ51	～世
藝	ȵi51	～术，文～晚会
蓖	pi35	～麻
閉	pi51	关～
箅	pi51	蒸笼中的竹屉
批	pʰi35	～评，大～
批	pai33	螺丝～
陛	pʰi31	～下
迷	mi21	入～，～路
米	mi31	大米
謎	mi21	～语，猜～
低	tai33	高～
堤	tʰi21	河～，～坝
底	tai31	水～
抵	ti31	～押
抵	tai31	用手抵挡
帝	ti51	皇～
梯	tʰɔi35	楼～
蒂	ti51	花～，并～莲
體	tʰi31	～育，身～
替	tʰi51	代～，～身
涕	tʰi51	～泪纵横
剃	tʰi51	～头
屜	tʰi51	抽～
題	tʰi21	～目，难～
提	tʰi21	～问，～醒
蹄	tʰi21	马～
啼	tʰi21	哭哭～～[文]
啼	tʰai21	鸡～[白]
弟	tʰi51	兄～[文]
弟	tʰai33	弟弟，老～[白]
第	tʰi51	～一，门～
遞	tʰi51	传～，邮～员
泥	nai21	水～，地～（地板）
犁	lai21	耕田用具
黎	li21	～明
禮	li35	～貌
麗	li51	秀～
隸	li51	奴～，～属
擠	tsi33	拥～，～时间
濟	tsi51	～公，经～
妻	tsʰi33	夫～
砌	tsʰe51	～墙
齊	tsʰe21	～国[文]
齊	tsʰe21	整～，放～，来～[白]
臍	tsʰi21	肚～，～带
劑	tsi51	一～药，药～
西	si35	东西南北
棲	tsʰi35	两～动物
犀	si35	～牛
洗	se31	～菜，～衣机
細	se51	粗细，大小
婿	se51	女～
雞	ke35	～公（公鸡）
稽	hi35	～查，滑～
計	ki51	～算，会～
繼	ki51	～续，～承
繫	ke35	～皮带
髻	ki51	发髻；鸡～（鸡冠）
溪	hai33	～水
啟	kʰi31	～发
契	kʰe51	房～，～约
倪	ji21	姓，～萍
奚	hi33	～落
兮	hi33	神经～～
系	ʃi51	中文～，～统
繫	hi51	联～
係	ʃi51	关～[文]
係	he51	是[白]
杯	pi33	茶～
輩	pi51	～分，长～
背	pɔi51	违～，后～
胚	pʰi33	～胎
坯	pʰi33	泥～，毛～房
配	pʰi51	分～，搭～
培	pʰi21	～训
陪	pʰi21	～同
賠	pʰɔi21	～钱
倍	pʰi51	～数
佩	pʰi51	～服
背	pɔi51	～书
焙	pʰɔi51	～火
梅	mɔi21	～花
枚	mɔi21	两～
媒	mɔi21	～人
煤	mɔi21	烧～，～矿
玫	mɔi21	～瑰
每	mi35	～只，～日
莓	mi21	草～
妹	mɔi51	妹妹，姊～，老～
昧	mi51	愚～，拾金不～
堆	tɔi35	一～[量]，～放[动]
對	ti51	～错；成双成～
碓	tɔi51	舂米工具，踏～
推	tsʰi33	～荐，～动
腿	tʰi31	～部，火～
退	tʰi51	后～，～步[文]
退	tʰi51	向后退[白]
隊	tse51	～伍，排～
內	ni51	～行，～外
雷	li21	打～，～公；姓
累	li51	劳～
催	tsʰi33	～促，～眠
崔	tsʰi33	姓，～莺莺
摧	tsʰi33	～残
罪	tsʰi51	得～，犯～[文]
罪	tsʰi51	～过（可怜、难受）[白]
碎	se51	～布，破～
盔	fɔi33	头～，～甲
魁	kʰvi21	～梧，花～
恢	fɔi33	～复
塊	kuai51	一～钱，～头
桅	ȵi21	～杆
灰	fɔi33	石～，～色
賄	jiu51	受～，～赂
悔	fi51	后～
晦	fi51	～气
回	fi21	～想[文]
回	fi21	～礼[白]
茴	fi21	～香
匯	fi51	～报，～款
潰	kui31	～疡，胃～疡
煨	vɔi35	～番薯
蛻	tʰi31	～变，～皮，～壳
兌	tʰi31	～水，～换
最	tsi51	～好
會	kʰuai51	～计
劊	kʰuai51	～子手
檜	kʰuai51	人名，秦～
外	ŋɔi551	～面
會	fi551	开～
會	vɔi51	～睡，～来
繪	kʰuai51	～图，测～
乖	kuai35	小孩听话
怪	kuai51	奇～
懷	fai21	～疑
槐	fai21	～树
淮	fai21	～河，～北
壞	fai51	～人
拐	kuai31	～卖，铁～李
拐	pai33	～脚（瘸腿）
掛	kua51	～起来，牵～，～钩
卦	kua51	八～
歪	vai35	～风邪气
畫	fa51	～图，图～
快	kuai51	～车
筷	kuai51	公～
話	fa51	笑～，讲～[文，名]
話	fa51	讲～[白，名]
話	va51	说[白，动]
脆	tsʰɔi51	干～[文]
脆	tsʰɔi51	易断[白]
歲	se51	万～，～月[文]
歲	se51	十～，～数[白]
綴	tɔt031	点～
贅	tse51	累～，入～
稅	sɔi51	交～，～收
衛	vi51	～生
銳	jiɔi51	尖～，～角
廢	fi51	～品，作～
肺	fi51	猪～
吠	pʰɔi51	狗～
穢	ve51	淫～，污～
圭	va33	人名用字；乌拉～
閨	kvi35	～房
桂	kvi51	～花
奎	kvi23	人名用字；～宁（药名）
攜	ʃi35	～带，提～
惠	fi51	～州，优～
慧	fi51	智～
碑	pi35	石～，～文
卑	pi35	自～
彼	pi31	～此
臂	pi31	手～，～力
披	pʰi33	～肩，～露
譬	pʰik031	～喻，～如
皮	pʰi21	调～，～肤
疲	pʰi35	～劳
脾	pʰi21	～胃，～气
被	pʰi35	被子，毛巾～
婢	pi35	奴～，～女
被	pʰi35	～动，～迫
避	pʰik031	逃～
糜	mi21	～烂；粥
彌	ni31	～补
離	li21	～別，～开
籬	li21	～笆
璃	li21	玻～
荔	li51	～枝
紫	tsɿ31	～色
雌	tsʰɿ35	～雄
此	tsʰɿ31	到～为止
刺	tsʰɿ31	～激，穿～
疵	pʰi51	瑕～，吹毛求～
斯	sɿ33	～大林
撕	sɿ33	～烂
璽	tsʰi51	玉～
徙	sai31	移居，～屋，迁～
賜	su51	赏～
知	ti33	通～，～道，无～[文]
知	tsɿ51	～识[文]
知	ti33	知道，唔～[白]
蜘	tsɿ33	～蛛
智	tsɿ51	～慧
池	tsʰɿ21	水～
馳	sɿ33	奔～
差	tsa33	参～不齐
篩	tsi35	谷～，米～
支	ki33	两～笔[白，量]
支	tsɿ33	～持，天干地～[文]
枝	tsɿ33	树～
肢	tsɿ33	四～，～体
梔	ki33	黄～（水横枝、黄果）
紙	tsɿ31	白～
只	tsət031	～有
侈	tsʰɿ33	奢～
舐	se33	舔
施	sɿ33	措～；姓
翅	tsʰɿ51	鱼～
匙	sɿ31	锁～
是	sɿ51	～否，～非
氏	sɿ51	姓～
豉	sɿ51	豆～
兒	ji21	～童
爾	mi35	～虞我诈；保～（人名）
寄	ki51	～信，～托
羈	ki51	～押，放荡不～
企	kʰi35	～业，～鹅
奇	kʰi21	～怪
騎	kʰi21	～马
騎	kʰi21	～楼
岐	kʰi21	～山
徛	kʰi33	站立；（山）斜度高
技	kʰi33	～术[文]
技	kʰi33	杂～[白]
妓	kʰi33	～女
宜	ni21	适～，～昌
儀	ȵi21	礼～，～式
蟻	ŋe51	蚂蚁，白～
誼	ni31	友～
義	ȵi51	情～，～气
議	ȵi51	～论，会～
犧	ʃi33	～牲
戲	ʃi51	做～
倚	ji31	～靠，～老卖老
椅	ji31	椅子，藤～
移	ji21	～动
易	ji31	容～
悲	pi33	～伤
鄙	pʰi31	卑～，～视[文]
比	pi31	～较，对～
